,https://roic.ai/company/LUMO,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,1597219,1597219,1565085,673837,2308825,2808350,3447229,3176284,3219922,3478253,4132358,4143829,6777932,8334516
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623412000014/0001126234-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623413000049/0001126234-13-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623414000080/0001126234-14-000080-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623416000235/0001126234-16-000235-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623417000025/0001126234-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623418000063/0001126234-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623419000026/0001126234-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623420000018/0001126234-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623421000034/0001126234-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623422000021/0001126234-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6276000,15217000,10572000,- -,- -,- -,- -,195620000,131490000,158708000,120738000,4952000,98679000,94809000
32,Short-Term Investments,- -,- -,2269000,2490000,1494000,249000,12393000,2180000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6276000,15217000,12841000,2490000,1494000,249000,12393000,197800000,131490000,158708000,120738000,4952000,98679000,94809000
34,Net Receivables,595000,1579000,842000,1000,196000,1328000,3716000,5388000,30501000,10532000,798000,35000,26264000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1900000,2102000,959000,40297000,21699000,62393000,214354000,4954000,5921000,6226000,5536000,82000,3506000,4868000
37,Total Current Assets,8771000,18898000,14642000,42788000,23389000,63970000,230463000,208142000,167912000,175466000,127072000,5069000,128449000,99677000
38,PP&E,955000,2919000,5436000,5591000,6040000,6587000,7599000,10400000,6835000,5091000,3727000,457000,584000,635000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,15604000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,850000,850000,- -,- -,- -,- -,-15604000,- -,- -,140000,140000,- -,- -,- -
45,Total Non-Current Assets,1805000,3769000,5436000,5591000,6040000,6587000,7599000,10400000,6835000,5231000,3867000,457000,584000,635000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10576000,22667000,20078000,48379000,29429000,70557000,238062000,218542000,174747000,180697000,130939000,5526000,129033000,100312000
48,Accounts Payable,601000,1080000,552000,1670000,972000,612000,2412000,3661000,22883000,9256000,555000,365000,244000,612000
49,Short-Term Debt,4000,35000,207000,6214000,204000,189000,192000,571000,232000,160000,61000,1143000,319000,352000
50,Tax Payable,- -,- -,- -,- -,- -,130000,- -,859000,- -,- -,- -,11000,- -,128000
51,Deferred Revenue,- -,947000,951000,- -,- -,- -,12966000,892000,391000,56000,- -,- -,- -,- -
52,Other Current Liabilities,1243000,1179000,1555000,2780000,1743000,3075000,9451000,9716000,14399000,12559000,8231000,-245000,5898000,4166000
53,Total Current Liabilities,1848000,3241000,3265000,10664000,2919000,3876000,25021000,14840000,37905000,22031000,8847000,1263000,6461000,5130000
54,Long-Term Debt,6000000,6000000,6942000,300000,300000,300000,941000,368000,285000,111000,43000,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,1405000,1321000,1085000,407000,- -,998000,906000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,94000,38000,46000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,34558000,54212000,61890000,548000,6840000,6687000,7238000,7153000,7091000,6000000,6000000,191000,6000000,1075000
58,Total Non-Current Liabilities,40558000,60212000,68832000,942000,8583000,8354000,9264000,7928000,7376000,7109000,6949000,191000,6000000,1075000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,8000,113000,261000,215000,93000,81000,35000,13000,- -,- -,- -,1182000,319000,- -
61,Total Liabilities,42406000,63453000,72097000,11606000,11502000,12230000,34285000,22768000,45281000,29140000,15796000,1454000,12461000,6205000
62,Preferred Stock,1030000,1030000,1030000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,66000,67000,36000,206000,20985192,26573023,27980849,288000,292000,372000,373000,12000,83000,83000
64,Retained Earnings,-37520000,-46962000,-63389000,36773000,17927000,58327000,-33119000,-80353000,-165508000,-237459000,-291012000,-59677000,-65991000,-96421000
65,Other Comprehensive Income/Loss,-1266000,-1569000,-2224000,- -,- -,- -,- -,-6516000,-5726000,-6638000,-6985000,- -,- -,- -
66,Other Total Stockholders Equity,3318000,4296000,9585000,-206000,-20985192,-26573023,208915151,282355000,300408000,395282000,412767000,138543000,182480000,185315000
67,Total Stockholders Equity,-34372000,-43138000,-54962000,36773000,17927000,58327000,203777000,195774000,129466000,151557000,115143000,78878000,116572000,88977000
68,Total Liabilities And Stockholders Equity,8034000,20315000,17135000,48379000,29429000,70557000,238062000,218542000,174747000,180697000,130939000,80332000,129033000,95182000
69,Minority Interest,2542000,2352000,2943000,- -,- -,- -,- -,- -,- -,- -,- -,-74806000,- -,5130000
70,Total Liabilities & Equity,10576000,22667000,20078000,48379000,29429000,70557000,238062000,218542000,174747000,180697000,130939000,5526000,129033000,100312000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623412000014/0001126234-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623413000049/0001126234-13-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623414000080/0001126234-14-000080-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623416000235/0001126234-16-000235-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623417000025/0001126234-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623418000063/0001126234-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623419000026/0001126234-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623420000018/0001126234-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623421000034/0001126234-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623422000021/0001126234-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-9162000,-9442000,-16213000,-18087000,-23321000,-31180000,102858000,-40381000,-85155000,-71951000,-53595000,-42989000,-5663000,-30430
74,Depreciation and Amortization,294000,303000,655000,687000,788000,891000,1097000,1592000,2084000,1407000,1145000,1094000,584000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9500000,- -
76,Stock Based Compensation,141000,661000,1525000,2545000,3195000,4365000,8613000,15940000,16707000,18508000,17120000,6722000,1074000,- -
77,Change in Working Capital,-163000,8734000,-4280000,20747000,-11654000,39624000,145348000,-12140000,-63295000,23428000,-35210000,-114419000,118182000,-27441000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-361000,-271000,-528000,637000,-700000,-359000,- -,- -,- -,- -,-13029000,- -,- -,- -
81,Other Working Capital,6923000,15657000,11377000,32124000,20470000,60094000,205442000,193302000,130007000,153435000,118225000,3806000,121988000,94547000
82,Other Non-Cash Items,5000,-9396000,5043000,-18841000,10521000,-39518000,-148848000,10902000,63712000,-19673000,32601000,119385000,-127674000,27471430
83,Cash Provided by Operating Activities,-8885000,-9140000,-13270000,-12949000,-20471000,-25818000,109068000,-24087000,-65947000,-48281000,-37939000,-30207000,-22997000,- -
84,CAPEX,-427000,-1403000,-2932000,-281000,-1323000,-1386000,-1700000,-3995000,-2246000,-43000,-7000,- -,-30000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84179000,- -
86,Purchases of Investments,- -,- -,-277000,-2490000,-1992000,-249000,-17377000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2269000,2988000,1494000,5233000,10213000,2180000,- -,- -,- -,- -,- -
88,Other Investing Activites,-2700000,-142000,500000,- -,50000,- -,- -,- -,- -,254000,124000,77000,32500000,- -
89,Cash Used for Investing Activites,-3127000,-1545000,-2709000,-502000,-277000,-141000,-13844000,6218000,-66000,211000,117000,77000,116649000,- -
90,Debt Repayment,- -,- -,-160000,-218000,-229000,-215000,-187000,-194000,-257000,-246000,-167000,-61000,-27000,- -
91,Common Stock Issued,19000,15000,2082000,37574000,1285000,67215000,27572000,13534000,2222000,74416000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-468000,13000,-4000,- -,-222000,-561000,-82000,-289000,-275000,-36000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17911000,19611000,9880000,5000000,456000,- -,6726000,10306000,- -,1407000,294000,38000,102000,- -
95,Cash Used/Provided by Financing Activities,17930000,19626000,11334000,42369000,1508000,67000000,33889000,23085000,1883000,75288000,-148000,-59000,75000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5918000,8941000,-4645000,28918000,-19240000,41041000,129113000,5216000,-64130000,27218000,-37970000,-30189000,93727000,- -
98,Cash at the End of Period,6276000,15217000,10572000,39490000,20250000,61291000,190404000,195620000,131490000,158708000,120738000,90549000,98679000,- -
99,Cash at the Beginning of Period,358000,6276000,15217000,10572000,39490000,20250000,61291000,190404000,195620000,131490000,158708000,120738000,4952000,98679000
100,Free Cash Flow,-9312000,-10543000,-16202000,-13230000,-21794000,-27204000,107368000,-28082000,-68193000,-48324000,-37946000,-30207000,-23027000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623412000014/0001126234-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623413000049/0001126234-13-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623414000080/0001126234-14-000080-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1126234/000112623416000235/0001126234-16-000235-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623417000025/0001126234-17-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623418000063/0001126234-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623419000026/0001126234-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623420000018/0001126234-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623421000034/0001126234-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1126234/000112623422000021/0001126234-22-000021-index.htm
102,false,,,,,,,,,,,,,,
