,https://roic.ai/company/NIU,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-3.13,-2.48,-10.60,2.48,2.14,2.99
27,Weighted Average Shares Outstanding,74337029,74337029,32917438,74512583,75448706,75448706
28,Weighted Average Shares Outstanding Diluted,74337029,74337029,32917438,76624094,78917934,75448706
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,91120710,111996325,569059591,279945942,227004137,208373759
32,Short-Term Investments,50087353,85187718,147694088,484843875,876106877,869313955
33,Cash and Short-Term Investments,141208063,197184043,716753679,764789817,1103111014,1077687714
34,Net Receivables,32437651,12879403,62280843,129276969,113402235,268557176
35,Inventory,66781756,88225965,142382205,178633299,142166179,269637042
36,Other Current Assets,20008338,109399492,198326670,238589933,189218993,280032460
37,Total Current Assets,260435808,407688903,1119743397,1311290018,1547898421,1895914392
38,PP&E,14108659,28696602,40985174,150891344,199045061,491417174
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,1974267,1277467,20047406,42135685,80992221,3668189
41,Intangible Assets,1974267,1277467,20047406,42135685,80992221,3668189
42,Investments,- -,- -,- -,- -,- -,35939250
43,Tax Assets,- -,- -,- -,- -,14593376,11907344
44,Other Non-Current Assets,112016529,65968605,4475822,6522561,4280304,2367064
45,Total Non-Current Assets,128099455,95942674,65508402,199549590,298910962,545299021
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,388535263,503631577,1185251799,1510839608,1846809383,2441213413
48,Accounts Payable,71817772,124937465,249665890,258988264,395826435,538930163
49,Short-Term Debt,216259796,319792003,179978003,217394132,180000000,323622874
50,Tax Payable,520960,1099932,3656732,13287442,30272271,17601525
51,Deferred Revenue,17500674,58356750,37422317,38584009,61217823,50024734
52,Other Current Liabilities,36261745,75412869,129933900,178547202,186212698,216506083
53,Total Current Liabilities,341839987,578499087,597000110,693513607,823256956,1129083854
54,Long-Term Debt,- -,- -,- -,- -,- -,13921859
55,Deferred Revenue,686863,144700,234801,2171033,4176458,10693692
56,Deferred Tax Liabilities,- -,- -,- -,1265780,1109479,1992388
57,Other Non-Current Liabilities,259202942,250223266,17609842,22358968,24892246,20967430
58,Total Non-Current Liabilities,259889805,250367966,17844643,25795781,30178183,47575369
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,13921859
61,Total Liabilities,601729792,828867053,614844753,719309388,853435139,1176659223
62,Preferred Stock,18436,18436,- -,- -,- -,- -
63,Common Stock,39948,39948,95959,96471,98502,99354
64,Retained Earnings,-586493123,-771155994,-1124385539,-934300768,-765648302,-539827893
65,Other Comprehensive Income/Loss,-4498588,5596238,-22786922,-12368224,-43016027,-51121030
66,Other Total Stockholders Equity,377738798,440265896,1717483548,1738102741,1801940071,1855403759
67,Total Stockholders Equity,-213194529,-325235476,570407046,791530220,993374244,1264554190
68,Total Liabilities And Stockholders Equity,388535263,503631577,1185251799,1510839608,1846809383,2441213413
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,388535263,503631577,1185251799,1510839608,1846809383,2441213413
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-232720922,-184662871,-349027476,190084771,168652466,- -
74,Depreciation and Amortization,5187772,9746569,18881376,32428391,50239037,- -
75,Deferred Income Tax,- -,- -,- -,- -,-18150489,- -
76,Stock Based Compensation,78304903,62527098,265874927,19622779,39608915,- -
77,Change in Working Capital,22051003,149628638,25567091,-70258574,233255175,- -
78,Accounts Receivable,-19215134,8307152,-42827269,-63864244,13402725,- -
79,Inventory,-37322088,-21444209,-72410646,-46739327,30565820,- -
80,Accounts Payable,48615385,53119693,124728425,9321752,136838756,- -
81,Other Working Capital,14021022,45996135,-19863367,8101855,24710886,- -
82,Other Non-Cash Items,4123510,42823844,46483448,6803068,-8006393,- -
83,Cash Provided by Operating Activities,-123053734,80063278,7779366,178680435,465598711,- -
84,CAPEX,-10320052,-23244485,-53289427,-141014071,-151581970,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-110000000,-412000000,-1403540873,-1980860189,-3137824241,- -
87,Sales/Maturities of Investments,60370118,379315536,1353240649,1653985019,2754174600,- -
88,Other Investing Activites,- -,- -,-21271545,-26779835,-39836092,- -
89,Cash Used for Investing Activites,-59949934,-55928949,-103589651,-467889241,-535231611,- -
90,Debt Repayment,-49834330,-49997837,-188234207,-228864111,-217394132,- -
91,Common Stock Issued,3355,- -,406538433,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-4202335,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,274842752,52412547,341280697,264146527,204230446,- -
95,Cash Used/Provided by Financing Activities,225011777,2414710,555382588,35282416,-13163686,- -
96,Effect of Forex Changes on Cash,2061790,-5673424,-2509037,7206098,-23332213,- -
97,Net Change In Cash,44069899,20875615,457063266,-246720292,-106128799,- -
98,Cash at the End of Period,91120710,111996325,569059591,501602013,395473214,- -
99,Cash at the Beginning of Period,47050811,91120710,111996325,748322305,501602013,- -
100,Free Cash Flow,-133373786,56818793,-45510061,37666364,314016741,- -
101,SEC Link,- -,- -,- -,- -,- -,undefined
102,Forex Rate,0.1439,0.1537,0.1453,0.1436,0.1532,0.1572
