,https://roic.ai/company/SQZ,2018,2019,2020,2021
53,Total Current Liabilities,21330000,38283000,45193000,33224000
54,Long-Term Debt,- -,32887000,- -,59756000
55,Deferred Revenue,29219000,21846000,19659000,9196000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,108538000,132849000,39090000,- -
58,Total Non-Current Liabilities,137757000,187582000,58749000,68952000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,42331000,47095000,- -
61,Total Liabilities,159087000,225865000,103942000,102176000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,2000,2000,25000,28000
64,Retained Earnings,-44046000,-76248000,-126769000,-195510000
65,Other Comprehensive Income/Loss,-2225000,30000,- -,- -
66,Other Total Stockholders Equity,2729000,- -,253943000,319458000
67,Total Stockholders Equity,-43540000,-73515000,127199000,123976000
68,Total Liabilities And Stockholders Equity,115547000,152350000,231141000,226152000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,115547000,152350000,231141000,226152000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604477/000156459021013996/0001564590-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1604477/000095017022003930/0000950170-22-003930-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-19250000,-32202000,-50521000,-68741000
74,Depreciation and Amortization,1067000,4356000,10943000,- -
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,590000,2108000,3602000,- -
77,Change in Working Capital,39150000,-23948000,68103000,-14227000
78,Accounts Receivable,-365000,-1009000,-18000,- -
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,434000,1709000,100000,- -
81,Other Working Capital,87483000,63535000,131638000,117411000
82,Other Non-Cash Items,-460000,16195000,-75278000,82968000
83,Cash Provided by Operating Activities,21097000,-33491000,-43151000,- -
84,CAPEX,39250000,-2168000,-1177000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-74905000,-115880000,- -,- -
87,Sales/Maturities of Investments,- -,105200000,59000000,- -
88,Other Investing Activites,39250000,- -,- -,- -
89,Cash Used for Investing Activites,-36960000,-12848000,57823000,- -
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,75494000,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,68118000,26038000,40922000,- -
95,Cash Used/Provided by Financing Activities,68118000,26038000,116416000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,52255000,-20301000,131088000,- -
98,Cash at the End of Period,61875000,41574000,172662000,- -
99,Cash at the Beginning of Period,9620000,61875000,41574000,172662000
100,Free Cash Flow,19792000,-35659000,-44328000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1604477/000156459021013996/0001564590-21-013996-index.htm,https://www.sec.gov/Archives/edgar/data/1604477/000095017022003930/0000950170-22-003930-index.htm
102,false,,,,
