,https://roic.ai/company/NXPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,7864000000,7214000000,7519000000,7315000000,7365000000,7397000000,7851000000,17572000000,17112000000,18670000000,15644000000,12147000000,13096000000,- -
67,Total Stockholders Equity,1075000000,930000000,986000000,1145000000,1049000000,1301000000,538000000,11515000000,10935000000,13527000000,10505000000,9441000000,8944000000,6528000000
68,Total Liabilities And Stockholders Equity,10114000000,8475000000,7404000000,6400000000,6204000000,6204000000,6630000000,26066000000,24677000000,23860000000,21345000000,19802000000,19640000000,20622000000
69,Minority Interest,213000000,198000000,233000000,212000000,235000000,245000000,263000000,288000000,221000000,189000000,185000000,214000000,207000000,242000000
70,Total Liabilities & Equity,10327000000,8673000000,7637000000,6612000000,6439000000,6449000000,6893000000,26354000000,24898000000,24049000000,21530000000,20016000000,19847000000,20864000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413447/000141344720000009/0001413447-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344721000011/0001413447-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344722000008/0001413447-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-3600000000,-175000000,-456000000,390000000,-115000000,348000000,539000000,1526000000,200000000,2215000000,2208000000,243000000,52000000,1871000000
74,Depreciation and Amortization,1270000000,869000000,684000000,591000000,533000000,514000000,405000000,517000000,2205000000,2173000000,1987000000,2047000000,1988000000,1262000000
75,Deferred Income Tax,- -,- -,- -,- -,-18000000,3000000,1000000,-168000000,-925000000,-797000000,-211000000,-175000000,-349000000,-20000000
76,Stock Based Compensation,- -,- -,- -,- -,52000000,88000000,133000000,216000000,338000000,281000000,314000000,346000000,384000000,353000000
77,Change in Working Capital,204000000,-692000000,128000000,529000000,-459000000,441000000,421000000,944000000,701000000,361000000,-1486000000,-364000000,831000000,-457000000
78,Accounts Receivable,- -,- -,-46000000,-60000000,-6000000,-24000000,-120000000,- -,- -,- -,- -,- -,- -,- -
79,Inventory,122000000,50000000,8000000,-104000000,-61000000,-22000000,-42000000,82000000,568000000,-120000000,-65000000,128000000,163000000,-159000000
80,Accounts Payable,- -,- -,60000000,-134000000,101000000,-25000000,205000000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,952000000,260000000,388000000,917000000,458000000,899000000,1320000000,2264000000,2965000000,3326000000,1840000000,1476000000,2307000000,-20000000
82,Other Non-Cash Items,1504000000,-747000000,13000000,-1315000000,729000000,-503000000,-31000000,-1705000000,-216000000,-1786000000,1557000000,276000000,-424000000,68000000
83,Cash Provided by Operating Activities,-622000000,-745000000,369000000,195000000,722000000,891000000,1468000000,1330000000,2303000000,2447000000,4369000000,2373000000,2482000000,3077000000
84,CAPEX,-415000000,-104000000,-265000000,-231000000,-280000000,-250000000,-365000000,-353000000,-448000000,-618000000,-661000000,-628000000,-522000000,-932000000
85,Acquisitions Net,1243000000,141000000,-68000000,- -,36000000,6000000,-7000000,-86000000,-182000000,2682000000,145000000,-1661000000,127000000,-23000000
86,Purchases of Investments,-14000000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-19000000,-30000000,-8000000
87,Sales/Maturities of Investments,140000000,21000000,- -,- -,12000000,4000000,- -,1000000,- -,- -,2000000,1000000,3000000,18000000
88,Other Investing Activites,-354000000,-82000000,-218000000,795000000,-336000000,-250000000,-380000000,-345000000,-445000000,-610000000,-660000000,-605000000,-518000000,-888000000
89,Cash Used for Investing Activites,1015000000,78000000,-286000000,589000000,-288000000,-240000000,-387000000,-430000000,-627000000,2072000000,-522000000,-2284000000,-418000000,-934000000
90,Debt Repayment,-6000000,-487000000,-1585000000,-2607000000,-2226000000,-3057000000,-1057000000,-3618000000,-3533000000,-2744000000,-2274000000,-1750000000,-1809000000,-1021000000
91,Common Stock Issued,- -,- -,448000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-57000000,-40000000,-405000000,-1435000000,-475000000,-1280000000,-286000000,-5006000000,-1443000000,-627000000,-4015000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000000,-319000000,-420000000,-562000000
94,Other Financing Activites,322000000,407000000,984000000,1736000000,1692000000,2864000000,1938000000,3644000000,3421000000,144000000,2757000000,1681000000,2021000000,4013000000
95,Cash Used/Provided by Financing Activities,316000000,-80000000,-153000000,-928000000,-574000000,-598000000,-554000000,-449000000,-1392000000,-2886000000,-4597000000,-1831000000,-835000000,-1585000000
96,Effect of Forex Changes on Cash,46000000,-8000000,-63000000,-21000000,14000000,- -,-12000000,-22000000,-4000000,20000000,-8000000,-2000000,1000000,-3000000
97,Net Change In Cash,755000000,-755000000,-133000000,-165000000,-126000000,53000000,515000000,429000000,280000000,1653000000,-758000000,-1744000000,1230000000,555000000
98,Cash at the End of Period,1796000000,1041000000,908000000,743000000,617000000,670000000,1185000000,1614000000,1894000000,3547000000,2789000000,1045000000,2275000000,2830000000
99,Cash at the Beginning of Period,1041000000,1796000000,1041000000,908000000,743000000,617000000,670000000,1185000000,1614000000,1894000000,3547000000,2789000000,1045000000,2275000000
100,Free Cash Flow,-1037000000,-849000000,104000000,-36000000,442000000,641000000,1103000000,977000000,1855000000,1829000000,3708000000,1745000000,1960000000,2145000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1413447/000141344720000009/0001413447-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344721000011/0001413447-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1413447/000141344722000008/0001413447-22-000008-index.htm
102,false,,,,,,,,,,,,,,
