,https://roic.ai/company/CHPT,2019,2020,2021,2022
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1777393/000121390020008001/0001213900-20-008001-index.html,https://www.sec.gov/Archives/edgar/data/1777393/000121390021008053/0001213900-21-008053-index.htm,https://www.sec.gov/Archives/edgar/data/1777393/000119312521174021/0001193125-21-174021-index.htm,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,- -,-197024000,-197024000,-132570000
74,Depreciation and Amortization,- -,10083000,10083000,17396000
75,Deferred Income Tax,- -,- -,- -,-3916000
76,Stock Based Compensation,- -,4947000,4947000,67331000
77,Change in Working Capital,- -,10197000,10197000,17054000
78,Accounts Receivable,- -,3292000,3292000,-38888000
79,Inventory,- -,-9585000,-9585000,-1490000
80,Accounts Payable,- -,-493000,-493000,7933000
81,Other Working Capital,5044,17156000,17156000,55281000
82,Other Non-Cash Items,- -,79951000,79951000,-122473000
83,Cash Provided by Operating Activities,- -,-91846000,-91846000,-157178000
84,CAPEX,- -,-11484000,-11484000,-16410000
85,Acquisitions Net,- -,- -,- -,-205330000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,47014000,47014000,- -
88,Other Investing Activites,398721,- -,- -,- -
89,Cash Used for Investing Activites,398721,35530000,35530000,-221740000
90,Debt Repayment,- -,- -,- -,-36051000
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,-398721,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,398721,128913000,128913000,585738000
95,Cash Used/Provided by Financing Activities,- -,128913000,128913000,549687000
96,Effect of Forex Changes on Cash,- -,141000,141000,-1025000
97,Net Change In Cash,398721,72738000,72738000,169744000
98,Cash at the End of Period,398721,145891000,145891000,315635000
99,Cash at the Beginning of Period,- -,73153000,73153000,145891000
100,Free Cash Flow,- -,-103330000,-103330000,-173588000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1777393/000121390020008001/0001213900-20-008001-index.html,https://www.sec.gov/Archives/edgar/data/1777393/000121390021008053/0001213900-21-008053-index.htm,https://www.sec.gov/Archives/edgar/data/1777393/000119312521174021/0001193125-21-174021-index.htm,- -
102,false,,,,
