,https://roic.ai/company/LGF-B,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,8593577,78523616,178229186,159634787,113338281,134122000,283041000,436900000,467257000,497978000,758720000,813777000,724362000,724444000,656653000,1044493000,1000925000,861584000,957105000,1225300000,1511000000,1444300000,1636800000,1394400000
11,COGS and Expenses,43267658,80724278,179917120,162305704,270297720,288523000,474890000,792822000,928200000,934796000,1421170000,1607593000,1531673000,1520190000,1565055000,2435062000,2370306000,2177359000,2372449000,3129100000,3820600000,3472500000,3807700000,3120300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5785000,1573000,1742000,2752000,4036000,6030000,2790000,1851000,6400000,10400000,12000000,8800000,5800000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19327000,58060000,38879000,78111000,93580000,48960000,39657000,45695000,102300000,179400000,198900000,191300000,181500000
14,Depreciation and Amortization,1299029,62918923,156620446,102854299,160069455,158654000,198750000,225642000,261591000,249066000,412400000,470610000,28064000,535239000,607936000,974317000,927828000,906537000,1042161000,1477100000,1800700000,1679900000,1972900000,1451500000
15,EBITDA,1898581,53716155,154352567,106303483,114261396,161690000,102487000,254870000,269121000,284225000,342463000,329681000,67876000,524775000,651624000,1224268000,1161748000,1159602000,1061538000,1445300000,2134300000,1586100000,1979100000,1631200000
16,EBITDA ratio,0.0420,0.6849,0.8266,0.5936,0.4272,0.5357,0.2663,0.3025,0.2829,0.2910,0.2516,0.2248,0.0429,0.3316,0.4105,0.4521,0.4417,0.4832,0.4522,0.4514,0.5169,0.4309,0.5088,0.4986
17,Operating Income,1898580,-2300692,6825599,16771756,-2831284,13321000,-89999000,49764000,23028000,41944000,-60131000,-141219000,52045000,62530000,33491000,273079000,259948000,222281000,-25030000,-16300000,248700000,130000000,2800000,170600000
18,Operating Income ratio,0.0420,-0.0293,0.0366,0.0937,-0.0106,0.0441,-0.2338,0.0591,0.0242,0.0429,-0.0442,-0.0963,0.0329,0.0395,0.0211,0.1008,0.0988,0.0926,-0.0107,-0.0051,0.0602,0.0353,0.0007,0.0521
19,Total Other Income Expenses (Gains),-1299029,-6902076,-9093479,-13322573,-10055355,-10285000,-6264000,-20536000,-15498000,-6785000,-9806000,-19037000,-78961000,-111873000,-67914000,-116708000,-74988000,-8873000,-8797000,-118100000,-100000000,-438100000,-205900000,-188000000
20,Income Before Tax,599552,-9202767,-2267880,3449183,-12886639,3036000,-96263000,29228000,7530000,35159000,-69937000,-160256000,-26916000,-49343000,-34423000,156371000,184960000,213408000,-33827000,-134400000,148700000,-308100000,-203100000,-17400000
21,Income Before Tax Ratio,0.0133,-0.1173,-0.0121,0.0193,-0.0482,0.0101,-0.2501,0.0347,0.0079,0.0360,-0.0514,-0.1093,-0.0170,-0.0312,-0.0217,0.0577,0.0703,0.0889,-0.0144,-0.0420,0.0360,-0.0837,-0.0522,-0.0053
22,Income Tax expense (Gain),999253,200060,1376499,-2088717,315697,1910000,-2091000,8947000,1434000,7680000,4031000,2724000,1230000,4256000,4695000,-75756000,32923000,31627000,-76527000,-148900000,-319400000,-8500000,3300000,17100000
23,Net Income,-399701,-9402828,-3644379,5537900,-46123756,1126000,-94172000,20281000,6096000,27479000,-73968000,-162980000,-19478000,-53599000,-39118000,232127000,152037000,181781000,50209000,14800000,473600000,-284200000,-188400000,-18900000
24,Net Income ratio,-0.0088,-0.1199,-0.0195,0.0309,-0.1724,0.0037,-0.2447,0.0241,0.0064,0.0281,-0.0543,-0.1111,-0.0123,-0.0339,-0.0246,0.0857,0.0578,0.0758,0.0214,0.0046,0.1147,-0.0772,-0.0484,-0.0058
25,EPS,-0.03,-0.38,-0.15,-0.04,0.73,-0.06,-1.35,0.21,0.06,0.25,-0.62,-1.40,-0.17,-0.41,-0.30,1.73,1.11,1.31,0.34,0.09,2.27,-1.33,-0.86,-0.09
26,EPS Diluted,-0.03,-0.38,-0.15,-0.04,0.73,-0.06,-1.35,0.20,0.06,0.25,-0.62,-1.40,-0.17,-0.41,-0.30,1.61,1.04,1.23,0.33,0.09,2.15,-1.33,-0.86,-0.09
27,Weighted Average Shares Outstanding,24372000,24681973,31460751,40212000,43231921,41783333,70878519,97610000,103066000,108398000,118427000,116795000,117510000,131176000,132226000,134514000,137468000,139048000,148480000,165000000,208400000,213700000,217900000,220500000
28,Weighted Average Shares Outstanding Diluted,24372000,24681973,31460751,40212000,43231921,41783333,70878519,103375000,106102000,111164000,118427000,116795000,117510000,131176000,132226000,149370000,154415000,151778000,154088000,172200000,220400000,213700000,217900000,220500000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,7440000,6961000,112839000,46978000,51497000,371589000,138475000,91421000,86419000,64298000,62363000,25692000,102697000,57742000,321900000,378100000,184300000,318000000,528700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,182002000,237504000,6927000,6987000,6995000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1517000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,7440000,6961000,112839000,228980000,289001000,378516000,145462000,98416000,86419000,64298000,62363000,25692000,102697000,57742000,321900000,378100000,184300000,1835000000,528700000
34,Net Receivables,- -,- -,- -,- -,- -,95792000,125075000,150019000,182659000,130496000,260284000,227010000,312123000,359821000,784530000,787150000,885571000,891880000,1049289000,1054000000,1087400000,743900000,522000000,452100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23900000,20300000,19900000,- -,14300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,2913000,820000,4915000,10300000,10056000,4123000,43458000,11936000,10664000,8925000,2508000,2906000,290600000,287300000,446300000,-1049000000,191600000
37,Total Current Assets,- -,- -,- -,- -,- -,103232000,132036000,265771000,412459000,424412000,649100000,382528000,414662000,489698000,860764000,860177000,920188000,997085000,1109937000,1690400000,1773100000,1394400000,1308000000,1186700000
38,PP&E,- -,- -,- -,- -,- -,32390000,29478000,30842000,7218000,13095000,13613000,42415000,33577000,10418000,9772000,8530000,14552000,26651000,43384000,165500000,161700000,155300000,140000000,218100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,185117000,187491000,224531000,379402000,391853000,239254000,326633000,323328000,323328000,323328000,534780000,2700500000,2740800000,2833500000,2833000000,2764500000
40,Intangible Assets,- -,- -,- -,- -,- -,25048000,166049000,163360000,- -,- -,- -,78904000,71530000,- -,11977000,1250802000,1277571000,1383016000,1489646000,3776200000,3629700000,3543600000,1719000000,3797800000
41,Intangible Assets,- -,- -,- -,- -,- -,25048000,166049000,163360000,185117000,187491000,224531000,458306000,463383000,239254000,338610000,1574130000,1600899000,1706344000,2024426000,6476700000,6370500000,6377100000,4552000000,6562300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702767000,680647000,771873000,1500315000,169450000,181941000,438298000,464346000,371500000,164900000,26200000,40300000,31900000
43,Tax Assets,- -,- -,- -,- -,- -,466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,82690000,65983000,50114000,134421000,20000000,38800000,19800000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,225410000,425203000,394656000,448455000,512097000,650514000,81554000,112188000,46601000,78534000,65892000,68069000,73597000,78994000,472800000,458600000,436100000,-40300000,307200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,283314000,620730000,588858000,640790000,712683000,888658000,1285042000,1289795000,1068146000,1927231000,1900692000,1931444000,2295004000,2745571000,7506500000,7194500000,7014500000,4692000000,7119500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,386546000,752766000,854629000,1053249000,1137095000,1537758000,1667570000,1704457000,1557844000,2787995000,2760869000,2851632000,3292089000,3855508000,9196900000,8967600000,8408900000,6000000000,8306200000
48,Accounts Payable,- -,- -,- -,- -,- -,47107000,132693000,134200000,188793000,155617000,245430000,270561000,- -,243440000,- -,- -,- -,- -,- -,- -,- -,- -,526000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,153041000,324700000,1162000,14772000,- -,- -,255000000,369545000,327420000,462400000,- -,- -,- -,- -,445100000,407000000,566200000,422300000,473000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,69548000,111510000,- -,- -,- -,- -,- -,- -,- -,- -,156900000,183900000,146500000,116000000,165700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,26158000,77759000,- -,- -,- -,- -,676382000,572797000,301386000,890167000,313620000,332457000,332473000,377698000,1087900000,1821500000,939700000,442700000,1054200000
53,Total Current Liabilities,- -,- -,- -,- -,- -,226306000,535152000,135362000,203565000,225165000,356940000,1201943000,942342000,872246000,1352567000,313620000,332457000,332473000,377698000,1689900000,2412400000,1652400000,1507000000,1692900000
54,Long-Term Debt,- -,- -,- -,- -,- -,54379000,91855000,408640000,385000000,325000000,328718000,331716000,445363000,407054000,1117050000,1426937000,1176947000,1370881000,1601410000,3163000000,2649600000,2993900000,- -,2861400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142093000,138272000,150998000,228593000,254023000,288300000,274787000,328244000,72700000,70300000,62800000,- -,56200000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440200000,91900000,56500000,- -,40300000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,22116000,38932000,193229000,315414000,339040000,663862000,- -,94580000,- -,- -,409763000,469390000,471661000,697883000,1316700000,586500000,721400000,- -,860800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,76495000,130787000,601869000,700414000,664040000,992580000,473809000,678215000,558052000,1345643000,2090723000,1934637000,2117329000,2627537000,4992600000,3398300000,3834600000,- -,3818700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6444000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,302801000,665939000,737231000,903979000,889205000,1349520000,1675752000,1620557000,1430298000,2698210000,2404343000,2267094000,2449802000,3005235000,6682500000,5810700000,5487000000,7951000000,5511600000
62,Preferred Stock,- -,- -,- -,- -,- -,32519000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,157675000,275569000,305662000,- -,- -,- -,- -,- -,- -,- -,672915000,743788000,830786000,885800000,2519800000,2649000000,2790300000,- -,2959200000
64,Retained Earnings,- -,- -,- -,- -,- -,-107942000,-201295000,-183226000,-177130000,-149651000,-223619000,-386599000,-460631000,-514230000,-542039000,-309912000,-157875000,13720000,7584000,10600000,516600000,208700000,-16000000,-82900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-7535000,12553000,-5297000,-2371000,-1295000,-533000,-11878000,-6611000,-1424000,-3711000,-6477000,-1375000,-2219000,-43111000,-16000000,-9700000,-80300000,-206000000,-83300000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,332544000,406509000,425328000,397986000,579610000,671275000,662865000,- -,- -,- -,- -,- -,- -,- -,2882000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,74717000,86827000,117139000,149270000,247890000,188238000,-8182000,53922000,127546000,89785000,356526000,584538000,842287000,850273000,2514400000,3155900000,2918700000,2658000000,2793000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,377518000,752766000,854370000,1053249000,1137095000,1537758000,1667570000,1674479000,1557844000,2787995000,2760869000,2851632000,3292089000,3855508000,9196900000,8966600000,8405700000,10609000000,8304600000
69,Minority Interest,- -,- -,- -,- -,- -,9028000,- -,259000,- -,- -,- -,- -,29978000,- -,- -,- -,- -,- -,- -,- -,1000000,3200000,-4609000000,1600000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,386546000,752766000,854629000,1053249000,1137095000,1537758000,1667570000,1704457000,1557844000,2787995000,2760869000,2851632000,3292089000,3855508000,9196900000,8967600000,8408900000,6000000000,8306200000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-399701,-9402828,-3644379,5537900,-46123756,1126000,-94172000,20281000,6096000,27479000,-73968000,-162980000,-19478000,-53599000,-39118000,232127000,152037000,181781000,50209000,14800000,473600000,-284200000,-188400000,-18900000
74,Depreciation and Amortization,1299029,62918923,156620446,102854299,160069455,158654000,198750000,225642000,261591000,249066000,412400000,470610000,28064000,535239000,607936000,974317000,927828000,906537000,1042161000,1477100000,1800700000,1679900000,1972900000,1451500000
75,Deferred Income Tax,99925,-1100331,- -,- -,- -,- -,-2563000,6283000,297000,6780000,-1087000,- -,- -,- -,- -,-87899000,15913000,13934000,-85069000,-163400000,-299500000,-23600000,-900000,3400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13438000,18299000,29204000,9957000,35838000,60492000,79938000,77906000,76900000,88400000,68100000,50500000,89000000
77,Change in Working Capital,- -,- -,- -,- -,- -,-123074000,-280042000,533525000,78485000,-9647000,92913000,-1111575000,291735000,145132000,-109255000,1038360000,41174000,76881000,67627000,-731739000,-639800000,381300000,59000000,-307200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37304000,-80565000,-64203000,-256208000,-4948000,-93503000,-13968000,-144910000,-83000000,-8600000,470800000,397500000,133900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-123074000,-403116000,130409000,208894000,199247000,292160000,-819415000,-527680000,-382548000,-491803000,546557000,587731000,664612000,732239000,500000,-639300000,-258000000,-199000000,-506200000
82,Other Non-Cash Items,-15988049,3300993,-3037481,-140964379,-173518554,-25903000,71445000,-690235000,-223457000,-165861000,-341108000,688601000,-440395000,-613649000,-632988000,-1916624000,-944932000,-1162562000,-1171840000,-115061000,-1034200000,-1394000000,-1278500000,-1218300000
83,Cash Provided by Operating Activities,-14988796,55716757,149938586,-32572179,-59572855,10803000,-106582000,95496000,123012000,107817000,89150000,-101906000,-121775000,42327000,-163468000,276119000,252512000,96509000,-19006000,558600000,389200000,427500000,614600000,-500000
84,CAPEX,-49962653,-3300993,-4404997,-1595548,-7552755,-2171000,-905000,-2484000,-5450000,-8348000,-3608000,-8674000,-6577000,-2756000,-1885000,-2581000,-8799000,-17013000,-18433000,-25200000,-45900000,-43800000,-31100000,-35000000
85,Acquisitions Net,- -,- -,- -,-26991263,467552,- -,-148870000,- -,-27138000,-24119000,-42347000,-243158000,- -,-39677000,9119000,-1530000,-8250000,-8155000,-142881000,-1123200000,338500000,-77900000,-20600000,3900000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-310501000,-865872000,-240558000,-32020000,-47129000,-1042000,-1030000,-2022000,- -,-30000000,-750000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,142895000,795838000,490796000,14000000,13985000,29102000,- -,6354000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-51261682,-75022563,-179619660,-0,14040532,6634000,- -,1172000,34860000,-5116000,-3000000,-28767000,-7079000,-13993000,-558403000,4274000,8444000,- -,- -,-22100000,-45900000,-43800000,-31100000,-35000000
89,Cash Used for Investing Activites,-101224335,-78323556,-184024657,-28586811,6955328,4463000,-149775000,-1312000,-165334000,-107617000,201283000,-298619000,-46800000,-28366000,-552199000,4495000,-8605000,-55168000,-162064000,-1145300000,292600000,-121700000,-51700000,-31100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227411000,-754990000,-654364000,-670352000,-1792552000,-2166533000,-1555283000,-903614000,-3399500000,-4668500000,-3518100000,-1327200000,-320600000
91,Common Stock Issued,101823887,19205776,33386343,9003,134871,33674000,107162000,24713000,1408000,4277000,1251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-18090000,- -,- -,- -,-22260000,-44968000,-2030000,-13476000,-81408000,- -,- -,-144840000,-73180000,- -,- -,- -,-2600000,-2200000
93,Dividends Paid,- -,- -,-407260,-1584544,-866169,-1584000,-387000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6900000,-33353000,-47447000,-26800000,- -,-57400000,- -,- -
94,Other Financing Activites,20684538,14804453,-3692291,53882492,54533689,-46423000,167836000,-13795000,-24473000,- -,49442000,444018000,877425000,666382000,1448486000,1510032000,1894171000,1767671000,1159964000,4276400000,4046100000,3076200000,903700000,560700000
95,Cash Used/Provided by Financing Activities,122508425,34010229,29286791,52306952,53802391,-14333000,256521000,10918000,-23065000,4277000,28433000,171639000,120405000,-1458000,696726000,-282520000,-279262000,34195000,135723000,850100000,-622400000,-499300000,-426100000,237900000
96,Effect of Forex Changes on Cash,- -,- -,- -,3270122,-1121924,-134000,-643000,648000,-474000,42000,1226000,-4228000,1116000,4674000,-3180000,-29000,-1316000,1469000,392000,800000,-3200000,-300000,-2900000,4200000
97,Net Change In Cash,122508425,34010229,-4799281,-5581916,63939,799000,-479000,105750000,-65861000,4519000,320092000,-233114000,-47054000,17177000,-22121000,-1935000,-36671000,77005000,-44955000,264200000,56200000,-193800000,133900000,210500000
98,Cash at the End of Period,- -,- -,13274882,6653284,6637633,7440000,6961000,112839000,46978000,51497000,371589000,138475000,91421000,86419000,64298000,62363000,25692000,102697000,57742000,321900000,378100000,184300000,318200000,528700000
99,Cash at the Beginning of Period,- -,6001805,18074163,12235199,6573694,6641000,7440000,7089000,112839000,46978000,51497000,371589000,138475000,69242000,86419000,64298000,62363000,25692000,102697000,57700000,321900000,378100000,184300000,318200000
100,Free Cash Flow,-64951449,52415764,145533589,-34167727,-67125610,8632000,-107487000,93012000,117562000,99469000,85542000,-110580000,-128352000,39571000,-165353000,273538000,243713000,79496000,-37439000,533400000,343300000,383700000,583500000,-35500000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929351/000092935120000013/0000929351-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/929351/000092935121000019/0000929351-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
