,https://roic.ai/company/RFP,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,108400000,187300000,19000000,733000000,716000000,471000000,584000000,654000000,222000000,351000000,-252000000,-894000000,-476000000,1984000000,372000000,259000000,179000000,-17000000,20000000,182000000,253000000,646000000,209000000,264000000,687000000
16,EBITDA ratio,0.0414,0.0868,0.0068,0.1937,0.1890,0.1447,0.1571,0.1353,0.0483,0.0843,-0.0650,-0.1320,-0.1090,0.4180,0.0782,0.0575,0.0401,-0.0040,0.0055,0.0513,0.0720,0.1720,0.0715,0.0943,0.1875
17,Operating Income,83200000,74400000,111000000,649000000,618000000,116000000,-179000000,-183000000,-237000000,281000000,-400000000,-1430000000,-375000000,-160000000,198000000,-30000000,-2000000,-174000000,-219000000,-26000000,49000000,379000000,17000000,99000000,584000000
18,Operating Income ratio,0.0317,0.0345,0.0398,0.1715,0.1631,0.0356,-0.0481,-0.0378,-0.0516,0.0675,-0.1032,-0.2112,-0.0859,-0.0337,0.0416,-0.0067,-0.0004,-0.0409,-0.0601,-0.0073,0.0139,0.1009,0.0058,0.0354,0.1594
19,Total Other Income Expenses (Gains),-209800000,-142900000,-369000000,-277000000,-346000000,-261000000,203000000,-40000000,-276000000,-279000000,-249000000,-613000000,-1307000000,1329000000,-143000000,-44000000,-113000000,-130000000,-37000000,-31000000,-43000000,8000000,-6000000,-38000000,-80000000
20,Income Before Tax,-126600000,-68500000,-258000000,372000000,272000000,-145000000,24000000,-223000000,-513000000,2000000,-649000000,-2043000000,-1682000000,1169000000,55000000,-74000000,-115000000,-304000000,-256000000,-57000000,6000000,387000000,11000000,61000000,504000000
21,Income Before Tax Ratio,-0.0483,-0.0317,-0.0924,0.0983,0.0718,-0.0445,0.0065,-0.0461,-0.1117,0.0005,-0.1674,-0.3017,-0.3852,0.2463,0.0116,-0.0164,-0.0258,-0.0714,-0.0702,-0.0161,0.0017,0.1030,0.0038,0.0218,0.1376
22,Income Tax expense (Gain),-34300000,-16200000,-66000000,127000000,90000000,-115000000,-117000000,-134000000,-233000000,-73000000,-158000000,-92000000,-122000000,-1606000000,16000000,-38000000,524000000,-30000000,-1000000,19000000,84000000,152000000,58000000,51000000,195000000
23,Net Income,-84600000,-23200000,-192000000,245000000,182000000,164000000,139000000,-30000000,-301000000,46000000,-490000000,-2234000000,-1553000000,2614000000,41000000,-2000000,-639000000,-277000000,-257000000,-81000000,-84000000,235000000,-47000000,10000000,307000000
24,Net Income ratio,-0.0323,-0.0107,-0.0688,0.0647,0.0480,0.0504,0.0374,-0.0062,-0.0655,0.0110,-0.1264,-0.3299,-0.3557,0.5508,0.0086,-0.0004,-0.1432,-0.0651,-0.0705,-0.0228,-0.0239,0.0626,-0.0161,0.0036,0.0838
25,EPS,-0.43,-0.10,-1.01,0.64,0.41,0.37,0.32,-0.07,-0.69,0.10,-14.11,-38.79,-26.91,45.30,0.42,-0.02,-6.75,-2.93,-2.78,-0.90,-0.93,2.57,-0.51,0.12,3.87
26,EPS Diluted,-0.43,-0.10,-1.01,0.64,0.41,0.37,0.32,-0.07,-0.69,0.10,-14.11,-38.79,-26.91,27.63,0.42,-0.02,-6.75,-2.93,-2.78,-0.90,-0.93,2.52,-0.51,0.12,3.83
27,Weighted Average Shares Outstanding,196744186,232000000,190600000,384000000,440000000,440000000,440000000,440000000,440000000,440000000,34700000,57600000,57700000,57700000,97100000,97400000,94700000,94600000,92400000,89900000,90500000,91300000,91400000,86100000,79500000
28,Weighted Average Shares Outstanding Diluted,196744186,232000000,197700000,384000000,440000000,440000000,440000000,440000000,440000000,440000000,34700000,57600000,57700000,94600000,97100000,97500000,94700000,94600000,92400000,89900000,90500000,93300000,91400000,86400000,80300000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393066/000095014408002035/0000950144-08-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095014409003734/0000950144-09-003734-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012310030866/0000950123-10-030866-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012311033041/0000950123-11-033041-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312512089258/0001193125-12-089258-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312513087936/0001193125-13-087936-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306614000003/0001393066-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306615000003/0001393066-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306616000017/0001393066-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306617000002/0001393066-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306618000003/0001393066-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306619000002/0001393066-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306620000002/0001393066-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306621000006/0001393066-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306622000021/0001393066-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,93000000,41000000,113000000,58000000,174000000,195000000,192000000,774000000,319000000,369000000,263000000,322000000,337000000,58000000,35000000,6000000,304000000,3000000,113000000,112000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,93000000,41000000,113000000,58000000,174000000,195000000,192000000,774000000,319000000,369000000,263000000,322000000,337000000,58000000,35000000,6000000,304000000,3000000,113000000,112000000
34,Net Receivables,- -,- -,- -,- -,- -,345000000,289000000,398000000,375000000,311000000,754000000,816000000,644000000,854000000,750000000,697000000,634000000,539000000,459000000,441000000,479000000,449000000,349000000,278000000,313000000
35,Inventory,- -,- -,- -,- -,- -,496000000,586000000,606000000,561000000,586000000,906000000,713000000,581000000,438000000,475000000,545000000,529000000,542000000,541000000,570000000,526000000,508000000,522000000,462000000,510000000
36,Other Current Assets,- -,- -,- -,- -,- -,37000000,45000000,51000000,44000000,106000000,287000000,1046000000,173000000,833000000,175000000,114000000,77000000,116000000,53000000,35000000,33000000,43000000,33000000,47000000,54000000
37,Total Current Assets,- -,- -,- -,- -,- -,971000000,961000000,1168000000,1038000000,1177000000,2142000000,2767000000,2172000000,2444000000,1769000000,1619000000,1562000000,1534000000,1111000000,1081000000,1044000000,1304000000,907000000,900000000,989000000
38,PP&E,- -,- -,- -,- -,- -,4535000000,4985000000,4852000000,3663000000,3420000000,5765000000,4460000000,3897000000,2641000000,2502000000,2440000000,2289000000,1985000000,1810000000,1842000000,1716000000,1515000000,1520000000,1501000000,1324000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,1114000000,1113000000,779000000,53000000,53000000,- -,- -,- -,- -,- -,59000000,81000000,81000000,- -,- -,31000000,31000000
40,Intangible Assets,- -,- -,- -,- -,- -,1224000000,1449000000,1539000000,407000000,395000000,1203000000,285000000,473000000,19000000,18000000,69000000,66000000,62000000,105000000,70000000,65000000,50000000,48000000,63000000,57000000
41,Intangible Assets,- -,- -,- -,- -,- -,1224000000,1449000000,1539000000,1521000000,1508000000,1982000000,338000000,526000000,19000000,18000000,69000000,66000000,62000000,164000000,151000000,146000000,50000000,48000000,94000000,88000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,230000000,327000000,356000000,276000000,- -,- -,- -,1736000000,1749000000,2002000000,1266000000,1219000000,982000000,1039000000,1076000000,876000000,915000000,915000000,653000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,216000000,282000000,270000000,339000000,454000000,430000000,507000000,517000000,316000000,260000000,194000000,202000000,121000000,153000000,164000000,165000000,190000000,236000000,320000000,484000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,5975000000,6946000000,6988000000,5879000000,5658000000,8177000000,5305000000,4940000000,4712000000,4529000000,4705000000,3823000000,3387000000,3109000000,3196000000,3103000000,2631000000,2719000000,2830000000,2549000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,6946000000,7907000000,8156000000,6917000000,6835000000,10319000000,8072000000,7112000000,7156000000,6298000000,6324000000,5385000000,4921000000,4220000000,4277000000,4147000000,3935000000,3626000000,3730000000,3538000000
48,Accounts Payable,- -,- -,- -,- -,- -,704000000,814000000,368000000,802000000,674000000,611000000,443000000,249000000,271000000,291000000,368000000,361000000,361000000,324000000,346000000,306000000,299000000,255000000,251000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,953000000,955000000,1191000000,- -,- -,2000000,2000000,1000000,1000000,14000000,1000000,222000000,1000000,2000000,10000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,1000000,915000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,143000000,246000000,927000000,16000000,62000000,614000000,987000000,248000000,586000000,253000000,213000000,204000000,157000000,112000000,107000000,114000000,109000000,94000000,-788000000,421000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,847000000,1060000000,1295000000,818000000,736000000,2178000000,2385000000,1688000000,857000000,544000000,583000000,567000000,519000000,437000000,467000000,421000000,650000000,351000000,380000000,431000000
54,Long-Term Debt,- -,- -,- -,- -,- -,3436000000,3603000000,3617000000,3219000000,3255000000,4695000000,5015000000,274000000,905000000,621000000,532000000,597000000,596000000,590000000,761000000,788000000,416000000,442000000,552000000,351000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,486000000,725000000,749000000,616000000,540000000,230000000,42000000,107000000,72000000,75000000,75000000,26000000,3000000,2000000,2000000,13000000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,172000000,161000000,125000000,132000000,139000000,1167000000,970000000,7012000000,1335000000,1581000000,2018000000,1356000000,1686000000,1246000000,1336000000,1325000000,1334000000,1598000000,1716000000,1239000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,4094000000,4489000000,4491000000,3967000000,3934000000,6092000000,6027000000,7393000000,2312000000,2277000000,2625000000,1979000000,2285000000,1838000000,2099000000,2126000000,1750000000,2040000000,2268000000,1590000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,72000000,73000000,59000000
61,Total Liabilities,- -,- -,- -,- -,- -,4941000000,5549000000,5786000000,4785000000,4670000000,8270000000,8412000000,9081000000,3169000000,2821000000,3208000000,2546000000,2804000000,2275000000,2566000000,2547000000,2400000000,2391000000,2648000000,2021000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,53000000,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,-316000000,-307000000,-401000000,-752000000,-724000000,-598000000,-2838000000,-4391000000,- -,41000000,38000000,-592000000,-869000000,-1126000000,-1207000000,-1294000000,-1198000000,-1245000000,-1235000000,-1009000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1561000000,-2325000000,-3120000000,-3461000000,-3248000000,-144000000,-384000000,-450000000,- -,-311000000,-614000000,-271000000,-718000000,-587000000,-755000000,-780000000,-950000000,-1179000000,-1314000,-1062000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,3882000000,4990000000,5891000000,6345000000,6137000000,2589000000,2693000000,2695000000,3709000000,3687000000,3669000000,3690000000,3693000000,3645000000,3655000000,3673000000,3682000000,3658000000,2317314000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,1961000000,2228000000,2272000000,2065000000,2104000000,1899000000,-476000000,-2091000000,3709000000,3417000000,3093000000,2827000000,2106000000,1932000000,1693000000,1599000000,1534000000,1234000000,1081000000,1514000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,6902000000,7777000000,8058000000,6850000000,6774000000,10169000000,7936000000,6990000000,6878000000,6238000000,6301000000,5373000000,4910000000,4207000000,4259000000,4146000000,3934000000,3625000000,3729000000,3535000000
69,Minority Interest,- -,- -,- -,- -,- -,44000000,130000000,98000000,67000000,61000000,150000000,136000000,122000000,278000000,60000000,23000000,12000000,11000000,13000000,18000000,1000000,1000000,1000000,1000000,3000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,6946000000,7907000000,8156000000,6917000000,6835000000,10319000000,8072000000,7112000000,7156000000,6298000000,6324000000,5385000000,4921000000,4220000000,4277000000,4147000000,3935000000,3626000000,3730000000,3538000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393066/000095014408002035/0000950144-08-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095014409003734/0000950144-09-003734-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012310030866/0000950123-10-030866-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012311033041/0000950123-11-033041-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312512089258/0001193125-12-089258-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312513087936/0001193125-13-087936-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306614000003/0001393066-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306615000003/0001393066-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306616000017/0001393066-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306617000002/0001393066-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306618000003/0001393066-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306619000002/0001393066-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306620000002/0001393066-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306621000006/0001393066-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306622000021/0001393066-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-84600000,-23200000,-192000000,245000000,182000000,164000000,139000000,-30000000,-301000000,46000000,-490000000,-2234000000,-1553000000,2614000000,41000000,-2000000,-639000000,-277000000,-257000000,-81000000,-84000000,235000000,-47000000,10000000,307000000
74,Depreciation and Amortization,227300000,226700000,277000000,361000000,444000000,422000000,562000000,818000000,756000000,378000000,396000000,726000000,602000000,493000000,220000000,233000000,243000000,243000000,237000000,206000000,204000000,212000000,167000000,169000000,164000000
75,Deferred Income Tax,-38500000,-17400000,-82000000,77000000,33000000,-132000000,-121000000,-141000000,-167000000,-58000000,-76000000,-225000000,-118000000,-1600000000,19000000,-35000000,523000000,-36000000,3000000,14000000,80000000,164000000,58000000,51000000,192000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,3000000,3000000,5000000,7000000,6000000,12000000,11000000,15000000,12000000,4000000,5000000,8000000
77,Change in Working Capital,- -,- -,- -,- -,124000000,- -,-223000000,-28000000,347000000,221000000,-477000000,418000000,102000000,1103000000,-362000000,-189000000,-41000000,20000000,-341000000,-60000000,9000000,31000000,-98000000,-36000000,-107000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63000000,159000000,-75000000,87000000,91000000,62000000,106000000,87000000,26000000,-37000000,-19000000,88000000,80000000,-31000000
79,Inventory,- -,- -,10000000,-11000000,-32000000,- -,- -,13000000,6000000,-25000000,-1000000,159000000,101000000,-13000000,-39000000,-21000000,16000000,-31000000,10000000,-37000000,23000000,-46000000,-27000000,44000000,-77000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000
81,Other Working Capital,- -,- -,- -,- -,124000000,124000000,-99000000,-127000000,220000000,441000000,-36000000,382000000,484000000,1587000000,1225000000,1036000000,995000000,1015000000,674000000,614000000,623000000,654000000,556000000,520000000,- -
82,Other Non-Cash Items,139900000,189200000,243000000,112000000,-132000000,-267000000,-310000000,-564000000,-491000000,-388000000,400000000,891000000,1009000000,-2574000000,277000000,254000000,113000000,230000000,484000000,-9000000,-66000000,-219000000,1000000,135000000,84000000
83,Cash Provided by Operating Activities,244100000,375300000,246000000,795000000,651000000,187000000,47000000,55000000,144000000,199000000,-247000000,-420000000,46000000,39000000,198000000,266000000,206000000,186000000,138000000,81000000,158000000,435000000,85000000,334000000,648000000
84,CAPEX,-305700000,-425100000,-208000000,-352000000,-294000000,-136000000,-206000000,-321000000,-152000000,-144000000,-128000000,-186000000,-101000000,-81000000,-97000000,-169000000,-161000000,-193000000,-185000000,-249000000,-164000000,-155000000,-113000000,-78000000,-112000000
85,Acquisitions Net,- -,- -,-216000000,-27000000,-180000000,- -,- -,- -,-11000000,- -,81000000,- -,- -,- -,- -,-10000000,- -,- -,-159000000,-6000000,- -,- -,- -,-172000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-29000000,-24000000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,48000000,2000000,1000000,- -,- -,608000000,- -,325000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,16800000,-169200000,126000000,6000000,10000000,292000000,-12000000,94000000,648000000,37000000,224000000,159000000,-5000000,177000000,17000000,104000000,10000000,32000000,-8000000,-18000000,-28000000,301000000,-49000000,-47000000,-150000000
89,Cash Used for Investing Activites,-288900000,-594300000,-298000000,-373000000,-464000000,127000000,-242000000,-182000000,487000000,-106000000,177000000,-27000000,502000000,96000000,245000000,-75000000,-151000000,-161000000,-352000000,-273000000,-192000000,146000000,-162000000,-297000000,-262000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-599000000,-189000000,-1160000000,-357000000,-198000000,-503000000,-2000000,- -,-1000000,-1000000,-144000000,-271000000,-72000000,-558000000
91,Common Stock Issued,- -,- -,- -,2000000,- -,- -,2000000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-48500000,- -,-33000000,- -,-115000000,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,-67000000,- -,- -,-59000000,- -,- -,- -,-24000000,-30000000,-48000000
93,Dividends Paid,-39900000,-49700000,-53000000,-1164000000,-124000000,- -,-92000000,-61000000,-64000000,-57000000,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,-136000000,- -,- -,-79000000
94,Other Financing Activites,63600000,385000000,93000000,840000000,-13000000,-235000000,229000000,260000000,-622000000,76000000,166000000,1068000000,230000000,588000000,-36000000,-32000000,507000000,-5000000,-3000000,170000000,4000000,-1000000,67000000,180000000,293000000
95,Cash Used/Provided by Financing Activities,23700000,286800000,40000000,-355000000,-137000000,-350000000,139000000,199000000,-685000000,19000000,166000000,444000000,34000000,-572000000,-393000000,-297000000,4000000,-7000000,-62000000,169000000,3000000,-281000000,-228000000,78000000,-392000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-1000000,3000000,-3000000,-16000000,-4000000,-3000000,4000000,- -,- -,- -,- -,- -,- -,- -,-3000000,-3000000,- -,2000000,-4000000,2000000,2000000,-1000000
97,Net Change In Cash,23700000,286800000,-11000000,66000000,54000000,-39000000,-72000000,69000000,-58000000,116000000,96000000,-3000000,582000000,-437000000,50000000,-106000000,59000000,15000000,-279000000,-23000000,-29000000,296000000,-303000000,117000000,-7000000
98,Cash at the End of Period,- -,- -,93000000,82000000,131000000,93000000,41000000,113000000,58000000,174000000,195000000,192000000,774000000,319000000,369000000,263000000,322000000,337000000,58000000,35000000,6000000,345000000,42000000,159000000,152000000
99,Cash at the Beginning of Period,53200000,29700000,104000000,16000000,77000000,132000000,113000000,44000000,116000000,58000000,99000000,195000000,192000000,756000000,319000000,369000000,263000000,322000000,337000000,58000000,35000000,49000000,345000000,42000000,159000000
100,Free Cash Flow,-61600000,-49800000,38000000,443000000,357000000,51000000,-159000000,-266000000,-8000000,55000000,-375000000,-606000000,-55000000,-42000000,101000000,97000000,45000000,-7000000,-47000000,-168000000,-6000000,280000000,-28000000,256000000,536000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393066/000095014408002035/0000950144-08-002035-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095014409003734/0000950144-09-003734-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012310030866/0000950123-10-030866-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000095012311033041/0000950123-11-033041-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312512089258/0001193125-12-089258-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000119312513087936/0001193125-13-087936-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306614000003/0001393066-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306615000003/0001393066-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306616000017/0001393066-16-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306617000002/0001393066-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306618000003/0001393066-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306619000002/0001393066-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306620000002/0001393066-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306621000006/0001393066-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1393066/000139306622000021/0001393066-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
