,https://roic.ai/company/CETXP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-67075,324629,299540,-978457,1126947,765621,357990,3661366,4107748,9053839,8571125,-6410763,-15901033,-4274642,-2305167
16,EBITDA ratio,-0.0115,0.0487,0.0430,-0.2961,0.0821,0.0630,0.0262,0.0768,0.0722,0.0966,0.0711,-0.0713,-0.4050,-0.0982,-0.0534
17,Operating Income,-116229,245400,266244,-1001712,1104005,746756,346847,3013196,2501024,5063898,5115678,-10900665,-7447350,-4033505,-8741820
18,Operating Income ratio,-0.0199,0.0368,0.0382,-0.3032,0.0804,0.0614,0.0254,0.0632,0.0440,0.0540,0.0424,-0.1212,-0.1897,-0.0927,-0.2027
19,Total Other Income Expenses (Gains),-7336,-127322,-107789,-26970,-93123,-42075,-45850,-283348,338009,1020319,-610115,275047,-5190987,-2786424,9511032
20,Income Before Tax,-123565,118078,158455,-1028682,1010882,704681,300997,2729848,2839033,6084217,4505563,-10625618,-12638337,-6819929,769212
21,Income Before Tax Ratio,-0.0211,0.0177,0.0227,-0.3113,0.0736,0.0579,0.0220,0.0573,0.0499,0.0649,0.0374,-0.1181,-0.3219,-0.1567,0.0178
22,Income Tax expense (Gain),- -,46050,3445,- -,- -,2483,12500,60962,917,1090172,115648,-2599868,-1335584,-2073835,375434
23,Net Income,-123565,118078,155010,-1028682,1010882,702198,288497,2668886,2838116,4994045,4389915,-9240409,-22364941,-9706659,-7807995
24,Net Income ratio,-0.0211,0.0177,0.0222,-0.3113,0.0736,0.0577,0.0211,0.0560,0.0499,0.0533,0.0364,-0.1027,-0.5696,-0.2230,-0.1810
25,EPS,-0.03,0.03,0.03,-0.23,0.22,0.15,0.06,0.59,0.62,1.09,0.96,-2.03,-4.90,-1.28,0.00
26,EPS Diluted,-0.03,0.03,0.03,-0.23,0.22,0.15,0.06,0.59,0.62,1.09,0.96,-2.03,-4.90,-1.28,0.00
27,Weighted Average Shares Outstanding,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830
28,Weighted Average Shares Outstanding Diluted,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830,4560830
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1435064/000149315221000157/0001493152-21-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315222001976/0001493152-22-001976-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,143830,60610,356552,41139,415369,333045,66963,146095,1486737,6045521,10442857,973772,1769994,19490061,15426976
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,559815,- -,- -,- -,- -,412730,887746,14981
33,Cash and Short-Term Investments,143830,60610,356552,41139,415369,333045,66963,705910,1486737,6045521,10442857,973772,2182724,20377807,15441957
34,Net Receivables,780474,1528231,948815,731968,261549,647941,1847636,4038340,4771044,13568727,15461139,14110875,8399374,6686797,9298051
35,Inventory,252443,456567,334102,387628,317896,250844,159348,6270327,6369516,14071627,17271882,11354458,5207155,6793806,5657287
36,Other Current Assets,4225,8100,14650,4022,263174,393808,432131,531262,893792,3240863,3252759,5475159,3088356,4203324,4344999
37,Total Current Assets,1180972,2053508,1654119,1164757,1257988,1625638,2506078,11545839,13521089,36926738,46428637,31914264,18877609,38061734,34742294
38,PP&E,61723,180519,85138,62273,39331,20466,9323,7399096,8142523,17647888,20118311,27300654,16776552,12287316,9679071
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,845000,845000,918819,3322818,3322818,4370894,4370894,7821283
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,845000,845000,918819,3322818,3322818,4370894,4370894,7821283
42,Investments,- -,- -,- -,- -,- -,80000,- -,- -,- -,- -,- -,1699271,- -,- -,500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2282867,- -,- -
44,Other Non-Current Assets,22024,4225,4225,4225,1131800,6270,358375,52428,35630,540064,311607,3093607,2084775,9067528,197240
45,Total Non-Current Assets,83747,184744,89363,66498,1171131,106736,367698,8296524,9023153,19106771,23752736,35416350,25515088,25725738,18197594
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1264719,2238252,1743482,1231255,2429119,1732374,2873776,19842363,22544242,56033509,70181373,67330614,44392697,63787472,52939888
48,Accounts Payable,914907,940071,876799,911840,650401,320709,571485,2721705,4386578,7733459,6945153,7068005,4236945,2857817,4235002
49,Short-Term Debt,8983,467171,- -,250000,- -,- -,- -,- -,3403711,7202913,4686218,- -,- -,721036,830791
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,62032,73746,1305696,2104197,565513,419541,89318,448194
51,Deferred Revenue,- -,- -,- -,- -,15600,- -,- -,- -,- -,1387139,463022,1021209,1466877,1651784,2067140
52,Other Current Liabilities,534156,906259,387877,191382,148454,38522,63625,1192237,1036896,8831281,7967807,13813154,9933439,9545975,12520469
53,Total Current Liabilities,1458046,2313501,1264676,1353222,814455,359231,635110,3913942,8827185,25154792,20062200,21902368,15637261,14776612,19653402
54,Long-Term Debt,1300000,1300000,390520,794429,- -,- -,1107484,12284912,6591488,15092759,9235868,8051652,5058187,- -,8424672
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489535,- -,467967
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,1891000,2051847,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,1520178,476458,- -,- -,- -,- -,- -,44081,1241610,2289725,839171
58,Total Non-Current Liabilities,1300000,1300000,390520,794429,1520178,476458,1107484,12284912,6591488,15186759,11126868,10147580,6789332,2289725,9731810
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44081,20061,2748442,2848199
61,Total Liabilities,2758046,3613501,1655196,2147651,2334633,835689,1742594,16198854,15418673,40341551,31189068,32049948,22426593,17066337,29385212
62,Preferred Stock,- -,- -,1000,1000,1000,1000,1000,1000,1000,1000,2824,2914,3111,3257,1935
63,Common Stock,34328,34328,39723,39823,39823,40599,40599,40599,7158,9460,10404,12973,3963,17623,20782
64,Retained Earnings,-268131,-150053,4957,-1023725,-12843,689356,923853,3592739,6430855,11424900,14418245,4262756,-20067685,- -,-41908062
65,Other Comprehensive Income/Loss,- -,-72483,-95024,-104437,-127379,-146244,-157387,-156559,-333888,-974147,-133492,-483297,796004,853643,2896452
66,Other Total Stockholders Equity,-1259524,-1187041,137630,170943,193885,311974,323117,165730,1020444,5230745,24694324,31485320,40344837,29992355,61579543
67,Total Stockholders Equity,-1493327,-1375249,88286,-916396,94486,896685,1131182,3643509,7125569,15691958,38992305,35280666,21080230,30866878,22590650
68,Total Liabilities And Stockholders Equity,1264719,2238252,1743482,1231255,2429119,1732374,2873776,19842363,22544242,56033509,70181373,67330614,43506823,47933215,51975862
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,885874,15854257,964026
70,Total Liabilities & Equity,1264719,2238252,1743482,1231255,2429119,1732374,2873776,19842363,22544242,56033509,70181373,67330614,44392697,63787472,52939888
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1435064/000149315221000157/0001493152-21-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315222001976/0001493152-22-001976-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-123565,118078,155010,-1028682,1010882,702198,288497,2668886,2838116,4994045,4389915,-9240409,-22364941,-9706659,-7807995
74,Depreciation and Amortization,12708,33143,33296,23255,22942,18865,11143,494654,772434,2296010,3141610,4181120,3013986,2898399,2206049
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,102000,-539999,-2806682,-1335584,- -,375434
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,57257,51896,67500,408001,622232,191416,156418
77,Change in Working Capital,913782,17081,649436,-577908,631998,822874,604561,5760929,-2937993,7078042,14594491,-16354541,-6771548,20044774,-3827389
78,Accounts Receivable,-200713,-747757,579416,216847,397815,-48606,-1199695,-1836554,-732704,-5585686,-1892412,1350264,3020836,37390,-1022203
79,Inventory,-52498,-204124,122465,-53526,69732,67053,37496,-6110979,-99189,764640,-3200255,5317577,1341569,636981,-670838
80,Accounts Payable,643862,25164,8970,35041,-261439,-329692,250776,2150220,1664873,1376793,-788306,-42259,-2114250,-846340,-512138
81,Other Working Capital,-277074,-259993,389443,-188465,443533,1266407,1870968,7631897,4693904,11771946,26366437,10011896,3240348,23285122,540292
82,Other Non-Cash Items,- -,-557771,-463517,614403,-1767341,-600496,-1527159,-11266733,3305649,-6626782,-20545790,21010175,30771329,-16708092,-1153682
83,Cash Provided by Operating Activities,802925,-389469,374225,-968932,-101519,943441,-622958,-2342264,4035463,7895211,1107727,-2802336,3935474,-3280162,-10051165
84,CAPEX,-13923,-151939,-10157,-390,- -,- -,- -,-7884427,-1515861,-663834,-5677666,-12207320,-1659480,-1566014,-1069283
85,Acquisitions Net,-700000,- -,- -,- -,- -,- -,- -,- -,- -,-16482882,- -,- -,- -,- -,-1575428
86,Purchases of Investments,- -,- -,- -,- -,- -,-80000,- -,-1404815,- -,- -,- -,- -,-398291,-475016,-7991709
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,559815,- -,- -,- -,- -,- -,11477321
88,Other Investing Activites,- -,- -,- -,- -,- -,-2045,- -,- -,- -,- -,-1278961,- -,8897541,2805582,- -
89,Cash Used for Investing Activites,-713923,-151939,-10157,-390,- -,-82045,- -,-9289242,-956046,-17146716,-6956627,-12207320,6839770,764552,840901
90,Debt Repayment,-354017,- -,-76651,- -,-305938,- -,- -,- -,-3776791,-2141661,-2042429,-2030064,-1879680,-22718,-3501353
91,Common Stock Issued,378500,- -,8525,- -,- -,100000,- -,- -,- -,- -,- -,- -,957784,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-273092,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-528637,- -,- -,- -,- -
94,Other Financing Activites,- -,458188,- -,653909,781687,-1043720,356876,11710638,2038016,15951950,12817302,7380903,-10662359,21543703,7947285
95,Cash Used/Provided by Financing Activities,24483,458188,-68126,653909,475749,-943720,356876,11710638,-1738775,13810289,10246236,5350839,-11857347,21520985,4445932
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1624253,- -,880834
97,Net Change In Cash,113485,-83220,295942,-315413,374230,-82324,-266082,79132,1340642,4558784,4397336,-9658817,542150,18214774,-3883498
98,Cash at the End of Period,143830,60610,356552,41139,415369,333045,66963,146095,1486737,6045521,10442857,2315935,2858085,21072859,17186323
99,Cash at the Beginning of Period,30345,143830,60610,356552,41139,415369,333045,66963,146095,1486737,6045521,11974752,2315935,2858085,21069821
100,Free Cash Flow,789002,-541408,364068,-969322,-101519,943441,-622958,-10226691,2519602,7231377,-4569939,-15009656,2275994,-4846176,-11120448
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1435064/000149315221000157/0001493152-21-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1435064/000149315222001976/0001493152-22-001976-index.htm
102,false,,,,,,,,,,,,,,,
