,https://roic.ai/company/KPTI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,2000,3000,69000,895000,1294000,1617000,1502000,-10275000,-24114000,-25549000
20,Income Before Tax,-10311000,-15888000,-33947000,-75777000,-118181000,-109438000,-128921000,-178381000,-199550000,-195964000,-123820000
21,Income Before Tax Ratio,-67.8355,-25.0599,-87.7183,-330.9039,-472.7240,-710.6364,-80.3246,-5.8802,-4.8798,-1.8131,-0.5901
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,139000,63000,26000,40000,309000,268000
23,Net Income,-10311000,-15888000,-33947000,-75777000,-118181000,-109577000,-128984000,-178407000,-199590000,-196273000,-124088000
24,Net Income ratio,-67.8355,-25.0599,-87.7183,-330.9039,-472.7240,-711.5390,-80.3639,-5.8810,-4.8808,-1.8159,-0.5914
25,EPS,-1.05,-2.74,-5.59,-2.43,-3.32,-2.92,-2.81,-3.14,-3.22,-2.72,-1.65
26,EPS Diluted,-1.05,-2.74,-5.59,-2.43,-3.32,-2.92,-2.81,-3.14,-3.22,-2.72,-1.65
27,Weighted Average Shares Outstanding,9796943,5799420,6067679,31135694,35619506,37523051,45899784,56799699,61955420,72044000,75218000
28,Weighted Average Shares Outstanding Diluted,9796943,5799420,6067679,31135694,35619506,37523051,45899784,56799699,61955420,72044000,75218000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503802/000104746914002800/0001047469-14-002800-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312515091264/d824483d10k.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312516505181/0001193125-16-505181-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312517084396/0001193125-17-084396-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312518084024/0001193125-18-084024-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312519057610/0001193125-19-057610-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312520049115/0001193125-20-049115-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312521054811/0001193125-21-054811-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000095017022002548/0000950170-22-002548-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,6512000,391000,155974000,150609000,58358000,49663000,68997000,118021000,128858000,85918000,- -
32,Short-Term Investments,- -,- -,- -,55115000,117275000,79889000,77472000,210178000,133098000,163322000,- -
33,Cash and Short-Term Investments,6512000,391000,155974000,205724000,175633000,129552000,146469000,328199000,261956000,249240000,228615000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,7862000,12881000,22497000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,346000,2644000,- -
36,Other Current Assets,354000,563000,1982000,2027000,1967000,2084000,1954000,6413000,8406000,11766000,6986000
37,Total Current Assets,6866000,954000,157956000,207751000,177600000,131636000,148423000,334612000,278570000,276531000,258098000
38,PP&E,328000,327000,240000,2754000,3483000,2836000,2185000,3863000,13663000,11582000,1642000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,8658000,33878000,45434000,29396000,2001000,2016000,24215000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,30000,30000,30000,1174000,482000,479000,290000,716000,714000,722000,45565000
45,Total Non-Current Assets,358000,357000,270000,12586000,37843000,48749000,31871000,6580000,16393000,36519000,47207000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7224000,1311000,158226000,220337000,215443000,180385000,180294000,341192000,294963000,313050000,305305000
48,Accounts Payable,1142000,1076000,1740000,6288000,3808000,4751000,5665000,4332000,985000,4450000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1646000,1917000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,200000,66000,79000,- -,- -,- -,21921000,9362000,2341000,297000,- -
52,Other Current Liabilities,775000,788000,1473000,6013000,11324000,11725000,21881000,33210000,41378000,53539000,- -
53,Total Current Liabilities,2117000,1930000,3292000,12301000,15132000,16476000,49467000,46904000,46350000,60203000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,102664000,109857000,129213000,169293000
55,Deferred Revenue,- -,- -,384000,- -,- -,- -,- -,4532000,2192000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,17758000,27258000,- -,1242000,1946000,1666000,1363000,3922000,86790000,73088000,215685000
58,Total Non-Current Liabilities,17758000,27258000,- -,1242000,1946000,1666000,1363000,111118000,198839000,202301000,384978000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,14848000,13202000,- -
61,Total Liabilities,19875000,29188000,3292000,13543000,17078000,18142000,50830000,158022000,245189000,262504000,384978000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3000,3000,4000,4000,5000,6000,7000,7000,- -
64,Retained Earnings,-12734000,-28622000,-62569000,-138346000,-256527000,-366104000,-495341000,-673748000,-873338000,-1069611000,- -
65,Other Comprehensive Income/Loss,-84000,-206000,-350000,-29000,-282000,-274000,-217000,-244000,-37000,518000,- -
66,Other Total Stockholders Equity,167000,951000,217850000,345166000,455170000,528617000,625017000,857156000,923142000,1119632000,- -
67,Total Stockholders Equity,-12651000,-27877000,154934000,206794000,198365000,162243000,129464000,183170000,49774000,50546000,-79673000
68,Total Liabilities And Stockholders Equity,7224000,1311000,158226000,220337000,215443000,180385000,180294000,341192000,294963000,313050000,305305000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7224000,1311000,158226000,220337000,215443000,180385000,180294000,341192000,294963000,313050000,305305000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503802/000104746914002800/0001047469-14-002800-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312515091264/d824483d10k.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312516505181/0001193125-16-505181-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312517084396/0001193125-17-084396-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312518084024/0001193125-18-084024-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312519057610/0001193125-19-057610-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312520049115/0001193125-20-049115-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312521054811/0001193125-21-054811-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000095017022002548/0000950170-22-002548-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-10311000,-15888000,-33947000,-75777000,-118181000,-109577000,-128984000,-178407000,-199590000,-196273000,-124088000
74,Depreciation and Amortization,83000,122000,144000,323000,634000,717000,713000,735000,974000,972000,789000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,24000,653000,3785000,14240000,17057000,22283000,20405000,17275000,15291000,24407000,29783000
77,Change in Working Capital,1655000,-5725000,155640000,40786000,-32982000,-47308000,-16204000,188752000,-55488000,1356000,-23189000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-7862000,-5019000,-9616000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-346000,-2627000,-1462000
80,Accounts Payable,1131000,-66000,664000,4496000,-2426000,945000,909000,-1380000,-3301000,3465000,-2847000
81,Other Working Capital,4749000,-976000,154664000,195450000,162468000,115160000,98956000,287708000,232220000,-4236000,-297000
82,Other Non-Cash Items,- -,5329000,-155912000,-31019000,39443000,49494000,50353000,-187472000,47991000,9304000,9589000
83,Cash Provided by Operating Activities,-8549000,-15509000,-30290000,-51447000,-94029000,-84391000,-73717000,-159117000,-190822000,-160234000,-107116000
84,CAPEX,-376000,-121000,-57000,-2834000,-1416000,-70000,-62000,-2363000,-206000,-145000,-5712000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-63797000,-305192000,-134700000,-98374000,-242811000,-178489000,-274577000,-45228000
87,Sales/Maturities of Investments,- -,- -,- -,- -,215867000,159365000,115544000,137510000,257145000,221037000,192780000
88,Other Investing Activites,- -,- -,- -,-400000,-82000,- -,- -,- -,- -,- -,-5500000
89,Cash Used for Investing Activites,-376000,-121000,-57000,-67031000,-90823000,24595000,17108000,-107664000,78450000,-53685000,141840000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,12000,9000,113155000,112837000,92084000,50573000,74885000,145705000,46191000,161776000,9903000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,11980000,9500000,72775000,284000,616000,591000,858000,170404000,78114000,10307000,63745000
95,Cash Used/Provided by Financing Activities,11992000,9509000,185930000,113121000,92700000,51164000,75743000,316109000,124305000,172083000,73648000
96,Effect of Forex Changes on Cash,- -,- -,- -,-8000,-99000,-63000,200000,-78000,19000,268000,-48000
97,Net Change In Cash,3067000,-6121000,155583000,-5365000,-92251000,-8695000,19334000,49250000,11952000,-41568000,108324000
98,Cash at the End of Period,6512000,391000,155974000,150609000,58358000,49663000,68997000,118737000,130689000,89121000,197445000
99,Cash at the Beginning of Period,3445000,6512000,391000,155974000,150609000,58358000,49663000,69487000,118737000,130689000,89121000
100,Free Cash Flow,-8925000,-15630000,-30347000,-54281000,-95445000,-84461000,-73779000,-161480000,-191028000,-160379000,-112828000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503802/000104746914002800/0001047469-14-002800-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312515091264/d824483d10k.htm,https://www.sec.gov/Archives/edgar/data/1503802/000119312516505181/0001193125-16-505181-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312517084396/0001193125-17-084396-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312518084024/0001193125-18-084024-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312519057610/0001193125-19-057610-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312520049115/0001193125-20-049115-index.html,https://www.sec.gov/Archives/edgar/data/1503802/000119312521054811/0001193125-21-054811-index.htm,https://www.sec.gov/Archives/edgar/data/1503802/000095017022002548/0000950170-22-002548-index.htm
102,false,,,,,,,,,,,
