,https://roic.ai/company/SBET,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025561/000117891309000816/0001178913-09-000816-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891310000889/0001178913-10-000889-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891311001019/0001178913-11-001019-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891312000807/0001178913-12-000807-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891313000791/0001178913-13-000791-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891314000915/zk1414571.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891315001023/zk1516471.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891316004879/0001178913-16-004879-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891317000941/0001178913-17-000941-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891318001351/zk1821484.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891319001091/zk1922851.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891320000941/0001178913-20-000941-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9062000,8684000,3814000,3191000,1474000,1437000,2009000,2173000,2124000,3269000,4190000,6369000,4864000,3444000,1508000,1328000,1150000,1732000,1504000
32,Short-Term Investments,1153000,1644000,1057000,132000,259000,169000,196000,227000,147000,127000,139000,153000,136000,134000,136000,- -,- -,- -,- -
33,Cash and Short-Term Investments,10215000,10328000,4871000,3323000,1733000,1606000,2205000,2400000,2271000,3396000,4329000,6522000,5000000,3578000,1644000,1328000,1150000,1732000,1504000
34,Net Receivables,1770000,1957000,1739000,2129000,3137000,1795000,1674000,977000,1425000,942000,1076000,1090000,589000,4485000,5305000,1686000,649000,560000,430000
35,Inventory,240000,193000,178000,181000,138000,66000,112000,39000,17000,5000,15000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,361000,161000,271000,- -,180000,- -,45000,559000,63000,713000,374000,847000,1107000,1587000,1811000,1557000
37,Total Current Assets,12225000,12478000,6788000,5994000,5169000,3738000,3991000,3596000,3713000,4388000,5979000,7675000,6302000,8437000,7796000,4121000,3386000,4103000,3491000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000
39,Goodwill,- -,- -,- -,- -,4058000,2796000,3479000,3479000,3479000,3479000,3479000,3479000,3479000,8298000,3479000,3479000,3479000,3225000,1502000
40,Intangible Assets,2385000,2231000,4809000,4693000,1639000,805000,2198000,1807000,1415000,1050000,759000,567000,389000,4461000,63000,42000,21000,- -,- -
41,Intangible Assets,2385000,2231000,4809000,4693000,5697000,3601000,5677000,5286000,4894000,4529000,4238000,4046000,3868000,12759000,3542000,3521000,3500000,3225000,1502000
42,Investments,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,161000,105000,73000,115000,112000,123000,40000,35000,33000,31000,- -,- -,- -,- -,- -,- -,- -,- -,171000
44,Other Non-Current Assets,2936000,3368000,3653000,3014000,76000,1016000,914000,973000,967000,786000,907000,908000,722000,828000,950000,1004000,601000,715000,252000
45,Total Non-Current Assets,5482000,5704000,8535000,7822000,8885000,4740000,6631000,6294000,5894000,5346000,5145000,4954000,4590000,13587000,4492000,4525000,4101000,3940000,1960000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17707000,18182000,15323000,13816000,14054000,8478000,10622000,9890000,9607000,9734000,11124000,12629000,10892000,22024000,12288000,8646000,7487000,8043000,5451000
48,Accounts Payable,350000,393000,719000,735000,510000,447000,712000,432000,305000,326000,279000,254000,254000,3297000,4086000,1288000,164000,149000,114000
49,Short-Term Debt,8000,8000,- -,- -,421000,606000,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1184000,1219000,1254000,888000,1545000,1390000,2323000,2741000,2452000,2025000,1648000,1766000,1706000,1826000,1374000,1744000,1053000,962000,745000
52,Other Current Liabilities,1439000,1421000,2042000,2306000,2507000,3309000,2638000,2531000,2436000,2789000,2828000,2562000,2534000,3752000,3888000,2683000,2964000,2833000,2265000
53,Total Current Liabilities,2981000,3041000,4015000,3929000,4983000,5752000,5718000,5704000,5193000,5140000,4755000,4582000,4494000,8875000,9348000,5715000,4181000,3944000,3124000
54,Long-Term Debt,8000,- -,- -,- -,583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,54000,578000,166000,146000,181000,163000,- -
57,Other Non-Current Liabilities,705000,677000,651000,713000,946000,1157000,1105000,1071000,1051000,762000,800000,857000,712000,6422000,914000,1073000,722000,831000,306000
58,Total Non-Current Liabilities,713000,677000,651000,713000,1529000,1157000,1105000,1071000,1051000,762000,800000,886000,766000,7000000,1080000,1219000,903000,994000,306000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,3694000,3718000,4666000,4642000,6512000,6909000,6823000,6775000,6244000,5902000,5555000,5468000,5260000,15875000,10428000,6934000,5084000,4938000,3430000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15000,14000,14000,17000,17000,17000,26000,13000,13000,13000,13000,13000,13000,21000,23000,25000,27000,30000,37000
64,Retained Earnings,1693000,1780000,-2347000,-6563000,-8809000,-14632000,-15592000,-16469000,-16293000,-15906000,-14540000,-13134000,-14744000,-19483000,-24704000,-26472000,-27412000,-27547000,-29362000
65,Other Comprehensive Income/Loss,-2575000,-2778000,-2989000,-3205000,-3449000,-3534000,-1588000,-1668000,-558000,-640000,-742000,-866000,-951000,-1057000,-1148000,-1207000,-1209000,-631000,-663000
66,Other Total Stockholders Equity,14880000,15448000,15979000,18925000,19783000,19718000,20953000,21239000,20201000,20365000,20838000,21148000,21314000,26668000,27689000,29366000,30997000,31253000,32009000
67,Total Stockholders Equity,14013000,14464000,10657000,9174000,7542000,1569000,3799000,3115000,3363000,3832000,5569000,7161000,5632000,6149000,1860000,1712000,2403000,3105000,2021000
68,Total Liabilities And Stockholders Equity,17707000,18182000,15323000,13816000,14054000,8478000,10622000,9890000,9607000,9734000,11124000,12629000,10892000,22024000,12288000,8646000,7487000,8043000,5451000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17707000,18182000,15323000,13816000,14054000,8478000,10622000,9890000,9607000,9734000,11124000,12629000,10892000,22024000,12288000,8646000,7487000,8043000,5451000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025561/000117891309000816/0001178913-09-000816-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891310000889/0001178913-10-000889-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891311001019/0001178913-11-001019-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891312000807/0001178913-12-000807-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891313000791/0001178913-13-000791-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891314000915/zk1414571.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891315001023/zk1516471.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891316004879/0001178913-16-004879-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891317000941/0001178913-17-000941-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891318001351/zk1821484.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891319001091/zk1922851.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891320000941/0001178913-20-000941-index.html,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,130000,87000,-4127000,-4216000,-2246000,-5823000,-960000,-877000,176000,387000,1366000,1406000,-1610000,-4739000,-5221000,-1768000,-1170000,-135000,-1815000
74,Depreciation and Amortization,501000,401000,399000,655000,675000,651000,368000,540000,489000,447000,393000,316000,284000,868000,1106000,124000,82000,79000,32000
75,Deferred Income Tax,29000,23000,33000,10000,3000,-18000,104000,5000,2000,2000,-340000,400000,25000,41000,-514000,- -,35000,-18000,-334000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,104000,159000,99000,67000,44000,107000,69000,190000,223000,1000,90000,47000,21000
77,Change in Working Capital,-171000,-195000,1230000,-1155000,-127000,1770000,835000,788000,-816000,291000,-662000,-8000,-160000,-1661000,-596000,927000,-919000,-300000,-995000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,719000,-61000,-259000,461000,-390000,153000,364000,430000,-820000,3923000,-40000,105000,92000
79,Inventory,82000,47000,15000,-3000,43000,72000,-35000,69000,22000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-136000,-154000,-106000,21000,-47000,-25000,- -,1676000,789000,-2798000,-144000,-15000,-35000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,55000,150000,- -,-45000,-368000,96000,-645000,-2237000,-725000,-214000,-819000,-178000,-341000
82,Other Non-Cash Items,- -,-153000,-156000,289000,86000,2805000,-420000,-57000,-21000,-76000,6000,-74000,-90000,6119000,4276000,48000,341000,179000,1697000
83,Cash Provided by Operating Activities,489000,163000,-2621000,-4417000,-1609000,-615000,31000,558000,-71000,1118000,807000,2147000,-1482000,818000,-726000,-668000,-1541000,-148000,-1394000
84,CAPEX,-166000,-171000,-293000,-251000,-107000,-95000,-454000,-130000,-87000,-87000,-188000,-62000,-41000,-519000,-509000,-53000,-14000,-60000,-5000
85,Acquisitions Net,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,-2000000,-1000000,- -,- -,- -,- -
86,Purchases of Investments,-1988000,-969000,-220000,-163000,-321000,-212000,-200000,-211000,-170000,-49000,-74000,-80000,-153000,-104000,-86000,-56000,- -,- -,- -
87,Sales/Maturities of Investments,4651000,593000,891000,1089000,208000,1344000,180000,196000,267000,40000,71000,84000,157000,98000,85000,197000,- -,- -,- -
88,Other Investing Activites,312000,121000,-2608000,218000,-986000,-1061000,639000,-199000,12000,123000,2000,- -,- -,-675000,-780000,- -,-1000,- -,- -
89,Cash Used for Investing Activites,2809000,-426000,-2230000,893000,-1206000,976000,165000,-344000,22000,27000,-189000,-58000,-37000,-2789000,-1910000,88000,-15000,-60000,-5000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-583000,-45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,2000,2906000,94000,- -,937000,- -,- -,- -,- -,- -,- -,500000,700000,400000,1541000,790000,710000
92,Common Stock Repurchased,-172000,-147000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-51000,43000,-8000,- -,1004000,-398000,22000,-5000,- -,- -,303000,90000,14000,51000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-223000,-104000,-15000,2906000,1098000,-398000,376000,-50000,- -,- -,303000,90000,14000,551000,700000,400000,1541000,790000,710000
96,Effect of Forex Changes on Cash,- -,-11000,-4000,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3075000,-378000,-4870000,-623000,-1717000,-37000,572000,164000,-49000,1145000,921000,2179000,-1505000,-1420000,-1936000,-180000,-15000,582000,-689000
98,Cash at the End of Period,9062000,8684000,3814000,3191000,1474000,1437000,2009000,2173000,2124000,3269000,4190000,6369000,4864000,3444000,1508000,1328000,1150000,1732000,2507000
99,Cash at the Beginning of Period,5987000,9062000,8684000,3814000,3191000,1474000,1437000,2009000,2173000,2124000,3269000,4190000,6369000,4864000,3444000,1508000,1165000,1150000,3196000
100,Free Cash Flow,323000,-8000,-2914000,-4668000,-1716000,-710000,-423000,428000,-158000,1031000,619000,2085000,-1523000,299000,-1235000,-721000,-1555000,-208000,-1399000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1025561/000117891309000816/0001178913-09-000816-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891310000889/0001178913-10-000889-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891311001019/0001178913-11-001019-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891312000807/0001178913-12-000807-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891313000791/0001178913-13-000791-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891314000915/zk1414571.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891315001023/zk1516471.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891316004879/0001178913-16-004879-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891317000941/0001178913-17-000941-index.html,https://www.sec.gov/Archives/edgar/data/1025561/000117891318001351/zk1821484.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891319001091/zk1922851.htm,https://www.sec.gov/Archives/edgar/data/1025561/000117891320000941/0001178913-20-000941-index.html,- -
102,false,,,,,,,,,,,,,,,,,,,
