,https://roic.ai/company/TPB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,- -,- -,-13200000,-25700000,-41600000,43903000,6209000,53101000,42814000,46706000,49770000,37249000,48074000,91611000
16,EBITDA ratio,- -,- -,- -,-0.0756,-0.1363,-0.2228,0.2271,0.0310,0.2692,0.2076,0.1634,0.1496,0.1029,0.1187,0.2056
17,Operating Income,- -,- -,- -,39700000,44700000,44500000,43412000,48056000,44511000,43585000,49500000,48484000,26859000,64073000,90321000
18,Operating Income ratio,- -,- -,- -,0.2275,0.2371,0.2384,0.2246,0.2399,0.2257,0.2113,0.1732,0.1457,0.0742,0.1582,0.2028
19,Total Other Income Expenses (Gains),- -,- -,- -,-26500000,-35200000,-43100000,-44535000,-77091000,-34284000,-28677000,-22567000,-16910000,-11041000,-21017000,-25019000
20,Income Before Tax,- -,- -,- -,13200000,9500000,1400000,-1123000,-29035000,10227000,14908000,26933000,31574000,15818000,43056000,65302000
21,Income Before Tax Ratio,- -,- -,- -,0.0756,0.0504,0.0075,-0.0058,-0.1449,0.0518,0.0723,0.0942,0.0949,0.0437,0.1063,0.1466
22,Income Tax expense (Gain),- -,- -,- -,-3100000,1100000,1000000,486000,370000,1078000,-12005000,7280000,6285000,2044000,10015000,14040000
23,Net Income,- -,- -,- -,16300000,8400000,400000,-1609000,-29405000,16680000,26913000,20209000,25289000,13774000,33041000,52059000
24,Net Income ratio,- -,- -,- -,0.0934,0.0446,0.0021,-0.0083,-0.1468,0.0846,0.1305,0.0707,0.0760,0.0381,0.0816,0.1169
25,EPS,- -,- -,- -,0.89,0.46,0.02,-0.10,-1.89,1.07,1.63,1.06,1.31,0.70,1.70,2.68
26,EPS Diluted,- -,- -,- -,0.89,0.46,0.02,-0.10,-1.89,1.00,1.49,1.04,1.28,0.69,1.67,2.64
27,Weighted Average Shares Outstanding,- -,- -,- -,18300000,18300000,18300000,15544900,15544900,15544900,16470352,18989177,19355607,19627093,19398474,19398474
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,18300000,18300000,18300000,16701206,16701206,16701206,18015545,19513008,19827562,20037540,19734633,19734633
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290677/000156761917000434/0001567619-17-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036118012639/0001140361-18-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119004508/0001140361-19-004508-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120005641/0001140361-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/0001140361-21-005505-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036122009150/0001140361-22-009150-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3700000,14600000,22400000,35379000,8467000,4835000,2865000,2607000,3306000,95250000,41765000,128320000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,3700000,14600000,22400000,35379000,8467000,4835000,2865000,2607000,3306000,95250000,41765000,128320000
34,Net Receivables,- -,- -,- -,- -,- -,- -,3211000,2533000,3940000,2181000,3248000,2617000,6906000,9331000,6496000
35,Inventory,- -,- -,- -,- -,- -,- -,62376000,46371000,44339000,62185000,63296000,91237000,70979000,79750000,87607000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,10508000,10887000,10838000,11625000,10342000,14694000,16115000,26451000,26746000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,111474000,68258000,63952000,78856000,79493000,111854000,189250000,157297000,249169000
38,PP&E,- -,- -,- -,- -,- -,- -,4679000,5060000,5603000,7590000,8859000,10589000,25946000,33442000,33703000
39,Goodwill,- -,- -,- -,- -,- -,- -,128697000,128697000,128697000,134390000,134620000,145939000,154282000,159621000,162333000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,8553000,8553000,8553000,27138000,26436000,35338000,33469000,79422000,87485000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,137250000,137250000,137250000,161528000,161056000,181277000,187751000,239043000,249818000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24018000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6288000,450000,- -,- -,- -,1363000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,40204000,39637000,41915000,30758000,32419000,35656000,43637000,35533000,67507000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,182133000,181947000,184768000,206164000,202784000,227522000,257334000,332036000,352391000
46,Other Assets,- -,- -,- -,233800000,260200000,265400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,233800000,260200000,265400000,293607000,250205000,248720000,285020000,282277000,339376000,446584000,489333000,601560000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,12420000,2303000,4087000,9153000,3686000,6841000,14126000,9201000,7361000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,9003000,1668000,16684000,15850000,34000000,17458000,15228000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705000,4326000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,37100000,52800000,47400000,30849000,14545000,15764000,15730000,18694000,22925000,24302000,32200000,32975000
53,Total Current Liabilities,- -,- -,- -,37100000,52800000,47400000,43269000,25851000,21519000,41567000,38230000,63766000,55886000,56629000,40336000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,300564000,303550000,297029000,201541000,186190000,186715000,268951000,294079000,427508000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,6631000,6631000,6631000,- -,- -,2291000,1572000,4082000,- -
57,Other Non-Current Liabilities,- -,- -,- -,273200000,279000000,283500000,6577000,5745000,5153000,7854000,4533000,3982000,13590000,3704000,- -
58,Total Non-Current Liabilities,- -,- -,- -,273200000,279000000,283500000,313772000,315926000,308813000,209395000,190723000,192988000,284113000,301865000,427508000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13285000,19345000,13336000
61,Total Liabilities,- -,- -,- -,310300000,331800000,330900000,357041000,341777000,330332000,250962000,228953000,256754000,339999000,358494000,467844000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,7000,7000,72000,184000,192000,196000,197000,195000,197000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-69872000,-99949000,-90800000,-66972000,-47535000,-25503000,-15308000,12058000,71460000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1767000,-4088000,-3512000,-4049000,-2973000,-2536000,-3773000,-2635000,-195000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,8198000,12458000,12628000,104895000,103640000,110466000,125469000,117171000,59942000
67,Total Stockholders Equity,- -,- -,- -,-76500000,-71600000,-65500000,-63434000,-91572000,-81612000,34058000,53324000,82623000,106585000,126789000,131404000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,233800000,260200000,265400000,293607000,250205000,248720000,285020000,282277000,339377000,446584000,485283000,599248000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,4050000,2312000
70,Total Liabilities & Equity,- -,- -,- -,233800000,260200000,265400000,293607000,250205000,248720000,285020000,282277000,339376000,446584000,489333000,601560000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290677/000156761917000434/0001567619-17-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036118012639/0001140361-18-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119004508/0001140361-19-004508-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120005641/0001140361-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/0001140361-21-005505-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036122009150/0001140361-22-009150-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-1609000,-29405000,16680000,26913000,20209000,25289000,13774000,33041000,52059000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,932000,933000,1059000,1285000,2328000,3110000,4089000,5018000,5012000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,23000,37000,51000,-12719000,5181000,2565000,-4219000,2800000,-1485000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,234000,585000,234000,180000,720000,1411000,3629000,2554000,7557000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,115605000,-25798000,26000,-5144000,3974000,6825000,85276000,-32696000,-1140000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,106000,678000,-1407000,2072000,-1067000,824000,-3464000,-2112000,3317000
79,Inventory,- -,- -,- -,- -,- -,- -,-12969000,16005000,2032000,-12513000,495000,-20650000,21036000,-7650000,-9000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,11482000,-10117000,1784000,3631000,-5702000,2523000,6608000,-5064000,-2367000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,68205000,42407000,42433000,37289000,41263000,48088000,133364000,100668000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-112159000,66201000,6380000,-1387000,-2722000,-26110000,-64754000,32961000,6214000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,3026000,12553000,24430000,9128000,29690000,13090000,37795000,43678000,68217000
84,CAPEX,- -,- -,- -,- -,- -,- -,-729000,-1314000,-1602000,-3207000,-2021000,-2267000,-4815000,-6135000,-6156000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23625000,268000,-19161000,-7704000,-39441000,-16416000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179000,-2000000,-1421000,-19250000,-16657000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-723000,-1314000,-2030000,-3207000,-2021000,-3508000,25026000,-6132000,-25766000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-723000,-1314000,-2030000,-26832000,-1932000,-24669000,15901000,-64823000,-58839000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-338311000,-23984000,-48495000,-228699000,-211783000,-74000000,-20240000,-139625000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,1000,55736000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1436000,- -,- -,- -,- -,- -,-10191000,-38678000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-768000,-2318000,-3531000,-3802000,-4096000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,10641000,301596000,-2049000,8493000,201451000,224031000,145497000,4893000,239466000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,10641000,-38151000,-26032000,15734000,-28016000,9930000,67966000,-29340000,57067000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,12944000,-26912000,-3632000,-1970000,-258000,-1649000,121662000,-50485000,66636000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,35379000,8467000,4835000,2865000,2607000,5662000,127324000,76839000,143475000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,22435000,35379000,8467000,4835000,2865000,7311000,5662000,127324000,76839000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,2297000,11239000,22828000,5921000,27669000,10823000,32980000,37543000,62061000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290677/000156761917000434/0001567619-17-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036118012639/0001140361-18-012639-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119004508/0001140361-19-004508-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120005641/0001140361-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/0001140361-21-005505-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036122009150/0001140361-22-009150-index.htm
102,false,,,,,,,,,,,,,,,
