,https://roic.ai/company/LCI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,691336,-72123,1680038,1800000,1575025,2139325,11626342,19316228,20830969,-53639658,8453918,-5964409,-5430534,10780869,13030019,-994949,6910000,18757000,88089000,226487000,130758000,86446000,129696000,-262321000,19556000,-237251000
18,Operating Income ratio,0.1810,-0.0190,0.1775,0.1698,0.1363,0.1769,0.4627,0.4546,0.3266,-1.1946,0.1320,-0.0722,-0.0750,0.0906,0.1041,-0.0093,0.0562,0.1242,0.3218,0.5567,0.2310,0.1356,0.1895,-0.4002,0.0358,-0.4955
19,Total Other Income Expenses (Gains),-554270,-78759,-804316,-900000,-690258,698112,-446217,-314601,-21199,-185840,76179,43330,-213227,-112563,-208947,293581,-292000,1928000,1931000,935000,-68579000,-85896000,-78603000,-83924000,-68184000,-65599000
20,Income Before Tax,137066,- -,875722,900000,884767,2837437,11180125,19001627,20809770,-53825498,8530097,-5921079,-5643761,10668306,12821072,-701368,6618000,20685000,90020000,227422000,62179000,550000,51093000,-346245000,-48628000,-302850000
21,Income Before Tax Ratio,0.0359,- -,0.0925,0.0849,0.0766,0.2347,0.4450,0.4472,0.3263,-1.1987,0.1332,-0.0717,-0.0779,0.0896,0.1024,-0.0066,0.0538,0.1369,0.3288,0.5590,0.1098,0.0009,0.0746,-0.5283,-0.0891,-0.6325
22,Income Tax expense (Gain),- -,- -,-150000,-400000,-465330,1007522,3984135,7334740,7594316,-21045902,3561175,1007929,-3376011,4090716,4813044,-461568,2600000,7303000,32857000,77430000,17322000,1097000,22403000,-74138000,-15262000,60625000
23,Net Income,137066,-789340,1025722,1300000,1350097,1829915,7195990,11666887,13215454,-32779596,4968922,-6929008,-2318059,6534245,7821067,-276900,3948000,13317000,57101000,149919000,44782000,-581000,28690000,-272107000,-33366000,-363475000
24,Net Income ratio,0.0359,-0.2077,0.1084,0.1226,0.1169,0.1513,0.2864,0.2746,0.2072,-0.7300,0.0776,-0.0839,-0.0320,0.0549,0.0625,-0.0026,0.0321,0.0882,0.2086,0.3685,0.0791,-0.0009,0.0419,-0.4152,-0.0611,-0.7592
25,EPS,0.02,-0.10,0.13,0.17,0.10,0.08,0.36,0.58,0.63,-1.36,0.21,-0.29,-0.10,0.27,0.32,-0.01,0.14,0.47,1.70,4.18,1.23,-0.02,0.77,-7.20,-0.86,-9.23
26,EPS Diluted,0.01,-0.10,0.05,0.07,0.10,0.08,0.36,0.58,0.63,-1.36,0.21,-0.29,-0.10,0.27,0.31,-0.01,0.14,0.46,1.62,4.04,1.20,-0.02,0.75,-7.20,-0.86,-9.23
27,Weighted Average Shares Outstanding,7809192,7809192,7692915,7800000,19809192,22873938,19988861,20115322,20976911,24102644,23661533,23893131,24227181,24447016,24743902,26758552,28263335,28467598,33663589,35827167,36442782,36812524,37127306,37779812,38592618,39391589
28,Weighted Average Shares Outstanding Diluted,19809192,7809192,7692915,7800000,19809192,22873938,19988861,20115322,20976911,24102644,23661533,23893131,24227181,24587378,25199373,26758552,28408432,28942933,35193376,37127117,37389445,36812524,38162514,37779812,38592618,39391589
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57725/000089322006002027/w25018e10vk.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465907074014/a07-23708_510k.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465908061038/0001104659-08-061038-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465909056611/0001104659-09-056611-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465910049834/0001104659-10-049834-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465911051106/0001104659-11-051106-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465912063063/0001104659-12-063063-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465913069449/0001104659-13-069449-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465914063906/0001104659-14-063906-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465915062047/0001104659-15-062047-index.html,- -,https://www.sec.gov/Archives/edgar/data/57725/000110465917053995/0001104659-17-053995-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465918053976/0001104659-18-053976-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465919047753/a19-12375_110k.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837020010874/0001558370-20-010874-index.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837021012094/0001558370-21-012094-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,25258,15509,16695,100000,- -,- -,- -,3528511,8966954,4165601,468359,5192341,6256712,25832456,21895648,5276735,22562000,42689000,105587000,200340000,224769000,117737000,98586000,140249000,144329000,93286000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347921,604464,19382079,6667000,8461000,40693000,13467000,14094000,27091000,- -,- -,- -,- -
33,Cash and Short-Term Investments,25258,15509,16695,100000,- -,- -,- -,3528511,8966954,4165601,468359,5192341,6256712,26180377,22500112,24658814,29229000,51150000,146280000,213807000,238863000,144828000,98586000,140249000,144329000,93286000
34,Net Receivables,892081,1007902,1357131,1600000,1047518,4366587,4465885,8516481,15355887,10735529,25115220,19510238,34166763,30036173,38333889,37100746,44335000,26413000,61325000,91103000,211722000,204066000,252651000,164752000,140107000,133884000
35,Inventory,874219,1418440,2071946,2600000,2950176,3156109,4937207,8175798,12813250,9988769,11476503,14518484,11617258,16195361,19056868,26902521,27064000,32531000,44844000,46191000,114904000,122604000,141635000,143971000,142867000,109545000
36,Other Current Assets,46395,46523,67304,100000,542098,1096139,406538,937258,2841352,9048216,6426765,5064127,9188287,4899264,7843505,5479783,5853000,6035000,13098000,19445000,47326000,52200000,33998000,23277000,15905000,16848000
37,Total Current Assets,1837953,2488374,3513076,4400000,4539792,8618835,9809630,21158048,39977443,33938115,43486847,44285190,61229020,77311175,87734374,94141864,106481000,116129000,265547000,370546000,612815000,523698000,526870000,472249000,443208000,353563000
38,PP&E,1860272,2616433,4309664,4800000,4954184,5578220,6528924,7407800,16945716,18704498,21601057,27619164,25192149,23489070,31568167,35690467,37068000,40141000,61704000,94556000,216638000,243148000,233247000,186670000,188861000,177233000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141000,333611000,339566000,339566000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,65725490,15615835,13831168,12046502,10361835,9118710,7785298,5909636,4429000,2547000,927000,29090000,575503000,453861000,424425000,411229000,374735000,137835000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,65725490,15615835,13831168,12046502,10361835,9118710,7785298,5909636,4429000,2547000,927000,29231000,909114000,793427000,763991000,411229000,374735000,137835000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,801748,183742,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,150000,500000,1026599,- -,- -,- -,166332,18610159,18070674,17150174,17380115,13757545,12544330,10446500,9069000,8005000,14234000,12495000,11556000,23848000,22063000,109305000,117890000,- -
44,Other Non-Current Assets,7958,5425,143864,3000000,2293392,1468562,369949,496696,204103,8048453,9002318,3555070,2695489,98873,147886,1555831,1171000,930000,361000,1938000,13895000,19191000,29133000,7960000,11861000,15106000
45,Total Non-Current Assets,1868230,2621858,4603528,8300000,8274175,7046782,6898873,7904496,83041641,60978945,62505217,60370910,55629588,47265946,52229423,53602434,51737000,51623000,77226000,138220000,1151203000,1079614000,1048434000,715164000,693347000,330174000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3706183,5110232,8116604,12700000,12813967,15665617,16708503,29062544,123019084,94917060,105992064,104656100,116858608,124577121,139963797,147744298,158218000,167752000,342773000,508766000,1764018000,1603312000,1575304000,1187413000,1136555000,683737000
48,Accounts Payable,260591,549069,631249,800000,747200,917397,733984,2664616,5640054,1208148,763744,7013985,11793312,16805468,16280675,18377782,17989000,22668000,20982000,19195000,34720000,44720000,56767000,13493000,32535000,29585000
49,Short-Term Debt,- -,- -,- -,700000,1751020,6953330,799205,718333,1988716,2269776,1130706,692119,791912,435386,4851278,629435,648000,670000,129000,135000,178236000,60117000,66845000,66845000,89286000,2045000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711073,1479658,- -,- -,154000,4569000,1918000,743000,- -,- -,2198000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1637993,982668,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1071632,1844631,3043505,2700000,494499,818028,1384443,590047,3424859,12917638,18729978,12906146,22070660,21438151,26497716,15852994,21755000,9761000,25888000,24796000,93713000,87371000,77305000,96284000,93044000,58839000
53,Total Current Liabilities,1332223,2393700,3674754,4200000,2992719,8688755,2917632,3972996,11053629,16395562,20624428,22250243,35638552,38679005,47629669,34860211,40392000,33099000,46999000,44126000,306669000,192208000,200917000,176622000,214865000,90469000
54,Long-Term Debt,6277679,7409591,8109187,6600000,4605350,3819892,3343333,2379469,8104141,7262672,7065986,8987846,8186922,7703382,2868549,7192496,6513000,5844000,1009000,874000,883612000,843530000,772425000,662203000,592940000,601730000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,641285,681489,1112369,1614323,2009582,2545734,3202835,3179344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4300000,4225000,- -,- -,- -,- -,- -,- -,32001,532001,547111,507864,2417,- -,- -,- -,- -,19280000,6452000,3047000,14547000,25854000,19009000
58,Total Non-Current Liabilities,6277679,7409591,8109187,10900000,8830350,4461177,4024822,3491838,9718464,9272254,9611720,12222682,11898267,8250493,3376413,7194913,6513000,5844000,1009000,874000,902892000,849982000,775472000,676750000,618794000,620739000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10941000,13092000
61,Total Liabilities,7609902,9803291,11783941,15100000,11823069,13149932,6942454,7464834,20772093,25667816,30236148,34472925,47536819,46929498,51006082,42055124,46905000,38943000,48008000,45000000,1209561000,1042190000,976389000,853372000,833659000,711208000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,5206,5206,5206,- -,13206,13206,13263,20026,24075,24111,24141,24171,24284,24518,24882,28404,29000,29000,36000,37000,37000,37000,38000,39000,40000,41000
64,Retained Earnings,-4229500,-5018840,-3993118,-2700000,-1334883,189904,7385894,19051607,32267061,-512535,4456387,-2472621,-4790680,1743565,9564632,9287732,13236000,26553000,83654000,233573000,278355000,277774000,306464000,32075000,-1291000,-364766000
65,Other Comprehensive Income/Loss,-961738,-1165891,-1502199,-2100000,-2698355,-3089735,-3616044,-4477928,-5666798,-25193,-72444,-27583,9722,24751,44692,23899,-63000,-47000,-54000,-295000,-295000,-222000,-515000,-615000,-627000,-548000
66,Other Total Stockholders Equity,1282313,1486466,1822774,2400000,5010930,5402310,5982936,7004005,75622653,69762861,71347832,72659208,74028154,75761135,79211527,96210057,97921000,102041000,210834000,230098000,- -,283533000,292928000,302542000,304774000,337802000
67,Total Stockholders Equity,-3903719,-4693059,-3667337,-2400000,990898,2515685,9766049,21597710,102246991,69249244,75755916,70183175,69271480,77553969,88845733,105550092,111123000,128576000,294470000,463413000,554049000,561122000,598915000,334041000,302896000,-27471000
68,Total Liabilities And Stockholders Equity,3706183,5110232,8116604,12700000,12813967,15665617,16708503,29062544,123019084,94917060,105992064,104656100,116808299,124483467,139851815,147605216,158028000,167519000,342478000,508413000,1763610000,1603312000,1575304000,1187413000,1136555000,683737000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50309,93654,111982,139082,190000,233000,295000,353000,408000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3706183,5110232,8116604,12700000,12813967,15665617,16708503,29062544,123019084,94917060,105992064,104656100,116858608,124577121,139963797,147744298,158218000,167752000,342773000,508766000,1764018000,1603312000,1575304000,1187413000,1136555000,683737000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57725/000089322006002027/w25018e10vk.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465907074014/a07-23708_510k.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465908061038/0001104659-08-061038-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465909056611/0001104659-09-056611-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465910049834/0001104659-10-049834-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465911051106/0001104659-11-051106-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465912063063/0001104659-12-063063-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465913069449/0001104659-13-069449-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465914063906/0001104659-14-063906-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465915062047/0001104659-15-062047-index.html,- -,https://www.sec.gov/Archives/edgar/data/57725/000110465917053995/0001104659-17-053995-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465918053976/0001104659-18-053976-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465919047753/a19-12375_110k.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837020010874/0001558370-20-010874-index.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837021012094/0001558370-21-012094-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,137066,-789340,1025722,1300000,1350097,1829915,7195990,11666887,13215454,-32779596,4968922,-6929008,-2318059,6534245,7821067,-276900,3948000,13317000,57101000,149919000,44782000,-581000,28690000,-272107000,-33366000,-363475000
74,Depreciation and Amortization,204265,206686,369374,600000,678625,767047,789304,982188,2506427,6970932,3967128,4465393,5229358,5099108,4888015,4976200,5735000,6198000,5984000,5583000,33433000,55340000,55115000,55594000,56309000,47824000
75,Deferred Income Tax,- -,- -,-150000,-400000,-527520,730618,723239,161390,-37209,-20229832,2738418,1779843,-4743854,2983538,182075,2903308,1082000,783000,-12886000,-3266000,-19497000,-305000,30690000,-87242000,-8585000,117890000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1286177,2037844,1824823,2162000,1477000,9026000,6397000,11562000,7719000,9896000,9027000,10216000,9037000
77,Change in Working Capital,-702355,-411056,-256352,361678,1347073,-1616993,6961918,10293054,11738762,-11381261,5319866,-827472,3555521,13041702,1472535,19176948,6807347,16941000,135518000,107872000,-20274000,25344000,-5537000,-30326000,-67284000,34751000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5548253,-8802182,4859818,-8751000,173000,-34912000,-25382000,15149000,1701000,-48585000,84949000,39064000,26854000
79,Inventory,-453312,-544221,-653506,-600000,-325798,-205933,-1781098,-3238591,-4637452,2824481,-1487734,-2716610,2901226,-4578103,-2861507,-7845653,-161000,-5467000,-12313000,1358000,15296000,-7700000,-19031000,-2336000,1104000,8994000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3719696,-524793,2007107,-389000,4679000,-1686000,-2498000,-3723000,5000000,-4953000,-43274000,19042000,-2950000
81,Other Working Capital,505730,94674,-161678,200000,1547073,-69920,6891998,17185052,28923814,17542553,22862419,22034947,25590468,38632170,40104705,59281653,66089000,83030000,218548000,326420000,306146000,331490000,325953000,295627000,228343000,263094000
82,Other Non-Cash Items,175144,651661,-495596,-761678,-1443333,-1257744,-8233590,-16451113,-18624237,65498969,-13464385,14186564,1395256,-8371922,-9460305,-34806557,-8613347,-12216000,-149640000,-137987000,85271000,77856000,-331000,501364000,158724000,214824000
83,Cash Provided by Operating Activities,-185880,-342049,493148,1100000,1404942,452843,7436861,6652406,8799197,8079212,3529949,12675320,3118222,20572848,6941231,-6202178,11121000,26500000,45103000,128518000,135277000,165373000,118523000,176310000,116014000,60851000
84,CAPEX,-220714,-960314,-2059370,-1100000,-772248,-1488741,-1952535,-2618936,-10749636,-3213297,-5114626,-2465075,-2295817,-1604114,-11686833,-7253739,-5237000,-7788000,-26082000,-31976000,-24267000,-48694000,-71354000,-27340000,-47130000,-14915000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,167728,- -,- -,- -,- -,- -,- -,- -,-41862000,-934178000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7913901,- -,- -,- -,-5979257,- -,-28152634,-23301000,-23550000,-53699000,-47839000,-40533000,-77911000,-63643000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2219848,1845838,882671,7408295,339782,9749622,35910000,22456000,23374000,75770000,39895000,67828000,94047000,- -,- -,- -
88,Other Investing Activites,41000,- -,- -,- -,- -,43250,-133665,375003,- -,-1500000,-3140948,-7049567,21380,1500,368463,9206,7000,279000,48000,94000,16000,112000,-10226000,20050000,7130000,-4386000
89,Cash Used for Investing Activites,-179714,-960314,-2059370,-1100000,-772248,-1445491,-2086200,-2243933,-10749636,-12627198,-6035726,-7501076,-1391766,-173576,-10978588,-25647545,7379000,-8603000,-56359000,-45813000,-959067000,-58665000,-51176000,-7290000,-40000000,-14801000
90,Debt Repayment,-56127,-67202,-247592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-840066,-418941,-4953896,-661000,-647000,-5376000,-129000,-295033000,-178233000,-85705000,-126743000,-146700000,-437926000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,54374,165948,393827,201612,144290,135171,113422,160766,756043,15451299,272000,3083000,71478000,4938000,4134000,2818000,4142000,1180000,998000,664000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-394570,- -,- -,-74376,-144228,-162239,-220890,-722000,-440000,-3925000,-121000,-1269000,-1898000,-4642000,-592000,-1909000,-1047000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,408004,1359816,1815000,100000,-749698,992648,-5405035,-1045910,6995055,-60409,-1335755,-585433,-701131,- -,-108237,4966138,-19000,218000,11984000,7601000,1140387000,-36500000,- -,-1102000,75689000,346137000
95,Cash Used/Provided by Financing Activities,351877,1292614,1567408,100000,-749698,992648,-5350661,-879962,7388882,-253367,-1191465,-450262,-662085,-823528,66626,15242651,-1130000,2214000,74161000,12289000,848219000,-213813000,-86205000,-127257000,-71922000,-92172000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33923,-11841,-85000,16000,-7000,-241000,- -,73000,-293000,-100000,-12000,79000
97,Net Change In Cash,-13717,-9749,1186,- -,- -,- -,- -,- -,5438443,-4801353,-3697242,4723982,1064371,19575744,-3936808,-16618913,17285000,20127000,62898000,94753000,24429000,-107032000,-19151000,41663000,4080000,-46043000
98,Cash at the End of Period,25258,15509,16695,100000,- -,- -,- -,3528511,8966954,4165601,468359,5192341,6256712,25832456,21895648,5276735,22562000,42689000,105587000,200340000,224769000,117737000,98586000,140249000,144329000,98286000
99,Cash at the Beginning of Period,38975,25258,15509,- -,117004,- -,- -,- -,3528511,8966954,4165601,468359,5192341,6256712,25832456,21895648,5277000,22562000,42689000,105587000,200340000,224769000,117737000,98586000,140249000,144329000
100,Free Cash Flow,-406594,-1302363,-1566222,- -,632694,-1035898,5484326,4033470,-1950439,4865915,-1584677,10210245,822405,18968734,-4745602,-13455917,5884000,18712000,19021000,96542000,111010000,116679000,47169000,148970000,68884000,45936000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57725/000089322006002027/w25018e10vk.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465907074014/a07-23708_510k.htm,https://www.sec.gov/Archives/edgar/data/57725/000110465908061038/0001104659-08-061038-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465909056611/0001104659-09-056611-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465910049834/0001104659-10-049834-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465911051106/0001104659-11-051106-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465912063063/0001104659-12-063063-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465913069449/0001104659-13-069449-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465914063906/0001104659-14-063906-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465915062047/0001104659-15-062047-index.html,- -,https://www.sec.gov/Archives/edgar/data/57725/000110465917053995/0001104659-17-053995-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465918053976/0001104659-18-053976-index.html,https://www.sec.gov/Archives/edgar/data/57725/000110465919047753/a19-12375_110k.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837020010874/0001558370-20-010874-index.htm,https://www.sec.gov/Archives/edgar/data/57725/000155837021012094/0001558370-21-012094-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
