,https://roic.ai/company/FEDU,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,42328000,230968000,583324000,439580000,404652000,378358000
32,Short-Term Investments,- -,- -,- -,32715000,191821000,127558000
33,Cash and Short-Term Investments,42328000,230968000,583324000,472295000,596473000,505916000
34,Net Receivables,40311000,45368000,11701000,23447000,19745000,10926000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,3233000,6282000,- -,- -,- -,- -
37,Total Current Assets,85872000,282618000,595025000,495742000,616218000,516842000
38,PP&E,2348000,7395000,23920000,27000000,209823000,166500000
39,Goodwill,- -,557000,557000,149775000,35163000,36967000
40,Intangible Assets,- -,- -,- -,43897000,8765000,7118000
41,Intangible Assets,- -,557000,557000,193672000,43928000,44085000
42,Investments,116000,- -,158235000,163156000,105709000,200087000
43,Tax Assets,488000,1018000,4052000,9536000,13445000,16253000
44,Other Non-Current Assets,2128000,4538000,10493000,42948000,48493000,23426000
45,Total Non-Current Assets,5080000,13508000,197257000,436312000,421398000,450351000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,90952000,296126000,792282000,932054000,1037616000,967193000
48,Accounts Payable,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,51842000,52674000
50,Tax Payable,11145000,24614000,17139000,11733000,15266000,13119000
51,Deferred Revenue,38101000,84843000,90101000,87870000,71946000,75242000
52,Other Current Liabilities,14206000,39840000,44233000,76350000,89230000,99072000
53,Total Current Liabilities,52307000,124683000,134334000,164220000,213018000,226988000
54,Long-Term Debt,- -,- -,- -,- -,147510000,92144000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,10903000,2136000,1673000
57,Other Non-Current Liabilities,39592000,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,39592000,- -,- -,10903000,149646000,93817000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,199352000,144818000
61,Total Liabilities,91899000,124683000,134334000,175123000,362664000,320805000
62,Preferred Stock,22174000,163807000,- -,- -,- -,- -
63,Common Stock,9000,9000,15000,15000,15000,15000
64,Retained Earnings,-30588000,-12922000,- -,-601000,-110094000,-138290000
65,Other Comprehensive Income/Loss,2028000,6462000,-28309000,1607000,26091000,-13289000
66,Other Total Stockholders Equity,4942000,8305000,679829000,711668000,714738000,740251000
67,Total Stockholders Equity,-1435000,165661000,651535000,712689000,630750000,588687000
68,Total Liabilities And Stockholders Equity,90464000,290344000,785869000,887812000,993414000,909492000
69,Minority Interest,488000,5782000,6413000,44242000,44202000,57701000
70,Total Liabilities & Equity,90952000,296126000,792282000,932054000,1037616000,967193000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-30976000,17666000,44373000,-601000,-109493000,-28196000
74,Depreciation and Amortization,530000,1755000,6537000,17963000,19752000,15703000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,942000,3363000,23470000,32247000,30858000,27513000
77,Change in Working Capital,-1325000,68733000,24061000,-2610000,-54440000,-38705000
78,Accounts Receivable,-254000,152000,-5463000,4943000,-665000,1008000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,20959000,43802000,-3731000,-28500000,-28708000,400000
82,Other Non-Cash Items,31838000,27962000,-2478000,6148000,195518000,54809000
83,Cash Provided by Operating Activities,1009000,119479000,95963000,53147000,82195000,31124000
84,CAPEX,-1630000,-6661000,-23113000,-18192000,-9186000,-10441000
85,Acquisitions Net,-1100000,4142000,-1300000,-134202000,25042000,-43627000
86,Purchases of Investments,- -,- -,-158235000,-34823000,-114602000,-206820000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,192884000
88,Other Investing Activites,-4185000,-7657000,12201000,-322000,- -,- -
89,Cash Used for Investing Activites,-6915000,-10176000,-170447000,-187217000,-98746000,-68004000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,580153000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-27899000,- -
93,Dividends Paid,- -,- -,-122092000,-3677000,- -,- -
94,Other Financing Activites,600000,74903000,3550000,3116000,1482000,198000
95,Cash Used/Provided by Financing Activities,600000,74903000,461611000,-561000,-26417000,198000
96,Effect of Forex Changes on Cash,1946000,4434000,-34771000,22542000,14088000,-16460000
97,Net Change In Cash,-3360000,188640000,352356000,-112089000,-28880000,-53142000
98,Cash at the End of Period,42328000,230968000,583324000,471235000,442355000,389213000
99,Cash at the Beginning of Period,45688000,42328000,230968000,583324000,471235000,442355000
100,Free Cash Flow,-621000,112818000,72850000,34955000,73009000,20683000
101,SEC Link,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.1525,0.1456,0.1579,0.1493,0.143,0.1544
