,https://roic.ai/company/CDJM,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-59011.72,-60332.31,-22656.45,-3321.38,-9206.75,- -,- -,- -,- -,- -,- -,- -,-0.00,-0.00,-0.01,-0.00,-0.00
27,Weighted Average Shares Outstanding,74,74,74,2031,590,- -,- -,- -,- -,- -,- -,- -,41153156,41153156,46203716,42626236,42626236
28,Weighted Average Shares Outstanding Diluted,74,74,74,2031,590,- -,- -,- -,- -,- -,- -,- -,41153156,41153156,46203716,42626236,42626236
29,SEC Link,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1024095/000147793219005095/0001477932-19-005095-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793220002018/0001477932-20-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793221002046/0001477932-21-002046-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793222001882/0001477932-22-001882-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,75283,728393,45647,5467,16149,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,75283,728393,45647,5467,16149,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10645,14809,- -,- -,1171220,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225
37,Total Current Assets,85928,743202,45647,5467,1187369,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,1225
38,PP&E,5306,4444,3889,3334,3173,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,299991,224897,2000,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,5306,304435,228786,5334,5173,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,91234,1047637,274433,10801,1192542,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,1225
48,Accounts Payable,222698,51512,450651,743075,434130,- -,- -,- -,- -,- -,- -,- -,60000,120000,299581,239352,270
49,Short-Term Debt,577542,4315180,3416507,668565,1267211,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156921,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,477178,826781,1000429,1688483,2304764,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669,210
53,Total Current Liabilities,1277418,5193473,4867587,3100123,4006105,- -,- -,- -,- -,- -,- -,- -,60000,120000,299581,396942,479
54,Long-Term Debt,- -,129297,- -,4759835,5216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299497,- -,156
58,Total Non-Current Liabilities,- -,129297,- -,4759835,5216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299497,- -,156
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1277418,5322770,4867587,7859958,9222105,- -,- -,- -,- -,- -,- -,- -,60000,120000,84,396942,156
62,Preferred Stock,- -,1,1,1001,1001,- -,- -,- -,- -,- -,- -,- -,4000,4000,4000,1,- -
63,Common Stock,19021,75498,13318,317747,1181212,- -,- -,- -,- -,- -,- -,- -,2270117,2270117,3532757,3532757,4533
64,Retained Earnings,-47329886,-65748684,-67425261,-74170988,-79602971,- -,- -,- -,- -,- -,- -,- -,-3476757,-3536757,-3536757,-3932792,-3947
65,Other Comprehensive Income/Loss,-500000,-1105,-1660,-2215,-2215,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,46624681,61399157,62820448,66005298,70393410,- -,- -,- -,- -,- -,- -,- -,1142640,1142640,- -,3999,4
67,Total Stockholders Equity,-1186184,-4275133,-4593154,-7849157,-8029563,- -,- -,- -,- -,- -,- -,- -,-60000,-120000,- -,-396035,590
68,Total Liabilities And Stockholders Equity,91234,1047637,274433,10801,1192542,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,746
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479
70,Total Liabilities & Equity,91234,1047637,274433,10801,1192542,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,1225
71,SEC Link,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1024095/000147793219005095/0001477932-19-005095-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793220002018/0001477932-20-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793221002046/0001477932-21-002046-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793222001882/0001477932-22-001882-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-4366867,-4464591,-1676577,-6745727,-5431984,- -,- -,- -,- -,- -,- -,- -,-60000,-60000,- -,-73609,-13712
74,Depreciation and Amortization,272,245994,491950,529718,161,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,68818,-3258781,-371669,1727284,275920,- -,- -,- -,- -,- -,- -,- -,2758736,-60000,-179497,-96538,396781
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,292424,-308945,- -,- -,- -,- -,- -,- -,- -,60000,60000,299580,8977,-73797
81,Other Working Capital,-1191490,-4450271,-4821940,-3094656,-2818736,- -,- -,- -,- -,- -,- -,- -,-60000,-120000,-299497,-396035,746
82,Other Non-Cash Items,3428699,6329843,376975,4412145,-541157,- -,- -,- -,- -,- -,- -,- -,-2698736,120000,479078,104460,-478636
83,Cash Provided by Operating Activities,-869078,-1147535,-1179321,-76580,-5697060,- -,- -,- -,- -,- -,- -,- -,- -,- -,299581,-65687,-95567
84,CAPEX,- -,- -,-9525,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,243322,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,243322,- -,-9525,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,5251577,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,697223,1800000,506100,36400,456165,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66510,80159
95,Cash Used/Provided by Financing Activities,697223,1800000,506100,36400,5707742,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66510,80159
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,71467,652465,-682746,-40180,10682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,823,129
98,Cash at the End of Period,75928,728393,45647,5467,16149,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907,1036
99,Cash at the Beginning of Period,4461,75928,728393,45647,5467,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84,907
100,Free Cash Flow,-869078,-1147535,-1188846,-76580,-5697060,- -,- -,- -,- -,- -,- -,- -,- -,- -,299581,-65687,-95567
101,SEC Link,- -,- -,- -,- -,- -,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1024095/000147793219005095/0001477932-19-005095-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793220002018/0001477932-20-002018-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793221002046/0001477932-21-002046-index.htm,https://www.sec.gov/Archives/edgar/data/1024095/000147793222001882/0001477932-22-001882-index.htm
102,false,,,,,,,,,,,,,,,,,
