,https://roic.ai/company/OTIVF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,-3050000,-8600000,-11731000,-6022000,-3463000,-9102000,-9547000,-6465000,-21549000,-49343000,-15204000,-44132000,-6824000,-17395000,-6725000,-10087000,-7874000,-2287000,-1609000,-2189000,-5232000,-5050000
21,Income Before Tax Ratio,-0.6963,-0.6575,-0.5899,-0.3352,-0.1767,-0.3931,-0.2677,-0.1594,-0.4956,-1.2269,-0.4836,-1.2601,-0.1331,-0.4353,-0.3385,-0.4374,-0.3965,-0.1112,-0.0719,-0.1001,-0.3547,-0.3963
22,Income Tax expense (Gain),80000,-60000,-47000,207000,104000,173000,-175000,-323000,-226000,-675000,89000,-675000,269000,167000,203000,110000,122000,82000,74000,-301000,-57000,- -
23,Net Income,-3060000,-8300000,-11684000,-6248000,-3567000,-9275000,-9113000,-6604000,-20643000,-49995000,-23182000,-49995000,-6925000,-17394000,-3048000,-9924000,-7151000,-828000,-598000,-263000,-5889000,-6133000
24,Net Income ratio,-0.6986,-0.6346,-0.5875,-0.3478,-0.1820,-0.4006,-0.2555,-0.1628,-0.4747,-1.2431,-0.7374,-1.4275,-0.1351,-0.4352,-0.1534,-0.4303,-0.3601,-0.0403,-0.0267,-0.0120,-0.3992,-0.4813
25,EPS,-2.55,-5.61,-7.49,-3.76,-1.52,-1.33,-0.96,-0.47,-1.09,-2.45,-1.02,-0.25,-0.22,-0.54,-0.09,-0.29,-0.18,-0.02,-0.01,-0.01,-0.14,-0.12
26,EPS Diluted,-2.55,-5.61,-7.49,-3.76,-1.52,-1.33,-0.96,-0.47,-1.09,-2.45,-1.02,-0.25,-0.22,-0.54,-0.09,-0.29,-0.18,-0.02,-0.01,-0.01,-0.14,-0.12
27,Weighted Average Shares Outstanding,1200000,1480000,1559490,1661702,2354254,6972878,9512198,13919958,18896214,20413578,22635479,24615526,31524719,32168373,32673123,34013870,40869820,40914558,41109875,41268984,41385856,52046016
28,Weighted Average Shares Outstanding Diluted,1200000,1480000,1559490,1661702,2354254,6972878,9512198,13919958,18896214,20413578,22635479,24615526,31524719,32168373,32673123,34013870,40869820,40914558,41109875,41268984,41385856,52046016
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891310000941/0001178913-10-000941-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891314001152/0001178913-14-001152-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891315001093/0001178913-15-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891316004887/0001178913-16-004887-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390017002900/0001213900-17-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390018003667/0001213900-18-003667-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390019004756/0001213900-19-004756-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390020007241/0001213900-20-007241-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390021019217/0001213900-21-019217-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16300000,15600000,6030000,2145000,9712000,23917000,29657000,30049000,35470000,27196000,26884000,15409000,12517000,9304000,14962000,5351000,5450000,5952000,6742000,4827000,2543000,1377000
32,Short-Term Investments,12300000,1900000,1946000,1664000,999000,4559000,20004000,18232000,6379000,904000,5086000,8594000,15952000,8712000,2601000,11048000,5454000,5585000,3331000,1078000,2305000,105000
33,Cash and Short-Term Investments,28600000,17500000,7976000,3809000,10711000,28476000,49661000,48281000,41849000,28100000,31970000,24003000,28469000,18016000,17563000,16399000,10904000,11537000,10073000,5905000,4848000,1482000
34,Net Receivables,2900000,5400000,4074000,2820000,4104000,5111000,10736000,11966000,11382000,7561000,7995000,8242000,13275000,11728000,8948000,6139000,3977000,6732000,7009000,5432000,3484000,1148000
35,Inventory,1900000,5300000,4998000,4192000,4069000,4765000,6747000,10344000,13242000,12343000,6265000,8448000,8196000,7049000,3477000,3703000,3330000,3069000,3009000,3527000,3332000,2479000
36,Other Current Assets,- -,900000,- -,- -,- -,1071000,770000,298000,282000,- -,1078000,698000,- -,4059000,4737000,690000,624000,526000,381000,1158000,768000,7053000
37,Total Current Assets,33400000,29100000,17048000,10821000,18884000,39423000,67914000,70889000,66755000,48004000,47308000,41391000,49940000,40852000,34725000,26931000,18835000,21864000,20472000,16022000,12432000,12162000
38,PP&E,1900000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,23387000,23387000,- -,- -,- -,485000,485000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,3500000,5730000,5896000,5708000,5584000,6067000,5823000,4509000,2503000,1532000,942000,609000,656000,- -,- -,180000,278000,336000,241000,733000,247000
41,Intangible Assets,- -,3500000,5730000,5896000,5708000,5584000,6067000,29210000,27896000,2503000,1532000,942000,1094000,1141000,- -,- -,180000,278000,336000,241000,733000,247000
42,Investments,- -,- -,- -,- -,- -,- -,3000000,2000000,1000000,- -,1112000,1355000,1473000,- -,738000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173000,47000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,400000,300000,7184000,7302000,6676000,6996000,8077000,15075000,22809000,19802000,26724000,14826000,13227000,15009000,10460000,10403000,9647000,6563000,6762000,5859000,6688000,- -
45,Total Non-Current Assets,2300000,8700000,12914000,13198000,12384000,12580000,17144000,46285000,51705000,22305000,29368000,17123000,15794000,16150000,11371000,10450000,9827000,6841000,7098000,6100000,7421000,999000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35700000,37800000,29962000,24019000,31268000,52003000,85058000,117174000,118460000,70309000,76676000,58514000,65734000,57002000,46096000,37381000,28662000,28705000,27570000,22122000,19853000,13161000
48,Accounts Payable,1400000,3300000,3178000,2176000,3339000,4305000,4245000,6869000,10291000,8071000,9649000,6874000,8441000,10696000,9255000,7306000,5441000,6957000,6264000,4712000,4126000,- -
49,Short-Term Debt,- -,- -,3333000,2520000,1751000,1641000,760000,498000,5336000,4984000,6255000,6881000,6793000,7368000,3842000,3617000,3815000,4369000,4181000,260000,2478000,2343000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3490000,1486000,1693000,877000,244000,283000,249000,178000,141000,111000,- -
52,Other Current Liabilities,3800000,6900000,2463000,2175000,2624000,3824000,5771000,3331000,5344000,3517000,16174000,5464000,3829000,12817000,8378000,2412000,2441000,2573000,2243000,3481000,2943000,8603000
53,Total Current Liabilities,5200000,10200000,8974000,6871000,7714000,9770000,10776000,10698000,20971000,16572000,32078000,22709000,20549000,32574000,22352000,13579000,11980000,14148000,12866000,8594000,9658000,10946000
54,Long-Term Debt,1300000,2500000,4751000,4175000,3121000,2018000,1535000,2117000,2432000,1762000,2642000,5189000,4026000,2224000,3342000,2161000,2359000,1215000,814000,39000,22000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,162000,293000,992000,728000,202000,120000,84000,65000,53000,292000,302000,352000,373000,500000,445000,416000,- -
57,Other Non-Current Liabilities,1800000,1900000,1867000,1932000,1130000,- -,1909000,3209000,3981000,3672000,11868000,4416000,4652000,2032000,1706000,1456000,1148000,811000,939000,853000,2367000,- -
58,Total Non-Current Liabilities,3100000,4400000,6618000,6107000,4251000,2180000,3737000,6318000,7141000,5636000,14630000,9689000,8743000,4309000,5340000,3919000,3859000,2399000,2253000,1337000,2805000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2169000,3105000
61,Total Liabilities,8300000,14600000,15592000,12978000,11965000,11950000,14513000,17016000,28112000,22208000,46708000,32398000,29292000,36883000,27692000,17498000,15839000,16547000,15119000,9931000,12463000,3334000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,47000,52000,119000,199000,274000,431000,454000,508000,571000,610000,808000,820000,854000,1055000,1055000,1061000,1064000,1068000,1226000,- -
64,Retained Earnings,-10000000,-18300000,-29996000,-36244000,-39811000,-49086000,-58199000,-64803000,-85446000,-135441000,-158623000,-164812000,-171737000,-189131000,-192179000,-202103000,-209254000,-210082000,-210680000,-210943000,-216832000,- -
65,Other Comprehensive Income/Loss,-700000,-3000000,-3345000,-4218000,-5671000,-3582000,-5689000,-5816000,-8502000,-11292000,-9908000,-11352000,-12585000,-14296000,-12455000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-961000
66,Other Total Stockholders Equity,38100000,44500000,47664000,51451000,64666000,91161000,133849000,169342000,183842000,193911000,197951000,201794000,220243000,223185000,222729000,222434000,223841000,222179000,223067000,223066000,223996000,14613000
67,Total Stockholders Equity,27400000,23200000,14370000,11041000,19303000,38692000,70235000,99154000,90348000,47686000,29991000,26240000,36729000,20578000,18949000,20386000,14642000,12158000,12451000,12191000,7390000,2706000
68,Total Liabilities And Stockholders Equity,35700000,37800000,29962000,24019000,31268000,50642000,84748000,116170000,118460000,69894000,76699000,58638000,66021000,57461000,46641000,37884000,30481000,28705000,27570000,22122000,19853000,6040000
69,Minority Interest,- -,- -,- -,- -,- -,1361000,310000,1004000,- -,415000,-23000,-124000,-287000,-459000,-545000,-503000,-1819000,- -,- -,- -,- -,7121000
70,Total Liabilities & Equity,35700000,37800000,29962000,24019000,31268000,52003000,85058000,117174000,118460000,70309000,76676000,58514000,65734000,57002000,46096000,37381000,28662000,28705000,27570000,22122000,19853000,13161000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891310000941/0001178913-10-000941-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891314001152/0001178913-14-001152-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891315001093/0001178913-15-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891316004887/0001178913-16-004887-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390017002900/0001213900-17-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390018003667/0001213900-18-003667-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390019004756/0001213900-19-004756-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390020007241/0001213900-20-007241-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390021019217/0001213900-21-019217-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3060000,-8300000,-11684000,-6248000,-3567000,-9275000,-9113000,-6604000,-20643000,-49995000,-23182000,-49995000,-6925000,-17394000,-3048000,-9924000,-7151000,-828000,-598000,-263000,-5889000,-6133000
74,Depreciation and Amortization,210000,1040000,2421000,2669000,3619000,5733000,10629000,2683000,3894000,5838000,2391000,28719000,2186000,1748000,1216000,1307000,1251000,1172000,1172000,1328000,1270000,419000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-20000,13000,-216000,-262000,-711000,- -,- -,- -,-12000,- -,- -,- -,- -,- -,- -,-25000,-36000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,6253000,3662000,6253000,1933000,951000,307000,875000,463000,239000,254000,234000,125000,67000
77,Change in Working Capital,-600000,-9300000,-10826000,-4124000,7220000,18483000,27485000,3053000,-14407000,-14352000,-16202000,3452000,10709000,-21113000,4095000,979000,-6497000,861000,-110000,-178000,-4654000,-1558000
78,Accounts Receivable,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,2702000,-1326000,2702000,-6392000,3843000,-765000,432000,2212000,-3493000,-225000,1118000,1646000,989000
79,Inventory,- -,-3400000,112000,1104000,253000,-1193000,-987000,-3204000,-2776000,869000,429000,869000,219000,1224000,-11000,-334000,254000,-112000,112000,-573000,184000,541000
80,Accounts Payable,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,-1859000,1334000,-1859000,2159000,1782000,-181000,-630000,-1290000,1793000,-1428000,-2089000,-507000,1027000
81,Other Working Capital,28200000,18900000,8074000,3950000,11170000,29653000,57138000,60191000,45784000,31432000,15230000,18682000,29391000,8278000,12373000,13352000,6855000,7716000,7606000,7428000,2774000,1216000
82,Other Non-Cash Items,690000,5870000,12360000,6561000,-7005000,-15251000,-29954000,-2419000,25131000,40791000,31626000,-605000,-19323000,31171000,-14547000,-1151000,7395000,-3869000,-1533000,-2553000,4964000,3311000
83,Cash Provided by Operating Activities,-2760000,-10690000,-7729000,-1142000,267000,-330000,-940000,-3503000,-6287000,-12176000,-1705000,-12176000,-11420000,-4649000,-11977000,-7914000,-4539000,-2425000,-815000,-1432000,-4209000,-3930000
84,CAPEX,-510000,-2540000,-2639000,-793000,-502000,-449000,-1918000,-3107000,-6190000,-1518000,-4124000,-1518000,-1191000,-1043000,-2784000,-1573000,-1515000,-311000,-293000,-636000,-1155000,-407000
85,Acquisitions Net,- -,- -,-301000,- -,- -,-67000,- -,-128000,- -,-565000,- -,-565000,-400000,-100000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-4586000,-17875000,-23643000,-136094000,-29068000,-5623000,-29068000,-14697000,-10403000,-325000,-11433000,-4181000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,2431000,25446000,148049000,34551000,1418000,34551000,7420000,17712000,6549000,2967000,9779000,- -,- -,- -,- -,- -
88,Other Investing Activites,-10190000,9940000,14000,14000,- -,24000,-1435000,341000,837000,30000,7082000,30000,2497000,-3592000,13416000,-1416000,496000,3865000,2086000,4201000,-257000,3420000
89,Cash Used for Investing Activites,-10700000,7400000,-2926000,-779000,-502000,-5078000,-18797000,-1091000,6602000,3430000,-1247000,3430000,-6371000,2574000,16856000,-11455000,4579000,3554000,1793000,3565000,-1412000,3013000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-866000,-543000,-508000,-2146000,-3496000,-1316000,-1019000,-747000,-1581000,-632000,-1064000,-270000,-222000
91,Common Stock Issued,- -,- -,- -,5000,9183000,19575000,26760000,3196000,11000,1464000,- -,- -,16619000,- -,- -,10444000,- -,- -,- -,- -,981000,1369000
92,Common Stock Repurchased,26770000,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-864000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,970000,2440000,1113000,-2117000,-1383000,-38000,-1351000,1725000,5048000,- -,3068000,1106000,1512000,2102000,2094000,838000,1058000,1222000,-243000,-3520000,2450000,-370000
95,Cash Used/Provided by Financing Activities,27740000,2590000,1113000,-2112000,7800000,19537000,25409000,4921000,5059000,598000,2525000,598000,15121000,-1394000,778000,10263000,311000,-359000,-875000,-4584000,3161000,777000
96,Effect of Forex Changes on Cash,- -,-10000,-26000,148000,2000,76000,68000,65000,47000,-126000,115000,-126000,-222000,256000,1000,-505000,-252000,-268000,687000,-243000,3000,-9000
97,Net Change In Cash,14280000,-720000,-9568000,-3885000,7567000,14205000,5740000,392000,5421000,-8274000,-312000,-8274000,-2892000,-3213000,5658000,-9611000,99000,502000,790000,-2694000,-2457000,-149000
98,Cash at the End of Period,14280000,15580000,6030000,2145000,9712000,23917000,29657000,30049000,35470000,27196000,26884000,27196000,12517000,9304000,14962000,5351000,5450000,5952000,6742000,5105000,2648000,2499000
99,Cash at the Beginning of Period,- -,16300000,15598000,6030000,2145000,9712000,23917000,29657000,30049000,35470000,27196000,35470000,15409000,12517000,9304000,14962000,5351000,5450000,5952000,7799000,5105000,2648000
100,Free Cash Flow,-3270000,-13230000,-10368000,-1935000,-235000,-779000,-2858000,-6610000,-12477000,-13694000,-5829000,-13694000,-12611000,-5692000,-14761000,-9487000,-6054000,-2736000,-1108000,-2068000,-5364000,-4337000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891310000941/0001178913-10-000941-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021604/000117891314001152/0001178913-14-001152-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891315001093/0001178913-15-001093-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000117891316004887/0001178913-16-004887-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390017002900/0001213900-17-002900-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390018003667/0001213900-18-003667-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390019004756/0001213900-19-004756-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390020007241/0001213900-20-007241-index.htm,https://www.sec.gov/Archives/edgar/data/1021604/000121390021019217/0001213900-21-019217-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
