,https://roic.ai/company/INSE,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1094000,543000,8900000,13600000,- -
61,Total Liabilities,2885794,5445838,- -,221352000,220379000,376900000,412800000,409700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,73410436,69884269,- -,2000,2000,- -,- -,- -
64,Retained Earnings,-141529,-3667735,- -,-378905000,-399501000,-441200000,-470400000,-494100000
65,Other Comprehensive Income/Loss,- -,- -,- -,53145000,58580000,45100000,31100000,43800000
66,Other Total Stockholders Equity,5141268,8667435,- -,323429000,328452000,- -,350700000,372300000
67,Total Stockholders Equity,78410175,74883969,- -,-2329000,-12467000,-49500000,-88700000,-78000000
68,Total Liabilities And Stockholders Equity,81295969,80329807,- -,219023000,207912000,327400000,324100000,331700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81295969,80329807,- -,219023000,207912000,327400000,324100000,331700000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1615063/000114420415016019/0001144204-15-016019-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000114420416088189/0001144204-16-088189-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1615063/000161577418014163/0001615774-18-014163-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315221010814/0001493152-21-010814-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000121390021018067/0001213900-21-018067-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315222008568/0001493152-22-008568-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,- -,-3526206,- -,-49114000,-20596000,-37000000,-29200000,-36700000
74,Depreciation and Amortization,- -,- -,- -,33810000,41832000,43000000,55900000,67500000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,4235000,7115000,9000000,4800000,13600000
77,Change in Working Capital,-33850,-3382104,- -,4307010,4231000,10789000,10100000,17800000
78,Accounts Receivable,- -,- -,- -,-4566000,5340000,3300000,-2900000,- -
79,Inventory,- -,- -,- -,2737000,-448000,2000000,1300000,- -
80,Accounts Payable,133603000,- -,- -,10497000,-4054000,6900000,-4800000,- -
81,Other Working Capital,1055094,-2327010,- -,1980000,6211000,17000000,27100000,44900000
82,Other Non-Cash Items,-146770,6041380,- -,25012990,1634000,4911000,11300000,-95800000
83,Cash Provided by Operating Activities,-180620,-866930,- -,18251000,34216000,30700000,52900000,-33600000
84,CAPEX,- -,- -,- -,-35385000,-42933000,-27500000,-29900000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-105900000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-80000000,- -,- -,-20268000,-18096000,-17000000,-14500000,-38100000
89,Cash Used for Investing Activites,-80000000,- -,- -,-35385000,-42933000,-133400000,-29900000,-38100000
90,Debt Repayment,- -,-109,- -,-3754000,-124278000,-500000,-5100000,- -
91,Common Stock Issued,25000000,- -,- -,1645000,- -,- -,- -,- -
92,Common Stock Repurchased,81775000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-25471100,- -,- -,36664000,135431000,114000000,-3100000,31200000
95,Cash Used/Provided by Financing Activities,81303900,-109,- -,34555000,11153000,113500000,-8200000,31200000
96,Effect of Forex Changes on Cash,- -,- -,- -,1121000,-13000,2300000,3200000,1400000
97,Net Change In Cash,1123280,-867039,- -,18542000,2423000,13100000,18000000,700000
98,Cash at the End of Period,1123280,256239,- -,20028000,22451000,29100000,47100000,- -
99,Cash at the Beginning of Period,- -,1123278,- -,1486000,20028000,16000000,29100000,47100000
100,Free Cash Flow,-180620,-866930,- -,-17134000,-8717000,3200000,23000000,-33600000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1615063/000114420415016019/0001144204-15-016019-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000114420416088189/0001144204-16-088189-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1615063/000161577418014163/0001615774-18-014163-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315221010814/0001493152-21-010814-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000121390021018067/0001213900-21-018067-index.htm,https://www.sec.gov/Archives/edgar/data/1615063/000149315222008568/0001493152-22-008568-index.htm
102,false,,,,,,,,
