,https://roic.ai/company/VALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,731000000,1120000000,601000000,1654000000,3003000000,5927000000,7829000000,15233000000,13217000000,7123000000,20314000000,26799000000,5422000000,7241000000,1553000000,-17720000000,7984000000,7829000000,6816000000,-2775000000,4969000000,29541000000
21,Income Before Tax Ratio,0.1858,0.2807,0.1458,0.3092,0.3723,0.4074,0.3984,0.4725,0.3532,0.3056,0.4485,0.4543,0.1112,0.1548,0.0414,-0.6919,0.2905,0.2305,0.1864,-0.0739,0.1242,0.5420
22,Income Tax expense (Gain),-32000000,-218000000,-149000000,297000000,749000000,1014000000,1432000000,3201000000,535000000,2100000000,3705000000,5282000000,-833000000,6833000000,1200000000,-5100000000,2781000000,1495000000,-172000000,-595000000,438000000,4697000000
23,Net Income,1086000000,1287000000,680000000,1548000000,2573000000,4470000000,6528000000,11825000000,13218000000,5349000000,17264000000,22885000000,5511000000,584000000,657000000,-12129000000,3982000000,5507000000,6860000000,-1683000000,4881000000,22445000000
24,Net Income ratio,0.2760,0.3226,0.1649,0.2893,0.3190,0.3072,0.3322,0.3668,0.3532,0.2295,0.3812,0.3879,0.1130,0.0125,0.0175,-0.4736,0.1449,0.1621,0.1876,-0.0448,0.1220,0.4118
25,EPS,0.70,0.83,0.15,0.34,0.56,1.05,1.34,2.41,2.58,1.13,3.23,4.33,0.99,0.11,0.13,-2.35,0.77,1.06,1.32,-0.33,0.95,4.38
26,EPS Diluted,0.70,0.83,0.15,0.34,0.56,1.05,1.34,2.41,2.58,1.13,3.23,4.33,0.99,0.11,0.13,-2.35,0.77,1.06,1.32,-0.33,0.95,4.38
27,Weighted Average Shares Outstanding,4618872000,4618872000,4618872000,4606068000,4606080000,4606080000,4852068000,4832387000,5062148000,5212724000,5311507000,5246794000,5105670000,5153375000,5153375926,5153375000,5153375000,5195283019,5126258410,5128282457,5129910942,5129910942
28,Weighted Average Shares Outstanding Diluted,4618872000,4618872000,4618872000,4610678680,4662708672,4606080000,4852068000,4832387000,5062148000,5212724000,5311507000,5246794000,5105670000,5153375000,5153375926,5153375000,5153375000,5195283019,5126258410,5128282457,5129910942,5129910942
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917851/000095012304007293/0000950123-04-007293-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012305006996/0000950123-05-006996-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012306006979/0000950123-06-006979-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012307007533/0000950123-07-007533-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012308005592/0000950123-08-005592-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012309007362/0000950123-09-007362-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012310040662/0000950123-10-040662-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746911004222/0001047469-11-004222-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746912004389/0001047469-12-004389-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746913003771/0001047469-13-003771-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746914003092/0001047469-14-003092-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746915002553/0001047469-15-002553-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/0001047469-16-011818-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746917002477/0001047469-17-002477-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746918002777/0001047469-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/0001047469-19-002391-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746920002065/0001047469-20-002065-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1211000000,1117000000,1091000000,585000000,1475000000,1157000000,4448000000,1046000000,10331000000,7293000000,7584000000,3531000000,5832000000,5321000000,3974000000,3591000000,4262000000,4328000000,5784000000,7350000000,13487000000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,2308000000,3747000000,1793000000,- -,246000000,3000000,148000000,28000000,18000000,18000000,32000000,826000000,771000000,- -
33,Cash and Short-Term Investments,1211000000,1117000000,1091000000,585000000,1475000000,1157000000,4448000000,1046000000,12639000000,11040000000,9377000000,3531000000,6078000000,5324000000,4122000000,3619000000,4280000000,4346000000,5816000000,8176000000,14258000000,- -
34,Net Receivables,490000000,549000000,660000000,818000000,1158000000,1790000000,4172000000,5175000000,5250000000,4738000000,9910000000,10817000000,9439000000,7543000000,5554000000,2950000000,5359000000,5670000000,3895000000,3400000000,5697000000,- -
35,Inventory,306000000,323000000,292000000,505000000,1090000000,1385000000,3493000000,3859000000,3896000000,3196000000,4298000000,5251000000,5052000000,4125000000,4501000000,3528000000,3349000000,3926000000,4443000000,4274000000,4061000000,- -
36,Other Current Assets,495000000,649000000,546000000,566000000,770000000,1048000000,827000000,1300000000,1453000000,2320000000,8206000000,2137000000,2328000000,7385000000,6057000000,5376000000,9579000000,5012000000,1138000000,1192000000,387000000,- -
37,Total Current Assets,2502000000,2638000000,2589000000,2474000000,4493000000,5380000000,12940000000,11380000000,23238000000,21294000000,31791000000,21736000000,22897000000,24377000000,20234000000,15473000000,22567000000,18954000000,15292000000,17042000000,24403000000,- -
38,PP&E,3955000000,3813000000,3297000000,6484000000,9339000000,14453000000,38007000000,54625000000,49329000000,67637000000,83096000000,88895000000,90744000000,81665000000,78122000000,54102000000,55419000000,54878000000,48385000000,46576000000,41148000000,- -
39,Goodwill,175000000,- -,- -,- -,- -,- -,4484000000,3791000000,1898000000,2313000000,3317000000,3026000000,2947000000,4140000000,3760000000,2956000000,3081000000,4110000000,3653000000,3629000000,3298000000,- -
40,Intangible Assets,- -,540000000,412000000,451000000,- -,- -,- -,- -,- -,1173000000,1274000000,1135000000,1022000000,2731000000,3060000000,2368000000,3790000000,4383000000,4309000000,4870000000,5998000000,- -
41,Intangible Assets,175000000,540000000,412000000,451000000,- -,- -,4484000000,3791000000,1898000000,3486000000,4591000000,4161000000,3969000000,6871000000,6820000000,5324000000,6871000000,8493000000,7962000000,8499000000,9296000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,2353000000,2922000000,2408000000,5450000000,4497000000,8093000000,6492000000,3584000000,4133000000,2940000000,3696000000,3568000000,4212000000,3524000000,2788000000,- -
43,Tax Assets,255000000,227000000,358000000,234000000,398000000,446000000,- -,- -,- -,- -,- -,594000000,2886000000,4523000000,3976000000,7904000000,7343000000,6638000000,6908000000,9217000000,10335000000,- -
44,Other Non-Current Assets,2908000000,2304000000,1299000000,1791000000,2142000000,2659000000,3170000000,3999000000,3058000000,4412000000,5164000000,5249000000,4490000000,3577000000,3204000000,2749000000,3118000000,6653000000,5431000000,6855000000,4037000000,- -
45,Total Non-Current Assets,7293000000,6884000000,5366000000,8960000000,11879000000,17558000000,48014000000,65337000000,56693000000,80985000000,97348000000,106992000000,108581000000,100220000000,96255000000,73019000000,76447000000,80230000000,72898000000,74671000000,67604000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9795000000,9522000000,7955000000,11434000000,16372000000,22938000000,60954000000,76717000000,79931000000,102279000000,129139000000,128728000000,131478000000,124597000000,116489000000,88492000000,99014000000,99184000000,88190000000,91713000000,92007000000,- -
48,Accounts Payable,- -,296000000,325000000,482000000,743000000,1149000000,2382000000,2430000000,2261000000,2309000000,3558000000,4814000000,4529000000,3772000000,4354000000,3365000000,3630000000,4041000000,3512000000,4107000000,3367000000,- -
49,Short-Term Debt,745000000,1053000000,965000000,1257000000,1145000000,1480000000,1459000000,1422000000,710000000,2982000000,2971000000,1541000000,3675000000,1980000000,1725000000,2981000000,2332000000,1973000000,2137000000,2419000000,1861000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,119000000,322000000,55000000,124000000,257000000,524000000,324000000,797000000,1007000000,595000000,657000000,697000000,650000000,512000000,952000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1391000000,572000000,218000000,514000000,1624000000,2364000000,3471000000,6231000000,4266000000,3890000000,11383000000,4688000000,4381000000,3860000000,4658000000,4199000000,5270000000,7100000000,3462000000,7319000000,9366000000,- -
53,Total Current Liabilities,2136000000,1921000000,1508000000,2253000000,3512000000,4993000000,7312000000,10083000000,7237000000,9181000000,17912000000,11043000000,12585000000,9612000000,10737000000,10545000000,11232000000,13114000000,9111000000,13845000000,14594000000,- -
54,Long-Term Debt,2020000000,2191000000,2366000000,2771000000,3406000000,3880000000,21123000000,17608000000,17535000000,20650000000,22875000000,22965000000,28524000000,29450000000,29223000000,26902000000,28564000000,22994000000,16830000000,16948000000,18247000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1497000000,1323000000,1749000000,2090000000,1849000000,1603000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,4527000000,5725000000,4005000000,5755000000,8085000000,5654000000,3538000000,3228000000,3341000000,1670000000,1700000000,1719000000,1532000000,1882000000,1770000000,- -
57,Other Non-Current Liabilities,1061000000,765000000,767000000,1197000000,1846000000,2508000000,5508000000,7470000000,6107000000,6196000000,7826000000,8952000000,10955000000,15874000000,15544000000,11922000000,14404000000,14736000000,14282000000,20045000000,22575000000,- -
58,Total Non-Current Liabilities,3081000000,2956000000,3133000000,3968000000,5252000000,6388000000,31158000000,30803000000,27647000000,32601000000,38786000000,37571000000,43017000000,50049000000,49431000000,42243000000,46758000000,41298000000,34247000000,38875000000,42592000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1791000000,- -,- -
61,Total Liabilities,5217000000,4877000000,4641000000,6221000000,8764000000,11381000000,38470000000,40886000000,34884000000,41782000000,56698000000,48614000000,55602000000,59661000000,60168000000,52788000000,57990000000,54412000000,43358000000,52720000000,57186000000,- -
62,Preferred Stock,- -,- -,904000000,1055000000,- -,- -,4702000000,4953000000,9727000000,9727000000,10370000000,16728000000,16728000000,22907000000,23089000000,23089000000,23089000000,- -,- -,- -,- -,- -
63,Common Stock,1279000000,1479000000,1630000000,1902000000,2749000000,5992000000,- -,- -,- -,- -,- -,- -,25837000000,37671000000,38525000000,38525000000,38525000000,61614000000,61614000000,61614000000,61614000000,- -
64,Retained Earnings,5184000000,5396000000,5518000000,5892000000,- -,4302000000,12060000000,16948000000,27956000000,31690000000,42384000000,45612000000,46295000000,29566000000,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-2608000000,-5175000000,-4375000000,4143000000,- -,-1004000000,1655000000,-11510000000,-1808000000,-333000000,-5673000000,-9613000000,-21790000000,-4414000000,-25694000000,-20244000000,-15573000000,-14030000000,-19092000000,-23429000000,- -
66,Other Total Stockholders Equity,- -,373000000,410000000,410000000,-49000000,- -,- -,- -,- -,- -,- -,- -,-5006000000,-5029000000,-2078000000,-2331000000,-2328000000,-2583000000,-3599000000,-2455000000,-2441000000,- -
67,Total Stockholders Equity,4569000000,4640000000,3287000000,4884000000,6843000000,10294000000,19673000000,33276000000,42556000000,56935000000,68899000000,77715000000,74241000000,63325000000,55122000000,33589000000,39042000000,43458000000,43985000000,40067000000,35744000000,- -
68,Total Liabilities And Stockholders Equity,9786000000,9517000000,7928000000,11105000000,15607000000,21675000000,58143000000,74162000000,77440000000,98717000000,125597000000,126329000000,129843000000,122986000000,115290000000,86377000000,97032000000,97870000000,87343000000,92787000000,92930000000,- -
69,Minority Interest,9000000,5000000,27000000,329000000,765000000,1263000000,2811000000,2555000000,2491000000,3562000000,3542000000,2399000000,1635000000,1611000000,1199000000,2115000000,1982000000,1314000000,847000000,-1074000000,-923000000,- -
70,Total Liabilities & Equity,9795000000,9522000000,7955000000,11434000000,16372000000,22938000000,60954000000,76717000000,79931000000,102279000000,129139000000,128728000000,131478000000,124597000000,116489000000,88492000000,99014000000,99184000000,88190000000,91713000000,92007000000,- -
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917851/000095012304007293/0000950123-04-007293-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012305006996/0000950123-05-006996-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012306006979/0000950123-06-006979-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012307007533/0000950123-07-007533-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012308005592/0000950123-08-005592-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012309007362/0000950123-09-007362-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012310040662/0000950123-10-040662-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746911004222/0001047469-11-004222-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746912004389/0001047469-12-004389-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746913003771/0001047469-13-003771-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746914003092/0001047469-14-003092-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746915002553/0001047469-15-002553-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/0001047469-16-011818-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746917002477/0001047469-17-002477-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746918002777/0001047469-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/0001047469-19-002391-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746920002065/0001047469-20-002065-index.htm,- -,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1086000000,1287000000,680000000,1548000000,2573000000,4470000000,6528000000,11825000000,13218000000,5349000000,17264000000,22885000000,5511000000,584000000,657000000,-12129000000,3982000000,5507000000,6860000000,-1683000000,4881000000,22445000000
74,Depreciation and Amortization,195000000,212000000,214000000,238000000,674000000,853000000,997000000,2186000000,2807000000,2722000000,3260000000,4122000000,4396000000,4150000000,4288000000,4029000000,3487000000,3708000000,3351000000,3726000000,3234000000,- -
75,Deferred Income Tax,-42000000,-172000000,-161000000,207000000,329000000,-233000000,298000000,-700000000,-803000000,16000000,-1291000000,-265000000,-3362000000,-953000000,149000000,-5489000000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-87000000,-27000000,-78000000,57000000,50000000,-710000000,423000000,1236000000,-707000000,1218000000,-1231000000,-4006000000,2859000000,-561000000,3776000000,1253000000,-1074000000,630000000,-875000000,-72000000,-3229000000,335000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-438000000,235000000,-466000000,616000000,-3800000000,-821000000,1900000000,608000000,2546000000,1671000000,-2744000000,1277000000,-156000000,-25000000,-2540000000,1029000000
79,Inventory,-50000000,-40000000,-69000000,-22000000,-263000000,-98000000,859000000,-343000000,-467000000,530000000,503000000,-1343000000,-296000000,346000000,-535000000,-304000000,288000000,-339000000,-817000000,110000000,-180000000,-503000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-47000000,998000000,703000000,121000000,928000000,1076000000,-168000000,-124000000,1013000000,740000000,243000000,232000000,-376000000,655000000,-267000000,251000000
81,Other Working Capital,27000000,- -,- -,- -,- -,- -,51000000,-217000000,-338000000,-82000000,499000000,-162000000,- -,1319000000,- -,-152000000,1006000000,-540000000,474000000,-812000000,-242000000,-469000000
82,Other Non-Cash Items,272000000,218000000,1447000000,-293000000,151000000,100000000,-1014000000,-3535000000,2599000000,-2169000000,1667000000,1760000000,7191000000,11572000000,3937000000,16827000000,186000000,2605000000,3565000000,10139000000,9436000000,2899000000
83,Cash Provided by Operating Activities,1424000000,1518000000,2102000000,1757000000,3777000000,4480000000,7232000000,11012000000,17114000000,7136000000,19669000000,24496000000,16595000000,14792000000,12807000000,4491000000,6581000000,12450000000,12901000000,12110000000,14322000000,25679000000
84,CAPEX,-447000000,-595000000,-766000000,-1543000000,-2265000000,-3957000000,-4431000000,-6651000000,-8972000000,-8096000000,-12647000000,-16075000000,-15777000000,-13105000000,-11813000000,-8371000000,-4951000000,-3831000000,-3784000000,-3704000000,-4430000000,-5033000000
85,Acquisitions Net,-323000000,-516000000,-45000000,-380000000,- -,-694000000,-13201000000,-2926000000,- -,-1952000000,-6252000000,- -,- -,- -,- -,-90000000,- -,- -,- -,-926000000,- -,-555000000
86,Purchases of Investments,-706000000,-338000000,-1000000,-68000000,-109000000,-116000000,-107000000,-324000000,-2436000000,-3386000000,-87000000,-504000000,-720000000,-378000000,-392000000,-66000000,-239000000,-183000000,-23000000,-904000000,-325000000,-42000000
87,Sales/Maturities of Investments,76000000,989000000,- -,83000000,- -,- -,837000000,1042000000,134000000,- -,1954000000,2874000000,974000000,357000000,1246000000,308000000,12000000,- -,- -,- -,630000000,1841000000
88,Other Investing Activites,-89000000,-71000000,-77000000,-92000000,588000000,109000000,-52000000,-147000000,-127000000,275000000,-152000000,-364000000,176000000,2518000000,991000000,2060000000,480000000,656000000,3989000000,-5159000000,-4974000000,-7854000000
89,Cash Used for Investing Activites,-1489000000,-531000000,-889000000,-2000000000,-1786000000,-4658000000,-16954000000,-9006000000,-11401000000,-13159000000,-17184000000,-14069000000,-15347000000,-10608000000,-9968000000,-6159000000,-4698000000,-3358000000,159000000,-6989000000,-4669000000,-6610000000
90,Debt Repayment,-444000000,- -,- -,- -,- -,- -,-11918000000,-16443000000,-2461000000,-1934000000,-4786000000,-3577000000,-1712000000,-3347000000,-1936000000,-2826000000,-7717000000,-8998000000,-7841000000,-2499000000,-6283000000,-2142000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-27000000,- -,- -,-855000000,- -,-301000000,- -,-752000000,-9000000,-1996000000,-3002000000,- -,- -,- -,- -,- -,- -,-1000000000,- -,- -,-5546000000
93,Dividends Paid,-246000000,- -,- -,- -,- -,-1323000000,-1300000000,-1875000000,-2850000000,-2724000000,-3000000000,-9000000000,-6000000000,-4500000000,-4200000000,-1500000000,-250000000,-1456000000,-3313000000,- -,-3350000000,-13483000000
94,Other Financing Activites,620000000,-960000000,-598000000,-398000000,-462000000,981000000,26864000000,13109000000,15067000000,5292000000,7213000000,1208000000,8877000000,3377000000,2275000000,6029000000,6669000000,1752000000,1026000000,-996000000,6957000000,887000000
95,Cash Used/Provided by Financing Activities,-70000000,-987000000,-598000000,-398000000,-1317000000,-342000000,13345000000,-5209000000,9004000000,625000000,-2569000000,-14371000000,1165000000,-4470000000,-3861000000,1703000000,-1298000000,-8702000000,-11128000000,-3495000000,-2676000000,-20284000000
96,Effect of Forex Changes on Cash,-107000000,-94000000,-641000000,135000000,- -,- -,-216000000,-199000000,-5432000000,2360000000,375000000,-109000000,-112000000,-225000000,-325000000,-418000000,86000000,-60000000,-313000000,-60000000,-825000000,-551000000
97,Net Change In Cash,-242000000,-94000000,-26000000,-506000000,673000000,-519000000,3407000000,-3402000000,9285000000,-3038000000,291000000,-4053000000,2301000000,-511000000,-1347000000,-383000000,671000000,66000000,1456000000,1566000000,6137000000,-1766000000
98,Cash at the End of Period,1211000000,1117000000,1091000000,585000000,1475000000,1157000000,4448000000,1046000000,10331000000,7293000000,7584000000,3531000000,5832000000,5321000000,3974000000,3591000000,4262000000,4328000000,5784000000,7350000000,13487000000,11721000000
99,Cash at the Beginning of Period,1453000000,1211000000,1117000000,1091000000,802000000,1676000000,1041000000,4448000000,1046000000,10331000000,7293000000,7584000000,3531000000,5832000000,5321000000,3974000000,3591000000,4262000000,4328000000,5784000000,7350000000,13487000000
100,Free Cash Flow,977000000,923000000,1336000000,214000000,1512000000,523000000,2801000000,4361000000,8142000000,-960000000,7022000000,8421000000,818000000,1687000000,994000000,-3880000000,1630000000,8619000000,9117000000,8406000000,9892000000,20646000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/917851/000095012304007293/0000950123-04-007293-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012305006996/0000950123-05-006996-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012306006979/0000950123-06-006979-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012307007533/0000950123-07-007533-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012308005592/0000950123-08-005592-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012309007362/0000950123-09-007362-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000095012310040662/0000950123-10-040662-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746911004222/0001047469-11-004222-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746912004389/0001047469-12-004389-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746913003771/0001047469-13-003771-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746914003092/0001047469-14-003092-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746915002553/0001047469-15-002553-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746916011818/0001047469-16-011818-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746917002477/0001047469-17-002477-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746918002777/0001047469-18-002777-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746919002391/0001047469-19-002391-index.htm,https://www.sec.gov/Archives/edgar/data/917851/000104746920002065/0001047469-20-002065-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,
