,https://roic.ai/company/SXTC,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,41710,36510,6292
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,10,- -
58,Total Non-Current Liabilities,- -,- -,41710,36520,6292
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,3578768,4372120,6363080,12300830,18586195
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,20000,20000,22710,34670,62057
64,Retained Earnings,357064,1544650,3083870,-7204000,-9952183
65,Other Comprehensive Income/Loss,11825,257373,50395,-590660,527786
66,Other Total Stockholders Equity,1463757,1463752,7950780,17161343,25323747
67,Total Stockholders Equity,1852646,3285775,11107755,9401353,15961407
68,Total Liabilities And Stockholders Equity,5431414,7657895,17470835,21702183,34547602
69,Minority Interest,- -,-5,-5,-3,- -
70,Total Liabilities & Equity,5431414,7657890,17470830,21702180,34547602
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,1185146,1187580,1539230,-10287870,-2748183
74,Depreciation and Amortization,99228,129440,180920,331840,345414
75,Deferred Income Tax,- -,-5850,-7720,-101720,-192683
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,-991332,608992,-1540127,1946558,-1606240
78,Accounts Receivable,-942970,139130,-1577960,361120,-519244
79,Inventory,384224,-475670,167070,280110,38620
80,Accounts Payable,-1472317,966573,-567313,302266,-619537
81,Other Working Capital,78738,- -,- -,- -,-62450
82,Other Non-Cash Items,- -,-2,66887,9045442,2885131
83,Cash Provided by Operating Activities,293042,1920160,239190,934250,-1316561
84,CAPEX,-186308,-1050730,-610090,-406660,-93044
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-8845122
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-7132,-92415,5,-5090044,3132647
89,Cash Used for Investing Activites,-186308,-1143145,-610085,-5496704,-5805519
90,Debt Repayment,-50560,- -,- -,- -,-124946
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,6490490,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-314216,2551593,3024369,12534433
95,Cash Used/Provided by Financing Activities,-50560,-314216,9042083,3024369,12409487
96,Effect of Forex Changes on Cash,-2043,31882,-37024,-466813,784536
97,Net Change In Cash,54131,494680,8634170,-2004900,6071943
98,Cash at the End of Period,65570,560250,9194420,7125950,13358975
99,Cash at the Beginning of Period,11439,65570,560250,9130850,7287032
100,Free Cash Flow,106734,869430,-370900,527590,-1409605
101,SEC Link,- -,- -,- -,- -,- -
102,false,,,,,
