,https://roic.ai/company/BTI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.56,0.64,0.27,0.22,0.25,0.29,0.44,0.51,0.27,1.13,0.84,0.92,1.05,1.23,1.37,1.45,1.57,1.98,2.05,1.67,2.31,2.50,18.36,2.64,2.50,2.80,2.98
26,EPS Diluted,0.56,0.64,0.26,0.22,0.25,0.29,0.44,0.50,0.27,1.13,0.84,0.91,1.04,1.23,1.36,1.44,1.56,1.97,2.05,1.67,2.30,2.49,18.30,2.63,2.49,2.79,2.96
27,Weighted Average Shares Outstanding,1550000000,1550000000,1550000000,1561000000,1910000000,2150000000,2145000000,2145000000,2076844000,2088000000,2095000000,2059000000,2025000000,1993000000,1980000000,1983000000,1970000000,1939000000,1901000000,1864000000,1858000000,1858000000,2044000000,2285000000,2284000000,2286000000,2286000000
28,Weighted Average Shares Outstanding Diluted,1550000000,1550000000,1565000000,1574000000,2058000000,2340000000,2297000000,2212711000,2364181341,2129000000,2112000000,2076000000,2039000000,2005000000,1991000000,1994000000,1982000000,1949000000,1908000000,1870000000,1863000000,1865000000,2051000000,2292000000,2291000000,2295000000,2295000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1303523/000119312518083410/0001193125-18-083410-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312519075779/0001193125-19-075779-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312520086441/0001193125-20-086441-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1231000000,1399000000,1310000000,970000000,1853000000,1667000000,1968000000,1772000000,2283000000,1851000000,1790000000,1456000000,1258000000,2309000000,2161000000,2329000000,2194000000,1930000000,1948000000,1628000000,1794000000,2047000000,3131000000,2432000000,1885000000,1806000000,2809000000
32,Short-Term Investments,221000000,293000000,166000000,185000000,768000000,221000000,331000000,163000000,108000000,86000000,96000000,128000000,75000000,79000000,57000000,58000000,57000000,26000000,54000000,50000000,35000000,15000000,65000000,178000000,123000000,242000000,456000000
33,Cash and Short-Term Investments,1452000000,1692000000,1476000000,1155000000,2621000000,1888000000,2299000000,1935000000,2391000000,1937000000,1886000000,1584000000,1333000000,2388000000,2218000000,2387000000,2251000000,1956000000,2002000000,1678000000,1829000000,2062000000,3196000000,2610000000,2008000000,2048000000,3265000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,2182000000,2086000000,2173000000,2165000000,2850000000,3053000000,2748000000,2599000000,2582000000,2143000000,2274000000,2056000000,1985000000,3177000000,3261000000,3608000000,3498000000,4026000000,4042000000,4133000000,4247000000,5793000000,5864000000,6029000000,6094000000,5998000000,5279000000
36,Other Current Assets,1830000000,1948000000,2256000000,1493000000,2123000000,2310000000,2173000000,2082000000,2571000000,1600000000,1744000000,1751000000,2048000000,3174000000,2627000000,2662000000,2746000000,3204000000,3474000000,3321000000,3738000000,4504000000,4906000000,4016000000,5172000000,5566000000,4263000000
37,Total Current Assets,5464000000,5726000000,5905000000,4813000000,7594000000,7251000000,7220000000,6616000000,7544000000,5680000000,5904000000,5391000000,5366000000,8739000000,8106000000,8657000000,8495000000,9186000000,9518000000,9132000000,9814000000,12359000000,13966000000,12655000000,13274000000,13612000000,12807000000
38,PP&E,1879000000,1833000000,2033000000,2048000000,2456000000,2600000000,2678000000,2602000000,2578000000,2162000000,2331000000,2207000000,2378000000,3076000000,3010000000,3117000000,3047000000,3201000000,3156000000,3004000000,3021000000,3661000000,4882000000,5166000000,5518000000,5060000000,4953000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10793000000,10249000000,9842000000,9324000000,11023000000,44147000000,46163000000,44316000000,43319000000,- -
40,Intangible Assets,- -,- -,- -,- -,5338000000,7158000000,6546000000,6248000000,8012000000,7700000000,7987000000,7476000000,8105000000,12318000000,12232000000,12458000000,11992000000,917000000,956000000,962000000,1112000000,1094000000,73638000000,77850000000,74471000000,72024000000,- -
41,Intangible Assets,- -,- -,- -,- -,5338000000,7158000000,6546000000,6248000000,8012000000,7700000000,7987000000,7476000000,8105000000,12318000000,12232000000,12458000000,11992000000,11710000000,11205000000,10804000000,10436000000,12117000000,117785000000,124013000000,118787000000,115343000000,115625000000
42,Investments,621000000,444000000,514000000,472000000,636000000,201000000,274000000,657000000,737000000,1645000000,2124000000,2004000000,2263000000,2500000000,2490000000,2637000000,2596000000,2341000000,2281000000,2386000000,6940000000,9535000000,1554000000,1598000000,1749000000,1576000000,1542000000
43,Tax Assets,1231000000,1399000000,1310000000,970000000,1853000000,1667000000,1968000000,1772000000,2283000000,246000000,290000000,273000000,264000000,392000000,350000000,411000000,343000000,327000000,248000000,311000000,326000000,436000000,317000000,344000000,424000000,534000000,611000000
44,Other Non-Current Assets,-1135000000,-1310000000,-1212000000,-851000000,-1643000000,-1140000000,-1456000000,-1609000000,-2175000000,342000000,415000000,425000000,388000000,526000000,426000000,580000000,646000000,562000000,473000000,530000000,978000000,1665000000,2534000000,2566000000,1253000000,1565000000,1827000000
45,Total Non-Current Assets,2596000000,2366000000,2645000000,2639000000,8640000000,10486000000,10010000000,9670000000,11435000000,12095000000,13147000000,12385000000,13398000000,18812000000,18508000000,19203000000,18624000000,18141000000,17363000000,17035000000,21701000000,27414000000,127072000000,133687000000,127731000000,124078000000,124558000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8060000000,8092000000,8550000000,7452000000,16234000000,17737000000,17230000000,16286000000,18979000000,17775000000,19051000000,17776000000,18764000000,27551000000,26614000000,27860000000,27119000000,27327000000,26881000000,26167000000,31515000000,39773000000,141038000000,146342000000,141005000000,137690000000,137365000000
48,Accounts Payable,296000000,355000000,325000000,368000000,456000000,528000000,503000000,484000000,649000000,499000000,550000000,611000000,633000000,808000000,650000000,712000000,668000000,5827000000,5741000000,5524000000,5937000000,7335000000,8847000000,10631000000,9727000000,9693000000,9577000000
49,Short-Term Debt,1012000000,1110000000,3528000000,1595000000,1033000000,1085000000,1508000000,696000000,1521000000,1139000000,2202000000,1058000000,861000000,2724000000,1370000000,1334000000,1766000000,1636000000,1980000000,2479000000,2195000000,3007000000,5423000000,4225000000,7562000000,4041000000,3992000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,339000000,438000000,352000000,374000000,292000000,227000000,300000000,364000000,467000000,494000000,404000000,487000000,430000000,414000000,558000000,720000000,853000000,683000000,868000000,879000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2375000000,2424000000,2481000000,2067000000,3411000000,3889000000,3822000000,3536000000,4284000000,2802000000,3084000000,2784000000,3060000000,5346000000,4896000000,5599000000,5413000000,679000000,715000000,766000000,874000000,1514000000,1274000000,1473000000,1534000000,1744000000,1575000000
53,Total Current Liabilities,3683000000,3889000000,6334000000,4030000000,4900000000,5502000000,5833000000,4716000000,6454000000,4440000000,5836000000,4453000000,4554000000,8878000000,6916000000,7645000000,7847000000,8142000000,8436000000,8769000000,9006000000,11856000000,15544000000,16329000000,18823000000,15478000000,15144000000
54,Long-Term Debt,2546000000,2327000000,1068000000,2135000000,4643000000,5066000000,4642000000,4618000000,6089000000,6049000000,5058000000,5568000000,6062000000,9437000000,9712000000,8916000000,8510000000,9083000000,9716000000,9779000000,14806000000,16488000000,44027000000,43284000000,37804000000,39927000000,35666000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,43000000,37000000,59000000,47000000,170000000,248000000,263000000,257000000,198000000,233000000,277000000,296000000,336000000,599000000,527000000,509000000,556000000,500000000,514000000,495000000,563000000,652000000,17129000000,17776000000,17050000000,16314000000,16462000000
57,Other Non-Current Liabilities,921000000,811000000,844000000,853000000,1245000000,1405000000,1409000000,1243000000,1530000000,936000000,1003000000,771000000,723000000,1422000000,1547000000,1242000000,1732000000,1823000000,1280000000,1310000000,2108000000,2371000000,3312000000,3265000000,3168000000,3016000000,2692000000
58,Total Non-Current Liabilities,3510000000,3175000000,1971000000,3035000000,6058000000,6719000000,6314000000,6118000000,7817000000,7218000000,6338000000,6635000000,7121000000,11458000000,11786000000,10667000000,10798000000,11406000000,11510000000,11584000000,17477000000,19511000000,64468000000,64325000000,58022000000,59257000000,54820000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7193000000,7064000000,8305000000,7065000000,10958000000,12221000000,12147000000,10834000000,14271000000,11658000000,12174000000,11088000000,11675000000,20336000000,18702000000,18312000000,18645000000,19548000000,19946000000,20353000000,26483000000,31367000000,80012000000,80654000000,76845000000,74735000000,69964000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,772000000,775000000,388000000,393000000,605000000,575000000,575000000,576000000,550000000,535000000,524000000,517000000,506000000,506000000,506000000,506000000,506000000,507000000,507000000,507000000,507000000,507000000,614000000,614000000,614000000,614000000,614000000
64,Retained Earnings,-283000000,-98000000,-915000000,-813000000,-1017000000,-501000000,-621000000,6000000,-470000000,902000000,1251000000,1639000000,1805000000,1578000000,2168000000,3190000000,2636000000,2253000000,2398000000,1578000000,1754000000,3331000000,36983000000,38557000000,40234000000,42041000000,44212000000
65,Other Comprehensive Income/Loss,-1631000000,-1526000000,-1677000000,-1854000000,-2497000000,-2628000000,-2656000000,-2629000000,-2779000000,-334000000,-2586000000,-2398000000,-2456000000,-3076000000,-3130000000,-3466000000,-3246000000,-3134000000,-2920000000,-2933000000,-2772000000,-3488000000,-3309000000,-3488000000,-3701000000,- -,- -
66,Other Total Stockholders Equity,2009000000,1877000000,2449000000,2661000000,8185000000,8070000000,7785000000,7232000000,7182000000,4816000000,7441000000,6703000000,7016000000,7936000000,8069000000,8976000000,8271000000,7846000000,6649000000,6358000000,5405000000,7832000000,26516000000,29761000000,26755000000,20018000000,22275000000
67,Total Stockholders Equity,867000000,1028000000,245000000,387000000,5276000000,5516000000,5083000000,5185000000,4483000000,5919000000,6630000000,6461000000,6871000000,6944000000,7613000000,9206000000,8167000000,7472000000,6634000000,5510000000,4894000000,8182000000,60804000000,65444000000,63902000000,62673000000,67101000000
68,Total Liabilities And Stockholders Equity,8060000000,8092000000,8550000000,7452000000,16234000000,17737000000,17230000000,16019000000,18754000000,17577000000,18804000000,17549000000,18546000000,27280000000,26315000000,27518000000,26812000000,27020000000,26580000000,25863000000,31377000000,39549000000,140816000000,146098000000,140747000000,137408000000,137065000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,267000000,225000000,198000000,247000000,227000000,218000000,271000000,299000000,342000000,307000000,307000000,301000000,304000000,138000000,224000000,222000000,244000000,258000000,282000000,300000000
70,Total Liabilities & Equity,8060000000,8092000000,8550000000,7452000000,16234000000,17737000000,17230000000,16286000000,18979000000,17775000000,19051000000,17776000000,18764000000,27551000000,26614000000,27860000000,27119000000,27327000000,26881000000,26167000000,31515000000,39773000000,141038000000,146342000000,141005000000,137690000000,137365000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1303523/000119312518083410/0001193125-18-083410-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312519075779/0001193125-19-075779-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312520086441/0001193125-20-086441-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,860000000,988000000,412000000,346000000,556000000,692000000,1010000000,1152000000,631000000,2827000000,1767000000,1896000000,2130000000,2457000000,2713000000,2879000000,3095000000,3841000000,3904000000,3115000000,4290000000,4648000000,37533000000,6032000000,5704000000,6400000000,6801000000
74,Depreciation and Amortization,221000000,231000000,239000000,297000000,350000000,401000000,396000000,338000000,477000000,375000000,325000000,353000000,318000000,420000000,504000000,504000000,516000000,475000000,477000000,523000000,428000000,607000000,902000000,1038000000,1512000000,1450000000,1076000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-109000000,-122000000,174000000,134000000,538000000,617000000,690000000,416000000,814000000,-29000000,239000000,-47000000,150000000,377000000,148000000,500000000,445000000,-489000000,-562000000,-484000000,-494000000,-369000000,-1345000000,1590000000,314000000,109000000,-62000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-66000000,-201000000,-71000000,-36000000,31000000,122000000,234000000,58000000,179000000,45000000,-28000000,21000000,170000000,-367000000,-125000000,-280000000,-47000000,-755000000,-386000000,-405000000,-520000000,-638000000,1409000000,-192000000,-371000000,-144000000,433000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-426000000,-622000000,-478000000,-612000000,-429000000,-630000000,-861000000,-939000000,-715000000,-1835000000,-525000000,-585000000,-621000000,-181000000,-516000000,-403000000,-592000000,600000000,617000000,562000000,496000000,-276000000,-31743000000,1635000000,1466000000,1827000000,1902000000
83,Cash Provided by Operating Activities,546000000,475000000,347000000,165000000,1015000000,1080000000,1235000000,967000000,1207000000,1338000000,1806000000,1617000000,1977000000,3073000000,2849000000,3480000000,3464000000,4427000000,4436000000,3716000000,4720000000,4610000000,5347000000,10295000000,8996000000,9786000000,9717000000
84,CAPEX,-361000000,-360000000,-360000000,-363000000,- -,-362000000,-515000000,-490000000,-428000000,-333000000,-419000000,-483000000,-482000000,-544000000,-554000000,-584000000,-617000000,-804000000,-721000000,-692000000,-601000000,-674000000,-978000000,-943000000,-815000000,-755000000,-745000000
85,Acquisitions Net,-2000000,156000000,-1028000000,652000000,-276000000,123000000,-305000000,65000000,-1798000000,203000000,-120000000,-40000000,111000000,-2057000000,-196000000,12000000,-224000000,250000000,173000000,94000000,-3508000000,-34000000,-17734000000,-15000000,-86000000,39000000,-231000000
86,Purchases of Investments,-19000000,-13000000,-18000000,-30000000,-30000000,-158000000,-75000000,-112000000,-150000000,- -,- -,-37000000,- -,- -,- -,-1000000,- -,- -,-32000000,-31000000,-99000000,-109000000,-170000000,-320000000,-191000000,-343000000,-369000000
87,Sales/Maturities of Investments,3000000,18000000,8000000,7000000,2000000,54000000,67000000,44000000,88000000,80000000,22000000,- -,71000000,9000000,37000000,- -,3000000,24000000,- -,34000000,45000000,22000000,160000000,167000000,339000000,184000000,141000000
88,Other Investing Activites,-229000000,-370000000,435000000,494000000,-1533000000,846000000,-254000000,-44000000,-300000000,98000000,417000000,502000000,461000000,530000000,450000000,581000000,600000000,-10000000,98000000,-38000000,54000000,67000000,-9000000,-95000000,-37000000,-152000000,-154000000
89,Cash Used for Investing Activites,-608000000,-569000000,-963000000,760000000,-1837000000,503000000,-1082000000,-537000000,-2588000000,48000000,-100000000,-58000000,161000000,-2062000000,-263000000,8000000,-238000000,-400000000,-335000000,-470000000,-3991000000,-640000000,-18544000000,-1021000000,-639000000,-783000000,-1140000000
90,Debt Repayment,-711000000,-66000000,-267000000,-1960000000,-2067000000,-915000000,-704000000,-710000000,-323000000,-1280000000,-878000000,-1739000000,-427000000,-731000000,-1853000000,-1582000000,-1304000000,-1821000000,-1421000000,-1300000000,-2028000000,-3840000000,-20827000000,-5596000000,-5640000000,-10633000000,-4843000000
91,Common Stock Issued,9000000,13000000,19000000,42000000,3000000,3000000,3000000,6000000,5000000,4000000,30000000,28000000,27000000,10000000,7000000,7000000,5000000,5000000,4000000,5000000,4000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-695000000,- -,- -,-698000000,-536000000,-549000000,-577000000,-791000000,-516000000,-94000000,-66000000,-878000000,-1379000000,-1583000000,-849000000,-46000000,-64000000,-205000000,-139000000,-117000000,-18000000,-82000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-707000,-773000000,-856000000,-910000000,-1008000000,-1198000000,-1393000000,-1798000000,-2093000000,-2358000000,-2538000000,-2611000000,-2712000000,-2770000000,-2910000000,-3465000000,-4347000000,-4598000000,-4745000000,-4904000000
94,Other Financing Activites,680000000,183000000,1043000000,1115000000,2920000000,- -,741000000,51707000,3296000000,953000000,535000000,1349000000,155000000,2659000000,911000000,450000000,1068000000,1779000000,1644000000,1389000000,4621000000,2585000000,39256000000,452000000,1762000000,7499000000,1080000000
95,Cash Used/Provided by Financing Activities,-22000000,130000000,795000000,-803000000,856000000,-1607000000,40000000,-653000000,1507000000,-1715000000,-1772000000,-1947000000,-2234000000,29000000,-2827000000,-3284000000,-3467000000,-3954000000,-3967000000,-3467000000,-219000000,-4229000000,14759000000,-9630000000,-8593000000,-7897000000,-8749000000
96,Effect of Forex Changes on Cash,- -,- -,- -,40000000,- -,- -,- -,-106000000,-34000000,- -,- -,- -,- -,- -,- -,- -,- -,-176000000,-197000000,-63000000,-272000000,180000000,-391000000,-138000000,-57000000,-253000000,-253000000
97,Net Change In Cash,-84000000,36000000,179000000,162000000,34000000,-24000000,193000000,-1567511000,-1840000000,-1715000000,-66000000,-388000000,-96000000,1040000000,-241000000,204000000,-241000000,-103000000,-63000000,-284000000,238000000,-79000000,1171000000,-494000000,-293000000,853000000,-425000000
98,Cash at the End of Period,219000000,289000000,-2052000000,-440000000,1711000000,860000000,791000000,489000,-5219000000,- -,1664000000,1276000000,1180000000,2220000000,1979000000,2183000000,1942000000,1839000000,1776000000,1492000000,1730000000,1651000000,2822000000,2328000000,2035000000,2888000000,2463000000
99,Cash at the Beginning of Period,303000000,253000000,-2231000000,-602000000,1677000000,884000000,598000000,1568000000,-3379000000,1254000000,1730000000,1664000000,1276000000,1180000000,2220000000,1979000000,2183000000,1942000000,1839000000,1776000000,1492000000,1730000000,1651000000,2822000000,2328000000,2035000000,2888000000
100,Free Cash Flow,185000000,115000000,-13000000,-198000000,1015000000,718000000,720000000,477000000,779000000,1005000000,1387000000,1134000000,1495000000,2529000000,2295000000,2896000000,2847000000,3623000000,3715000000,3024000000,4119000000,3936000000,4369000000,9352000000,8181000000,9031000000,8972000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1303523/000119312518083410/0001193125-18-083410-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312519075779/0001193125-19-075779-index.htm,https://www.sec.gov/Archives/edgar/data/1303523/000119312520086441/0001193125-20-086441-index.htm,- -,- -
102,Forex Rate,1.5508,1.713,1.6475,1.6542,1.6181,1.4959,1.4545,1.6113,1.7857,1.9186,1.7214,1.959,1.9849,1.4628,1.6157,1.5601,1.5535,1.6251,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673,1.3529
