,https://roic.ai/company/SMED,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/898770/0000950129-98-000600-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898770/000104746903018144/a2111167z10ksba.htm,https://www.sec.gov/Archives/edgar/data/898770/000110465903021614/a03-3541_110ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000115752305009411/0001157523-05-009411-index.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000114420407049008/v087246_10ksb.htm,https://www.sec.gov/Archives/edgar/data/898770/000114420408055007/0001144204-08-055007-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184309000924/0001171843-09-000924-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184310001731/0001171843-10-001731-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036111044351/0001140361-11-044351-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877012000014/0000898770-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877013000012/0000898770-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036114034275/0001140361-14-034275-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036115033499/0001140361-15-033499-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036116077870/form10k.htm,https://www.sec.gov/Archives/edgar/data/898770/000114036117033089/0001140361-17-033089-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877018000029/0000898770-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877019000048/0000898770-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877020000065/0000898770-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/898770/000089877021000098/0000898770-21-000098-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,70000,440000,15452,153346,107275,133363,135884,242803,258427,296959,2134152,2035219,4791870,18068000,18280000,17498000,15503000,13717000,15157000,12435000,4675000,5155000,4512000,5416000,27767000
32,Short-Term Investments,- -,- -,2600000,1300000,40984,237941,876287,152851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,70000,3040000,1315452,194330,345216,1009650,288735,242803,258427,296959,2134152,2035219,4791870,18068000,18280000,17498000,15503000,13717000,15157000,12435000,4675000,5155000,4512000,5416000,27767000
34,Net Receivables,- -,110000,200000,473702,794643,709274,784466,740760,981408,964148,935283,1330731,1183975,1606415,2033000,3065000,2427000,2595000,6266000,6647000,5814000,7553000,6370000,9549000,11945000,9758000
35,Inventory,- -,40000,170000,132166,221105,223207,331463,299136,393238,368495,325688,364005,580861,2282504,1738000,1770000,2219000,1632000,1320000,2738000,3919000,4098000,3986000,3770000,5638000,6114000
36,Other Current Assets,- -,- -,90000,83143,80831,149740,219406,125808,153476,89330,98358,196111,369904,793310,3452000,1060000,398000,694000,585000,733000,695000,694000,739000,922000,1287000,1459000
37,Total Current Assets,- -,220000,3500000,2004463,1290909,1427437,2344985,1454439,1770925,1680400,1656288,4024999,4169959,9474099,25291000,24175000,22542000,20424000,21888000,25275000,22863000,17020000,16250000,18753000,24286000,45098000
38,PP&E,- -,40000,120000,189063,180736,221427,269990,597691,539800,438064,473387,590567,1375657,3445053,5631000,5350000,4632000,4440000,3858000,3810000,5032000,6543000,6572000,5867000,17874000,20103000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1039000,6735000,6735000,6735000,6735000,6735000
40,Intangible Assets,- -,- -,100000,- -,60736,40490,20246,- -,10051,11779,60427,75002,130702,148629,207000,- -,464000,668000,715000,666000,1129000,4046000,3525000,3196000,2771000,2239000
41,Intangible Assets,- -,- -,100000,80981,60736,40490,20246,- -,10051,11779,60427,75002,130702,148629,207000,325000,464000,668000,715000,666000,2168000,10781000,10260000,9931000,9506000,8974000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2120655,503000,748000,- -,- -,- -,- -,- -,- -,- -,- -,1252000,157000
44,Other Non-Current Assets,- -,460000,410000,320000,320000,331695,357294,11695,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000,120000,149000,1489000,1218000,1099000
45,Total Non-Current Assets,- -,500000,630000,590044,561472,593612,647530,609386,549851,449843,533814,665569,1506359,5714337,6341000,6423000,5096000,5108000,4573000,4476000,7284000,17444000,16981000,17287000,29850000,30333000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,720000,4130000,2594507,1852381,2021049,2992515,2063825,2320776,2130243,2190102,4690568,5676318,15188436,31632000,30598000,27638000,25532000,26461000,29751000,30147000,34464000,33231000,36040000,54136000,75431000
48,Accounts Payable,- -,- -,150000,161985,354538,560954,636124,567918,592943,567398,526582,557302,778423,2499146,1220000,965000,752000,1085000,1617000,1770000,1620000,1710000,1834000,3287000,4399000,4136000
49,Short-Term Debt,- -,400000,- -,23089,64718,129299,648011,443875,223445,48558,40260,1809,- -,- -,- -,- -,- -,- -,- -,- -,- -,601000,537000,517000,1658000,3263000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,85843,323088,790302,772939,996597,826764,883678,1063016,1220600,1375000,1724000,1881000,1351000,1337000,1877000,2477000,2421000,1894000,2502000,3262000,7028000
52,Other Current Liabilities,- -,520000,960000,1221316,1500280,794580,290440,226427,338153,283953,262219,613851,432971,1188589,1079000,1260000,1302000,1345000,1046000,1917000,1534000,1800000,1727000,1872000,3917000,2726000
53,Total Current Liabilities,- -,920000,1110000,1406390,1919536,1570676,1897663,2028522,1927480,1896506,1655825,2056640,2274410,4908335,3674000,3949000,3935000,3781000,4000000,5564000,5631000,6532000,5992000,8178000,13236000,17153000
54,Long-Term Debt,- -,20000,40000,14817,8780,2745,24227,245499,10826,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2002000,1465000,948000,3505000,10188000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,624841,583000,401000,358000,579000,524000,483000,483000,478000,470000,503000,705000,1461000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,293914,251096,129314,339860,377393,282377,464803,516372,84872,434000,383000,165000,102000,33000,118000,190000,165000,130000,42000,7112000,45000
58,Total Non-Current Liabilities,- -,20000,40000,14817,8780,296659,275323,374813,350686,377393,282377,464803,516372,709713,1017000,784000,523000,681000,557000,601000,673000,2645000,2065000,1736000,11322000,11694000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,102314,84446,42112,1809,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8863000,9387000
61,Total Liabilities,- -,940000,1150000,1421207,1928316,1867335,2172986,2403335,2278166,2273899,1938202,2521443,2790782,5618048,4691000,4733000,4458000,4462000,4557000,6165000,6304000,9177000,8057000,9914000,24558000,28847000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,50000,10000,76264,76264,87053,98220,99103,105381,105473,105513,119985,125802,132575,149000,151000,152000,154000,155000,156000,158000,163000,164000,165000,168000,176000
64,Retained Earnings,- -,-370000,-1320000,-3262850,-4544387,-5505937,-6125004,-7402531,-7520410,-7713510,-7331881,-6547181,-6465608,-2268518,7087000,4112000,491000,-2221000,-1265000,-105000,-92000,-1385000,-2057000,-1505000,761000,13629000
65,Other Comprehensive Income/Loss,- -,-10000,-120000,- -,-134793,-226907,-299454,-429502,-507945,-650532,-790397,-878248,-933129,-996973,-1424000,-2337000,-3335000,-4269000,-5319000,-6036000,-6323000,-7205000,-7611000,-8495000,-9190000,- -
66,Other Total Stockholders Equity,- -,110000,4410000,4359886,4526981,5799505,7145767,7393420,7965584,8114913,8268665,9474569,10158471,12703304,21129000,23939000,25872000,27406000,28333000,29571000,30100000,33714000,34678000,35961000,37839000,32779000
67,Total Stockholders Equity,- -,-220000,2980000,1173300,-75935,153714,819529,-339510,42610,-143656,251900,2169125,2885536,9570388,26941000,25865000,23180000,21070000,21904000,23586000,23843000,25287000,25174000,26126000,29578000,46584000
68,Total Liabilities And Stockholders Equity,- -,720000,4130000,2594507,1852381,2021049,2992515,2063825,2320776,2130243,2190102,4690568,5676318,15188436,31632000,30598000,27638000,25532000,26461000,29751000,30147000,34464000,33231000,36040000,54136000,75431000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,720000,4130000,2594507,1852381,2021049,2992515,2063825,2320776,2130243,2190102,4690568,5676318,15188436,31632000,30598000,27638000,25532000,26461000,29751000,30147000,34464000,33231000,36040000,54136000,75431000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/898770/0000950129-98-000600-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898770/000104746903018144/a2111167z10ksba.htm,https://www.sec.gov/Archives/edgar/data/898770/000110465903021614/a03-3541_110ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000115752305009411/0001157523-05-009411-index.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000114420407049008/v087246_10ksb.htm,https://www.sec.gov/Archives/edgar/data/898770/000114420408055007/0001144204-08-055007-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184309000924/0001171843-09-000924-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184310001731/0001171843-10-001731-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036111044351/0001140361-11-044351-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877012000014/0000898770-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877013000012/0000898770-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036114034275/0001140361-14-034275-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036115033499/0001140361-15-033499-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036116077870/form10k.htm,https://www.sec.gov/Archives/edgar/data/898770/000114036117033089/0001140361-17-033089-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877018000029/0000898770-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877019000048/0000898770-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877020000065/0000898770-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/898770/000089877021000098/0000898770-21-000098-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-300000,-960000,-1938419,-1281537,-961550,-819038,-1277527,-117879,-193100,381629,784700,81573,4197090,9356000,-2975000,-3621000,-2712000,956000,1160000,13000,-1293000,-672000,214000,2266000,12868000
74,Depreciation and Amortization,- -,10000,10000,114057,124050,112360,117398,150294,160644,157460,154475,202502,265613,418448,796000,1003000,1117000,1103000,1105000,830000,816000,1485000,1561000,1663000,1606000,1989000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-820557,1551000,-290000,1035000,- -,- -,- -,- -,- -,-8000,251000,-1495000,1095000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703806,980000,871000,786000,514000,438000,511000,676000,496000,476000,400000,518000,974000
77,Change in Working Capital,- -,-945000,3090000,-1791927,-1226700,485388,590561,-1021405,417528,-59551,216569,1967896,-72810,2670215,17051236,-1391000,-1619000,-1964000,1245000,1823000,-2479000,-6744000,-230000,317000,475000,16895000
78,Accounts Receivable,- -,- -,-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-392625,-427000,-1032000,638000,-380000,-2133000,-1919000,926000,-1244000,1121000,-3000000,-2971000,1894000
79,Inventory,- -,- -,-130000,39339,-88939,-2102,-108256,-54591,-94102,24743,42807,-38317,-216856,-1701643,545000,-32000,-449000,587000,156000,-1418000,-1055000,-61000,305000,-492000,-1887000,-532000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-700000,2390000,598073,-628627,-143239,447322,-574083,-156555,-216106,463,1968359,1895549,4565764,21617000,20226000,18607000,16643000,17888000,19711000,17232000,10488000,10258000,10575000,11050000,27945000
82,Other Non-Cash Items,- -,1195000,-2600000,1962549,1290649,-411053,-312049,912284,-466978,389606,-429986,-1858420,243025,-2373084,-20452236,2817000,1991000,2107000,-4400000,-2162000,2162000,5478000,1242000,-1920000,-2678000,-11864000
83,Cash Provided by Operating Activities,- -,-40000,-460000,-1653740,-1093538,-774855,-423128,-1236354,-6685,294415,322687,1096678,517401,4795918,9282000,35000,-311000,-952000,-656000,2162000,1188000,-578000,2369000,925000,692000,21957000
84,CAPEX,- -,-10000,-130000,-112525,-63176,-132805,-145717,-83685,-93200,-64333,-238446,-334257,-1178540,-2505773,-3041000,-851000,-621000,-1131000,-570000,-733000,-1926000,-2649000,-1298000,-1031000,-4157000,-2885000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-7000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1300000,-4276316,-513958,-1387337,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2600000,5535332,317001,748991,502287,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-300000,-2630000,80000,- -,- -,- -,320000,-10408,15685,- -,- -,- -,-44688,-87000,-149000,-169000,-222000,-102000,-6000,448000,-454000,-76000,-282000,-185000,-79000
89,Cash Used for Investing Activites,- -,-310000,-2760000,1267475,1195840,-329762,-784063,738602,-103608,-48648,-238446,-334257,-1178540,-2505773,-3041000,-851000,-621000,-1131000,-570000,-733000,-3478000,-9940000,-1288000,-1031000,-4154000,-2882000
90,Debt Repayment,- -,- -,- -,-42781,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3184000,-601000,-537000,-517000,-861000
91,Common Stock Issued,- -,- -,- -,- -,- -,1000000,1226667,57251,500000,6834,2892,1115032,554389,- -,4873000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,3830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000,-607000,-128000,-745000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,400000,-230000,- -,35592,58546,6612,79032,-282788,-236977,-48601,-40260,7817,466506,2162000,1028000,150000,162000,47000,139000,313000,5942000,- -,- -,4883000,4137000
95,Cash Used/Provided by Financing Activities,- -,400000,3600000,-42781,35592,1058546,1233279,136283,217212,-230143,-45709,1074772,562206,466506,7035000,1028000,150000,88000,-560000,11000,-432000,2758000,-601000,-537000,4366000,3276000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,60000,380000,-429046,137894,-46071,26088,-361469,106919,15624,38532,1837193,-98933,2756651,13276000,212000,-782000,-1995000,-1786000,1440000,-2722000,-7760000,480000,-643000,904000,22351000
98,Cash at the End of Period,- -,60000,450000,15452,153346,107275,133363,135884,242803,258427,296959,2134152,2035219,4791870,18068000,18280000,17498000,15503000,13717000,15157000,12435000,4675000,5155000,4512000,5416000,27767000
99,Cash at the Beginning of Period,- -,- -,70000,444498,15452,153346,107275,497353,135884,242803,258427,296959,2134152,2035219,4792000,18068000,18280000,17498000,15503000,13717000,15157000,12435000,4675000,5155000,4512000,5416000
100,Free Cash Flow,- -,-50000,-590000,-1766265,-1156714,-907660,-568845,-1320039,-99885,230082,84241,762421,-661139,2290145,6241000,-816000,-932000,-2083000,-1226000,1429000,-738000,-3227000,1071000,-106000,-3465000,19072000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/898770/0000950129-98-000600-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898770/000104746903018144/a2111167z10ksba.htm,https://www.sec.gov/Archives/edgar/data/898770/000110465903021614/a03-3541_110ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000115752305009411/0001157523-05-009411-index.htm,- -,https://www.sec.gov/Archives/edgar/data/898770/000114420407049008/v087246_10ksb.htm,https://www.sec.gov/Archives/edgar/data/898770/000114420408055007/0001144204-08-055007-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184309000924/0001171843-09-000924-index.html,https://www.sec.gov/Archives/edgar/data/898770/000117184310001731/0001171843-10-001731-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036111044351/0001140361-11-044351-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877012000014/0000898770-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877013000012/0000898770-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036114034275/0001140361-14-034275-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036115033499/0001140361-15-033499-index.html,https://www.sec.gov/Archives/edgar/data/898770/000114036116077870/form10k.htm,https://www.sec.gov/Archives/edgar/data/898770/000114036117033089/0001140361-17-033089-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877018000029/0000898770-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877019000048/0000898770-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/898770/000089877020000065/0000898770-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/898770/000089877021000098/0000898770-21-000098-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
