,https://roic.ai/company/VERY,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,666414000,654970000,721782000,259638000,788007
69,Minority Interest,- -,- -,-410668000,-255389000,- -
70,Total Liabilities & Equity,666414000,654970000,311114000,4249000,788007
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575434/000156459020014221/0001564590-20-014221-index.htm,https://www.sec.gov/Archives/edgar/data/1575434/000156459021017062/0001564590-21-017062-index.htm,https://www.sec.gov/Archives/edgar/data/1575434/000095017022005190/0000950170-22-005190-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-8241000,-13847000,-19324000,-25028000,-16657000
74,Depreciation and Amortization,818000,1445000,1439000,- -,- -
75,Deferred Income Tax,-2060000,-3033000,-1732000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,15758000,-9239000,-445683000,448861000,6487814
78,Accounts Receivable,2089000,7314000,3731000,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-9239000,-454922000,-6061000,426814
82,Other Non-Cash Items,3205000,28877000,462510000,-435334000,-1331814
83,Cash Provided by Operating Activities,9480000,4203000,-2790000,-11501000,-11501000
84,CAPEX,- -,- -,- -,- -,- -
85,Acquisitions Net,802000,840000,109000,- -,- -
86,Purchases of Investments,-81276000,-66340000,-158414000,- -,- -
87,Sales/Maturities of Investments,82427000,75673000,133898000,29800000,3540000
88,Other Investing Activites,-10503000,-7633000,-1208000,-4869000,-3905000
89,Cash Used for Investing Activites,-8550000,2540000,-25615000,24931000,-365000
90,Debt Repayment,- -,-5261000,-7093000,- -,- -
91,Common Stock Issued,- -,- -,140563000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,-8586000,7736000,-88207000,- -,- -
95,Cash Used/Provided by Financing Activities,-8586000,2475000,45263000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-7656000,9218000,16858000,13430000,-11866000
98,Cash at the End of Period,11766000,20984000,37842000,15750000,3884000
99,Cash at the Beginning of Period,19422000,11766000,20984000,2320000,15750000
100,Free Cash Flow,9480000,4203000,-2790000,-11501000,-11501000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575434/000156459020014221/0001564590-20-014221-index.htm,https://www.sec.gov/Archives/edgar/data/1575434/000156459021017062/0001564590-21-017062-index.htm,https://www.sec.gov/Archives/edgar/data/1575434/000095017022005190/0000950170-22-005190-index.htm
102,false,,,,,
