,https://roic.ai/company/ASPN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,8191000,12787000,- -,9498000,5023000,5638000,5977000,3987000,5862000,3864000,8057000,3884000,10819000
53,Total Current Liabilities,12025000,19098000,- -,21144000,31548000,20208000,17409000,18130000,21569000,23066000,30434000,13927000,36555000
54,Long-Term Debt,247000,7820000,- -,108623000,119574000,89000,- -,- -,- -,- -,- -,2059000,12991000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,4485000,9786000,9555000,5000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,46310000,119980000,- -,79000,1286000,1030000,191000,975000,1303000,1218000,4292000,4031000,- -
58,Total Non-Current Liabilities,46557000,127800000,- -,108702000,120860000,1119000,191000,975000,1303000,5703000,14078000,15645000,17991000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,66000,72000,- -,122000,240000,165000,107000,39000,- -,- -,5330000,4643000,15238000
61,Total Liabilities,58582000,146898000,- -,129846000,152408000,21327000,17600000,19105000,22872000,28769000,44512000,29572000,54546000
62,Preferred Stock,- -,- -,- -,86250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,26000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,-186265000,-196175000,- -,-285149000,-332760000,-399084000,-405501000,-417524000,-437145000,-471585000,-486150000,-507959000,- -
65,Other Comprehensive Income/Loss,- -,8000,- -,-36565000,-43221000,- -,-62246000,-71984000,-82530000,-92703000,-102749000,- -,- -
66,Other Total Stockholders Equity,192392000,138038000,- -,287169000,314015000,- -,590221000,605072000,620618000,634542000,647889000,575811000,- -
67,Total Stockholders Equity,6153000,-58103000,- -,-34545000,-61966000,123716000,122474000,115564000,100943000,70254000,58990000,67852000,128408000
68,Total Liabilities And Stockholders Equity,64735000,88795000,- -,95301000,90442000,145043000,140074000,134669000,123815000,99023000,103502000,97424000,182954000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,64735000,88795000,- -,95301000,90442000,145043000,140074000,134669000,123815000,99023000,103502000,97424000,182954000
71,SEC Link,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145986/000119312516493372/0001193125-16-493372-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459017003151/0001564590-17-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459018004115/0001564590-18-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459019006884/0001564590-19-006884-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459020009181/0001564590-20-009181-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459021012925/0001564590-21-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459022007814/0001564590-22-007814-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-18639000,-9910000,-32832000,-56142000,-47611000,-66324000,-6417000,-12023000,-19321000,-34440000,-14565000,-21809000,-37094000
74,Depreciation and Amortization,5630000,4633000,7521000,9684000,10061000,10183000,9887000,9853000,10753000,10787000,10213000,10198000,9440000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,831000,468000,1064000,1654000,4426000,8781000,5413000,5313000,5091000,4302000,3771000,5004000,5176000
77,Change in Working Capital,-3794000,26277000,2957000,-23591000,-4592000,56628000,-8930000,-12182000,-5963000,-11908000,1150000,17861000,42399000
78,Accounts Receivable,232000,-5971000,2871000,-6796000,-4809000,838000,-2644000,3089000,-8704000,-1723000,-6689000,16231000,-4643000
79,Inventory,1591000,-652000,-7269000,3177000,-547000,1995000,-1635000,-6336000,3953000,1597000,-1450000,-4331000,1112000
80,Accounts Payable,-1295000,181000,-708000,1676000,-1686000,687000,1517000,105000,1269000,1557000,141000,-7149000,7379000
81,Other Working Capital,-4511000,21766000,24723000,1132000,-3460000,53168000,44238000,32056000,26093000,14185000,15335000,33196000,75595000
82,Other Non-Cash Items,3000000,-36594000,-2863000,42516000,24028000,-2620000,5406000,8461000,4834000,22605000,-1623000,-21178000,-38549000
83,Cash Provided by Operating Activities,-12972000,-15126000,-24153000,-25879000,-13688000,6648000,5359000,-578000,-4606000,-8654000,-1054000,-9924000,-18628000
84,CAPEX,-1644000,-11341000,-36304000,-10236000,-3329000,-13241000,-21956000,-13216000,-6118000,-3593000,-2112000,-3416000,-13778000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-15037000,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,10972000,4026000,- -,- -,- -,2500000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1783000,-11642000,-35898000,-9785000,-3329000,-13241000,-21956000,-13216000,-6118000,-3593000,-2112000,-3416000,-13778000
89,Cash Used for Investing Activites,-1783000,-15707000,-31872000,-9785000,-3329000,-13241000,-21956000,-13216000,-6118000,-3593000,-2112000,-3416000,-13778000
90,Debt Repayment,-269000,-282000,-2279000,-24219000,-20309000,-24429000,-80000,-68000,-23527000,-56285000,- -,- -,- -
91,Common Stock Issued,- -,2000,31000,5000,- -,74714000,- -,- -,- -,- -,- -,15036000,75000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,30538000,30411000,42714000,49980000,37557000,4453000,-238000,-856000,26859000,61165000,3472000,11167000,17474000
95,Cash Used/Provided by Financing Activities,30269000,30131000,40466000,25766000,17248000,54738000,-318000,-924000,3332000,4880000,3472000,26203000,92474000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,15514000,-702000,-15559000,-9898000,231000,48145000,-16915000,-14718000,-7392000,-7367000,306000,12863000,60068000
98,Cash at the End of Period,27502000,26800000,11241000,1343000,1574000,49719000,32804000,18086000,10694000,3327000,3633000,16496000,76564000
99,Cash at the Beginning of Period,11988000,27502000,26800000,11241000,1343000,1574000,49719000,32804000,18086000,10694000,3327000,3633000,16496000
100,Free Cash Flow,-14616000,-26467000,-60457000,-36115000,-17017000,-6593000,-16597000,-13794000,-10724000,-12247000,-3166000,-13340000,-32406000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145986/000119312516493372/0001193125-16-493372-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459017003151/0001564590-17-003151-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459018004115/0001564590-18-004115-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459019006884/0001564590-19-006884-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459020009181/0001564590-20-009181-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459021012925/0001564590-21-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1145986/000156459022007814/0001564590-22-007814-index.htm
102,false,,,,,,,,,,,,,
