,https://roic.ai/company/OPT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-511891,-627419,-163350,-72459,-348027,-78916,-521999,-967051,-2450811,-3195883,3967509,-534339,-820258,-3203424,-2968586,4083482,16812873,-3907416,14381758,51851,-7546905,-10147328,-11196543,-8918896,-7223530,-6256098,-6973374,-5179097,-7497033,-21730123,-25965704,-17107424,-50176674
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-10.1900,-16.5817,0.0014,-Infinity,-Infinity,-334.7012,-Infinity,333.7512,1259.9855,-Infinity,751.7998,3.6130,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-731.2998
17,Operating Income,7550,-7932,-68254,-44073,-74816,-114720,-135649,-208688,-259091,-651014,-739791,-547438,-12758,-3627940,-2968586,-1783908,-2309338,-3545192,-14359197,-8248710,-8460070,-8676748,-12273172,-8897525,-6875781,-6591145,-6802256,-5791776,-7548191,-21866464,-25734956,-17482923,-39641948
18,Operating Income ratio,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0773,-3.3778,-0.0003,-Infinity,-Infinity,-379.0557,-Infinity,-145.8023,-173.0658,-Infinity,-750.6204,-574.7756,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-577.7615
19,Total Other Income Expenses (Gains),-418271,-484644,-70555,-16434,-266531,69417,-336636,-680401,-798943,-578809,2322092,1277855,-815460,394393,521969,5840798,18907260,-1037189,24552965,7180150,489800,2864707,470506,1418018,886828,142823,573249,-257884,354874,622441,839983,262046,-10641394
20,Income Before Tax,-410721,-492576,-138809,-60507,-341347,-45303,-472284,-889088,-1058034,-1229823,1582302,730417,-828218,-3233547,-2446617,4056890,16597922,-4582381,10193768,-1068559,-7970271,-5812041,-11802665,-7479508,-5988953,-6448322,-6229006,-6049659,-7193318,-21244023,-24894973,-17220877,-50283342
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.3991,-6.3809,0.0005,Infinity,-Infinity,-337.8486,-Infinity,331.5778,1243.8767,-Infinity,532.8746,-74.4579,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-732.8544
22,Income Tax expense (Gain),-544000,-621000,-181000,-81000,-511000,-62000,-665000,-1129000,-1403969,-1981036,2370320,- -,- -,86,-83757,- -,2794,252366,4853898,1118675,37017,93063,-831430,-2458266,-1421839,-2692115,-2086441,-1171852,-2434384,-8827773,-10250843,-5863279,-4938846
23,Net Income,-410721,-492576,-138809,-60507,-341347,-45303,-472284,-857588,-1053626,-1229823,1582302,730417,-801172,-3233633,-2362860,4056890,16599334,-4802887,9502444,-1098157,-8003235,-5905103,-10971235,-4950420,-4339225,-3762350,-4074368,-4859620,-4758934,-12416249,-14644130,-11357599,-45344496
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.3808,-6.3809,0.0005,Infinity,-Infinity,-337.8576,-Infinity,331.5778,1243.9825,-Infinity,496.7359,-76.5203,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-660.8732
25,EPS,-0.15,-0.18,-0.05,-0.23,-0.12,-0.01,-0.14,-0.25,-0.29,-0.34,0.42,0.17,-0.16,-0.61,-0.45,0.79,3.24,-0.94,1.85,-0.21,-1.40,-1.02,-1.86,-0.83,-0.70,-0.61,-0.30,-0.26,-0.24,-0.49,-0.50,-0.35,-0.87
26,EPS Diluted,-0.15,-0.18,-0.05,-0.23,-0.12,-0.01,-0.14,-0.25,-0.29,-0.34,0.37,0.17,-0.16,-0.61,-0.45,0.79,3.24,-0.94,1.84,-0.21,-1.40,-1.02,-1.86,-0.83,-0.70,-0.61,-0.30,-0.26,-0.24,-0.49,-0.50,-0.35,-0.87
27,Weighted Average Shares Outstanding,2789163,2789163,2789164,2789164,3064116,3171539,3258363,3396740,3575958,3619201,3987544,4202573,5229330,5275624,5280483,5137388,5131106,5131306,5131306,5131306,5706855,5785747,5914434,5951664,6213686,6219415,13636662,18774652,20153630,25197576,29099421,32599468,52159149
28,Weighted Average Shares Outstanding Diluted,2789163,2789163,2789164,2789164,3064116,3171539,3258363,3396740,4469948,4222401,3987544,4202573,5229330,5275624,5280483,5137388,5131106,5153979,5164889,5131306,5706855,5785747,5914434,5951664,6213686,6219415,13636662,18774652,20153630,25197576,29099421,32599468,52159149
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1215000,386000,200000,520000,680000,883000,855000,2762000,2757154,1985861,109602,459931,25412146,20004548,9891715,12186941,18817981,10839450,40876491,44217551,31343061,27072765,23624408,16823817,10042200,6743009,14140144,10818176,39928616,23881753,15081743,42615441,118193177
32,Short-Term Investments,530000,61000,92000,206000,124000,- -,- -,- -,- -,- -,4918478,13800000,201066,128266,46717,27630,14274,9897502,12055,- -,- -,- -,- -,- -,- -,- -,- -,126281,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1745000,447000,292000,726000,804000,883000,855000,2762000,2757154,1985861,5028080,14259931,25613212,20132814,9938432,12214571,18832255,20736953,40888546,44217551,31343061,27072765,23624408,16823817,10042200,6743009,14140144,10944457,39928616,23881753,15081743,42615441,118193177
34,Net Receivables,79000,24000,9000,85000,21000,25000,56000,69000,413340,210405,35316,113337,251992,57408,63680,62269,180681,83288,265574,513699,382854,304175,222887,1695102,332013,389610,180161,165046,391115,289232,207150,195411,5538184
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24931,24359,32557,52256,180252,150095,298051,162552,309345,91210,60863,85639,75890,1919892,2264446,2493615,1321076,2200629,9042463,10548209,6192157,14386155
37,Total Current Assets,1824000,471000,301000,811000,825000,908000,911000,2831000,3170494,2196266,5063396,14398199,25889563,20222779,10054368,12457092,19163032,21118292,41316673,45040594,31817125,27437803,23932934,18594809,12294105,9397065,16813920,12430579,42520359,33213448,25837102,49003008,138117516
38,PP&E,3000,2000,1000,- -,- -,9000,10000,15000,113521,94016,82364,84961,103818,78570,48824,35150,29092,33250,69446,76267,53743,45766,104210,109397,75332,140074,84536,68069,49056,50750,37862,192868,117111
39,Goodwill,15000,14000,12000,11000,9000,8000,7000,49000,37900,26960,16017,165,- -,- -,- -,- -,148586,110727,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,37900,26960,16017000,165,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,511697,456300,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,15000,14000,12000,11000,9000,8000,7000,49000,37900,26960,16017,165,- -,- -,- -,- -,148586,110727,- -,- -,- -,- -,- -,511697,456300,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,366680,362416,656890,753230,-4095089,14362159,16590471,13576742,21610656,15160406,6005745,1319790,1941393,1947675,3737218,2081200,2142299,1565438,235916,882363,582753,500125,199251,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,914096,161431,400626,123705,38700,202468,180712,70622,52851,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1444000,1443000,1441000,1436000,1633000,1992000,2090000,2095000,2168888,1807208,1773825,10347236,21002643,25513338,367212,381027,0,- -,- -,- -,- -,0,-0,0,- -,- -,0,- -,-0,- -,- -,0,174541
45,Total Non-Current Assets,1462000,1459000,1454000,1447000,1642000,2009000,2107000,2159000,2320309,2294864,2234622,11089252,21859691,21496819,14778195,17006649,13754421,22668729,15391283,6482638,1497238,2025859,2254353,4539024,2683454,2335223,1649974,303985,931418,633503,537987,392119,291652
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3286000,1930000,1755000,2258000,2467000,2917000,3018000,4990000,5490803,4491130,7298018,25487451,47749254,41719598,24832563,29463741,32917453,43787021,56707956,51523232,33314363,29463662,26187287,23133833,14977558,11732289,18463893,12734564,43451777,33846951,26375089,49395127,138409168
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,111547,86757,59166000,243819,128000,83000,102394,89761,211670,569512,1843054,1313719,1406883,1799966,2133712,1717127,1225803,1248909,1314976,1182927,1195535,5305965,4129146,4011485,2417719
49,Short-Term Debt,- -,- -,10000,27000,1000,- -,- -,13000,2859,- -,- -,- -,- -,- -,- -,- -,3812487,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99662,112965
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83799
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,46000,32000,28000,25000,31000,44000,93000,101000,49959,66948,-59074332,48577,65946,106541,203870,212320,245748,404429,790639,395780,474622,459530,469619,457947,517599,412829,409373,319736,343476,470874,434319,642920,575801
53,Total Current Liabilities,46000,32000,38000,52000,32000,44000,93000,114000,164365,153705,91668,292396,193946,189541,306264,302081,4269905,973941,2633693,1709499,1881505,2259496,2603331,2175073,1743401,1661738,1724349,1502663,1539010,5776839,4563465,4754067,3106485
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82477,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,718959,2340293,620603,123785,131845,202468,180712,70622,52851,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4000,7000,2902,8233,50438,72875,131145,181852,11992,10257,19181,26939,24294,9318,17132,29365,56591,108692,59557,151528,79056,46495,38390,28941,17399,27620,16915
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,4000,7000,2902,8233,50438,72875,131145,181852,11992,10257,19181,745898,2364588,629920,140917,161210,259059,289404,130179,204379,79056,46495,38390,28941,17399,110097,16915
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23983,- -,38363,- -,- -,- -,281833,- -,- -,- -,260358,- -,- -,- -,76780,- -,- -,220194,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182139,112965
61,Total Liabilities,46000,32000,38000,52000,32000,44000,97000,121000,167267,161938,142106,365271,325091,371393,318255,312338,4289086,1719839,4998281,2339419,2022421,2420706,2862390,2464477,1873580,1866117,1803405,1549158,1577401,5805780,4580865,4864164,3123400
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,2238000,1806000,1806000,2181000,2396000,2496000,2558000,2808000,2948461,3058461,10719047,26805047,50229839,50344994,32939204,33836360,25290494,24612262,28132296,31733314,30969828,32613006,41012862,40317255,36005487,37145511,41295899,40210427,75195570,72286160,79153705,111383896,234147526
64,Retained Earnings,-52000,-663000,-844000,-925000,-1436000,-1498000,-2200000,-3289000,-4686826,-6667862,-4297542,-3074166,-4644521,-10388100,-9362362,-5657694,2168408,2840782,12749514,13283333,3201750,-2533695,-14157512,-14827748,-17561695,-21880092,-21763871,-31405788,-37076014,-47858664,-60271213,-70491182,-124123982
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40346,-51540,-89222,-111055,-130947,937465,972737,1060875,14540319,6484984,357460,-2899184,-3036356,-3530452,-6135686,-6167846,-6288100,-3498640,2380767,3754821,3613675,2911732,3638249,25262224
66,Other Total Stockholders Equity,1054000,755000,755000,950000,1475000,1875000,2563000,5344000,7061901,7978939,785947,1480521,1502360,1522258,- -,-0,0,0,-0,0,- -,- -,0,- -,0,-0,0,0,-0,- -,-0,-0,- -
67,Total Stockholders Equity,3240000,1898000,1717000,2206000,2435000,2873000,2921000,4863000,5323536,4329192,7155912,25122180,46976623,41348205,24514307,29151403,28519777,41993364,47366794,45374107,31272393,27042956,23324897,19353821,12275946,8977318,16033388,11185406,41874377,28041171,21794224,44530963,135285768
68,Total Liabilities And Stockholders Equity,3286000,1930000,1755000,2258000,2467000,2917000,3018000,4984000,5490803,4491130,7298018,25487451,47301714,41719598,24832563,29463741,32808863,43713203,52365075,47713526,33294815,29463662,26187287,21818298,14149526,10843435,17836792,12734564,43451777,33846951,26375089,49395127,138409168
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,6000,- -,- -,- -,- -,447540,- -,-0,0,108590,73818,4342881,3809706,19548,0,-0,1315535,828032,888854,627101,0,-0,- -,0,- -,- -
70,Total Liabilities & Equity,3286000,1930000,1755000,2258000,2467000,2917000,3018000,4990000,5490803,4491130,7298018,25487451,47749254,41719598,24832563,29463741,32917453,43787021,56707956,51523232,33314363,29463662,26187287,23133833,14977558,11732289,18463893,12734564,43451777,33846951,26375089,49395127,138409168
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-410721,-492576,-138809,-60507,-341347,-45303,-472284,-857588,-1053626,-1229823,1582302,730417,-801172,-3233633,-2362860,4056890,16599334,-4802887,9502444,-1098157,-8003235,-5905103,-10971235,-4950420,-4339225,-3762350,-4074368,-4859620,-4758934,-12416249,-14644130,-11357599,-45344496
74,Depreciation and Amortization,-7550,7932,767,747,- -,1461,3551,3938,6783,14976,14887,13099,12758,29000,- -,26592,31297,13689,25415,31334,34068,28589,28085,28579,27340,38221,38562,30791,26614,28655,33093,144021,106668
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,418271,484644,-58958,-207240,-9653,-425158,-203267,-361349,-694120,1214847,-1597189,-743517,-216711,2163689,2362860,-5792428,-18267000,1901086,23443713,-731269,1380012,-1666394,1527585,-2252063,-1301111,-450178,-990850,1147593,-1313118,12387594,14611037,11213578,45237828
83,Cash Provided by Operating Activities,- -,- -,-197000,-267000,-351000,-469000,-672000,-1215000,-1740962,- -,- -,- -,-1005125,-1040944,- -,-1708946,-1636369,-2888112,32971572,-1798092,-6589155,-7542908,-9415565,-7173904,-5612996,-4174307,-5026656,-3681236,-6045438,- -,- -,- -,- -
84,CAPEX,- -,- -,- -,- -,- -,-11000,-6000,-10000,-44950,-72154,-12460,-24537,-51037,-22337,-22429,-5864,-9037,-16488,-66101,-32261,-14809,-23151,-76878,-38497,-2989,-118028,- -,-11725,-3077,-34417,-18070,-7238,-12702
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-67575,- -,- -,-7685080,-12572303,-4509303,-2536881,-1281661,-1005000,-2152937,- -,-40000,-45000,- -,- -,-310737,-370199,-45328,- -,- -,- -,- -,339046,482978,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2000,551000,- -,- -,- -,- -,- -,2073813,804626,681200,- -,6235425,30783076,- -,- -,- -,- -,629987,15260,49169,606144,505483,39185,13440,- -,- -,- -,- -,669184
88,Other Investing Activites,- -,- -,- -,- -,-205000,-367000,-100000,88000,100,- -,1436,-70000,120293,3453,- -,899,43606,- -,700,3086,-680272,- -,- -,702585,- -,- -,- -,-204911,171622,-34417,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-203000,173000,-106000,78000,-112425,-72154,-11024,-5705804,-11698421,-3846987,-2559310,4948799,29812645,-2169425,-65401,-69175,-740081,606836,-61618,402520,232956,342127,39185,-203196,168545,-34417,320976,475740,656482
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87373
91,Common Stock Issued,- -,- -,- -,570000,740000,500000,750000,3031000,1858501,1027000,456400,16086002,23855761,117006,100000,5,20000,- -,690000,- -,- -,- -,- -,1021510,- -,- -,17406106,4212,45783819,549650,12629777,49080560,105477591
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1333,-1547473,-485734,-15164394,-9021,-5590,-68302,- -,- -,- -,- -,- -,- -,-1355270,- -,-2373715,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10782379,-5388,-4658,-41188,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40310,- -,- -,- -,- -,-12302,-3513,4998800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100189,11546029
95,Cash Used/Provided by Financing Activities,- -,- -,- -,570000,740000,500000,750000,3031000,1858501,986690,456400,16086002,23855761,115673,-1459775,-489242,-20927973,-5014409,679752,-109490,- -,- -,- -,1021510,- -,- -,16050836,4212,43410104,549650,12629777,48980371,116936247
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50830,16513,-273572,84685,-55244,-9741,7162020,-69014,-59708,-27359,259092,-188380,3495757
97,Net Change In Cash,- -,- -,-197000,303000,186000,204000,-28000,1894000,5114,-768434,3042219,9231851,11152215,-5407598,-5324056,2750611,7248303,-10071946,33585923,-1976757,-7380066,-6981391,-9750755,-5665189,-5435284,-3841921,18225385,-3949234,37473503,-19449676,-10975311,40485463,75542319
98,Cash at the End of Period,- -,- -,190000,493000,679000,883000,855000,2749000,2754295,1985861,5028080,14259931,25412146,20004548,14680492,17431103,24679406,14607460,48193383,46216626,38836560,31855169,22104414,16439225,11003941,7162020,18435637,14486403,51959906,32510230,21534919,62020382,118193177
99,Cash at the Beginning of Period,- -,- -,387000,190000,493000,679000,883000,855000,2749181,2754295,1985861,5028080,14259931,25412146,20004548,14680492,17431103,24679406,14607460,48193383,46216626,38836560,31855169,22104414,16439225,11003941,210252,18435637,14486403,51959906,32510230,21534919,42650858
100,Free Cash Flow,- -,- -,-197000,-267000,-351000,-480000,-678000,-1225000,-1785912,-1755124,2584383,-1172884,-1056162,-1063281,-1327400,-1714810,-1645406,-2904600,32905471,-1830353,-6603964,-7566059,-9492443,-7212401,-5615985,-4292335,-5026656,-3692961,-6048515,-19971967,-24203226,-8789506,-45558869
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
