,https://roic.ai/company/CWK,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,382300000,405600000,895300000,813200000,1074800000,770700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,382300000,405600000,895300000,813200000,1074800000,770700000
34,Net Receivables,- -,1317200000,1328600000,1504600000,1563200000,1345100000,1794900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,141400000,176300000,343400000,484400000,470800000,264700000
37,Total Current Assets,- -,1840900000,1910500000,2743300000,2860800000,2890700000,2830300000
38,PP&E,- -,245700000,304300000,- -,490700000,438200000,413500000
39,Goodwill,- -,1608600000,1765300000,1778500000,1969100000,2098000000,2081900000
40,Intangible Assets,- -,1417000000,1306000000,1128200000,1062600000,991200000,922200000
41,Intangible Assets,- -,3025600000,3071300000,2906700000,3031700000,3089200000,3004100000
42,Investments,- -,7600000,7900000,8700000,7900000,114900000,641300000
43,Tax Assets,- -,145100000,71100000,84000000,86600000,61400000,65500000
44,Other Non-Current Assets,- -,417000000,432800000,803300000,685700000,743500000,935700000
45,Total Non-Current Assets,- -,3841000000,3887400000,3802700000,4302600000,4447200000,5060100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5681900000,5797900000,6546000000,7163400000,7337900000,7890400000
48,Accounts Payable,- -,682000000,771200000,1047700000,1145300000,1054400000,1106200000
49,Short-Term Debt,- -,35500000,59500000,39900000,39300000,39700000,42400000
50,Tax Payable,- -,39200000,35700000,43200000,59600000,45100000,105100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,907000000,1134900000,951100000,1138000000,971400000,1285900000
53,Total Current Liabilities,- -,1624500000,1965600000,2038700000,2322600000,2065500000,2434500000
54,Long-Term Debt,- -,2624600000,2784000000,2644200000,2620300000,3235700000,3615100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,401900000,157500000,136400000,110000000,102200000,48700000
57,Other Non-Current Liabilities,- -,440900000,386900000,366600000,809200000,838900000,343500000
58,Total Non-Current Liabilities,- -,3467400000,3328400000,3147200000,3539500000,4176800000,4007300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,457100000,405600000,394600000
61,Total Liabilities,- -,5091900000,5294000000,5185900000,5862100000,6242300000,6441800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1430800000,1451300000,21700000,22000000,22200000,22400000
64,Retained Earnings,- -,-944700000,-1165200000,-1298400000,-1297000000,-1528200000,-1278200000
65,Other Comprehensive Income/Loss,- -,-148500000,-87200000,-154400000,-242800000,-242700000,-193000000
66,Other Total Stockholders Equity,- -,252400000,305000000,2791200000,2819100000,2843400000,- -
67,Total Stockholders Equity,- -,590000000,503900000,1360100000,1301300000,1094700000,1447800000
68,Total Liabilities And Stockholders Equity,- -,5681900000,5797900000,6546000000,7163400000,7337000000,7889600000
69,Minority Interest,- -,- -,- -,- -,- -,900000,800000
70,Total Liabilities & Equity,- -,5681900000,5797900000,6546000000,7163400000,7337900000,7890400000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1628369/000162836919000006/0001628369-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836920000014/0001628369-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836921000016/0001628369-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836922000011/0001628369-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-473700000,-434200000,-220500000,-185800000,200000,-220500000,250000000
74,Depreciation and Amortization,155900000,260600000,270600000,290000000,414600000,381800000,276300000
75,Deferred Income Tax,-100300000,-60100000,-170100000,-58900000,-49800000,17800000,-56300000
76,Stock Based Compensation,34000000,49000000,51400000,81900000,61300000,42000000,58200000
77,Change in Working Capital,173200000,- -,-271500000,759700000,-166400000,287000000,-35800000
78,Accounts Receivable,-21300000,-146900000,-173400000,- -,- -,- -,-212500000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,61600000,118300000,42600000,74900000,60000000,-156200000,131100000
81,Other Working Capital,216400000,216400000,-55100000,704600000,538200000,825200000,227100000
82,Other Non-Cash Items,167300000,-150400000,344500000,-889100000,9400000,-546300000,57100000
83,Cash Provided by Operating Activities,-43600000,-335100000,4400000,-2200000,269300000,-38200000,549500000
84,CAPEX,-43900000,-77300000,-129100000,-84200000,-80300000,- -,-53800000
85,Acquisitions Net,-1886000000,-64200000,-99900000,-35500000,-275900000,-108700000,-7000000
86,Purchases of Investments,- -,- -,- -,-8700000,-4500000,-14600000,-688900000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,3800000,85800000,-89600000,85800000,-134500000,200000
89,Cash Used for Investing Activites,-1929900000,-137700000,-143200000,-218000000,-274900000,-257800000,-749500000
90,Debt Repayment,-860600000,-320200000,-159400000,-3144000000,-38500000,-34000000,-40100000
91,Common Stock Issued,7400000,39800000,23400000,1019900000,300000,- -,- -
92,Common Stock Repurchased,- -,-2900000,-4500000,-15200000,-31800000,-18900000,-8600000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3161300000,639800000,308200000,2865200000,-19600000,624800000,-17100000
95,Cash Used/Provided by Financing Activities,2308100000,356500000,167700000,725900000,-89600000,571900000,-65800000
96,Effect of Forex Changes on Cash,5300000,-6800000,14200000,-8200000,2100000,15900000,-8000000
97,Net Change In Cash,339900000,-123100000,43100000,497500000,-93100000,291800000,-273800000
98,Cash at the End of Period,547900000,424800000,467900000,965400000,872300000,1164100000,890300000
99,Cash at the Beginning of Period,208000000,547900000,424800000,467900000,965400000,872300000,1164100000
100,Free Cash Flow,-43600000,-335100000,4400000,-2200000,269300000,-38200000,495700000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1628369/000162836919000006/0001628369-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836920000014/0001628369-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836921000016/0001628369-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1628369/000162836922000011/0001628369-22-000011-index.htm
102,false,,,,,,,
