,https://roic.ai/company/MDXL,2012,2013,2014,2015,2016,2017,2018,2019,2020
66,Other Total Stockholders Equity,2590000,3560983,3606556,3997088,4786575,7051810,10702036,13966325,19862918
67,Total Stockholders Equity,-430000,-408417,-1044164,-1002292,-905530,-224535,542961,397760,381904
68,Total Liabilities And Stockholders Equity,- -,41583,376,24998,114970,367745,728721,937980,1643459
69,Minority Interest,- -,8417,4,2,- -,5,-1,- -,- -
70,Total Liabilities & Equity,- -,50000,380,25000,114970,367750,728720,937980,1643459
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1601280/000155335015000404/0001553350-15-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335016001947/0001553350-16-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335017000330/0001553350-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335018000161/0001553350-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335019000563/0001553350-19-000563-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335020000442/0001553350-20-000442-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335021000523/0001553350-21-000523-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-150000,-990000,-684090,-348620,-657160,-1640860,-2983430,-3420950,-5932032
74,Depreciation and Amortization,- -,- -,- -,- -,- -,3000,3145,69946,4000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,349282,45000,- -,- -,- -,997765,643251,1663909
77,Change in Working Capital,90000,30000,-644160,16870,121760,504690,577180,-224060,60273
78,Accounts Receivable,- -,- -,-100,- -,- -,- -,-138799,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,67989,338552,-37168,-8994,-428220,-196593,- -,- -
81,Other Working Capital,-430000,-400000,-1044160,-1027290,-905530,-400840,176340,-47720,12553
82,Other Non-Cash Items,- -,292646,1234809,356372,-130754,-932910,-819901,589769,700561
83,Cash Provided by Operating Activities,-60000,-318072,-48441,24622,-666154,-2066080,-2225241,-2342044,-3503289
84,CAPEX,- -,- -,- -,- -,- -,-179306,-281545,-15745,-91574
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-25000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-163874,-274253,-5247,-706280
89,Cash Used for Investing Activites,- -,- -,- -,-25000,- -,-179306,-281545,-15745,-715154
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,363551,3340,- -,781125,2321855,2516855,- -,2612907
92,Common Stock Repurchased,50000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,10000,- -,- -,- -,- -,- -,- -,2602499,1805079
95,Cash Used/Provided by Financing Activities,60000,363551,3340,- -,781125,2321855,2516855,2602499,4417986
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,363551,-45101,- -,781125,76469,10069,244710,199543
98,Cash at the End of Period,- -,45479,378,- -,114971,191440,201509,446219,645762
99,Cash at the Beginning of Period,- -,- -,45479,378,- -,114971,191440,201509,446219
100,Free Cash Flow,-60000,-318072,-48441,24622,-666154,-2245386,-2506786,-2357789,-3594863
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1601280/000155335015000404/0001553350-15-000404-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335016001947/0001553350-16-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335017000330/0001553350-17-000330-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335018000161/0001553350-18-000161-index.html,https://www.sec.gov/Archives/edgar/data/1601280/000155335019000563/0001553350-19-000563-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335020000442/0001553350-20-000442-index.htm,https://www.sec.gov/Archives/edgar/data/1601280/000155335021000523/0001553350-21-000523-index.htm
102,false,,,,,,,,,
