,https://roic.ai/company/SHYF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0500,0.0816,0.1205,0.0955,0.0504,0.0750,0.1039,0.1111,0.0960,0.0862,0.0350,0.0218,-0.0700,0.0302,0.0056,0.0281,0.0438,0.0671,0.0242,0.0294,0.0390,0.0628,0.0561,0.0797,0.0420,0.0213,0.0030,-0.0050,-0.0167,-0.0021,-0.0229,0.0147,0.0227,0.0212,0.0623,0.0712,0.0852
22,Income Tax expense (Gain),200000,500000,1200000,900000,600000,1300000,3300000,4500000,5400000,5900000,2000000,1500000,600000,4200000,3100000,2142000,3885000,5969000,1304500,3312000,5077000,11144000,13723000,24615000,6287000,3017000,510000,100000,-1881000,-2103000,4880000,100000,90000,2261000,10355000,9867000,14506000
23,Net Income,300000,700000,1800000,2300000,1200000,2500000,6500000,9200000,10500000,10600000,3400000,2300000,-13100000,3500000,-1400000,-5609518,6131139,11704472,6049115,5881724,8292000,16828447,24504277,42714224,11772082,4141000,773000,-2457000,-5971000,1173000,-16972000,8610000,15935000,15012000,-12566000,32819000,68925000
24,Net Income ratio,0.0300,0.0476,0.0723,0.0687,0.0336,0.0493,0.0689,0.0746,0.0634,0.0554,0.0221,0.0132,-0.0733,0.0137,-0.0046,-0.0223,0.0271,0.0451,0.0255,0.0188,0.0242,0.0378,0.0359,0.0506,0.0274,0.0086,0.0018,-0.0052,-0.0127,0.0023,-0.0308,0.0146,0.0225,0.0184,-0.0166,0.0486,0.0695
25,EPS,0.00,0.00,0.01,0.02,0.01,0.02,0.08,0.09,0.16,0.16,0.12,0.08,-0.47,0.12,-0.05,-0.22,0.26,0.45,0.22,0.21,0.29,0.57,0.77,1.33,0.36,0.13,0.02,-0.07,-0.18,0.03,-0.50,0.25,0.46,0.43,-0.36,0.93,1.98
26,EPS Diluted,0.00,0.00,0.01,0.02,0.01,0.02,0.08,0.09,0.16,0.16,0.12,0.08,-0.47,0.12,-0.05,-0.22,0.26,0.43,0.22,0.20,0.29,0.55,0.75,1.32,0.36,0.13,0.02,-0.07,-0.18,0.03,-0.50,0.25,0.46,0.43,-0.36,0.91,1.94
27,Weighted Average Shares Outstanding,27809184,27809184,23261982,23286708,23313681,23354139,27177565,29117375,29389354,29357885,28995750,28217250,27857250,28140750,28086750,25859250,23762250,25857000,27276750,27789750,28253250,29605500,31935000,32008000,32729000,33021000,33438000,33165000,33550000,34251000,33826000,34405000,34949000,35187000,35318000,35479000,35346000
28,Weighted Average Shares Outstanding Diluted,27809184,27809184,23261982,23286708,23313681,23354139,27177565,29117375,29389354,29357885,28995750,28217250,63076410,28206000,28086750,25866000,23886000,27029250,27976500,28671750,28818000,30531000,32833000,32437000,32916000,33101000,33488000,33165000,33550000,34256000,33826000,34405000,34949000,35187000,35416000,36039000,36074000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000090572904000146/0000905729-04-000146-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774912002264/0001437749-12-002264-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774914004014/0001437749-14-004014-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774915004162/0001437749-15-004162-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774916027109/0001437749-16-027109-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774918003606/0001437749-18-003606-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774919004091/0001437749-19-004091-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774920005329/0001437749-20-005329-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774921007163/0001437749-21-007163-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774922004361/0001437749-22-004361-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,200000,200000,900000,500000,200000,900000,12100000,1100000,2900000,5200000,4900000,4800000,- -,- -,535030,4192785,8081639,18480770,10463454,9702059,13834892,13527867,13741062,18475152,14507000,31677000,21748000,30707000,28570000,32701000,32041000,33523000,27439000,19349000,20995000,37158000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1506570,1988120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,200000,200000,900000,500000,200000,900000,12100000,1100000,2900000,5200000,4900000,4800000,- -,- -,535030,4192785,8081639,18480770,11970024,11690179,13834892,13527867,13741062,18475152,14507000,31677000,21748000,30707000,28570000,32701000,32041000,33523000,27439000,19349000,20995000,37158000
34,Net Receivables,1800000,2800000,3300000,5200000,6200000,8000000,13400000,20200000,17300000,23300000,20200000,26300000,27400000,43100000,37800000,37768239,25774877,28823185,19604058,34315485,38006445,62620127,132906559,75935246,50589377,55432000,41521000,50150000,49201000,50058000,58372000,66728000,83147000,142828000,77934000,80612000,118671000
35,Inventory,1900000,3000000,5500000,6700000,5900000,10600000,12200000,13200000,26100000,23400000,24400000,24300000,27000000,47200000,47100000,30437792,23587813,25205450,26588065,32441712,44265389,64173194,103075789,86648048,102401523,60161000,66991000,67591000,81419000,71163000,60558000,58896000,77692000,69992000,59456000,46428000,67184000
36,Other Current Assets,100000,100000,300000,400000,300000,400000,800000,1400000,11700000,15900000,10700000,12400000,6400000,3800000,6000000,8750682,6934687,5057617,5725470,4488262,5694192,17348363,8903154,15139470,10647306,9854000,8880000,13034000,9400000,11460000,6670000,4526000,4425000,5070000,96069000,8172000,10813000
37,Total Current Assets,4100000,6100000,9300000,13200000,12900000,19200000,27300000,46900000,56200000,65500000,60500000,67900000,65600000,94100000,90900000,77491743,60490162,67167891,70398363,83215483,99656205,157976576,258413369,191463826,182113358,139954000,149069000,152523000,170727000,161251000,158301000,162191000,198787000,245329000,252808000,156207000,233826000
38,PP&E,600000,1300000,2500000,3700000,4400000,4500000,5800000,7300000,10500000,12900000,12300000,11400000,11900000,23400000,22600000,10595662,11288223,15155436,14783965,18238884,18478110,29659133,56673215,66785515,80228206,71268000,65399000,59122000,54278000,50417000,47320000,53116000,55177000,56567000,72221000,89164000,104373000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4543422,- -,- -,- -,- -,2457028,2457028,2457028,18404278,18418000,20815000,20815000,15961000,15961000,15961000,15961000,27417000,33823000,43632000,49481000,48880000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,7300000,7500000,4960421,- -,4543422,4543422,4543422,4543422,- -,- -,- -,11490763,10946000,11943000,11052000,10094000,8958000,7093000,6385000,9427000,8611000,54061000,56386000,52981000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,7300000,7500000,4960421,4543422,4543422,4543422,4543422,4543422,2457028,2457028,2457028,29895041,29364000,32758000,31867000,26055000,24919000,23054000,22346000,36844000,42434000,97693000,105867000,101861000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1301560,1617000,870000,- -,- -,775000,241000,- -,- -,- -,- -,- -,- -,- -,3310000,7284000,7141000,25520000,5759000,4880000
44,Other Non-Current Assets,- -,- -,- -,- -,-100000,- -,1600000,2200000,4600000,2700000,2400000,400000,300000,1100000,1700000,5257531,1290012,144191,39344,44921,530533,554774,345327,192964,1040704,1163000,1383000,1639000,2222000,2226000,1996000,2331000,3072000,2313000,2295000,2052000,2927000
45,Total Non-Current Assets,600000,1300000,2500000,3700000,4300000,4500000,7400000,9500000,15100000,15600000,14700000,11800000,15600000,31800000,31800000,20813614,17121657,21144609,20983731,23697227,23552065,32670935,60250570,69676507,111163951,101795000,99540000,92628000,82555000,77562000,72370000,81103000,102377000,108455000,197729000,202842000,214041000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4700000,7400000,11800000,16900000,17200000,23700000,34700000,56400000,71300000,81100000,75200000,79700000,81200000,125900000,122700000,98305357,77611819,88312500,91382094,106912710,123208270,190647511,318663939,261140333,293277309,241749000,248609000,245151000,253282000,238813000,230671000,243294000,301164000,353784000,450537000,359049000,447867000
48,Accounts Payable,- -,- -,- -,- -,1600000,5100000,4100000,5000000,6400000,7100000,3800000,6300000,12000000,24000000,25100000,19182332,13850182,15939864,15066541,19247899,20745549,30703496,90769512,21775970,20136830,17970000,21649000,23000000,30525000,22762000,27318000,31336000,40643000,76399000,54713000,47487000,82442000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000,65000,64000,60000,8339000,6724000,18112000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7902000,6386000,18006000,11524000,13095000,16142000,25422000,22632000,2640000,756000,988000
52,Other Current Liabilities,1100000,2700000,4700000,7200000,5600000,7400000,4600000,5800000,6400000,6400000,5800000,6800000,12200000,24900000,24000000,20252487,17449594,15938175,15195349,20014148,28234402,31190807,34955596,51008514,44885960,23754000,20845000,24304000,21621000,26334000,31897000,40181000,43603000,39006000,92265000,38396000,34295000
53,Total Current Liabilities,1100000,2700000,4700000,7200000,7200000,12500000,8700000,10800000,12800000,13500000,9600000,13100000,24200000,48900000,49100000,39434819,31299776,31878039,30261890,39262047,48979951,61894303,125725108,72784484,65022790,41724000,50396000,53690000,70152000,60620000,72373000,87724000,109732000,138097000,157957000,93363000,135837000
54,Long-Term Debt,700000,1100000,1600000,4200000,3500000,2500000,3700000,2900000,4700000,6200000,5800000,5200000,9600000,30200000,28800000,24503809,9400000,- -,- -,139545,1317003,25218120,62695454,16555616,34887571,5122000,5084000,5207000,5261000,5202000,5124000,74000,17925000,25547000,88670000,23418000,37067000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,309000,355000,- -,- -,8341339,7640000,7359000,4454000,3209000,2008000,2520000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,-100000,1700000,1600000,3713884,- -,- -,- -,- -,- -,- -,1025000,1157000,4505466,4284000,2932000,3071000,3109000,2365000,2163000,2544000,5238000,4058000,32163000,42109000,8108000
58,Total Non-Current Liabilities,700000,1100000,1600000,4200000,3500000,2500000,3700000,2900000,4700000,6000000,5800000,5200000,9500000,31900000,30400000,28217693,9400000,- -,- -,139545,1626003,25573120,63720454,17712616,47734376,17046000,15375000,12732000,11579000,9575000,9807000,2618000,23163000,29605000,120833000,65527000,45175000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316194,- -,- -,- -,- -,- -,- -,- -,- -,- -,32403000,44170000,44263000
61,Total Liabilities,1800000,3800000,6300000,11400000,10700000,15000000,12400000,13700000,17500000,19500000,15400000,18300000,33700000,80800000,79500000,67652512,40699776,31878039,30261890,39401592,50605954,87467423,189445562,90497100,112757166,58770000,65771000,66422000,81731000,70195000,82180000,90342000,132895000,167702000,278790000,158890000,181012000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,105181,107221,120258,121981,125329,126367,211113,323527,325723,328942,332000,336000,339000,342000,341000,343000,344000,351000,353000,353000,91044000,95375000
64,Retained Earnings,2200000,2900000,4700000,6700000,7700000,7800000,14200000,22100000,32000000,41300000,40500000,40200000,24700000,20900000,19400000,10276011,15670885,25537876,28769256,31182253,35447985,48630402,66246421,105710902,113091735,113932000,111357000,105517000,96132000,92724000,72326000,76428000,88855000,103571000,86764000,109286000,171379000
65,Other Comprehensive Income/Loss,-500000,-600000,-800000,-1100000,-1400000,-1800000,-2200000,-2600000,-3500000,-4700000,-6300000,-8000000,-9700000,-14000000,-16100000,-12985905,-14556614,-16101127,-18363268,-20307816,-22800348,-24172649,-27883909,-33614913,-40404449,-47440000,-54594000,-60128000,-66761000,-72049000,-77396000,-76972000,-85722000,-95058000,-67434000,- -,- -
66,Other Total Stockholders Equity,1200000,1300000,1600000,- -,200000,2700000,10300000,23200000,25300000,25000000,25600000,29200000,32500000,38200000,39800000,33257558,35690551,46877454,50592235,56511352,59828312,78511222,90532338,98221521,107503915,116155000,125739000,133001000,141836000,147744000,153868000,153809000,165443000,177874000,152582000,- -,- -
67,Total Stockholders Equity,2900000,3600000,5500000,5500000,6500000,8700000,22300000,42700000,53800000,61600000,59800000,61400000,47500000,45100000,43200000,30652845,36912043,56434461,61120204,67511118,72602316,103180088,129218377,170643233,180520143,182979000,182838000,178729000,171549000,168760000,149141000,153609000,168927000,186740000,172265000,200330000,266754000
68,Total Liabilities And Stockholders Equity,4700000,7400000,11800000,16900000,17200000,23700000,34700000,56400000,71300000,81100000,75200000,79700000,81200000,125900000,122700000,98305357,77611819,88312500,91382094,106912710,123208270,190647511,318663939,261140333,293277309,241749000,248609000,245151000,253280000,238955000,231321000,243951000,301822000,354442000,451055000,359220000,447766000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,-142000,-650000,-657000,-658000,-658000,-518000,-171000,101000
70,Total Liabilities & Equity,4700000,7400000,11800000,16900000,17200000,23700000,34700000,56400000,71300000,81100000,75200000,79700000,81200000,125900000,122700000,98305357,77611819,88312500,91382094,106912710,123208270,190647511,318663939,261140333,293277309,241749000,248609000,245151000,253282000,238813000,230671000,243294000,301164000,353784000,450537000,359049000,447867000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000090572904000146/0000905729-04-000146-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774912002264/0001437749-12-002264-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774914004014/0001437749-14-004014-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774915004162/0001437749-15-004162-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774916027109/0001437749-16-027109-index.htm,- -,https://www.sec.gov/Archives/edgar/data/743238/000143774918003606/0001437749-18-003606-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774919004091/0001437749-19-004091-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774920005329/0001437749-20-005329-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774921007163/0001437749-21-007163-index.htm,https://www.sec.gov/Archives/edgar/data/743238/000143774922004361/0001437749-22-004361-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,300000,700000,- -,2300000,1200000,2500000,6500000,9200000,10500000,10600000,3400000,2300000,-13100000,3500000,-1400000,-5609518,6131139,11704472,6049115,5881724,8292000,16828447,24504277,42714224,11772082,4141000,773000,-2457000,-5971000,1173000,-16972000,8610000,15935000,15012000,-12566000,32819000,68925000
74,Depreciation and Amortization,100000,100000,- -,300000,300000,400000,400000,700000,900000,1600000,2000000,1900000,1900000,2600000,3900000,2239472,2204810,1884711,2022583,2309569,2723896,2862721,4062789,6059138,7764683,10718000,10010000,8990000,9238000,8378000,7437000,7903000,9937000,10370000,11180000,14187000,11356000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-300000,- -,-1300000,900000,-1300000,-1719800,246000,195780,-178522,1134391,373060,-775261,-3488175,383099,2529241,-416000,-266000,-2771000,-1690000,-2265000,5147000,-2666000,-3974000,-755000,-18225000,19790000,880000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2331655,2405000,1780000,1645000,1624000,1624000,1198000,1536000,3536000,4027000,5281000,7848000,8745000
77,Change in Working Capital,- -,1200000,- -,1400000,-300000,1000000,11900000,17500000,7300000,8600000,-1100000,3900000,-13400000,3800000,-3400000,-3743076,-8866538,6099466,4846621,3816963,6722818,45406019,36605988,-14008919,-1588774,-18860568,443000,160000,1742000,56000,-14703000,-11461000,14588000,18177000,-12381000,-32007000,-17017000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37359367,-7568000,13118000,-7097000,-421000,-802000,-8255000,-8824000,-18576000,-22490000,22812000,- -,- -
79,Inventory,- -,- -,- -,- -,800000,-4700000,-1600000,-1000000,-12900000,1500000,-1500000,100000,3400000,-9300000,-1700000,9195182,6849979,-1617637,-1382615,-5853647,-11823677,-19907805,-38902595,16427741,-895523,36169000,-5478000,-600000,-13828000,10256000,10605000,1662000,42920000,-24340000,-14783000,12834000,-20756000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8840911,-1553000,3510000,1350000,7525000,-7763000,4556000,4018000,5366000,35297000,-20404000,-10674000,34954000
81,Other Working Capital,3400000,4600000,- -,6000000,5700000,6700000,18600000,36100000,43400000,52000000,50900000,54800000,41400000,45200000,41800000,38056924,29190386,35289852,40136473,43953436,50676254,96082273,132688261,118679342,117090568,98230000,98673000,98833000,100575000,100631000,85928000,74467000,89055000,107232000,94851000,62844000,3307000
82,Other Non-Cash Items,-400000,-2000000,- -,-4000000,300000,-3400000,-20100000,-21300000,-18000000,-13000000,700000,-3400000,41000000,-21800000,5700000,15720839,20343160,-4186496,1552218,-13878826,-13312902,-84872644,-68378632,21303692,15314739,35757568,17397000,800000,8103000,-2460000,30793000,19529000,-18006000,-38805000,60892000,21695000,1120000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1500000,500000,-1300000,5600000,700000,7800000,4700000,4700000,15100000,-11000000,3500000,6887917,20058571,15697933,14292015,-736179,4798872,-20550718,-6693753,56451234,38123626,33745000,30137000,6367000,13046000,6506000,12900000,23451000,22016000,8026000,34181000,64332000,74009000
84,CAPEX,- -,- -,- -,- -,-1000000,-500000,-1700000,-2400000,-4100000,-4700000,-6400000,-1400000,-1600000,-2700000,-2500000,-1282394,-2515822,-5758029,-2151612,-5862739,-2932092,-14435019,-31182496,-16290066,-5814491,-3869000,-5255000,-12468000,-3526000,-3463000,-4895000,-13410000,-5340000,-8985000,-10042000,-14534000,-23002000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42318358,-14000,-4746000,- -,- -,- -,- -,- -,-28903000,-5200000,-88938000,29450000,904000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,-9200000,- -,-4100000,-2700000,-300000,- -,- -,- -,- -,- -,-4313636,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
