,https://roic.ai/company/ELYS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5964,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,975,1275,- -,1422,- -,357150,158621,102622,259069,121771,150000,159575,165971,603104,1285703,2426286,2468340,1095667,3182668,1342050
53,Total Current Liabilities,5975,6275,8020,214790,917846,357150,158621,102622,259069,127735,150000,165825,174236,1784276,2280344,4196260,7214958,11880219,16417841,13314035
54,Long-Term Debt,- -,- -,- -,- -,6903645,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,426610,362808,225131,96786,66885
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,407810,366947
56,Deferred Tax Liabilities,- -,- -,- -,- -,416138,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1315954,1222513
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52912,67532,315579,532680,608728,785506,731246
58,Total Non-Current Liabilities,- -,- -,- -,- -,7319783,- -,- -,- -,- -,- -,- -,- -,- -,52912,67532,742189,895488,833859,2606056,2387591
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,787114,683536
61,Total Liabilities,5975,6275,8020,214790,8237629,357150,158621,102622,259069,127735,150000,165825,174236,1837188,2347876,4938449,8110446,12714078,19023897,15701626
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,521,521,521,821,70,980,1568,1868,1868,1868,1868,1868,1868,2327,2413,3701,7415,7555,1194,2003
64,Retained Earnings,- -,- -,-35409,-175583,-851656,-3528074,-4012132,-4766625,-4943990,-5029126,-5060870,-5084293,-4958280,-7272182,-9294845,-11263504,-9897620,-13008894,-23241835,-33178517
65,Other Comprehensive Income/Loss,- -,-29352,- -,171494,-24884,- -,147640,-36347,-7832,- -,- -,- -,-142668,39880,124265,-416631,-250327,-1081338,-176717,267948
66,Other Total Stockholders Equity,4754,25379,26879,626579,2593545,4119216,4700696,4902455,4902455,4902455,4909002,4916600,4924844,9525357,10472501,14169062,14254582,23956309,32218643,53064919
67,Total Stockholders Equity,5275,-3452,-8009,623311,1717075,592122,837772,101351,-47499,-124803,-150000,-165825,-174236,2295382,1304334,2492628,4114050,9873632,8801285,20156353
68,Total Liabilities And Stockholders Equity,11250,2823,11,838101,9954704,949272,996393,203973,211570,2932,- -,- -,- -,4132570,3652210,7431077,12224496,22587710,27825182,35857979
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11250,2823,11,838101,9954704,949272,996393,203973,211570,2932,- -,- -,- -,4132570,3652210,7431077,12224496,22587710,27825182,35857979
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000116552704000054/0001165527-04-000054-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000153/0001017386-15-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000175/0001017386-15-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000108031915000005/0001080319-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738616000420/0001017386-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738617000059/0001017386-17-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738618000073/0001017386-18-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000148/0001017386-20-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000196/0001017386-20-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738621000091/0001017386-21-000091-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7702,-9227,-6057,31320,-630818,-2204240,-484058,-754493,-177365,-85136,-31744,-23423,-16655,-2171234,-2022663,-1968659,1365886,-3046308,-9274805,-9936682
74,Depreciation and Amortization,- -,- -,- -,2198,102060,1791,1434,1149,917,732,147,- -,- -,101145,429210,522199,601266,488464,946185,1058113
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85654,-93441
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000,- -,- -,201106,518506
77,Change in Working Capital,550,-8727,-4557,-196793,-288610,237695,99444,73651,-176447,131334,-22265,-15825,-8411,302265,-1720468,189876,2038018,-4964311,-4824435,17032922
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41734,-196648,222828,-745890,242832,-335706,-108797
79,Inventory,- -,7064,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4276,-42409,371843,918675,2836989,3674945,1360523
81,Other Working Capital,5275,-3452,-8009,-204802,-493412,-255717,-156273,-82622,-259069,-127735,-150000,-165825,-174236,128029,-1592439,-1402563,635455,-4328856,-9153291,7879631
82,Other Non-Cash Items,- -,15791,4557,212452,395310,1974200,210540,659693,322932,-59278,31597,29673,18670,1157390,2807031,1367464,-646496,9297107,12892083,-8744911
83,Cash Provided by Operating Activities,-7152,-2163,-6057,49177,-422058,9446,-172640,-20000,-29963,-12348,-22265,-9575,-6396,-610434,-506890,785880,3358674,1774952,-145520,-165493
84,CAPEX,- -,- -,- -,-16559,-3465872,- -,- -,- -,- -,- -,- -,- -,- -,-724,-116722,-145918,-180722,-4455099,-252198,-291501
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-616065,-174968,603169,- -,- -,-216150,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-875459,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-30000,583000,- -,- -,- -,- -,- -,- -,- -,- -,-721191,-30787,-263223,-45142,-5427733,-252198,-291501
89,Cash Used for Investing Activites,- -,- -,- -,-46559,-2882872,- -,- -,- -,- -,- -,- -,- -,- -,-2213439,-233677,194028,-225864,-5427733,-468348,-291501
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200930,-644985,-375223,-109104,-315025,-129707,-3053379
91,Common Stock Issued,21400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2669000,155000,- -,- -,- -,- -,8966122
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2261307,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-17600,800,3245,4054,3567334,32500,25000,20000,1448,4516,22265,9575,6396,785159,979508,1597642,679729,7075420,-349738,6798673
95,Cash Used/Provided by Financing Activities,3800,800,3245,4054,3567334,32500,25000,20000,1448,4516,22265,9575,6396,3253229,489523,1222419,570625,4499088,-479445,12711416
96,Effect of Forex Changes on Cash,- -,- -,- -,-6683,-12754,- -,147640,- -,28515,7832,- -,- -,- -,-7080,-13868,-129268,536001,-1026262,-24614,1057832
97,Net Change In Cash,-3352,-1363,-2812,- -,249650,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264913,2073059,4239436,-179955,-1117927,13312254
98,Cash at the End of Period,4186,2823,11,- -,274186,- -,- -,- -,- -,- -,- -,- -,- -,422276,157363,2230422,6469858,6289903,6732515,20044769
99,Cash at the Beginning of Period,7538,4186,2823,11,24536,274186,- -,- -,- -,- -,- -,- -,- -,- -,422276,157363,2230422,6469858,7850442,6732515
100,Free Cash Flow,-7152,-2163,-6057,32618,-3887930,9446,-172640,-20000,-29963,-12348,-22265,-9575,-6396,-611158,-623612,639962,3177952,-2680147,-397718,-456994
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000116552704000054/0001165527-04-000054-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000153/0001017386-15-000153-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738615000175/0001017386-15-000175-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000108031915000005/0001080319-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738616000420/0001017386-16-000420-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738617000059/0001017386-17-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738618000073/0001017386-18-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000148/0001017386-20-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738620000196/0001017386-20-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1080319/000101738621000091/0001017386-21-000091-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
