,https://roic.ai/company/CMS-PB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380,280952380
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115622000048/0000811156-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,416000000,37000000,195000000,69000000,39000000,71000000,85000000,5000000,18000000,71000000,50000000,131000000,44000000,39000000,11000000,20000000,22000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,416000000,37000000,195000000,69000000,39000000,71000000,85000000,5000000,18000000,71000000,50000000,131000000,44000000,39000000,11000000,20000000,22000000
34,Net Receivables,683000000,596000000,881000000,924000000,1016000000,1034000000,884000000,877000000,920000000,891000000,775000000,838000000,904000000,886000000,836000000,846000000,914000000
35,Inventory,1223000000,1315000000,1302000000,1389000000,1297000000,1165000000,1181000000,1075000000,869000000,906000000,768000000,617000000,662000000,639000000,597000000,569000000,658000000
36,Other Current Assets,673000000,276000000,275000000,246000000,284000000,249000000,257000000,298000000,350000000,405000000,336000000,356000000,365000000,416000000,428000000,457000000,527000000
37,Total Current Assets,2995000000,2224000000,2653000000,2628000000,2636000000,2519000000,2407000000,2255000000,2157000000,2273000000,1929000000,1942000000,1975000000,1980000000,1872000000,1892000000,2121000000
38,PP&E,7287000000,7448000000,8491000000,8967000000,9471000000,9995000000,10557000000,11475000000,12169000000,13337000000,14588000000,15603000000,16630000000,17761000000,18570000000,19971000000,21315000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,595000000,643000000,32000000,19000000,29000000,34000000,35000000,32000000,29000000,38000000,29000000,33000000,21000000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,792000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2301000000,2530000000,2225000000,1840000000,2486000000,2291000000,2663000000,2513000000,1824000000,2199000000,2112000000,2368000000,2473000000,2284000000,3257000000,3536000000,3704000000
45,Total Non-Current Assets,10183000000,10621000000,10748000000,11618000000,11986000000,12320000000,13255000000,14020000000,14022000000,15574000000,16729000000,18004000000,19124000000,20045000000,21827000000,23507000000,25019000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,13178000000,12845000000,13401000000,14246000000,14622000000,14839000000,15662000000,16275000000,16179000000,17847000000,18658000000,19946000000,21099000000,22025000000,23699000000,25399000000,27140000000
48,Accounts Payable,498000000,439000000,416000000,458000000,501000000,482000000,561000000,512000000,584000000,674000000,628000000,598000000,720000000,699000000,613000000,643000000,851000000
49,Short-Term Debt,268000000,86000000,470000000,408000000,365000000,61000000,363000000,173000000,234000000,205000000,469000000,795000000,535000000,145000000,311000000,691000000,766000000
50,Tax Payable,400000000,295000000,353000000,289000000,277000000,199000000,287000000,376000000,353000000,149000000,352000000,354000000,542000000,436000000,481000000,458000000,529000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,901000000,589000000,902000000,913000000,805000000,618000000,718000000,725000000,662000000,507000000,634000000,701000000,881000000,774000000,788000000,805000000,871000000
53,Total Current Liabilities,1667000000,1114000000,1788000000,1779000000,1671000000,1161000000,1642000000,1410000000,1480000000,1386000000,1731000000,2094000000,2136000000,1618000000,1712000000,2139000000,2488000000
54,Long-Term Debt,4303000000,4127000000,3692000000,3908000000,4063000000,4488000000,3987000000,4297000000,4579000000,5154000000,5206000000,5253000000,5561000000,6779000000,7048000000,7798000000,8096000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1094000000,909000000,58000000,54000000,977000000,1338000000,1863000000,1784000000,2155000000,2443000000,2766000000,3115000000,1727000000,1908000000,1984000000,2209000000,2452000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,4053000000,3672000000,3776000000,4202000000,3108000000,3587000000,3409000000,3545000000,5187000000,4800000000,5218000000,4697000000,4825000000
58,Total Non-Current Liabilities,5397000000,5036000000,3750000000,3962000000,9093000000,9498000000,9626000000,10283000000,9842000000,11184000000,11381000000,11913000000,12475000000,13487000000,14250000000,14704000000,15373000000
59,Other Liabilities,13827000000,13765000000,11672000000,12680000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,308000000,42000000,225000000,206000000,197000000,188000000,167000000,153000000,138000000,123000000,118000000,110000000,91000000,69000000,76000000,56000000,46000000
61,Total Liabilities,10097000000,9843000000,9710000000,10497000000,10764000000,10659000000,11268000000,11693000000,11322000000,12570000000,13112000000,14007000000,14611000000,15105000000,15962000000,16843000000,17861000000
62,Preferred Stock,44000000,44000000,44000000,44000000,44000000,44000000,44000000,44000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000
63,Common Stock,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000,841000000
64,Retained Earnings,233000000,270000000,324000000,383000000,389000000,463000000,554000000,598000000,724000000,832000000,950000000,1065000000,1173000000,1364000000,1513000000,1690000000,1834000000
65,Other Comprehensive Income/Loss,72000000,15000000,- -,-1000000,2000000,- -,-2000000,-8000000,-2000000,-7000000,-6000000,-3000000,-12000000,-21000000,-28000000,-36000000,-32000000
66,Other Total Stockholders Equity,1632000000,1832000000,2482000000,2482000000,2582000000,2832000000,2957000000,3107000000,3257000000,3574000000,3724000000,3999000000,4449000000,4699000000,5374000000,6024000000,6599000000
67,Total Stockholders Equity,2822000000,3002000000,3691000000,3749000000,3858000000,4180000000,4394000000,4582000000,4857000000,5277000000,5546000000,5939000000,6488000000,6920000000,7737000000,8556000000,9279000000
68,Total Liabilities And Stockholders Equity,12919000000,12845000000,13401000000,14246000000,14622000000,14839000000,15662000000,16275000000,16179000000,17847000000,18658000000,19946000000,21099000000,22025000000,23699000000,25399000000,27140000000
69,Minority Interest,259000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,13178000000,12845000000,13401000000,14246000000,14622000000,14839000000,15662000000,16275000000,16179000000,17847000000,18658000000,19946000000,21099000000,22025000000,23699000000,25399000000,27140000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115622000048/0000811156-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-96000000,186000000,312000000,364000000,293000000,434000000,467000000,439000000,534000000,567000000,594000000,616000000,632000000,705000000,743000000,816000000,868000000
74,Depreciation and Amortization,- -,- -,524000000,574000000,559000000,572000000,542000000,592000000,622000000,678000000,744000000,803000000,872000000,921000000,992000000,1048000000,1114000000
75,Deferred Income Tax,-225000000,-113000000,55000000,196000000,67000000,246000000,161000000,150000000,164000000,263000000,204000000,289000000,163000000,123000000,150000000,170000000,249000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-113000000,-218000000,-245000000,-16000000,116000000,393000000,-593000000,80000000,-168000000,210000000,-689000000,-350000000,-9000000,523000000,-202000000,-407000000,-46000000
78,Accounts Receivable,-294000000,-67000000,- -,- -,- -,- -,97000000,-145000000,-116000000,-16000000,104000000,-138000000,-63000000,-26000000,45000000,- -,- -
79,Inventory,-235000000,-114000000,-5000000,-89000000,91000000,- -,-17000000,107000000,205000000,-36000000,144000000,145000000,-45000000,15000000,44000000,28000000,-93000000
80,Accounts Payable,154000000,-32000000,-23000000,1000000,-50000000,- -,43000000,7000000,14000000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1328000000,1110000000,865000000,849000000,965000000,1358000000,765000000,845000000,677000000,887000000,198000000,-152000000,-161000000,362000000,160000000,-247000000,-3000000
82,Other Non-Cash Items,1074000000,619000000,-204000000,-245000000,-113000000,-735000000,746000000,92000000,199000000,-380000000,941000000,323000000,57000000,-823000000,107000000,-351000000,-366000000
83,Cash Provided by Operating Activities,640000000,474000000,442000000,873000000,922000000,910000000,1323000000,1353000000,1351000000,1338000000,1794000000,1681000000,1715000000,1449000000,1790000000,1276000000,1819000000
84,CAPEX,-572000000,-646000000,-1258000000,-789000000,-811000000,-858000000,-932000000,-1271000000,-1376000000,-1648000000,-1626000000,-1768000000,-1751000000,-1971000000,-2236000000,-2448000000,-2209000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-154000000,- -,- -,- -,- -,- -,898000000
86,Purchases of Investments,-309000000,-21000000,-32000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106000000,- -,- -,- -
87,Sales/Maturities of Investments,184000000,148000000,394000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,- -,- -,- -
88,Other Investing Activites,-537000000,-800000000,-947000000,-823000000,-850000000,-816000000,-951000000,-1230000000,-1331000000,-1578000000,-1538000000,-1656000000,-1632000000,-1822000000,-2684000000,-2736000000,-1998000000
89,Cash Used for Investing Activites,-662000000,-673000000,-585000000,-823000000,-850000000,-859000000,-951000000,-1279000000,-1387000000,-1653000000,-1781000000,-1768000000,-1751000000,-1971000000,-2816000000,-2867000000,-1233000000
90,Debt Repayment,-1057000000,-243000000,-96000000,-470000000,-410000000,-505000000,-104000000,-1094000000,-496000000,-258000000,-147000000,-201000000,-579000000,-1290000000,-1300000000,-2100000000,-235000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,150000000,150000000,495000000,150000000,275000000,450000000,250000000,12000000,253000000,26000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-279000000,-149000000,-252000000,-299000000,-287000000,-360000000,-376000000,-395000000,-408000000,-459000000,-476000000,-501000000,-524000000,-533000000,-436000000,-467000000,-509000000
94,Other Financing Activites,1603000000,212000000,649000000,593000000,595000000,846000000,122000000,1185000000,810000000,590000000,439000000,595000000,602000000,2086000000,2732000000,3933000000,423000000
95,Cash Used/Provided by Financing Activities,267000000,-180000000,301000000,-176000000,-102000000,-19000000,-358000000,-154000000,49000000,368000000,-34000000,168000000,-51000000,513000000,1008000000,1619000000,-295000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,245000000,-379000000,158000000,-126000000,-30000000,32000000,14000000,-80000000,13000000,53000000,-21000000,81000000,-87000000,-9000000,-18000000,28000000,291000000
98,Cash at the End of Period,416000000,37000000,195000000,69000000,39000000,71000000,85000000,5000000,18000000,71000000,50000000,152000000,65000000,56000000,157000000,185000000,476000000
99,Cash at the Beginning of Period,171000000,416000000,37000000,195000000,69000000,39000000,71000000,85000000,5000000,18000000,71000000,71000000,152000000,65000000,175000000,157000000,185000000
100,Free Cash Flow,68000000,-172000000,-816000000,84000000,111000000,52000000,391000000,82000000,-25000000,-310000000,168000000,-87000000,-36000000,-522000000,-446000000,-1172000000,-390000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115622000048/0000811156-22-000048-index.htm
102,false,,,,,,,,,,,,,,,,,
