,https://roic.ai/company/PWFL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2989000,2157000,1558000,1188000,1154000,1118000,1334000,1609000,1658000,2437000,2163000,3794000,4259000,- -
77,Change in Working Capital,-1957000,-5111000,-3501000,2325000,-115000,4517000,1157000,66145000,-48107000,-989000,16776000,-22835000,-16000,-4893000,1853000,-2372000,-5344000,-3976000,-16000,5705000,13597000,-513000,14753000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5370000,5049000,-611000,-1240000,-1299000,-1186000,-6293000,3350000,1174000,1597000,-554000,-1142000,2168000,- -
79,Inventory,-123000,-625000,-96000,-627000,795000,-1063000,-1318000,-3578000,1493000,1212000,-1815000,2428000,-819000,602000,290000,-1218000,-1086000,3027000,87000,-384000,-3283000,3050000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,360000,-2392000,- -
81,Other Working Capital,14582000,9471000,5970000,8295000,8180000,12697000,13854000,79999000,31892000,30903000,47679000,24844000,24828000,19935000,21788000,19416000,14072000,10096000,10080000,15785000,29382000,28869000,43622000
82,Other Non-Cash Items,4000,5975000,4061000,-4825000,906000,-3641000,-6455000,-66070000,55508000,-3256000,-13145000,27858000,-5706000,-4719000,1277000,10096000,6067000,5519000,4235000,-5319000,-16877000,5325000,-1465000
83,Cash Provided by Operating Activities,-1627000,-3902000,-3185000,-3683000,-235000,1623000,-4085000,-1073000,604000,-4891000,-6871000,-3595000,-6597000,-9136000,-1143000,-301000,-6902000,-2484000,3918000,-1702000,-7269000,8848000,- -
84,CAPEX,-213000,-441000,-71000,-340000,-339000,-419000,-512000,-703000,-548000,-188000,-358000,-1459000,-434000,-326000,-538000,-410000,-2182000,-505000,-386000,-251000,-1042000,-3373000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69000000,- -,- -
86,Purchases of Investments,-6005000,-10140000,-9242000,-4603000,-5698000,-1235000,-5963000,-68481000,-15691000,-28513000,-59408000,-15330000,-7196000,-5478000,-3841000,-5357000,-2754000,-956000,-11083000,-3235000,-99000,- -,- -
87,Sales/Maturities of Investments,- -,10740000,12000000,3600000,4084000,3385000,3703000,13214000,16523000,44649000,62439000,42107000,4434000,8399000,10427000,5187000,8434000,932000,1113000,10082000,4638000,- -,- -
88,Other Investing Activites,- -,-183000,-209000,-81000,8000,36000,11000,11000,- -,-573000,-518000,-15000000,- -,- -,- -,- -,-2182000,-505000,-7759000,-251000,19000,-3373000,- -
89,Cash Used for Investing Activites,-6218000,-24000,2478000,-1424000,-1945000,1767000,-2761000,-55959000,284000,15375000,2155000,10318000,-3196000,2595000,6048000,-580000,3498000,-529000,-17729000,6596000,-65484000,-3298000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19000,-1262000,-11638000,- -,- -,-12000,-144000,-149000,-11657000,-14648000,- -,-2010000,-7858000,- -
91,Common Stock Issued,13924000,4000,70000,6312000,1000000,2196000,743000,64747000,367000,- -,- -,- -,4605000,- -,- -,- -,- -,- -,16065000,- -,- -,4041000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-5583000,-4387000,- -,-99000,-1050000,-193000,- -,- -,- -,- -,- -,-652000,- -,-423000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-188000,-14000,-22000,127000,601000,-325000,-199000,-209000,-213000,1377000,12902000,3000,35000,117000,203000,460000,2006000,14720000,12932000,721000,80655000,294000,- -
95,Cash Used/Provided by Financing Activities,13736000,-10000,48000,6439000,1601000,1871000,544000,64538000,-5429000,-3029000,11640000,-11734000,3590000,-76000,191000,316000,1857000,3063000,14349000,69000,78645000,-3946000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,21000,98000,-155000,-128000,-43000,62000,433000,-413000,100000,345000,128000,- -
97,Net Change In Cash,5891000,-3936000,-659000,1332000,-579000,5261000,-6302000,7506000,-4541000,7455000,6923000,-4990000,-6105000,-6772000,4968000,-608000,-1485000,483000,125000,5063000,6237000,1732000,- -
98,Cash at the End of Period,7021000,3085000,2426000,3758000,3179000,8440000,2138000,9644000,5103000,12558000,19481000,14491000,8386000,1614000,6582000,5974000,4489000,4972000,5097000,10466000,16703000,18435000,- -
99,Cash at the Beginning of Period,1130000,7021000,3085000,2426000,3758000,3179000,8440000,2138000,9644000,5103000,12558000,19481000,14491000,8386000,1614000,6582000,5974000,4489000,4972000,5403000,10466000,16703000,18435000
100,Free Cash Flow,-1840000,-4343000,-3256000,-4023000,-574000,1204000,-4597000,-1776000,56000,-5079000,-7229000,-5054000,-7031000,-9462000,-1681000,-711000,-9084000,-2989000,3532000,-1953000,-8311000,5475000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315220006032/0001493152-20-006032-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1774170/000149315222007009/0001493152-22-007009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
