,https://roic.ai/company/OMER,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,56000,57000,213000,219000,224000,259000,304000,342000,380000,438000,482000,490000,542000,616000,626000
64,Retained Earnings,- -,-73420000,-97247000,-118336000,-147587000,-176133000,-214577000,-254373000,-328046000,-403142000,-469887000,-523368000,-650125000,-734611000,-872672000,-683134000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1637000,-2083000,-2479000,-1789000,-2091000,-2228000,-2432000,-2732000,-3283000,-4245000,-6035000,- -,- -
66,Other Total Stockholders Equity,- -,3423000,6024000,162905000,169921000,172834000,209576000,237776000,287278000,378960000,434734000,523355000,553724000,631083000,751304000,706288000
67,Total Stockholders Equity,- -,-69941000,-91166000,43145000,20470000,-5554000,-6531000,-18384000,-42654000,-26234000,-37447000,-2814000,-100156000,-109021000,-120752000,23780000
68,Total Liabilities And Stockholders Equity,- -,27162000,21681000,62062000,45704000,26982000,26575000,16535000,11090000,48995000,67278000,116328000,95936000,136969000,181042000,419268000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,27162000,21681000,62062000,45704000,26982000,26575000,16535000,11090000,48995000,67278000,116328000,95936000,136969000,181042000,419268000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1285819/000095012310030881/0000950123-10-030881-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312511067278/0001193125-11-067278-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312512117593/0001193125-12-117593-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312513112709/0001193125-13-112709-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581914000002/0001285819-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581915000003/0001285819-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581916000014/0001285819-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581917000004/0001285819-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581918000003/0001285819-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000162828019002324/0001628280-19-002324-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837020001891/0001558370-20-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837021002177/0001558370-21-002177-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837022002582/0001558370-22-002582-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-22777000,-23091000,-23827000,-21089000,-29251000,-28546000,-38444000,-39796000,-73673000,-75096000,-66745000,-53481000,-126757000,-84486000,-138061000,194235000
74,Depreciation and Amortization,232000,375000,434000,451000,472000,435000,320000,302000,326000,209000,300000,551000,962000,1790000,1616000,1386000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12929000,- -,-12011000,- -
76,Stock Based Compensation,1439000,6056000,2315000,1494000,2178000,1927000,4281000,6252000,8918000,9581000,13582000,12688000,11713000,13785000,14925000,17630000
77,Change in Working Capital,305000,16526000,-19609000,52657000,-21694000,-20917000,8419000,-12438000,-12218000,30167000,23298000,37874000,-29554000,-4225000,66263000,81551000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31344000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-568000,96000,-656000,685000,355000,-1059000,-208000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,957000,-1169000,5459000,4195000,-319000,9520000,10544000,- -,-19736000,14640000
81,Other Working Capital,- -,16526000,-3083000,49574000,27880000,6963000,15382000,2944000,-9274000,20893000,44191000,82065000,52511000,48286000,114549000,196100000
82,Other Non-Cash Items,10629000,-14180000,21014000,-52540000,33793000,21433000,-9127000,15985000,18603000,-30070000,-21939000,-33859000,52828000,13063000,-32818000,-404524000
83,Cash Provided by Operating Activities,-10172000,-14314000,-19673000,-19027000,-14502000,-25668000,-34551000,-29695000,-58044000,-65209000,-51504000,-36227000,-103737000,-60073000,-100086000,-109722000
84,CAPEX,-166000,-534000,-164000,-279000,-8438000,-1241000,-642000,-204000,-28000,-240000,-126000,-350000,-567000,-334000,-283000,-277000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-9541000,-30562000,- -,-64207000,-57765000,-9000000,-49547000,-47182000,-58849000,-91766000,-73966000,-65326000,-68782000,-58217000,-133194000,-32006000
87,Sales/Maturities of Investments,9340000,25005000,10730000,12084000,78496000,27150000,49282000,55295000,65034000,71400000,57757000,28078000,94500000,55150000,66446000,100000000
88,Other Investing Activites,-212000,- -,- -,- -,7631000,- -,- -,- -,-28000,-240000,-126000,- -,- -,- -,- -,125993000
89,Cash Used for Investing Activites,-579000,-6091000,10566000,-52402000,19924000,16909000,-907000,7909000,6157000,-20606000,-16335000,-37598000,25151000,-3401000,-67031000,193710000
90,Debt Repayment,-391000,-1005000,-1010000,-4120000,-13005000,-1051000,-6194000,- -,-1464000,-7438000,-75837000,-431000,-144930000,-1139000,-126833000,-1823000
91,Common Stock Issued,- -,360000,40000,61840000,299000,595000,32306000,20988000,37754000,79076000,38039000,63657000,- -,54238000,93675000,- -
92,Common Stock Repurchased,- -,- -,- -,-48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,34289000,3575000,16878000,1851000,9742000,9942000,6861000,662000,14567000,15188000,106496000,11769000,225983000,7598000,207692000,8142000
95,Cash Used/Provided by Financing Activities,33898000,2930000,15908000,59523000,-2964000,9486000,32973000,21650000,50857000,86826000,68698000,74995000,81053000,60697000,174534000,6319000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,23147000,-17475000,6801000,-11906000,2458000,727000,-2485000,-136000,-1030000,1011000,859000,1170000,2467000,-2777000,7417000,90307000
98,Cash at the End of Period,23400000,5925000,12726000,820000,3278000,4005000,1520000,1384000,354000,1365000,2224000,3394000,5861000,3084000,10501000,100808000
99,Cash at the Beginning of Period,253000,23400000,5925000,12726000,820000,3278000,4005000,1520000,1384000,354000,1365000,2224000,3394000,5861000,3084000,10501000
100,Free Cash Flow,-10338000,-14848000,-19837000,-19306000,-22940000,-26909000,-35193000,-29899000,-58072000,-65449000,-51630000,-36577000,-104304000,-60407000,-100369000,-109999000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1285819/000095012310030881/0000950123-10-030881-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312511067278/0001193125-11-067278-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312512117593/0001193125-12-117593-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000119312513112709/0001193125-13-112709-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581914000002/0001285819-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581915000003/0001285819-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581916000014/0001285819-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581917000004/0001285819-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000128581918000003/0001285819-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000162828019002324/0001628280-19-002324-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837020001891/0001558370-20-001891-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837021002177/0001558370-21-002177-index.htm,https://www.sec.gov/Archives/edgar/data/1285819/000155837022002582/0001558370-22-002582-index.htm
102,false,,,,,,,,,,,,,,,,
