,https://roic.ai/company/NOA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,198549000,198549000,198548575,199392297,200072009,23872000,25111000,32901000,32901000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,4870000,1502000,771836,599631,2128382,1041000,7669000,16161000,12866000,7043000,4385000,3174000,1790000,938000,2916000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,203419000,200051000,199320411,199991928,202200391,24913000,32780000,32901000,45767000,7043000,4385000,3174000,1790000,938000,2916000,- -,- -,4407000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3755000,- -,- -,- -,- -,- -,- -,- -,11788000,42908000,44050000,55974000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,23366418,14363469,18198745,12432000,10997000,49920000,57451000,27660000,29947000,15845000,13807000,10539000,9272000,15655000,16407000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,17266000,15354000,17789584,11356088,1073963,6264000,10730000,26908000,8877000,5087000,5370000,3834000,3086000,4239000,7288000,7142000,6617000,6000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,388590000,392494000,426042737,481674354,502512087,373314000,387005000,431593000,424870000,317765000,300600000,281605000,275135000,294364000,559421000,675275000,718970000,722099000
46,Other Assets,- -,97237000,129527000,120431000,158584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,97237000,129527000,120431000,158584000,489389000,526668000,586911490,710735701,793598395,630052000,702617000,682957000,749993000,445641000,456581000,360694000,350081000,383644000,689800000,792652000,838928000,869278000
48,Accounts Payable,- -,- -,- -,- -,- -,23187000,59090000,54088043,97547279,117914824,58359000,68490000,86053000,171130000,48438000,58089000,25034000,29551000,35191000,63460000,88201000,41369000,76251000
49,Short-Term Debt,- -,- -,- -,- -,- -,787000,1771000,3046474,23694649,9452731,5409000,11125000,14862000,14402000,15186000,22987000,30194000,32354000,29355000,62669000,53924000,47936000,48045000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4018000,7463000,1659000,2062000,691000,2079000,2007000,1749000,38000,3216000,5064000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6357000,93000,678000,1657000,2269000,4032000,23000,1512000,3349000
52,Other Current Liabilities,- -,- -,- -,- -,- -,33318000,31626000,35791686,27547279,55984981,71323000,86026000,64904000,69041000,23501000,34174000,6429000,10466000,12215000,18734000,15155000,18381000,33389000
53,Total Current Liabilities,- -,- -,- -,- -,- -,57292000,92487000,92926203,148789207,183352536,135091000,165641000,165819000,254573000,93482000,115343000,62335000,74028000,79030000,148895000,157303000,109198000,161034000
54,Long-Term Debt,- -,- -,- -,- -,- -,264511000,308631000,311913825,237094096,208288242,264974000,233834000,290801000,300066000,103299000,106123000,80866000,68604000,107898000,320280000,378225000,398242000,347181000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359000,530000,704000,2651000,6219000,9857000,6593000,4748000,2954000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2515000,- -,23366418,19711716,24442959,30220000,27441000,44441000,52788000,49818000,42077000,42308000,40221000,38157000,44787000,52501000,64195000,56200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,41990000,52011000,106179355,60862546,94150807,52330000,94643000,34630000,14786000,6848000,2929000,2863000,5623000,6416000,15766000,17911000,14102000,23446000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,309016000,360642000,441459598,317668358,326882008,347524000,355918000,369872000,367640000,160324000,151659000,126741000,117099000,158690000,390690000,455230000,481287000,429781000
59,Other Liabilities,- -,80559000,112757000,103052000,128766000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,3038000,7225000,7906352,6514068,10043205,17484000,13393000,8693000,10701000,43485000,64841000,62561000,61523000,67188000,86991000,100192000,88324000,69499000
61,Total Liabilities,- -,80559000,112757000,103052000,128766000,366308000,453129000,534385801,466457565,510234544,482615000,521559000,535691000,622213000,253806000,267002000,189076000,191127000,237720000,539585000,612533000,590485000,590815000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,127500000,127500000,- -,- -,- -,- -,303505000,304854000,304908000,290517000,290800000,275520000,252633000,231020000,221773000,225966000,255064000,246944000
64,Retained Earnings,- -,- -,- -,- -,- -,-4556000,-54595000,-76530827,-55525830,-19287110,-157811000,-129886000,-164536000,-185820000,-113432000,-117402000,-127469000,-130300000,-127162000,-113917000,-79855000,-35155000,11863000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-47774404,-70499308,-97382985,-118887000,-151338000,-59000,-19000,- -,-173537000,-188398000,-204860000,-220320000,-248885000,-276185000,- -,2000
66,Other Total Stockholders Equity,- -,16678000,16770000,17379000,- -,137000,634000,- -,- -,- -,- -,158777000,7007000,8711000,- -,189718000,211965000,241481000,262386000,290750000,310193000,28534000,19654000
67,Total Stockholders Equity,- -,16678000,16770000,17379000,29818000,123081000,73539000,52525689,244278137,283363851,147437000,181058000,147266000,127780000,191835000,189579000,171618000,158954000,145924000,149721000,180119000,248443000,278463000
68,Total Liabilities And Stockholders Equity,- -,97237000,129527000,120431000,158584000,489389000,526668000,586911490,710735702,793598395,630052000,702617000,682957000,749993000,445641000,456581000,360694000,350081000,383644000,689306000,792652000,838928000,869278000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494000,- -,- -,- -
70,Total Liabilities & Equity,- -,97237000,129527000,120431000,158584000,489389000,526668000,586911490,710735701,793598395,630052000,702617000,682957000,749993000,445641000,456581000,360694000,350081000,383644000,689800000,792652000,838928000,869278000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1272869/000119312504161393/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312505231965/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312506181612/d20f.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,8245000,92000,1609000,12489000,-15697000,-42313000,-21936011,21079336,39783973,-139515000,28219000,-34650000,-21162000,69184000,-1169000,-7470000,-445000,5264000,15286000,36878000,49208000,51408000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,26168000,24130000,25792854,35053044,38534101,39189000,44355000,42980000,54602000,39767000,46575000,42030000,42482000,45653000,58762000,102293000,89586000,108016000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-10888000,-4975000,- -,381688,17298632,9177000,9876000,-9340000,-6546000,-3664000,61000,-114000,-49000,1204000,6096000,2845000,11264000,8285000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2251000,5270000,8156000,-3085000,5466000,70000,-306000,4819000,3652000,11532000,9443000,1944000,11606000
77,Change in Working Capital,- -,- -,- -,- -,- -,17289000,-5258000,-4528258,-48243773,-8649316,46192000,-39591000,-15982000,39452000,25499000,-7485000,39674000,-5780000,-7029000,14178000,8519000,-2812000,671000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86832000,-28522000,-9534000,-19592000,29765000,3674000,45367000,-15344000,-7148000,-22359000,5393000,29462000,-30646000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,77067,-99170,46292,-6617000,6214000,-2661000,-12603000,-644000,-1542000,3746000,-1437000,-1288000,-443000,-12579000,2475000,-11243000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56309000,6620000,21382000,70764000,-31847000,9928000,-29751000,4517000,5640000,17665000,28600000,-46832000,31232000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-1,-9854705,4615780,14214000,-22433000,-20433000,-9955000,-1081000,-6357000,457000,614000,-247000,1464000,-2914000,536000,1133000
82,Other Non-Cash Items,- -,-8245000,-92000,-1609000,-12489000,1114000,23593000,34543437,1781596,10632651,200491000,-5260000,8339000,12000,-33025000,3177000,3285000,-1196000,1001000,3517000,-2034000,-1918000,-14806000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,17986000,-4823000,33872022,10051891,97600041,157785000,42869000,-497000,63273000,103227000,41229000,77099000,39831000,49745000,109371000,157944000,147272000,165180000
84,CAPEX,- -,-15624000,-18547000,-8668000,-22932000,-7735000,-25679000,-29014479,-110018450,-61277647,-94139000,-55351000,-41165000,-65296000,-34177000,-36136000,-33271000,-27379000,-53879000,-81458000,-157448000,-117572000,-113791000
85,Acquisitions Net,- -,- -,- -,- -,- -,-367778000,- -,- -,-1517528,-1581113,- -,-5410000,-23501000,- -,- -,- -,- -,- -,-1177000,-31911000,-10630000,-1810000,-13354000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2873000,-1291000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7071000
88,Other Investing Activites,- -,- -,- -,- -,- -,6374000,624000,6846100,3564345,14226932,8824000,661000,-4249000,-2441000,187094000,15658000,37261000,16559000,21395000,-115625000,6978000,5537000,19577000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-369139000,-25055000,-22168379,-107971633,-48631828,-85315000,-59611000,-64632000,-64200000,155743000,-19488000,4769000,-10516000,-33595000,-228614000,-160678000,-113573000,-99269000
90,Debt Repayment,- -,- -,- -,- -,- -,-3577000,-1198000,- -,- -,- -,-6156000,-12519000,-292537000,-201410000,-405190000,-120053000,-68016000,-50422000,-49102000,-120892000,-225041000,-116985000,-198318000
91,Common Stock Issued,- -,- -,- -,- -,- -,92500000,- -,8375759,171304197,1627405,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-851238,-28083487,-581216,- -,- -,- -,- -,-11740000,-1941000,-6185000,-9204000,-14970000,-9540000,-10387000,-19001000,-22019000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2104000,-3294000,-1817000,-2185000,-2006000,-2536000,-4371000,-4423000
94,Other Financing Activites,- -,- -,- -,- -,- -,303676000,12403000,5553480,-80209871,-25038577,703000,33386000,255442000,202975000,170511000,89571000,27022000,13443000,44627000,263003000,226734000,145029000,132001000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,392599000,11205000,13078001,63010839,-23992388,-5453000,20867000,-37095000,1565000,-246419000,-34527000,-50473000,-48000000,-21630000,130565000,-11230000,4672000,-92759000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000,40000,27000,- -,- -,- -,- -,- -,- -,- -,2000
97,Net Change In Cash,- -,- -,- -,- -,- -,392599000,-18673000,24782812,-34908902,24975826,67017000,4125000,-102283000,678000,12578000,-12786000,31395000,-18685000,-5480000,11322000,-13964000,38371000,-26846000
98,Cash at the End of Period,- -,- -,- -,- -,- -,41446000,17922000,42704344,7895526,32871104,98880000,103005000,722000,1400000,13742000,956000,32351000,13666000,8186000,19508000,5544000,43915000,16601000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,36595000,17921532,42804428,7895278,31863000,98880000,103005000,722000,1164000,13742000,956000,32351000,13666000,8186000,19508000,5544000,43447000
100,Free Cash Flow,- -,- -,- -,- -,- -,10251000,-30502000,4857543,-99966559,36322394,63646000,-12482000,-41662000,-2023000,69050000,5093000,43828000,12452000,-4134000,27913000,496000,29700000,51389000
101,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1272869/000119312504161393/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312505231965/d20f.htm,https://www.sec.gov/Archives/edgar/data/1272869/000119312506181612/d20f.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.6901,0.6343,0.6267,0.6808,0.7635,0.8268,0.8559,0.8671,0.9746,0.7926,0.9849,1.0308,1.002,0.9413,0.8604,0.7224,0.7443,0.7948,0.7332,0.77,0.7851,0.7913
