,https://roic.ai/company/CNCE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,429000,- -,-300000,313000,- -,-85000,- -
23,Net Income,-11320000,-20444000,-6056000,-31699000,24174000,-50720000,95639000,-56024000,-78166000,-74766000,-80051
24,Net Income ratio,-0.5815,-1.5911,-0.2384,-3.6962,0.3623,-291.4943,0.6647,-5.3331,-72.5775,-9.4617,-2.4572
25,EPS,-1.11,-1.80,-0.37,-2.00,1.14,-2.28,4.20,-2.40,-3.29,-2.40,-2.33
26,EPS Diluted,-1.11,-1.80,-0.37,-2.00,1.09,-2.28,4.06,-2.40,-3.29,-2.40,-2.33
27,Weighted Average Shares Outstanding,11211000,11210000,17218121,15842000,21152000,22233000,22641000,23370000,23740000,31200000,34405000
28,Weighted Average Shares Outstanding Diluted,11211000,11210000,17218121,15842000,22267000,22233000,23442000,23370000,23740000,31200000,34405000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1367920/000119312514122579/0001193125-14-122579-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000119312515073586/d832927d10k.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000014/0001367920-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000009/0001367920-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000012/0001367920-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000009/0001367920-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000013/0001367920-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792021000013/0001367920-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792022000018/0001367920-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,22949000,7490000,9638000,13396000,92510000,40555000,27665000,17770000,53043000,77202000,141636000
32,Short-Term Investments,19705000,20067000,23039000,65836000,49680000,55630000,175500000,143069000,58770000,54735000,1463000
33,Cash and Short-Term Investments,42654000,27557000,32677000,79232000,142190000,96185000,203165000,160839000,111813000,131937000,143099000
34,Net Receivables,628000,115000,262000,1283000,251000,191000,783000,16571000,332000,3177000,218000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,853000,1178000,1106000,1205000,1667000,1353000,1786000,2739000,4710000,7610000,7012000
37,Total Current Assets,44135000,28850000,34045000,81720000,144108000,97729000,205734000,180149000,116855000,142724000,150329000
38,PP&E,4438000,3454000,2473000,2284000,2346000,2199000,2165000,8919000,17005000,15331000,13827000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1969000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,830000,825000,3255000,450000,478000,467000,3837000,3479000,3611000,-761000,1160000
45,Total Non-Current Assets,5268000,4279000,5728000,2734000,2824000,2666000,6002000,12398000,20616000,16539000,14987000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,49403000,33129000,39773000,84454000,146932000,100395000,211736000,192547000,137471000,159263000,165316000
48,Accounts Payable,1576000,813000,971000,560000,501000,545000,658000,1277000,881000,230000,2606000
49,Short-Term Debt,332000,5144000,8150000,7101000,- -,- -,- -,- -,268000,931000,2310000
50,Tax Payable,- -,- -,- -,- -,75000,- -,46000,390000,- -,- -,- -
51,Deferred Revenue,6894000,- -,4321000,5955000,1279000,1172000,1442000,1413000,7783000,2750000,7595000
52,Other Current Liabilities,1472000,1953000,2475000,5002000,4847000,3853000,4345000,6059000,8336000,6267000,3609000
53,Total Current Liabilities,10274000,7910000,15917000,18618000,6627000,5570000,6445000,8749000,17268000,10178000,16120000
54,Long-Term Debt,8048000,15500000,7350000,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,4128000,2750000,15310000,9866000,8891000,8878000,8859000,9120000,2750000,2750000,7595000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,113671000,113656000,113300000,1145000,779000,353000,- -,6938000,15996000,15173000,29376000
58,Total Non-Current Liabilities,125847000,131906000,135960000,11011000,9670000,9231000,8859000,16058000,18746000,17923000,36971000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,16264000,15996000,- -
61,Total Liabilities,136121000,139816000,151877000,29629000,16297000,14801000,15304000,24807000,36014000,28101000,53091000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,18000,22000,22000,23000,23000,24000,31000,34000
64,Retained Earnings,-87137000,-107581000,-113637000,-145336000,-121162000,-171882000,-76243000,-116515000,-194681000,-269447000,-349498000
65,Other Comprehensive Income/Loss,9000,4000,4000,-14000,-18000,-7000,-407000,-137000,-31000,-58000,-76000
66,Other Total Stockholders Equity,409000,889000,1528000,200157000,251793000,257461000,273059000,284369000,296145000,400636000,461765000
67,Total Stockholders Equity,-86718000,-106687000,-112104000,54825000,130635000,85594000,196432000,167740000,101457000,131162000,112225000
68,Total Liabilities And Stockholders Equity,49403000,33129000,39773000,84454000,146932000,100395000,211736000,192547000,137471000,159263000,165316000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,49403000,33129000,39773000,84454000,146932000,100395000,211736000,192547000,137471000,159263000,165316000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1367920/000119312514122579/0001193125-14-122579-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000119312515073586/d832927d10k.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000014/0001367920-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000009/0001367920-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000012/0001367920-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000009/0001367920-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000013/0001367920-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792021000013/0001367920-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792022000018/0001367920-22-000018-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-11320000,-20444000,-6056000,-31699000,24174000,-50720000,95639000,-56024000,-78166000,-74766000,-80051
74,Depreciation and Amortization,1619000,1452000,1346000,1052000,785000,893000,1008000,1247000,1664000,1605000,1479000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,903000,868000,1003000,1693000,2981000,5067000,8500000,11500000,10326000,11113000,12572000
77,Change in Working Capital,-9548000,-12921000,-2812000,44974000,74379000,-45322000,107130000,-27889000,-71813000,32959000,1663000
78,Accounts Receivable,1000000,487000,-157000,-851000,951000,43000,-107000,119000,-57000,-81000,-65000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,403000,-764000,158000,-32000,-90000,44000,113000,435000,-217000,-651000,2264000
81,Other Working Capital,33861000,20940000,18128000,63102000,137481000,92159000,199289000,171400000,99587000,132546000,134209000
82,Other Non-Cash Items,261000,4618000,19537000,-45780000,-79258000,44739000,-109350000,23137000,89228000,-39948000,-70787949
83,Cash Provided by Operating Activities,-18085000,-26427000,13018000,-29760000,23061000,-45343000,102927000,-48029000,-48761000,-69037000,-55154000
84,CAPEX,-290000,-468000,-363000,-804000,-868000,-770000,-947000,-2869000,-685000,-210000,-255000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-40879000,-38398000,-29929000,-89188000,-163025000,-132344000,-206207000,-99435000,-97837000,-156671000,- -
87,Sales/Maturities of Investments,64070000,37666000,26655000,45540000,178462000,125901000,85847000,140207000,181105000,157225000,52713000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,22901000,-1200000,-3637000,-44452000,14569000,-7213000,-121307000,37903000,82583000,344000,52458000
90,Debt Repayment,-332000,-332000,-5241000,-8182000,-7175000,- -,-30745000,- -,- -,- -,- -
91,Common Stock Issued,15000,- -,32000,87588000,46995000,- -,- -,- -,115000,92019000,64417000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1206000,-740000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7302000,12500000,-2024000,-1436000,1664000,601000,36235000,1037000,2076000,833000,2713000
95,Cash Used/Provided by Financing Activities,6985000,12168000,-7233000,77970000,41484000,601000,5490000,-169000,1451000,92852000,67130000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,11801000,-15459000,2148000,3758000,79114000,-51955000,-12890000,-10295000,35273000,24159000,64434000
98,Cash at the End of Period,22949000,7490000,9638000,13396000,92510000,40555000,27665000,18927000,54200000,78359000,142793000
99,Cash at the Beginning of Period,11148000,22949000,7490000,9638000,13396000,92510000,40555000,29222000,18927000,54200000,78359000
100,Free Cash Flow,-18375000,-26895000,12655000,-30564000,22193000,-46113000,101980000,-50898000,-49446000,-69247000,-55409000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1367920/000119312514122579/0001193125-14-122579-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000119312515073586/d832927d10k.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792016000014/0001367920-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792017000009/0001367920-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792018000012/0001367920-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792019000009/0001367920-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792020000013/0001367920-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1367920/000136792021000013/0001367920-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1367920/000136792022000018/0001367920-22-000018-index.htm
102,false,,,,,,,,,,,
