,https://roic.ai/company/NCNO,2018,2019,2020,2021,2022
51,Deferred Revenue,- -,41108000,58942000,89141000,122643000
52,Other Current Liabilities,- -,7858000,12967000,20230000,36819000
53,Total Current Liabilities,- -,52409000,76575000,115692000,174376000
54,Long-Term Debt,- -,- -,- -,15939000,11198000
55,Deferred Revenue,- -,825000,- -,946000,1675000
56,Deferred Tax Liabilities,- -,- -,194000,368000,1675000
57,Other Non-Current Liabilities,- -,696000,6109000,5277000,41583000
58,Total Non-Current Liabilities,- -,1521000,6303000,22530000,56131000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,16263000,- -
61,Total Liabilities,- -,53930000,82878000,138222000,230507000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,38000,41000,47000,55000
64,Retained Earnings,- -,-104752000,-120924000,-161064000,-209616000
65,Other Comprehensive Income/Loss,- -,-3620000,-6200000,240000,-72000
66,Other Total Stockholders Equity,- -,174370000,294356000,585956000,1277258000
67,Total Stockholders Equity,- -,66036000,167273000,425179000,1067625000
68,Total Liabilities And Stockholders Equity,- -,119966000,250151000,563401000,1298132000
69,Minority Interest,- -,- -,- -,- -,2882000
70,Total Liabilities & Equity,- -,119966000,250151000,563401000,1301014000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1566895/000156689521000007/0001566895-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1902733/000190273322000013/0001902733-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-18589000,-22306000,-27594000,-40536000,-49446000
74,Depreciation and Amortization,970000,1458000,4609000,7431000,10006000
75,Deferred Income Tax,- -,- -,195000,168000,-24280000
76,Stock Based Compensation,3826000,4095000,5745000,25208000,28477000
77,Change in Working Capital,-1836000,45960000,11944000,257837000,-317406000
78,Accounts Receivable,-12431000,-5655000,-14156000,-11413000,-13507000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,1921000,4703000,3470000,8042000,8796000
81,Other Working Capital,10798000,56758000,68702000,326539000,9133000
82,Other Non-Cash Items,-329000,-33796000,-3897000,-240886000,333420000
83,Cash Provided by Operating Activities,-15958000,-4589000,-8998000,9222000,-19229000
84,CAPEX,-2837000,-7965000,-5760000,-4338000,-5463000
85,Acquisitions Net,- -,- -,- -,- -,-268994000
86,Purchases of Investments,- -,- -,- -,- -,-4031000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-52267000,- -,- -
89,Cash Used for Investing Activites,-2837000,-7965000,-58027000,-4338000,-278488000
90,Debt Repayment,- -,- -,- -,-37000,- -
91,Common Stock Issued,69305000,- -,80000000,268375000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,832000,6260000,4091000,5783000,15922000
95,Cash Used/Provided by Financing Activities,70137000,6260000,84091000,274121000,15922000
96,Effect of Forex Changes on Cash,12000,-35000,-229000,1236000,-1231000
97,Net Change In Cash,51354000,-6329000,16837000,280241000,-283026000
98,Cash at the End of Period,80676000,74347000,91184000,371425000,88399000
99,Cash at the Beginning of Period,29322000,80676000,74347000,91184000,371425000
100,Free Cash Flow,-18795000,-12554000,-14758000,4884000,-24692000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1566895/000156689521000007/0001566895-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1902733/000190273322000013/0001902733-22-000013-index.htm
102,false,,,,,
