,https://roic.ai/company/VYNT,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,1779251,2417256,819906,49459564,25554064,19459000,9502000,9541000,161000,3880000,2444000,20608000
34,Net Receivables,- -,705844,688980,850545,1638916,5028620,6621000,11748000,10958000,7038000,1584000,779000,434000
35,Inventory,- -,- -,203507,233767,198789,279894,133000,146000,1834000,1438000,- -,- -,475000
36,Other Current Assets,- -,821007,65762,255511,593950,911320,1985000,2028000,873000,710000,1714000,884000,1697000
37,Total Current Assets,- -,3306102,3375505,2159729,51891219,31773898,28198000,23424000,23206000,9347000,7178000,4107000,23214000
38,PP&E,- -,1179007,1140636,964923,1264624,4446593,6069000,4738000,5550000,4056000,652000,448000,1693000
39,Goodwill,- -,- -,- -,- -,- -,2994135,12029000,12029000,17992000,17257000,3090000,2977000,- -
40,Intangible Assets,- -,134863,204687,324764,401709,502767,1727000,1503000,4478000,4004000,2895000,- -,- -
41,Intangible Assets,- -,134863,204687,324764,401709,3496902,13756000,13532000,22470000,21261000,5985000,2977000,- -
42,Investments,- -,- -,- -,- -,987657,1047744,341000,268000,246000,92000,92000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,682047,2310635,5502355,612064,6339993,520000,472000,749000,650000,997000,- -,12729000
45,Total Non-Current Assets,- -,1995917,3655958,6792042,3266054,15331232,20686000,19010000,29015000,26059000,7726000,3425000,14422000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,5302019,7031463,8951771,55157273,47105130,48884000,42434000,52221000,35406000,14904000,7532000,37636000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2333000,740000
49,Short-Term Debt,- -,- -,100000,6707767,6022298,- -,1333000,2000000,6000000,2481000,1277000,486000,331000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,468010,199560,544446,831000,789000,516000,2173000,1217000,1013000,74000
52,Other Current Liabilities,- -,1521109,4353330,4595919,2397640,3821517,7701000,8257000,13124000,22639000,4478000,431000,4286000
53,Total Current Liabilities,- -,1521109,4453330,11771696,8619498,4365963,9865000,11046000,19640000,27293000,6972000,4263000,5431000
54,Long-Term Debt,- -,6100000,10349620,8440683,- -,6560341,4642000,2654000,- -,- -,- -,- -,866000
55,Deferred Revenue,- -,130389,156311,- -,- -,924850,752000,428000,429000,379000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,4286954,11137559,12720788,1074566,700225,608000,2682000,5387000,932000,547000,- -,49000
58,Total Non-Current Liabilities,- -,10517343,21643490,21161471,1074566,8185416,6002000,5764000,5816000,1311000,547000,- -,915000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1113000,- -
61,Total Liabilities,- -,12038452,26096820,32933167,9694064,12551379,15867000,16810000,25456000,28604000,7519000,4368000,6346000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29007000,- -
63,Common Stock,- -,636,324,135,927,982,1000,2000,3000,3000,- -,- -,31293000
64,Retained Earnings,- -,-22381918,-42268958,-48934585,-61324580,-77967499,-98151000,-113954000,-134834000,-157716000,-164424000,- -,-78813000
65,Other Comprehensive Income/Loss,- -,-1299870,-1656473,-1994003,-2305250,-2885006,-4388000,-6356000,-8155000,-9181000,-495000,-223000,- -
66,Other Total Stockholders Equity,- -,16944719,24859750,26947057,109092112,115405274,135555000,145932000,169751000,173696000,172304000,- -,78810000
67,Total Stockholders Equity,- -,-6736433,-19065357,-23981396,45463209,34553751,33017000,25624000,26765000,6802000,7385000,-36440000,31290000
68,Total Liabilities And Stockholders Equity,- -,5302019,7031463,8951771,55157273,47105130,48884000,42434000,52221000,35406000,14904000,-32072000,37636000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39604000,- -
70,Total Liabilities & Equity,- -,5302019,7031463,8951771,55157273,47105130,48884000,42434000,52221000,35406000,14904000,7532000,37636000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1349929/000119312514121698/0001193125-14-121698-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992915000004/0001349929-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992916000062/0001349929-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992917000024/0001349929-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992918000002/0001349929-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992919000003/0001349929-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992920000005/0001349929-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992921000004/0001349929-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000149315222008085/0001493152-22-008085-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-7328292,-8407341,-19887040,-6665627,-12372553,-16642919,-20184000,-15803000,-20880000,-20373000,-6708000,-8001000,-40859000
74,Depreciation and Amortization,3241,537307,13048,353405,326476,838596,1662000,2375000,2165000,2114000,757000,166000,1054000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,915361,646983,3835349,2834000,2016000,1895000,921000,263000,179000,1003000
77,Change in Working Capital,468901,1784993,-2862818,-8534142,52883688,-15863786,-9074935,-5955000,-8812000,-21512000,18152000,-362000,17939000
78,Accounts Receivable,95697,-570162,-355816,-156968,-716494,-1656658,-1662000,-5850000,-3583000,1041000,81000,-89000,-77000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60000
80,Accounts Payable,- -,- -,- -,85134,-731471,673687,3114000,355000,-1538000,3766000,-1342000,878000,-1146000
81,Other Working Capital,- -,1784993,-1077825,-9611967,43271721,27407935,18333000,12378000,3566000,-17946000,206000,-156000,17783000
82,Other Non-Cash Items,3520976,354494,17663561,6353151,-49559111,15495101,11163935,-484000,12068000,26298000,-21124000,3110000,4375000
83,Cash Provided by Operating Activities,-3335174,-5730547,-5073249,-7577852,-8074517,-12337659,-13599000,-17851000,-13564000,-12552000,-8660000,-4908000,-16488000
84,CAPEX,-190809,-179608,-351504,-297769,-349435,-1503790,-1145000,-609000,-1410000,-680000,-28000,-39000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-3000000,- -,- -,-1000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-30226,-6807,155528,-185306,-1142174,-6998439,-1632000,-119000,-267000,1733000,9119000,924000,29678000
89,Cash Used for Investing Activites,-190809,-168008,-113104,-347769,-1399435,-11372733,-2640000,-609000,-2751000,1084000,9091000,885000,29678000
90,Debt Repayment,-136926,-1224848,-242708,-53956,-3597024,-452228,-83000,-1459000,-4897000,-13908000,-1095000,-84000,-119000
91,Common Stock Issued,- -,- -,- -,- -,61516994,- -,10353000,9962000,9551000,- -,5412000,3074000,41000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,3665000,8872763,6067066,6382227,193640,257120,-126000,- -,11684000,16055000,-1012000,-350000,7300000
95,Cash Used/Provided by Financing Activities,3528074,7647915,5824358,6328271,58113610,-195108,10144000,8503000,16338000,2147000,3305000,2640000,7222000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2091,1749360,638005,-1597350,48639658,-23905500,-6095000,-9957000,39000,-9380000,3719000,-1786000,19816000
98,Cash at the End of Period,29891,1779251,2417256,819906,49459564,25554064,19459000,9502000,9541000,511000,4230000,- -,20608000
99,Cash at the Beginning of Period,27800,29891,1779251,2417256,819906,49459564,25554000,19459000,9502000,9891000,511000,- -,- -
100,Free Cash Flow,-3525983,-5910155,-5424753,-7875621,-8423952,-13841449,-14744000,-18460000,-14974000,-13232000,-8688000,-4947000,-16488000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1349929/000119312514121698/0001193125-14-121698-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992915000004/0001349929-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992916000062/0001349929-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992917000024/0001349929-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992918000002/0001349929-18-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992919000003/0001349929-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992920000005/0001349929-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000134992921000004/0001349929-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1349929/000149315222008085/0001493152-22-008085-index.htm
102,false,,,,,,,,,,,,,
