,https://roic.ai/company/MHTX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-Infinity,-17.7720,-Infinity,-25.3013,-7.5533,-8.0933,-Infinity,-Infinity,-Infinity,-2.1998,-0.5703,0.0237,-2.9825,-2.0707,-2.4248,-5.0981,148.1250,-30.8333,16.9225,-Infinity,-12.5258,87.3000,0.5200
17,Operating Income,-9537000,-4758000,-6432000,-3684000,-2769000,-2129000,-1618000,-1938000,-3443000,-2150000,-397000,7000,-2170000,-1650000,-1808000,-3475000,-6251000,-6383000,-2278000,-1448000,-1025000,-675000,- -
18,Operating Income ratio,-Infinity,-19.0320,-Infinity,-23.6154,-9.2300,-14.1933,-Infinity,-Infinity,-Infinity,-2.5117,-0.6272,0.0042,-3.1587,-2.3810,-2.7730,-5.4128,-97.6719,-42.5533,-16.0423,-Infinity,-10.5670,-13.5000,- -
19,Total Other Income Expenses (Gains),-100000,- -,3397000,-294000,279000,707000,- -,318000,470000,50000,- -,-50000,-117000,-440000,-120000,-330000,14263000,275000,3824000,-6886000,-197000,4989000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43000,-2287000,-2090000,-1928000,-3805000,8012000,-6108000,1546000,-8334000,-1222000,4314000,-3639000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0255,-3.3290,-3.0159,-2.9571,-5.9268,125.1875,-40.7200,10.8873,-Infinity,-12.5979,86.2800,-72.7800
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-9800000,-4736000,-6662000,-4028000,-2569000,-1517000,-219000,-1694000,-3014000,-2142000,-446000,-43000,-2287000,-2090000,-1928000,-3805000,8012000,-6108000,1546000,-8334000,-1222000,4314000,-3639000
24,Net Income ratio,-Infinity,-18.9440,-Infinity,-25.8205,-8.5633,-10.1133,-Infinity,-Infinity,-Infinity,-2.5023,-0.7046,-0.0255,-3.3290,-3.0159,-2.9571,-5.9268,125.1875,-40.7200,10.8873,-Infinity,-12.5979,86.2800,-72.7800
25,EPS,-0.11,-0.06,-0.06,-0.03,-0.02,-0.01,-0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.01,0.02,-0.01,0.00,-0.02,-0.00,0.01,-0.01
26,EPS Diluted,-0.11,-0.06,-0.06,-0.03,-0.02,-0.01,-0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.01,0.01,-0.01,0.00,-0.02,-0.00,0.01,-0.01
27,Weighted Average Shares Outstanding,98892000,102355000,110921175,122007937,156145585,174407378,181011431,194582629,249567399,328469378,393155118,401924304,425578607,449696878,461107333,485631117,521647718,534680493,533781064,533781064,549364626,558322048,558322048
28,Weighted Average Shares Outstanding Diluted,98892000,102355000,110921175,122007937,156145585,174407378,181011431,194582629,249567399,328469378,393155118,401924304,425578607,449696878,461107333,485631117,593445900,534680493,533781064,533781064,549364626,593051310,593051310
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099132/000141188609000004/0001411886-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000721/0001013762-11-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000853/0001013762-11-000853-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376212000688/0001013762-12-000688-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793213001511/0001477932-13-001511-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793214001482/0001477932-14-001482-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793215002129/0001477932-15-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793216009327/0001477932-16-009327-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793217001765/0001477932-17-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793218001853/0001477932-18-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793219001293/0001477932-19-001293-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793220001968/0001477932-20-001968-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793221002379/0001477932-21-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793222002079/0001477932-22-002079-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,68000,56000,116000,364000,149000,452000,567000,362000,1055000,157000,91000,578000,2528000,5364000,1068000,269000,87000,261000,353000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000,151000,65000,32000,22000,- -,- -,- -,- -,- -,- -,- -,5875000,- -
33,Cash and Short-Term Investments,- -,- -,- -,68000,56000,116000,364000,149000,452000,696000,513000,1120000,189000,113000,578000,2528000,5364000,1068000,269000,87000,261000,6228000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,257000,- -,- -,- -,44000,- -,- -,300000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,25000,76000,217000,149000,9000,44000,- -,83000,86000,244000,164000,12000,- -,- -,- -,9000,11000,13000,-5563000,547000
37,Total Current Assets,- -,- -,- -,93000,132000,333000,513000,158000,496000,696000,596000,1206000,604000,534000,590000,2528000,5364000,1112000,278000,98000,574000,665000,547000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,4000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1379000,1026000,818000,610000,402000,194000,290000,290000,- -,- -,- -,1120000,957000,793000,630000,23000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1379000,1026000,818000,610000,402000,194000,290000,290000,257000,1447000,1283000,1120000,957000,793000,630000,23000,- -,- -,- -,- -
42,Investments,- -,- -,- -,118000,26000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,- -,2000,5505000,1354000,1045000,5875000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,56000,41000,150000,45000,32000,30000,31000,2000,462000,52000,34000,149000,146000,6712000,5891000,5040000,1208000,606000,-5875000,2903000
45,Total Non-Current Assets,- -,- -,- -,1553000,1093000,970000,657000,436000,226000,323000,294000,721000,1501000,1319000,1271000,1105000,7505000,6523000,10568000,2562000,1651000,6000,2907000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,1646000,1225000,1303000,1170000,594000,722000,1019000,890000,1927000,2105000,1853000,1861000,3633000,12869000,7635000,10846000,2660000,2225000,671000,3454000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000,252000,234000,389000,426000,829000,- -,209000,221000,234000,159000,- -
49,Short-Term Debt,- -,- -,- -,942000,1950000,1868000,1362000,1132000,33000,1028000,1028000,33000,225000,896000,1346000,1346000,450000,275000,- -,- -,- -,104000,130000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1337000,434000,1231000,1470000,1846000,1762000,833000,710000,777000,815000,822000,19000,19000,10000,1439000,1418000,1531000,1860000,- -,1231000
53,Total Current Liabilities,- -,- -,- -,2279000,2384000,3099000,2832000,2978000,1795000,1861000,1738000,1081000,1292000,1952000,1754000,1791000,1289000,1714000,1627000,1752000,2094000,263000,1361000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000,1287000,1616000,1928000,2139000,- -,- -,78000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775000,776000,251000,1058000,1058000,1058000,1059000,1058000,1058000,1058000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775000,776000,698000,2345000,2674000,2986000,3198000,1058000,1058000,1136000,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,2279000,2384000,3099000,2832000,2978000,1795000,1861000,1738000,1856000,2068000,2650000,4099000,4465000,4275000,4912000,2685000,2810000,3230000,104000,1361000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,122000,172000,178000,183000,201000,319000,379726,398000,412000,440000,459000,465000,516000,537000,534000,534000,534000,558000,- -,- -
64,Retained Earnings,- -,- -,- -,-41488000,-44057000,-45574000,-45793000,-47487000,-50501000,-52643000,-53089000,-53132000,-55419000,-57509000,-59437000,-63242000,-55230000,-61338000,-59662000,-67973000,-69195000,- -,-68520000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-175000,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,40733000,42726000,43600000,43948000,44902000,49109000,51421274,51843000,52791000,55016000,56253000,56734000,62069000,63287000,63527000,67289000,67289000,67632000,4674000,69555000
67,Total Stockholders Equity,- -,- -,- -,-633000,-1159000,-1796000,-1662000,-2384000,-1073000,-842000,-848000,71000,37000,-797000,-2238000,-832000,8594000,2723000,8161000,-150000,-1005000,4674000,1035000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1646000,1225000,1303000,1170000,594000,722000,1019000,890000,1927000,2105000,1853000,1861000,3633000,12869000,7635000,10846000,2660000,2225000,4778000,3454000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4107000,- -
70,Total Liabilities & Equity,- -,- -,- -,1646000,1225000,1303000,1170000,594000,722000,1019000,890000,1927000,2105000,1853000,1861000,3633000,12869000,7635000,10846000,2660000,2225000,671000,3454000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099132/000141188609000004/0001411886-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000721/0001013762-11-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000853/0001013762-11-000853-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376212000688/0001013762-12-000688-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793213001511/0001477932-13-001511-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793214001482/0001477932-14-001482-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793215002129/0001477932-15-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793216009327/0001477932-16-009327-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793217001765/0001477932-17-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793218001853/0001477932-18-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793219001293/0001477932-19-001293-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793220001968/0001477932-20-001968-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793221002379/0001477932-21-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793222002079/0001477932-22-002079-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-9800000,-4736000,-6662000,-4028000,-2569000,-1517000,-219000,-1694000,-3014000,-2142000,-446000,-43000,-2287000,-2090000,-1928000,-3805000,8012000,-6108000,1546000,-8334000,-1222000,4314000,-3639000
74,Depreciation and Amortization,183000,267000,734000,30000,223000,208000,211000,211000,210000,209000,35000,33000,121000,182000,227000,202000,793000,995000,857000,622000,2000,26000,26000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,480000,295000,304000,878000,583000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,161000,- -,- -,-2186000,-66000,-514000,447000,-501000,1521000,134000,23000,1267000,-813000,-730000,254000,1901000,3338000,-4677000,-747000,-305000,134000,1922000,-1216000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171000,-86000,257000,- -,- -,-44000,44000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000,-18000,155000,37000,- -,- -,38000,33000,- -,-10250,- -
81,Other Working Capital,- -,- -,- -,-2186000,-2252000,-2766000,-2319000,-2820000,-1299000,-1165000,-1142000,125000,-688000,-1418000,-1164000,737000,4075000,-602000,-1349000,-1654000,-1520000,402000,-814000
82,Other Non-Cash Items,7965000,475000,3555000,5250000,2161000,1378000,-1190000,1653000,746000,1099000,-18000,-1030000,1303000,1265000,179000,-1711000,-9311000,5232000,-2447000,7335000,770000,-6650000,- -
83,Cash Provided by Operating Activities,-1491000,-3994000,-2373000,-934000,-251000,-445000,-751000,-331000,-537000,-700000,-406000,462000,-1196000,-1078000,-964000,-2535000,3415000,-4558000,-791000,-682000,-316000,-388000,-421000
84,CAPEX,- -,-65000,-3000,- -,- -,-9000,- -,- -,- -,- -,- -,- -,-2000,- -,-179000,-36000,-255000,-13000,-8000,- -,- -,-4000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,78000,- -,615000,616000,66000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,315000,- -,889000,50000,- -,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,300000,484000,300000
89,Cash Used for Investing Activites,-100000,-65000,-3000,78000,315000,606000,1505000,116000,- -,7000,- -,- -,-2000,- -,-179000,-36000,-255000,-13000,-8000,500000,340000,480000,300000
90,Debt Repayment,- -,- -,-13000,-5000,- -,-300000,- -,- -,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,355000,- -,- -,- -,- -,- -,- -,- -,- -,808000,201000,231000,100000,630000,130000,3521000,6000,- -,- -,- -,- -,24000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-215000,- -,- -,- -,- -,- -,- -,- -,-330000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1739000,4411000,948000,850000,-76000,199000,-506000,- -,1060000,- -,- -,- -,200000,382000,1500000,1000000,- -,275000,- -,- -,150000,- -,- -
95,Cash Used/Provided by Financing Activities,2094000,4411000,935000,845000,-76000,-101000,-506000,- -,840000,808000,201000,231000,300000,1012000,1630000,4521000,-324000,275000,- -,- -,150000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,503000,352000,-1441000,-11000,-12000,60000,248000,-215000,303000,115000,-205000,693000,-898000,-66000,487000,1950000,2836000,-4296000,-799000,-182000,174000,92000,-121000
98,Cash at the End of Period,1168000,1520000,79000,68000,56000,116000,364000,149000,452000,567000,362000,1055000,157000,91000,578000,2528000,5364000,1068000,269000,87000,261000,353000,- -
99,Cash at the Beginning of Period,665000,1168000,1520000,79000,68000,56000,116000,364000,149000,452000,567000,362000,1055000,157000,91000,578000,2528000,5364000,1068000,269000,87000,261000,353000
100,Free Cash Flow,-1491000,-4059000,-2376000,-934000,-251000,-454000,-751000,-331000,-537000,-700000,-406000,462000,-1198000,-1078000,-1143000,-2571000,3160000,-4571000,-799000,-682000,-316000,-392000,-421000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1099132/000141188609000004/0001411886-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000721/0001013762-11-000721-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000101376211000853/0001013762-11-000853-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000101376212000688/0001013762-12-000688-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793213001511/0001477932-13-001511-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793214001482/0001477932-14-001482-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793215002129/0001477932-15-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793216009327/0001477932-16-009327-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793217001765/0001477932-17-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793218001853/0001477932-18-001853-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793219001293/0001477932-19-001293-index.html,https://www.sec.gov/Archives/edgar/data/1099132/000147793220001968/0001477932-20-001968-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793221002379/0001477932-21-002379-index.htm,https://www.sec.gov/Archives/edgar/data/1099132/000147793222002079/0001477932-22-002079-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
