,https://roic.ai/company/LYB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,858000000,558000000,4222000000,1065000000,2732000000,4450000000,1031000000,924000000,875000000,1523000000,332000000,858000000,1763000000,1472000000
32,Short-Term Investments,- -,32000000,11000000,- -,- -,19000000,4000000,1593000000,1064000000,1147000000,1307000000,892000000,196000000,702000000,9000000
33,Cash and Short-Term Investments,- -,890000000,569000000,4222000000,1065000000,2751000000,4454000000,2624000000,1988000000,2022000000,2830000000,1224000000,1054000000,2465000000,1481000000
34,Net Receivables,- -,2585000000,3287000000,3747000000,3778000000,4209000000,4501000000,3666000000,2957000000,3028000000,3766000000,3890000000,3455000000,4489000000,5212000000
35,Inventory,- -,3314000000,3277000000,4824000000,5499000000,5075000000,5279000000,4517000000,4051000000,3809000000,4217000000,4515000000,4588000000,4344000000,4901000000
36,Other Current Assets,- -,649000000,1133000000,986000000,1093000000,251000000,365000000,838000000,793000000,740000000,925000000,937000000,413000000,336000000,623000000
37,Total Current Assets,- -,7438000000,8266000000,13779000000,11435000000,12286000000,14599000000,11645000000,9789000000,9599000000,11738000000,10566000000,9510000000,11634000000,12217000000
38,PP&E,- -,16391000000,15152000000,7190000000,7333000000,7696000000,8457000000,8758000000,8991000000,10137000000,10997000000,12477000000,15598000000,15878000000,16502000000
39,Goodwill,- -,- -,- -,595000000,585000000,591000000,605000000,566000000,536000000,528000000,570000000,1814000000,1891000000,1953000000,1875000000
40,Intangible Assets,- -,2241000000,1861000000,1360000000,1177000000,1038000000,904000000,769000000,640000000,550000000,568000000,965000000,869000000,751000000,695000000
41,Intangible Assets,- -,2241000000,1861000000,1955000000,1762000000,1629000000,1509000000,1335000000,1176000000,1078000000,1138000000,2779000000,2760000000,2704000000,2570000000
42,Investments,- -,2169000000,2007000000,2091000000,2039000000,2363000000,2114000000,2104000000,2453000000,2306000000,2098000000,2221000000,2383000000,4729000000,4786000000
43,Tax Assets,- -,- -,- -,656000000,917000000,1314000000,1659000000,1623000000,2127000000,2331000000,1655000000,1975000000,2015000000,39000000,174000000
44,Other Non-Current Assets,- -,412000000,475000000,-369000000,-647000000,-1068000000,-1040000000,-1244000000,-1779000000,-2009000000,-1420000000,-1740000000,-1831000000,419000000,493000000
45,Total Non-Current Assets,- -,21213000000,19495000000,11523000000,11404000000,11934000000,12699000000,12576000000,12968000000,13843000000,14468000000,17712000000,20925000000,23769000000,24525000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,28651000000,27761000000,25302000000,22839000000,24220000000,27298000000,24221000000,22757000000,23442000000,26206000000,28278000000,30435000000,35403000000,36742000000
48,Accounts Payable,- -,2418000000,1627000000,2761000000,3414000000,3285000000,3572000000,3064000000,2182000000,2529000000,2895000000,3087000000,2928000000,2948000000,4291000000
49,Short-Term Debt,- -,23665000000,6679000000,46000000,52000000,96000000,59000000,350000000,357000000,596000000,70000000,890000000,721000000,981000000,704000000
50,Tax Payable,- -,- -,- -,- -,247000000,238000000,212000000,340000000,536000000,488000000,585000000,202000000,268000000,299000000,613000000
51,Deferred Revenue,- -,- -,- -,244000000,310000000,558000000,580000000,469000000,2127000000,2331000000,1655000000,1975000000,- -,157000000,169000000
52,Other Current Liabilities,- -,2518000000,2061000000,1780000000,1242000000,1157000000,1299000000,1554000000,-317000000,-916000000,157000000,-439000000,1549000000,1416000000,2066000000
53,Total Current Liabilities,- -,28601000000,10367000000,4831000000,5018000000,5096000000,5510000000,5437000000,4349000000,4540000000,4777000000,5513000000,5198000000,5502000000,7230000000
54,Long-Term Debt,- -,304000000,305000000,6036000000,3980000000,4304000000,5776000000,6695000000,7671000000,8385000000,8549000000,8497000000,11614000000,16508000000,12895000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,3241000000,2081000000,- -,917000000,1314000000,1659000000,1623000000,2127000000,2331000000,1655000000,1975000000,2015000000,2332000000,2334000000
57,Other Non-Current Liabilities,- -,2451000000,23855000000,2900000000,2331000000,2367000000,1875000000,2152000000,2060000000,2138000000,2276000000,2036000000,3564000000,3073000000,2411000000
58,Total Non-Current Liabilities,- -,5996000000,26241000000,8936000000,7228000000,7985000000,9310000000,10470000000,11858000000,12854000000,12480000000,12508000000,17193000000,21913000000,17640000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1489000000,1532000000,1985000000
61,Total Liabilities,- -,34597000000,36608000000,13767000000,12246000000,13081000000,14820000000,15907000000,16207000000,17394000000,17257000000,18021000000,22391000000,27415000000,24870000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,60000000,60000000,30000000,31000000,31000000,31000000,31000000,31000000,31000000,31000000,22000000,19000000,19000000,19000000
64,Retained Earnings,- -,-6440000000,-9313000000,1587000000,841000000,1274000000,4004000000,6775000000,9841000000,12282000000,15746000000,6763000000,4435000000,4440000000,8563000000
65,Other Comprehensive Income/Loss,- -,-264000000,-286000000,81000000,-427000000,-411000000,96000000,-1026000000,-1438000000,-1511000000,-1285000000,-1363000000,-1784000000,-1943000000,-1803000000
66,Other Total Stockholders Equity,- -,563000000,563000000,9837000000,10148000000,10245000000,8347000000,2534000000,-1884000000,-4754000000,-5543000000,4835000000,5374000000,5455000000,- -
67,Total Stockholders Equity,- -,-6081000000,-8976000000,11535000000,10593000000,11139000000,12478000000,8314000000,6550000000,6048000000,8949000000,10257000000,8044000000,7971000000,11858000000
68,Total Liabilities And Stockholders Equity,- -,28516000000,27632000000,25302000000,22839000000,24220000000,27298000000,24221000000,22757000000,23442000000,26206000000,28278000000,30435000000,35386000000,36728000000
69,Minority Interest,- -,135000000,129000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,14000000
70,Total Liabilities & Equity,- -,28651000000,27761000000,25302000000,22839000000,24220000000,27298000000,24221000000,22757000000,23442000000,26206000000,28278000000,30435000000,35403000000,36742000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1489393/000095012311026580/h80612e10vk.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312512088192/0001193125-12-088192-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312513051488/0001193125-13-051488-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312514060399/d664462d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000095012315003039/d860940d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312516465311/0001193125-16-465311-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312517047661/0001193125-17-047661-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312518054181/0001193125-18-054181-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939319000011/0001489393-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939320000009/0001489393-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939321000007/0001489393-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000009/0001489393-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,661000000,-7321000000,-2865000000,10151000000,2147000000,2848000000,3857000000,4174000000,4476000000,3836000000,4879000000,4690000000,3397000000,1420000000,5596000000
74,Depreciation and Amortization,472000000,1911000000,1774000000,1123000000,931000000,983000000,1021000000,1019000000,1047000000,1064000000,1174000000,1241000000,1312000000,1385000000,1393000000
75,Deferred Income Tax,-111000000,-831000000,-1399000000,-1109000000,452000000,715000000,-46000000,177000000,181000000,357000000,-587000000,260000000,209000000,331000000,-198000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000000,39000000,48000000,55000000,66000000
77,Change in Working Capital,-17000000,-21219000000,19062000000,11049000000,-2531000000,773000000,1899000000,-2881000000,-768000000,-381000000,1902000000,-1908000000,-741000000,1820000000,-960000000
78,Accounts Receivable,503000000,1367000000,-129000000,-702000000,-89000000,-101000000,-64000000,358000000,780000000,-383000000,-521000000,433000000,367000000,-246000000,-1519000000
79,Inventory,-161000000,943000000,-40000000,-395000000,-732000000,441000000,-151000000,-205000000,-240000000,123000000,-237000000,-141000000,-129000000,340000000,-742000000
80,Accounts Payable,-126000000,-1563000000,99000000,641000000,703000000,-189000000,275000000,-378000000,-786000000,383000000,165000000,-199000000,-251000000,217000000,1301000000
81,Other Working Capital,56000000,-21163000000,-2101000000,8948000000,6417000000,7190000000,9089000000,6208000000,5440000000,5059000000,6961000000,5053000000,4312000000,6132000000,- -
82,Other Non-Cash Items,175000000,28550000000,-17359000000,-19193000000,1870000000,-532000000,-1896000000,3559000000,906000000,730000000,-2217000000,1149000000,736000000,-1607000000,1798000000
83,Cash Provided by Operating Activities,1180000000,1090000000,-787000000,2021000000,2869000000,4787000000,4835000000,6048000000,5842000000,5606000000,5206000000,5471000000,4961000000,3404000000,7695000000
84,CAPEX,-411000000,-1000000000,-779000000,-692000000,-1050000000,-1060000000,-1561000000,-1499000000,-1440000000,-2243000000,-1547000000,-2105000000,-2694000000,-1947000000,-1959000000
85,Acquisitions Net,-11470000000,-1061000000,- -,- -,- -,- -,- -,- -,- -,144000000,134000000,-1739000000,5000000,-2425000000,-106000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-3864000000,-2470000000,-2794000000,-1823000000,-1192000000,-141000000,-878000000,-355000000
87,Sales/Maturities of Investments,- -,- -,- -,12000000,- -,- -,- -,1826000000,2839000000,2654000000,1564000000,1628000000,1370000000,427000000,1039000000
88,Other Investing Activites,-18000000,177000000,168000000,155000000,29000000,47000000,-41000000,6000000,20000000,-58000000,-84000000,-151000000,-175000000,-83000000,-121000000
89,Cash Used for Investing Activites,-11899000000,-1884000000,-611000000,-525000000,-1021000000,-1013000000,-1602000000,-3531000000,-1051000000,-2297000000,-1756000000,-3559000000,-1635000000,-4906000000,-1502000000
90,Debt Repayment,-9249000000,-391000000,-1244000000,-1183000000,-3063000000,-2679000000,- -,- -,- -,- -,-1493000000,-394000000,-5049000000,-3386000000,-4221000000
91,Common Stock Issued,- -,- -,- -,2800000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1949000000,-5788000000,-4656000000,-2938000000,-866000000,-1854000000,-3752000000,-4000000,-463000000
93,Dividends Paid,-522000000,- -,- -,- -,-2893000000,-2415000000,-1127000000,-1403000000,-1410000000,-1395000000,-1415000000,-1554000000,-1462000000,-1405000000,-1486000000
94,Other Financing Activites,20187000000,1474000000,2345000000,504000000,992000000,2949000000,1487000000,1284000000,1216000000,984000000,915000000,794000000,7428000000,7066000000,-215000000
95,Cash Used/Provided by Financing Activities,10416000000,1083000000,1101000000,2121000000,-4964000000,-2145000000,-1589000000,-5907000000,-4850000000,-3349000000,-2859000000,-3008000000,-2835000000,2271000000,-6385000000
96,Effect of Forex Changes on Cash,33000000,9000000,-3000000,47000000,-41000000,38000000,74000000,-29000000,-48000000,-9000000,59000000,-31000000,-4000000,108000000,-96000000
97,Net Change In Cash,-270000000,298000000,-300000000,3664000000,-3157000000,1667000000,1718000000,-3419000000,-107000000,-49000000,650000000,-1127000000,487000000,877000000,-288000000
98,Cash at the End of Period,560000000,858000000,558000000,4222000000,1065000000,2732000000,4450000000,1031000000,924000000,875000000,1528000000,401000000,888000000,1765000000,1477000000
99,Cash at the Beginning of Period,830000000,560000000,858000000,558000000,4222000000,1065000000,2732000000,4450000000,1031000000,924000000,878000000,1528000000,401000000,888000000,1765000000
100,Free Cash Flow,769000000,90000000,-1566000000,1329000000,1819000000,3727000000,3274000000,4549000000,4402000000,3363000000,3659000000,3366000000,2267000000,1457000000,5736000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1489393/000095012311026580/h80612e10vk.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312512088192/0001193125-12-088192-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312513051488/0001193125-13-051488-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312514060399/d664462d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000095012315003039/d860940d10k.htm,https://www.sec.gov/Archives/edgar/data/1489393/000119312516465311/0001193125-16-465311-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312517047661/0001193125-17-047661-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000119312518054181/0001193125-18-054181-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939319000011/0001489393-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939320000009/0001489393-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1489393/000148939321000007/0001489393-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1489393/000148939322000009/0001489393-22-000009-index.htm
102,false,,,,,,,,,,,,,,,
