,https://roic.ai/company/OB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,9200000,75000000,28500000,-15900000,12300000,- -,- -,-172602000,-168245000,-157250000
65,Other Comprehensive Income/Loss,-13800000,6800000,-5200000,-5200000,-4200000,- -,- -,-55524000,-67864000,-4474000
66,Other Total Stockholders Equity,1019100000,1022500000,1023700000,1022000000,1013200000,- -,- -,138447000,156279000,- -
67,Total Stockholders Equity,1014500000,1104300000,1047000000,1000900000,1021300000,- -,- -,-89662000,-79813000,256775000
68,Total Liabilities And Stockholders Equity,5401500000,5211600000,3579400000,3604500000,3589900000,- -,- -,282524000,356486000,795890000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5401500000,5211600000,3579400000,3604500000,3589900000,- -,- -,282524000,356486000,795890000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1369817/000144530513000391/0001445305-13-000391-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981714000020/0001369817-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981715000015/0001369817-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981716000100/0001369817-16-000100-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981717000013/0001369817-17-000013-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1454938/000145493822000003/0001454938-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-19200000,146000000,33500000,36800000,107400000,- -,- -,-20514000,4357000,10995000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,16744000,18509000,19470000
75,Deferred Income Tax,-16400000,-12800000,21300000,5800000,-15400000,- -,- -,-141000,-2256000,-31810000
76,Stock Based Compensation,1300000,1200000,1300000,900000,900000,- -,- -,3876000,3588000,26307000
77,Change in Working Capital,-187900000,84500000,-50700000,-103200000,32600000,- -,- -,184114000,6852000,-16329000
78,Accounts Receivable,-18200000,4100000,-15000000,-23800000,29100000,- -,- -,4797000,-24124000,-31496000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,18200000,-4100000,15000000,23800000,-29100000,- -,- -,-25366000,31429000,42977000
81,Other Working Capital,-133500000,-49000000,-99700000,-202900000,-170300000,- -,- -,13814000,20666000,61000
82,Other Non-Cash Items,168500000,-90200000,92100000,251600000,-78200000,- -,- -,-167339000,21936000,48129000
83,Cash Provided by Operating Activities,-53700000,128700000,97500000,191900000,47300000,- -,- -,16740000,52986000,56762000
84,CAPEX,-1800000,-10300000,-2200000,-11500000,-2700000,- -,- -,-10387000,-10501000,-20054000
85,Acquisitions Net,-1000000,- -,- -,- -,- -,- -,- -,2920000,- -,- -
86,Purchases of Investments,-44900000,-7600000,-70800000,-7900000,-12500000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,63900000,21800000,18900000,40500000,11600000,- -,- -,- -,- -,- -
88,Other Investing Activites,99500000,77500000,13400000,-115700000,23100000,- -,- -,-8057000,-7912000,-10358000
89,Cash Used for Investing Activites,115700000,81400000,-40700000,-94600000,19500000,- -,- -,-7589000,-9423000,-20101000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-4541000,-4773000,-4340000
91,Common Stock Issued,32000000,- -,- -,- -,- -,- -,- -,- -,- -,148800000
92,Common Stock Repurchased,- -,-168100000,-1800000,-3700000,-11500000,- -,- -,- -,- -,- -
93,Dividends Paid,-80100000,-80200000,-80000000,-80000000,-79200000,- -,- -,- -,- -,- -
94,Other Financing Activites,-26900000,162400000,-5300000,-5400000,-1700000,- -,- -,882000,545000,181434000
95,Cash Used/Provided by Financing Activities,-75000000,-85900000,-87100000,-89100000,-92400000,- -,- -,-3659000,-4228000,325894000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,64000,4750000,-1030000
97,Net Change In Cash,-13000000,124200000,-30300000,8200000,-25600000,- -,- -,5556000,44085000,361525000
98,Cash at the End of Period,43900000,168100000,87000000,95200000,69600000,- -,- -,49982000,94067000,455592000
99,Cash at the Beginning of Period,56900000,43900000,117300000,87000000,95200000,- -,- -,44426000,49982000,94067000
100,Free Cash Flow,-55500000,118400000,95300000,180400000,44600000,- -,- -,6353000,42485000,36708000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1369817/000144530513000391/0001445305-13-000391-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981714000020/0001369817-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981715000015/0001369817-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1369817/000136981716000100/0001369817-16-000100-index.html,https://www.sec.gov/Archives/edgar/data/1369817/000136981717000013/0001369817-17-000013-index.html,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1454938/000145493822000003/0001454938-22-000003-index.htm
102,false,,,,,,,,,,
