,https://roic.ai/company/LINC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,7716000,8388000,10445000,5997000,7644000,9674000,15908000,14666000,10331000,8342000,10649000,7505000,23921000,26897000,42653000,24675000,31340000,17197000,20822000
45,Total Non-Current Assets,- -,- -,70694000,98505000,141634000,188048000,202422000,216781000,282407000,295330000,289593000,247261000,202327000,100643000,105015000,96910000,110495000,88927000,144286000,171026000,173672000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,139355000,162729000,214792000,226216000,246183000,268042000,388368000,412822000,362251000,346774000,305949000,213707000,210279000,163207000,155213000,146038000,194763000,245190000,295299000
48,Accounts Payable,- -,- -,9022000,10664000,12675000,12118000,13721000,12349000,19649000,25617000,15468000,13500000,14603000,11894000,12863000,13748000,10508000,14107000,14584000,15676000,12297000
49,Short-Term Debt,- -,- -,3624000,5311000,283000,91000,204000,130000,383000,437000,481000,412000,435000,30471000,10114000,11713000,- -,15000000,11142000,10504000,11479000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,5358000,1044000,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000,2749000
51,Deferred Revenue,- -,- -,26249000,31185000,34930000,33150000,34810000,38806000,48087000,50944000,43242000,34648000,30195000,26469000,21390000,17523000,24647000,22545000,23411000,23453000,25405000
52,Other Current Liabilities,- -,- -,16364000,12494000,15985000,13752000,12978000,19816000,33348000,44670000,11927000,10014000,11348000,14645000,27079000,25046000,12329000,12929000,8068000,17209000,16701000
53,Total Current Liabilities,- -,- -,55259000,59654000,63873000,59111000,61713000,71101000,101467000,121668000,71118000,58574000,56581000,83479000,71446000,68030000,47484000,64581000,57205000,66842000,65882000
54,Long-Term Debt,- -,- -,39436000,41518000,10485000,9769000,15174000,10044000,56945000,56508000,36027000,73115000,89681000,- -,34653000,30244000,52593000,33769000,32028000,15212000,86410000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4528000,- -,- -,- -,- -,- -,153000,- -,- -
57,Other Non-Current Liabilities,- -,- -,1736000,3471000,4444000,5553000,6829000,11948000,11320000,12161000,16081000,16608000,9963000,47218000,23183000,10007000,9323000,7822000,62229000,72069000,1607000
58,Total Non-Current Liabilities,- -,- -,41172000,44989000,14929000,15322000,22003000,21992000,68265000,68669000,52108000,89723000,104172000,47218000,57836000,40251000,61916000,41591000,94410000,87281000,88017000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,383000,437000,481000,- -,435000,35181000,13571000,- -,- -,- -,55160000,61206000,97889000
61,Total Liabilities,- -,- -,96431000,104643000,78802000,74433000,83716000,93093000,169732000,190337000,123226000,148297000,160753000,130697000,129282000,108281000,109400000,106172000,151615000,154123000,153899000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11982000,11982000,11982000
63,Common Stock,- -,- -,62385000,62385000,119453000,- -,120379000,120597000,- -,- -,- -,141377000,141377000,141377000,141377000,141377000,141377000,141377000,141377000,141377000,141377000
64,Retained Earnings,- -,- -,-20455000,-7477000,11232000,26784000,35024000,55219000,104458000,151989000,167689000,124059000,66064000,5610000,2260000,-26044000,-37528000,-44073000,-42058000,6203000,39702000
65,Other Comprehensive Income/Loss,- -,- -,-432000,-181000,-360000,-2878000,-5314000,-9402000,-4901000,-4748000,-6716000,-6776000,-3562000,-7467000,-7072000,-6101000,-4510000,-4062000,-3456000,-4165000,-1240000
66,Other Total Stockholders Equity,- -,- -,1426000,3359000,5665000,126999000,12378000,8535000,119178000,75496000,78336000,-60183000,-58683000,-56510000,-55568000,-54306000,-53526000,-53376000,-52715000,-52348000,-50421000
67,Total Stockholders Equity,- -,- -,42924000,58086000,135990000,151783000,162467000,174949000,218636000,222485000,239025000,198477000,145196000,83010000,80997000,54926000,45813000,39866000,55130000,103049000,141400000
68,Total Liabilities And Stockholders Equity,- -,- -,139355000,162729000,214792000,226216000,246183000,268042000,388368000,412822000,362251000,346774000,305949000,213707000,210279000,163207000,155213000,146038000,206745000,257172000,295299000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11982000,-11982000,- -
70,Total Liabilities & Equity,- -,- -,139355000,162729000,214792000,226216000,246183000,268042000,388368000,412822000,362251000,346774000,305949000,213707000,210279000,163207000,155213000,146038000,194763000,245190000,295299000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1286613/000114036107005892/0001140361-07-005892-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036108006886/0001140361-08-006886-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036109006928/0001140361-09-006928-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036110011374/0001140361-10-011374-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036111016427/0001140361-11-016427-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036112014550/0001140361-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036113012003/0001140361-13-012003-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036114012117/0001140361-14-012117-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036115011951/0001140361-15-011951-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036116057345/0001140361-16-057345-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036117011579/0001140361-17-011579-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036118012880/0001140361-18-012880-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000156761919006729/0001567619-19-006729-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036120005108/0001140361-20-005108-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036121007700/0001140361-21-007700-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036122007738/0001140361-22-007738-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-4645000,- -,8219000,12978000,18709000,15552000,8340000,20195000,49239000,69731000,17540000,-37186000,-51286000,-56133000,-3350000,-28304000,-11484000,-6545000,2015000,48565000,34718000
74,Depreciation and Amortization,5474000,- -,7827000,11124000,13279000,15058000,15933000,17920000,24240000,26218000,28464000,26848000,23701000,19338000,14506000,11066000,8702000,8421000,8116000,7400000,7140000
75,Deferred Income Tax,- -,- -,-531000,-329000,340000,-3655000,-2761000,-298000,-2677000,2431000,3042000,-14229000,26490000,-4528000,- -,- -,-424000,- -,153000,-35871000,12010000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2377000,2665000,3541000,4340000,2995000,2621000,1128000,1440000,1220000,522000,679000,1686000,2889000
77,Change in Working Capital,- -,- -,13402000,-8832000,4715000,-30228000,2991000,-1888000,24334000,-8670000,5716000,39399000,6102000,-17456000,4233000,-35551000,-1033000,-4704000,742000,14050000,-32888000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-51073000,-36732000,-15317000,-19202000,-15049000,-14470000,-13216000,-15700000,-15733000,-23836000,-25986000,-37383000,-26497000
79,Inventory,- -,- -,-132000,-577000,-65000,-587000,-102000,-824000,188000,-226000,504000,421000,408000,372000,9000,201000,30000,206000,-157000,-786000,-327000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,358000,2338000,-5510000,-2180000,1461000,-2732000,1004000,742000,-3193000,3753000,444000,856000,-3677000
81,Other Working Capital,- -,- -,13402000,4570000,9285000,-20943000,-17952000,-19840000,4494000,-4176000,1540000,40939000,47041000,29585000,33818000,-1733000,-2766000,-7470000,-6728000,7322000,1952000
82,Other Non-Cash Items,-829000,- -,-19194000,11733000,1923000,18531000,-8768000,18247000,-24344000,22089000,-21465000,-3186000,-4756000,68180000,-2180000,45242000,-8302000,612000,-10717000,-12345000,3578000
83,Cash Provided by Operating Activities,- -,- -,9723000,26674000,38966000,15258000,15735000,54176000,73169000,114464000,36838000,15986000,3246000,12022000,14337000,-6107000,-11321000,-1694000,988000,23485000,27447000
84,CAPEX,-7322000,- -,-3598000,-23813000,-22621000,-19341000,-24766000,-20166000,-24018000,-42352000,-38119000,-8839000,-6538000,-7472000,-2218000,-3596000,-4755000,-4697000,-5385000,-5580000,-7531000
85,Acquisitions Net,- -,- -,- -,-14498000,-27776000,-32872000,- -,-10520000,-27552000,- -,- -,-1472000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,1443000,- -,- -,53000,936000,-519000,-24041000,-42111000,-37389000,-8715000,-5788000,-7405000,-1767000,-2182000,9917000,-2349000,-4810000,-5483000,37848000
89,Cash Used for Investing Activites,- -,- -,-2155000,-38311000,-50397000,-52160000,-23830000,-31205000,-51593000,-42111000,-37389000,-10187000,-5788000,-7405000,-1767000,-2182000,9917000,-2349000,-4810000,-5483000,37848000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-45923000,-20384000,-20437000,-481000,-42911000,-72435000,-44319000,-3251000,-66766000,-35099000,-54514000,-28000000,-17833000
91,Common Stock Issued,- -,- -,25000,97000,59816000,729000,197000,218000,14932000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-6584000,-26187000,-50089000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5550000,-18490000,-6444000,-6709000,-4321000,- -,- -,- -,- -,- -,-1378000,-1219000
94,Other Financing Activites,- -,- -,-3914000,4020000,-39573000,-7623000,4939000,-4873000,66444000,23589000,7000,36310000,3340000,71552000,57870000,-5816000,61669000,30534000,51034000,10758000,-962000
95,Cash Used/Provided by Financing Activities,- -,- -,-3889000,4117000,20243000,-6894000,5136000,-11239000,9266000,-52434000,-38920000,29385000,-46280000,-5204000,13551000,-9067000,-5097000,-4565000,-3480000,-18620000,-20014000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,3679000,-7520000,8812000,-43796000,-2959000,11732000,30842000,19919000,-39471000,35184000,-48822000,-587000,26121000,-17356000,-6501000,-8608000,-7302000,-618000,45281000
98,Cash at the End of Period,- -,- -,11079000,41445000,50257000,6461000,3502000,15234000,46076000,65995000,26524000,61708000,12886000,12299000,38420000,21064000,14563000,45946000,38644000,38026000,83307000
99,Cash at the Beginning of Period,- -,- -,7400000,48965000,41445000,50257000,6461000,3502000,15234000,46076000,65995000,26524000,61708000,12886000,12299000,38420000,21064000,54554000,45946000,38644000,38026000
100,Free Cash Flow,- -,- -,6125000,2861000,16345000,-4083000,-9031000,34010000,49151000,72112000,-1281000,7147000,-3292000,4550000,12119000,-9703000,-16076000,-6391000,-4397000,17905000,19916000
101,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1286613/000114036107005892/0001140361-07-005892-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036108006886/0001140361-08-006886-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036109006928/0001140361-09-006928-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036110011374/0001140361-10-011374-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036111016427/0001140361-11-016427-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036112014550/0001140361-12-014550-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036113012003/0001140361-13-012003-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036114012117/0001140361-14-012117-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036115011951/0001140361-15-011951-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036116057345/0001140361-16-057345-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036117011579/0001140361-17-011579-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036118012880/0001140361-18-012880-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000156761919006729/0001567619-19-006729-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036120005108/0001140361-20-005108-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036121007700/0001140361-21-007700-index.htm,https://www.sec.gov/Archives/edgar/data/1286613/000114036122007738/0001140361-22-007738-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
