,https://roic.ai/company/MRIN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-304000,-152000,-607000,-976000,-1024000,-643000,104000,869000,-214000,1593000,7316000,1533000,984000
20,Income Before Tax,-9605000,-10834000,-17284000,-26261000,-35360000,-34627000,-32344000,-15076000,-30484000,-40658000,-12528000,-14762000,-13078000
21,Income Before Tax Ratio,-1.2761,-0.5701,-0.4785,-0.4409,-0.4573,-0.3485,-0.2980,-0.1509,-0.4065,-0.6935,-0.2555,-0.4923,-0.5355
22,Income Tax expense (Gain),103000,23000,139000,221000,492000,-1456000,1005000,1404000,1007000,586000,-120000,-711000,-134000
23,Net Income,-9708000,-10857000,-17423000,-26482000,-35852000,-33171000,-33349000,-16480000,-31491000,-41244000,-12408000,-14051000,-12944000
24,Net Income ratio,-1.2898,-0.5713,-0.4824,-0.4446,-0.4637,-0.3339,-0.3073,-0.1650,-0.4199,-0.7035,-0.2530,-0.4686,-0.5301
25,EPS,-15.39,-18.84,-27.61,-8.47,-9.52,-6.79,-6.37,-3.01,-5.59,-7.21,-1.95,-1.91,-1.01
26,EPS Diluted,-15.39,-18.84,-27.61,-8.47,-9.52,-6.79,-6.37,-3.01,-5.59,-7.21,-1.95,-1.91,-1.01
27,Weighted Average Shares Outstanding,630999,630999,630999,3092139,3758853,4887137,5225709,5473994,5638000,5783000,6373000,7344000,12846000
28,Weighted Average Shares Outstanding Diluted,630999,630999,630999,3092139,3758853,4887137,5225709,5473994,5638000,5783000,6373000,7344000,12846000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389002/000119312514077747/0001193125-14-077747-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000119312515056585/0001193125-15-056585-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459016013011/0001564590-16-013011-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459017002964/0001564590-17-002964-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459018003932/0001564590-18-003932-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000143774919004926/0001437749-19-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459020012228/0001564590-20-012228-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459021009094/0001564590-21-009094-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000095017022001990/0000950170-22-001990-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,1719000,31540000,104407000,68253000,37326000,34420000,27544000,10210000,11134000,14280000,46842000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,1719000,31540000,104407000,68253000,37326000,34420000,27544000,10210000,11134000,14280000,46842000
34,Net Receivables,- -,- -,10047000,13133000,14921000,18726000,21718000,18761000,12237000,12906000,8939000,5063000,4633000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1264000,1814000,2695000,4751000,4186000,5101000,5282000,5935000,4493000,3579000,2539000
37,Total Current Assets,- -,- -,13030000,46487000,122023000,91730000,63230000,58282000,45063000,29051000,24566000,22922000,54014000
38,PP&E,- -,- -,4909000,9224000,14417000,16274000,21817000,20581000,15559000,11815000,16229000,13214000,5282000
39,Goodwill,- -,- -,- -,- -,- -,11527000,19417000,19318000,16768000,1943000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,7399000,10405000,7325000,4475000,1938000,95000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,18926000,29822000,26643000,21243000,3881000,95000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,358000,1513000,937000,1287000,1323000,1587000,1504000,2045000,1403000,873000,535000
45,Total Non-Current Assets,- -,- -,5267000,10737000,15354000,36487000,52962000,48811000,38306000,17741000,17727000,14087000,5817000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,18297000,57224000,137377000,128217000,116192000,107093000,83369000,46792000,42293000,37009000,59831000
48,Accounts Payable,- -,- -,1251000,1268000,3791000,7446000,5127000,4349000,4987000,2699000,1679000,928000,975000
49,Short-Term Debt,- -,- -,- -,- -,3253000,2587000,1384000,1015000,- -,- -,- -,1854000,4232000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000
51,Deferred Revenue,- -,- -,173000,618000,2566000,3418000,2893000,2377000,2462000,2225000,2558000,2061000,334000
52,Other Current Liabilities,- -,- -,11514000,11233000,8177000,6978000,6305000,4865000,7267000,8407000,10238000,11291000,5842000
53,Total Current Liabilities,- -,- -,12938000,13119000,17787000,20429000,15709000,12606000,14716000,13331000,14475000,16134000,11383000
54,Long-Term Debt,- -,- -,1632000,9243000,2962000,621000,1557000,2381000,- -,- -,- -,1466000,1094000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,52135000,1351000,1284000,1050000,4795000,4508000,5870000,4090000,6758000,3594000,1096000
58,Total Non-Current Liabilities,- -,- -,53767000,10594000,4246000,1671000,6352000,6889000,5870000,4090000,6758000,5060000,2190000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,3103000,1798000,9568000,8629000,2006000
61,Total Liabilities,- -,- -,66705000,23713000,22033000,22100000,22061000,19495000,20586000,17421000,21233000,21194000,13573000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,5000,24000,33000,35000,37000,39000,6000,6000,7000,10000,15000
64,Retained Earnings,- -,- -,-50867000,-77349000,-113201000,-146392000,-179733000,-196213000,-227704000,-264713000,-277112000,-291163000,-304107000
65,Other Comprehensive Income/Loss,- -,- -,-3034000,-6201000,-12019000,-1000000,-2000000,-3000000,-1000000,-1000000,-1000000,-1097000,-1044000
66,Other Total Stockholders Equity,- -,- -,5488000,117037000,240531000,253474000,275827000,286772000,291481000,295078000,299165000,308065000,- -
67,Total Stockholders Equity,- -,- -,-48408000,33511000,115344000,106117000,94131000,87598000,62783000,29371000,21060000,15815000,46258000
68,Total Liabilities And Stockholders Equity,- -,- -,18297000,57224000,137377000,128217000,116192000,107093000,83369000,46792000,42293000,37009000,59831000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,18297000,57224000,137377000,128217000,116192000,107093000,83369000,46792000,42293000,37009000,59831000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1389002/000119312514077747/0001193125-14-077747-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000119312515056585/0001193125-15-056585-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459016013011/0001564590-16-013011-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459017002964/0001564590-17-002964-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459018003932/0001564590-18-003932-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000143774919004926/0001437749-19-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459020012228/0001564590-20-012228-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459021009094/0001564590-21-009094-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000095017022001990/0000950170-22-001990-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-9708000,-10857000,-17423000,-26482000,-35852000,-33171000,-33349000,-16480000,-31491000,-41244000,-12408000,-14051000,-12944000
74,Depreciation and Amortization,382000,1016000,1800000,3167000,5878000,8705000,12677000,12103000,11277000,8969000,7652000,5003000,3207000
75,Deferred Income Tax,- -,- -,- -,- -,-91000,-2258000,-177000,-305000,-358000,-398000,-301000,13000,-12000
76,Stock Based Compensation,192000,1386000,697000,4948000,5218000,9242000,15619000,10295000,4704000,3971000,2664000,1494000,2021000
77,Change in Working Capital,-685000,58000,34000,33276000,70868000,-32935000,-23780000,-1845000,-15329000,-14627000,-5629000,-3303000,56000
78,Accounts Receivable,-1241000,-3263000,-5452000,-3674000,-2392000,-4561000,-2986000,795000,4754000,-668000,4170000,4056000,563000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,178000,613000,-54000,-208000,75000,1387000,-1597000,741000,306000,-97000,-687000,-750000,47000
81,Other Working Capital,- -,58000,92000,33368000,104236000,71301000,47521000,45676000,30347000,15720000,10091000,6788000,- -
82,Other Non-Cash Items,197000,-1378000,-1598000,-34004000,-69418000,26027000,21929000,1951000,26327000,30349000,6786000,5169000,-270000
83,Cash Provided by Operating Activities,-9622000,-9775000,-16490000,-19095000,-23397000,-24390000,-7081000,5719000,-4870000,-12980000,-1236000,-5675000,-7942000
84,CAPEX,-1150000,-2882000,-3360000,-7250000,-8239000,-8463000,-14152000,-5919000,-2529000,-2715000,-2660000,-1884000,-1296000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4151000,-7738000,- -,- -,- -,4267000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-373000,-435000,-1028000,-1743000,-3216000,-3146000,-5568000,-4707000,-2057000,-2121000,-2056000,-1869000,-1290000
89,Cash Used for Investing Activites,-1150000,-2882000,-3360000,-7250000,-8239000,-12614000,-21890000,-5914000,-2518000,-2707000,1607000,-1884000,-1296000
90,Debt Repayment,-634000,-1134000,-2012000,-4334000,-9660000,-3130000,-3649000,-1436000,-1160000,-1304000,-1186000,-598000,-15000
91,Common Stock Issued,- -,- -,- -,500000,109414000,- -,968000,- -,- -,- -,1643000,7670000,41888000
92,Common Stock Repurchased,-3000,- -,- -,-4536000,- -,- -,-2000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12957000,9831000,22409000,64536000,4749000,3980000,1389000,1053000,-292000,17000,-197000,3161000,-394000
95,Cash Used/Provided by Financing Activities,12320000,8697000,20397000,56166000,104503000,850000,-1294000,-383000,-1452000,-1287000,260000,10233000,41479000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-662000,-1035000,1964000,-360000,-29000,41000,-4000
97,Net Change In Cash,1548000,-3960000,547000,29821000,72867000,-36154000,-30927000,-1613000,-6876000,-17334000,602000,2715000,32237000
98,Cash at the End of Period,5132000,1172000,1719000,31540000,104407000,68253000,37326000,35713000,28837000,11503000,12105000,14820000,47057000
99,Cash at the Beginning of Period,3584000,5132000,1172000,1719000,31540000,104407000,68253000,37326000,35713000,28837000,11503000,12105000,14820000
100,Free Cash Flow,-10772000,-12657000,-19850000,-26345000,-31636000,-32853000,-21233000,-200000,-7399000,-15695000,-3896000,-7559000,-9238000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1389002/000119312514077747/0001193125-14-077747-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000119312515056585/0001193125-15-056585-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459016013011/0001564590-16-013011-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459017002964/0001564590-17-002964-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459018003932/0001564590-18-003932-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000143774919004926/0001437749-19-004926-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459020012228/0001564590-20-012228-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000156459021009094/0001564590-21-009094-index.htm,https://www.sec.gov/Archives/edgar/data/1389002/000095017022001990/0000950170-22-001990-index.htm
102,false,,,,,,,,,,,,,
