,https://roic.ai/company/ABMC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.2791,- -,0.0697,- -,0.0257,-0.0288,0.0145,-0.0712,-0.0671,-0.0924,-0.0716,-0.0361,-0.1191,-0.0884,-0.0670,-0.0524,-0.0608,-0.1109,-0.2650,-0.1877,-0.1924
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,49000,1000,5000,3000,1000,1000,4000,10000,-2000,2000,2000,2000,4000,- -,2000,-5000,-2000
23,Net Income,- -,-505321,-4400000,-1691000,-2136000,- -,719000,1031000,266000,-376000,196000,-990000,-850000,-900000,-750000,-345000,-1111000,-788000,-490000,-333000,-345000,-545000,-1028000,-681000,-796000
24,Net Income ratio,- -,-0.8272,-2.0000,-0.2403,-0.2791,- -,0.0697,0.0826,0.0217,-0.0289,0.0142,-0.0714,-0.0672,-0.0925,-0.0720,-0.0372,-0.1189,-0.0886,-0.0673,-0.0527,-0.0615,-0.1109,-0.2655,-0.1863,-0.1919
25,EPS,- -,-0.04,-0.35,-0.15,-0.15,- -,0.03,0.05,0.01,-0.02,0.01,-0.05,-0.04,-0.04,-0.03,-0.02,-0.05,-0.04,-0.02,-0.02,-0.01,-0.02,-0.03,-0.02,-0.02
26,EPS Diluted,- -,-0.04,-0.35,-0.15,-0.15,- -,0.03,0.05,0.01,-0.02,0.01,-0.05,-0.04,-0.04,-0.03,-0.02,-0.05,-0.04,-0.02,-0.02,-0.01,-0.02,-0.03,-0.02,-0.02
27,Weighted Average Shares Outstanding,- -,12728180,13768000,14557000,15480790,20610000,20610000,20624000,21187000,21310000,21484000,21737000,21745000,21744768,21744768,21744768,21833003,22270636,23336806,25676976,27463265,29211454,30115063,32526669,35558105
28,Weighted Average Shares Outstanding Diluted,- -,12728180,13768000,14557000,15480790,21326000,21326000,21268000,21743000,21432000,21573000,21737000,21745000,21744768,21744768,21744768,21833003,22270636,23336806,25676976,27463265,29211454,30115063,32526669,35558105
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420408018087/0001144204-08-018087-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420413018226/0001144204-13-018226-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420414019165/0001144204-14-019165-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420415019717/0001144204-15-019717-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420416091507/0001144204-16-091507-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420417018013/0001144204-17-018013-index.html,https://www.sec.gov/Archives/edgar/data/896747/000165495418003884/0001654954-18-003884-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495419004490/0001654954-19-004490-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495420007022/0001654954-20-007022-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495421004250/0001654954-21-004250-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1762506,3200000,131000,1207000,- -,231000,942000,995000,446000,641000,336000,201000,35000,37000,93000,89000,646000,352000,158000,156000,36000,113000,4000,98
32,Short-Term Investments,- -,1053000,- -,719000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2815506,3200000,850000,1281000,- -,231000,942000,995000,446000,641000,336000,201000,35000,37000,93000,89000,646000,352000,158000,156000,36000,113000,4000,98
34,Net Receivables,- -,440009,700000,1021000,1150000,- -,1105000,1261000,1108000,1370000,1313000,1365000,1161000,816000,743000,883000,810000,875000,814000,672000,556000,348000,452000,370000,407
35,Inventory,- -,668723,1000000,1834000,1332000,- -,2795000,3049000,4338000,4444000,4859000,4994000,5552000,4315000,3604000,3239000,2571000,2071000,1722000,1746000,1582000,1473000,1019000,810000,536
36,Other Current Assets,- -,4425,100000,97000,46000,- -,53000,78000,70000,109000,165000,181000,97000,101000,121000,61000,50000,147000,128000,40000,92000,97000,29000,43000,139
37,Total Current Assets,- -,3928663,5000000,3802000,3809000,- -,4184000,5330000,6511000,6369000,6978000,6876000,7011000,5267000,4505000,4276000,3520000,3739000,3016000,2616000,2386000,1954000,1613000,1227000,1180
38,PP&E,- -,110834,100000,351000,388000,- -,1457000,1441000,1859000,1562000,1982000,2267000,1961000,1624000,1409000,1304000,1192000,1090000,983000,910000,824000,792000,718000,717000,576
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,67253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,67000,93000,109000,123000,116000,- -
41,Intangible Assets,- -,67253,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000,67000,93000,109000,123000,116000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,300000,282000,841000,- -,7000,7000,5000,7000,57000,- -,164000,149000,101000,56000,67000,137000,14000,204000,68000,36000,21000,18000,- -
45,Total Non-Current Assets,- -,178087,400000,633000,1229000,- -,1464000,1448000,1864000,1569000,2039000,2267000,2125000,1773000,1510000,1360000,1259000,1227000,1062000,1181000,985000,937000,862000,851000,576
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4106750,5400000,4435000,5038000,- -,5648000,6778000,8375000,7938000,9017000,9143000,9136000,7040000,6015000,5636000,4779000,4966000,4078000,3797000,3371000,2891000,2475000,2078000,1756
48,Accounts Payable,- -,- -,500000,1149000,1655000,- -,908000,737000,1358000,1510000,1091000,1403000,1568000,678000,432000,631000,1016000,597000,410000,373000,304000,374000,359000,652000,577
49,Short-Term Debt,- -,- -,- -,136000,138000,- -,184000,33000,77000,46000,193000,844000,1539000,367000,623000,1269000,1725000,2213000,1837000,852000,714000,533000,739000,388000,717000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,42000,89000,21000,37000,67000,89000,115000,142000,164000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,10000,10000,- -,51000,43000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,380155,- -,130000,- -,- -,513000,528000,419000,177000,838000,612000,774000,721000,539000,481000,405000,496000,413000,504000,575000,570000,727000,647000,-715556
53,Total Current Liabilities,- -,380155,500000,1415000,1793000,- -,1605000,1298000,1854000,1733000,2122000,2859000,3881000,1776000,1604000,2391000,3146000,3357000,2703000,1729000,1593000,1477000,1825000,1687000,2021
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,673000,718000,683000,592000,758000,121000,760000,1730000,1604000,608000,- -,124000,213000,945000,753000,772000,789000,73000,75
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,47000,34000,- -,50000,- -,- -,60000,100000,- -,237000,156000,150000,143000,145000,147000,68000,38000,- -,19000,7000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,47000,34000,- -,723000,718000,683000,652000,858000,121000,997000,1886000,1754000,751000,145000,271000,281000,983000,753000,791000,796000,73000,75
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316000,- -,- -,- -,1626000,414000,- -,686000,2090000,- -,- -,- -,1254000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000,74000
61,Total Liabilities,- -,380155,500000,1462000,1827000,- -,2328000,2016000,2537000,2385000,2980000,4054000,4878000,3662000,3358000,3266000,3415000,3628000,3108000,2836000,2346000,2268000,2621000,2868000,1926
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,133795,- -,149000,180000,- -,206000,207000,213000,214000,217000,217000,217000,217000,217000,217000,218000,229000,236000,260000,288000,298000,323000,327000,377
64,Retained Earnings,- -,-2906992,-7300000,-9424000,-11643000,- -,-14435000,-13404000,-13138000,-13514000,-13398000,- -,-15238000,-16138000,-16888000,-17233000,-18344000,-19132000,-19622000,-19955000,-20300000,-20845000,-21873000,-22554000,- -
65,Other Comprehensive Income/Loss,- -,- -,-100000,-118000,-223000,- -,-424000,-592000,-847000,-1225000,-1601000,- -,-2298000,-2589000,-2872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,6499792,12300000,12366000,14897000,- -,17973000,18551000,19610000,20078000,20819000,4879000,21577000,21888000,22200000,19386000,19490000,20241000,20356000,20656000,21037000,21170000,21404000,21437000,-1256377
67,Total Stockholders Equity,- -,3726595,4900000,2973000,3211000,- -,3320000,4762000,5838000,5553000,6037000,5096000,4258000,3378000,2657000,2370000,1364000,1338000,970000,961000,1025000,623000,-146000,-790000,-1256000
68,Total Liabilities And Stockholders Equity,- -,4106750,5400000,4435000,5038000,- -,5648000,6778000,8375000,7938000,9017000,9150000,9136000,7040000,6015000,5636000,4779000,4966000,4078000,3797000,3371000,2891000,2475000,2078000,-1254074
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1255830
70,Total Liabilities & Equity,- -,4106750,5400000,4435000,5038000,- -,5648000,6778000,8375000,7938000,9017000,9143000,9136000,7040000,6015000,5636000,4779000,4966000,4078000,3797000,3371000,2891000,2475000,2078000,1756
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420408018087/0001144204-08-018087-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420413018226/0001144204-13-018226-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420414019165/0001144204-14-019165-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420415019717/0001144204-15-019717-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420416091507/0001144204-16-091507-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420417018013/0001144204-17-018013-index.html,https://www.sec.gov/Archives/edgar/data/896747/000165495418003884/0001654954-18-003884-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495419004490/0001654954-19-004490-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495420007022/0001654954-20-007022-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495421004250/0001654954-21-004250-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-505321,-4400000,-1691000,-2136000,-1880000,719000,1031000,266000,-376000,196000,-990000,-850000,-900000,-750000,-345000,-1111000,-788000,-490000,-333000,-345000,-545000,-1028000,-681000,-796000
74,Depreciation and Amortization,- -,96134,100000,78000,106000,412000,154000,168000,269000,378000,376000,437000,353000,336000,289000,277000,123000,116000,111000,91000,91000,80000,81000,81000,79000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,29000,58000,104000,257000,139000,34000,61000,43000,10000,6000,- -
77,Change in Working Capital,- -,-607199,-2113000,-371000,-1392000,398000,1087000,1453000,625000,-21000,220000,-839000,-887000,361000,-590000,-1016000,-1511000,8000,-69000,574000,-94000,-316000,-689000,-248000,459159
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-193000,- -,- -,- -,- -,- -,204000,305000,49000,-126000,79000,-63000,50000,139000,116000,205000,-88000,84000,-40000
79,Inventory,- -,-646422,-300000,-843000,356000,-112000,-708000,-254000,-1389000,-255000,-408000,-135000,-616000,1274000,769000,176000,214000,363000,334000,-132000,147000,58000,320000,113000,157000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-156000,- -,- -,- -,- -,- -,165000,-766000,-246000,199000,386000,-420000,-187000,-37000,-39000,70000,-15000,293000,-75000
81,Other Working Capital,- -,4500000,2387000,2016000,624000,- -,2579000,4032000,4657000,4636000,4856000,4017000,3130000,3491000,2901000,1885000,374000,382000,313000,887000,793000,477000,-212000,-460000,-841
82,Other Non-Cash Items,- -,-228750,3813000,-24000,2576000,150000,-2360000,-1968000,-1026000,-353000,-450000,787000,1081000,437000,969000,1475000,2631000,416000,407000,-136000,528000,919000,1406000,900000,-225159
83,Cash Provided by Operating Activities,- -,-1245136,-2600000,-2008000,-846000,-920000,-400000,684000,134000,-372000,342000,-605000,-303000,254000,-53000,449000,236000,9000,98000,230000,241000,181000,-220000,58000,-483000
84,CAPEX,- -,-122576,-100000,-220000,-145000,-73000,-156000,-272000,-601000,-133000,-803000,-706000,-51000,-35000,-70000,-173000,-34000,-34000,-75000,-21000,-30000,-64000,-22000,- -,-4000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-1812000,-73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1100000,969000,571000,407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1175576,-300000,-29000,-289000,-220000,106000,150000,- -,- -,- -,- -,- -,- -,- -,- -,-23000,-20000,-14000,-8000,-30000,-20000,-22000,- -,- -
89,Cash Used for Investing Activites,- -,-1175576,700000,-1092000,64000,114000,-50000,-122000,-601000,-133000,-803000,-706000,-51000,-35000,-70000,-173000,-34000,-34000,-65000,-21000,-30000,-64000,-22000,- -,-4000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-42000,- -,- -,- -,- -,- -,-412000,-316000,- -,-124000,-10261000,-9220000,-6614000,-6802000,-6156000,-6025000,-4160000,-4088000,-42000
91,Common Stock Issued,- -,3877686,3600000,6000,2000000,- -,235000,305000,581000,3000,332000,23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -
92,Common Stock Repurchased,- -,-126500,-200000,- -,-1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-5500,-100000,-11000,-141000,-136000,200000,-156000,-61000,-46000,324000,983000,631000,-69000,125000,-96000,10055000,9802000,6287000,6399000,5943000,5788000,4279000,3921000,623000
95,Cash Used/Provided by Financing Activities,- -,3745686,3300000,-8000,1858000,-136000,393000,149000,520000,-43000,656000,1006000,219000,-385000,125000,-220000,-206000,582000,-327000,-403000,-213000,-237000,319000,-167000,581000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1324974,- -,-3108000,1076000,-942000,-57000,711000,53000,-549000,195000,-305000,-135000,-166000,2000,56000,-4000,557000,-294000,-194000,-2000,-120000,77000,-109000,94000
98,Cash at the End of Period,- -,1762506,- -,131000,1207000,265000,231000,942000,995000,446000,641000,336000,201000,35000,37000,93000,89000,646000,352000,158000,156000,36000,113000,4000,98000
99,Cash at the Beginning of Period,- -,437532,1800000,3239000,131000,1207000,288000,231000,942000,995000,446000,641000,336000,201000,35000,37000,93000,89000,646000,352000,158000,156000,36000,113000,4000
100,Free Cash Flow,- -,-1367712,-2700000,-2228000,-991000,-993000,-556000,412000,-467000,-505000,-461000,-1311000,-354000,219000,-123000,276000,202000,-25000,23000,209000,211000,117000,-242000,58000,-487000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420408018087/0001144204-08-018087-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896747/000114420413018226/0001144204-13-018226-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420414019165/0001144204-14-019165-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420415019717/0001144204-15-019717-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000114420416091507/0001144204-16-091507-index.html,https://www.sec.gov/Archives/edgar/data/896747/000114420417018013/0001144204-17-018013-index.html,https://www.sec.gov/Archives/edgar/data/896747/000165495418003884/0001654954-18-003884-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495419004490/0001654954-19-004490-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495420007022/0001654954-20-007022-index.htm,https://www.sec.gov/Archives/edgar/data/896747/000165495421004250/0001654954-21-004250-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
