,https://roic.ai/company/SHOP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,66099529,66503896,66099529,61716065,83988597,95774897,105671839,113026424,119569705,119569705
28,Weighted Average Shares Outstanding Diluted,66099529,66503896,66099529,61716065,83988597,95774897,105671839,113026424,123463274,119569705
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1594805/000159480516000019/0001594805-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480517000007/0001594805-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480518000009/0001594805-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480519000010/0001594805-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480520000010/0001594805-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000008/0001594805-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480522000011/0001594805-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,83529000,41953000,110070000,84013000,141677000,410683000,649916000,2703597000,2502992000
32,Short-Term Investments,- -,- -,17709000,80103000,308401000,796362000,1558987000,1805278000,3684370000,5265101000
33,Cash and Short-Term Investments,- -,83529000,59662000,190173000,392414000,938039000,1969670000,2455194000,6387967000,7768093000
34,Net Receivables,- -,3391000,7227000,6089000,21495000,69040000,133220000,240701000,421542000,667954000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1081000,1495000,6203000,8989000,18598000,26192000,48833000,68247000,103273000
37,Total Current Assets,- -,88001000,68384000,202465000,422898000,1025677000,2129082000,2744728000,6877756000,8539320000
38,PP&E,- -,4488000,21728000,33048000,45719000,50360000,61612000,246172000,211477000,301988000
39,Goodwill,- -,2373000,2373000,2373000,15504000,20317000,38019000,311865000,311865000,356528000
40,Intangible Assets,- -,926000,2708000,5826000,6437000,17210000,26072000,167282000,135676000,138496000
41,Intangible Assets,- -,3299000,5081000,8199000,21941000,37527000,64091000,479147000,447541000,495024000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,173454000,3749667000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,19432000,52677000,48369000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,205804000
45,Total Non-Current Assets,- -,7787000,26809000,41247000,67660000,87887000,125703000,744751000,885149000,4800852000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,95788000,95193000,243712000,490558000,1113564000,2254785000,3489479000,7762905000,13340172000
48,Accounts Payable,- -,3285000,8186000,18453000,34319000,44333000,61271000,90517000,168720000,284010000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,15748000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,79689000
51,Deferred Revenue,- -,4146000,6775000,12726000,20164000,30694000,39180000,56691000,107809000,216792000
52,Other Current Liabilities,- -,2610000,4813000,6058000,12049000,19727000,38237000,169174000,161803000,186183000
53,Total Current Liabilities,- -,10041000,19774000,37237000,66532000,94754000,138688000,316382000,438332000,702733000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,758008000,1157739000
55,Deferred Revenue,- -,210000,394000,661000,922000,1352000,1881000,5969000,21006000,162932000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,1388000,1132000,8753000,- -,183427000
57,Other Non-Current Liabilities,- -,156000,7293000,10497000,12628000,14970000,22316000,142641000,144836000,- -
58,Total Non-Current Liabilities,- -,366000,7687000,11158000,13550000,17710000,25329000,157363000,923850000,1504098000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,486000,7778000,11319000,13939000,16454000,24868000,151707000,154887000,262524000
61,Total Liabilities,- -,10407000,27461000,48395000,80082000,112464000,164017000,473745000,1362182000,2206831000
62,Preferred Stock,- -,87056000,87056000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3009000,4055000,231452000,468494000,1077477000,2215936000,3256284000,6115232000,8040099000
64,Retained Earnings,- -,-6753000,-29064000,-47854000,-83209000,-123204000,-187757000,-304224000,15285000,2938142000
65,Other Comprehensive Income/Loss,- -,-2302000,-3138000,-8785000,-2000000,3000000,-12000000,1000000,9000000,-5974000
66,Other Total Stockholders Equity,- -,4371000,8823000,20504000,27191000,43827000,74589000,62674000,261206000,161074000
67,Total Stockholders Equity,- -,85381000,67732000,195317000,410476000,1001100000,2090768000,3015734000,6400723000,11133341000
68,Total Liabilities And Stockholders Equity,- -,95788000,95193000,243712000,490558000,1113564000,2254785000,3489479000,7762905000,13340172000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,95788000,95193000,243712000,490558000,1113564000,2254785000,3489479000,7762905000,13340172000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1594805/000159480516000019/0001594805-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480517000007/0001594805-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480518000009/0001594805-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480519000010/0001594805-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480520000010/0001594805-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000008/0001594805-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480522000011/0001594805-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1232000,-4837000,-22311000,-18790000,-35355000,-39995000,-64553000,-124842000,319509000,2914659000
74,Depreciation and Amortization,767000,1758000,4672000,7236000,13967000,23382000,27052000,35651000,70060000,66308000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-37918000,-41998000,190963000
76,Stock Based Compensation,268000,1446000,3792000,7805000,22896000,49163000,95720000,158456000,246940000,330763000
77,Change in Working Capital,2238000,2574000,11771000,17324000,13276000,-25651000,-56089000,20175000,-100332000,-160924000
78,Accounts Receivable,-635000,-1196000,-3930000,1176000,-14252000,-50848000,-83343000,-130392000,-141867000,-72300000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1814000,1945000,2813000,6218000,7699000,10960000,9015000,78405000,-65649000,89429000
82,Other Non-Cash Items,- -,455000,1275000,2181000,-767000,1002000,7194000,19093000,-69221000,-2837341000
83,Cash Provided by Operating Activities,2041000,1396000,-801000,15756000,14017000,7901000,9324000,70615000,424958000,504428000
84,CAPEX,-2016000,-4504000,-22700000,-21036000,-26236000,-24262000,-41545000,-62397000,-41995000,-50788000
85,Acquisitions Net,-1000000,-1000000,- -,- -,-14000000,-16000000,-19000000,-266000000,- -,-709860000
86,Purchases of Investments,- -,- -,-20131000,-111154000,-369208000,-1129263000,-2447955000,-2718604000,-5600207000,-7337366000
87,Sales/Maturities of Investments,- -,- -,2375000,48350000,139872000,642073000,1698264000,2477038000,3721405000,5750224000
88,Other Investing Activites,-89000,-870000,-2037000,-4511000,-2577000,-3937000,-13992000,-5150000,-11313000,- -
89,Cash Used for Investing Activites,-2795000,-5332000,-40366000,-83840000,-269686000,-527170000,-810633000,-569475000,-1931848000,-2347790000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,136251000,224423000,560057000,1041688000,688014000,2578591000,1541168000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,57000,70053000,140000,1604000,4162000,14774000,30494000,48337000,978759000,108594000
95,Cash Used/Provided by Financing Activities,57000,70053000,140000,137855000,228585000,574831000,1072182000,736351000,3557350000,1649762000
96,Effect of Forex Changes on Cash,36000,-243000,-549000,-1654000,1027000,2102000,-1867000,1742000,3221000,-7005000
97,Net Change In Cash,-661000,65874000,-41576000,68117000,-26057000,57664000,269006000,239233000,2053681000,-200605000
98,Cash at the End of Period,17655000,83529000,41953000,110070000,84013000,141677000,410683000,649916000,2703597000,2502992000
99,Cash at the Beginning of Period,18316000,17655000,83529000,41953000,110070000,84013000,141677000,410683000,649916000,2703597000
100,Free Cash Flow,25000,-3108000,-23501000,-5280000,-12219000,-16361000,-32221000,8218000,382963000,453640000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1594805/000159480516000019/0001594805-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480517000007/0001594805-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480518000009/0001594805-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480519000010/0001594805-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480520000010/0001594805-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480521000008/0001594805-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1594805/000159480522000011/0001594805-22-000011-index.htm
102,false,,,,,,,,,,
