,https://roic.ai/company/LTRX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,3773000,1613000,-7052000,-95003000,-46621000,-5649000,-6984000,-4498000,-2425000,-2597000,-614000,-1327000,-5064000,-2788000,-2638000,-816000,-2666000,-1928000,-183000,804000,-488000,-10538000,-3337000
18,Operating Income ratio,0.1144,0.0359,-0.1278,-1.6480,-0.9417,-0.1156,-0.1440,-0.0866,-0.0438,-0.0451,-0.0125,-0.0286,-0.1027,-0.0614,-0.0565,-0.0183,-0.0621,-0.0475,-0.0041,0.0176,-0.0104,-0.1760,-0.0467
19,Total Other Income Expenses (Gains),111000,91000,2015000,786000,-678000,-5283000,153000,1422000,736000,-30000,-167000,-168000,-151000,-179000,-77000,-56000,-47000,29000,-26000,-26000,221000,-56000,-512000
20,Income Before Tax,3884000,1704000,-5037000,-94217000,-47299000,-10932000,-6831000,-3076000,-1689000,-2627000,-781000,-1495000,-5215000,-2967000,-2715000,-872000,-2713000,-1899000,-209000,778000,-267000,-10594000,-3849000
21,Income Before Tax Ratio,0.1178,0.0379,-0.0913,-1.6344,-0.9554,-0.2236,-0.1408,-0.0592,-0.0305,-0.0456,-0.0159,-0.0322,-0.1057,-0.0654,-0.0582,-0.0196,-0.0632,-0.0468,-0.0047,0.0171,-0.0057,-0.1769,-0.0538
22,Income Tax expense (Gain),1098000,649000,-662000,-6665000,250000,-325000,229000,-31000,34000,-119000,-1000,24000,56000,73000,54000,61000,58000,63000,68000,98000,141000,144000,195000
23,Net Income,2786000,1055000,-4375000,-93457000,-47549000,-15654000,-7004000,-3045000,-1723000,-2508000,-780000,-1519000,-5271000,-3040000,-2769000,-933000,-2771000,-1962000,-277000,680000,-408000,-10738000,-4044000
24,Net Income ratio,0.0845,0.0235,-0.0793,-1.6212,-0.9604,-0.3202,-0.1444,-0.0586,-0.0312,-0.0436,-0.0159,-0.0328,-0.1069,-0.0670,-0.0594,-0.0209,-0.0645,-0.0483,-0.0062,0.0149,-0.0087,-0.1793,-0.0566
25,EPS,0.60,0.24,-0.72,-10.92,-5.28,-1.68,-0.72,-0.30,-0.18,-0.24,-0.06,-0.15,-0.51,-0.27,-0.19,-0.06,-0.19,-0.13,-0.02,0.04,-0.02,-0.42,-0.14
26,EPS Diluted,0.60,0.18,-0.72,-10.92,-5.28,-1.68,-0.72,-0.30,-0.18,-0.24,-0.06,-0.15,-0.51,-0.27,-0.19,-0.06,-0.19,-0.13,-0.02,0.04,-0.02,-0.42,-0.14
27,Weighted Average Shares Outstanding,4496175,4879009,6157678,8567183,9054851,9477018,9700352,9783686,9933853,10022353,10081020,10276000,10434000,11253000,14574000,14657000,14904000,15260000,17451000,18171000,21580000,25281000,28708000
28,Weighted Average Shares Outstanding Diluted,4813342,5696344,6157678,8567183,9054851,9477018,9730186,9783686,9933853,10022353,10081020,10276000,10434000,11253000,14574000,14657000,14904000,15260000,17451000,19158000,21580000,25281000,28708000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1114925/000089843001502607/0000898430-01-502607-index.html,- -,https://www.sec.gov/Archives/edgar/data/1114925/000101968703001999/0001019687-03-001999-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000111492504000054/0001114925-04-000054-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968705002698/0001019687-05-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968706002147/lantronix_10k-063006.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968707003007/0001019687-07-003007-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968708004217/0001019687-08-004217-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968709003450/0001019687-09-003450-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968710003321/0001019687-10-003321-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968711003012/0001019687-11-003012-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968712003064/0001019687-12-003064-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968713003371/0001019687-13-003371-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968714003348/0001019687-14-003348-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968715003231/0001019687-15-003231-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968716007351/lantronix_10k-063016.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316817002211/0001683168-17-002211-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316818002477/0001683168-18-002477-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316819002888/lantronix_10k-063019.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316820003098/0001683168-20-003098-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316821003966/0001683168-21-003966-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,15367000,26491000,7328000,9128000,6690000,7729000,7582000,7434000,9137000,10075000,5836000,11374000,5243000,6264000,4989000,5962000,8073000,9568000,18282000,7691000,9739000
32,Short-Term Investments,- -,- -,1973000,6963000,6750000,3050000,85000,88000,97000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,17340000,33454000,14078000,12178000,6775000,7817000,7679000,7434000,9137000,10075000,5836000,11374000,5243000,6264000,4989000,5962000,8073000,9568000,18282000,7691000,9739000
34,Net Receivables,- -,- -,15979000,6172000,5602000,4241000,4557000,4136000,4681000,4842000,2506000,2357000,3544000,3296000,3206000,3990000,3027000,3533000,3908000,4893000,8712000,11748000,15475000
35,Inventory,- -,- -,10788000,10743000,6011000,6677000,6828000,8113000,10981000,8038000,6479000,6873000,9160000,5955000,8741000,8404000,9503000,6584000,6959000,8439000,10509000,13781000,15059000
36,Other Current Assets,- -,- -,7009000,10504000,11770000,1450000,1055000,15902000,578000,566000,529000,1057000,1174000,1206000,431000,524000,400000,580000,440000,370000,687000,1290000,2880000
37,Total Current Assets,- -,- -,51116000,60873000,37461000,24546000,19215000,35968000,23919000,20880000,18651000,20362000,19714000,21831000,17621000,19182000,17919000,16659000,19380000,23270000,38190000,34510000,43153000
38,PP&E,- -,- -,5492000,5039000,2541000,865000,674000,1589000,1911000,2271000,2230000,2392000,1761000,1605000,1687000,1487000,1471000,1569000,1218000,1036000,1199000,1587000,4008000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,15810000,15810000
40,Intangible Assets,- -,- -,55601000,28492000,17120000,11544000,10047000,610000,485000,382000,265000,155000,54000,- -,- -,- -,- -,- -,- -,- -,- -,12449000,9355000
41,Intangible Assets,- -,- -,55601000,28492000,17120000,11544000,10047000,10098000,9973000,9870000,9753000,9643000,9542000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,9488000,28259000,25165000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476000,400000,442000,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,7335000,9408000,5734000,295000,181000,160000,155000,144000,122000,135000,175000,87000,87000,125000,93000,63000,46000,61000,67000,3577000,240000
45,Total Non-Current Assets,- -,- -,68428000,42939000,25395000,12704000,10902000,11847000,12039000,12285000,12105000,12170000,11478000,11180000,11738000,11500000,11494000,11120000,10752000,10585000,10754000,33423000,29413000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,119544000,103812000,62856000,37250000,30117000,47815000,35958000,33165000,30756000,32532000,31192000,33011000,29359000,30682000,29413000,27779000,30132000,33855000,48944000,67933000,72566000
48,Accounts Payable,- -,- -,5698000,4607000,4801000,4049000,4702000,7865000,11017000,7684000,5626000,6545000,8358000,3563000,2870000,4547000,3633000,2721000,2717000,3942000,4716000,5331000,9122000
49,Short-Term Debt,- -,- -,- -,- -,- -,1367000,- -,129000,- -,- -,667000,667000,667000,745000,214000,47000,762000,64000,61000,55000,4000,2745000,2646000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000,229000,235000,247000,275000,275000,296000,322000,395000,388000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,155000,- -,- -,- -,- -,- -,132000,1180000,839000,1544000,1090000,1315000,1221000,496000,1286000,1983000
52,Other Current Liabilities,- -,- -,4985000,10843000,10962000,7043000,6820000,22447000,7315000,7510000,4935000,5527000,5467000,5464000,4835000,4945000,4533000,3723000,4896000,4508000,6256000,6407000,9113000
53,Total Current Liabilities,- -,- -,10683000,15450000,15763000,12459000,11522000,30596000,18332000,15194000,11228000,12739000,14492000,9904000,9099000,10378000,10472000,7598000,8989000,9726000,11472000,15769000,22864000
54,Long-Term Debt,- -,- -,- -,- -,867000,- -,51000,- -,- -,- -,778000,111000,833000,167000,- -,- -,- -,- -,- -,- -,- -,3682000,3365000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,121000,91000,80000,122000,196000,175000,158000,166000,241000
56,Deferred Tax Liabilities,- -,- -,5895000,5205000,8509000,- -,- -,- -,- -,- -,- -,542000,569000,657000,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,1000000,- -,- -,76000,441000,398000,725000,426000,799000,595000,251000,182000,47000,152000,341000,259000,141000,48000,1796000,- -
58,Total Non-Current Liabilities,- -,- -,5895000,6205000,9376000,- -,127000,441000,398000,725000,1204000,1452000,1997000,1175000,303000,138000,232000,463000,455000,316000,206000,5644000,3606000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,211000,142000,515000,309000,153000,45000,126000,101000,54000,214000,180000,120000,59000,4000,3069000,2329000
61,Total Liabilities,- -,- -,16578000,21655000,25139000,12459000,11649000,31037000,18730000,15919000,12432000,14191000,16489000,11079000,9402000,10516000,10704000,8061000,9444000,10042000,11678000,21413000,26470000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,5000,6000,6000,6000,6000,6000,6000,6000,1000,1000,1000,1000,1000,2000,2000,2000,2000,2000,3000,3000
64,Retained Earnings,- -,- -,4052000,-92875000,-140424000,-156078000,-163082000,-166450000,-168173000,-170907000,-171687000,-173206000,-178477000,-181517000,-184286000,-185219000,-187990000,-189952000,-190235000,-189555000,-189381000,-200119000,-204163000
65,Other Comprehensive Income/Loss,- -,- -,-4050000,-6411000,-493000,151000,280000,365000,442000,521000,426000,399000,399000,399000,371000,371000,371000,371000,371000,371000,371000,371000,371000
66,Other Total Stockholders Equity,- -,- -,102960000,181438000,178628000,180712000,181264000,182857000,184953000,187626000,189579000,191147000,192780000,203049000,203871000,205013000,206326000,209297000,210550000,212995000,226274000,246265000,249885000
67,Total Stockholders Equity,- -,- -,102966000,82157000,37717000,24791000,18468000,16778000,17228000,17246000,18324000,18341000,14703000,21932000,19957000,20166000,18709000,19718000,20688000,23813000,37266000,46520000,46096000
68,Total Liabilities And Stockholders Equity,- -,- -,119544000,103812000,62856000,37250000,30117000,47815000,35958000,33165000,30756000,32532000,31192000,33011000,29359000,30682000,29413000,27779000,30132000,33855000,48944000,67933000,72566000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,119544000,103812000,62856000,37250000,30117000,47815000,35958000,33165000,30756000,32532000,31192000,33011000,29359000,30682000,29413000,27779000,30132000,33855000,48944000,67933000,72566000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1114925/000089843001502607/0000898430-01-502607-index.html,- -,https://www.sec.gov/Archives/edgar/data/1114925/000101968703001999/0001019687-03-001999-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000111492504000054/0001114925-04-000054-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968705002698/0001019687-05-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968706002147/lantronix_10k-063006.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968707003007/0001019687-07-003007-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968708004217/0001019687-08-004217-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968709003450/0001019687-09-003450-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968710003321/0001019687-10-003321-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968711003012/0001019687-11-003012-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968712003064/0001019687-12-003064-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968713003371/0001019687-13-003371-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968714003348/0001019687-14-003348-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968715003231/0001019687-15-003231-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968716007351/lantronix_10k-063016.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316817002211/0001683168-17-002211-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316818002477/0001683168-18-002477-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316819002888/lantronix_10k-063019.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316820003098/0001683168-20-003098-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316821003966/0001683168-21-003966-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2786000,1055000,-4375000,-93457000,-47549000,-15654000,-7004000,-3045000,-1723000,-2508000,-780000,-1519000,-5271000,-3040000,-2769000,-933000,-2771000,-1962000,-277000,680000,-408000,-10738000,-4044000
74,Depreciation and Amortization,973000,2434000,2619000,6219000,7506000,3961000,2108000,1014000,473000,654000,879000,1018000,1143000,988000,852000,895000,878000,759000,594000,442000,464000,2805000,3911000
75,Deferred Income Tax,-158000,798000,-1024000,-5594000,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1866000,1901000,1603000,745000,848000,869000,1015000,870000,912000,1169000,1871000,3639000,3584000
77,Change in Working Capital,2127000,- -,40433000,4990000,-23725000,-9611000,-4394000,-2321000,215000,99000,1737000,200000,-2401000,6705000,-3405000,282000,-1357000,1614000,1330000,3153000,13174000,-7977000,1548000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2327000,516000,-1594000,234000,75000,-1032000,973000,-506000,-268000,-812000,-1967000,2809000,-2104000
79,Inventory,-592000,-2079000,-450000,2984000,584000,199000,-315000,-958000,-2881000,2539000,1535000,-202000,-2455000,2723000,-3069000,130000,-1321000,2626000,-674000,-1480000,-2532000,3365000,-1285000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2055000,924000,1808000,-4795000,-693000,1575000,-960000,-965000,-7000,1202000,765000,-2599000,3574000
81,Other Working Capital,- -,- -,40433000,45423000,21698000,12087000,7693000,5372000,5587000,5686000,7423000,7623000,5222000,11927000,8522000,8804000,7447000,9061000,10391000,13544000,26718000,18741000,20289000
82,Other Non-Cash Items,-133000,-6369000,-42607000,75012000,46259000,18967000,4920000,4425000,43000,1882000,-2410000,1312000,814000,-7921000,-5000,444000,595000,-1068000,-487000,-4935000,-16849000,9750000,-695000
83,Cash Provided by Operating Activities,5595000,-2082000,-4954000,-12830000,-17509000,-2937000,-4370000,73000,-992000,127000,1292000,2912000,-4112000,-2523000,-4479000,1557000,-1640000,213000,2072000,509000,-1748000,-2521000,4304000
84,CAPEX,-543000,-942000,-4632000,-2750000,-283000,-248000,-124000,-672000,-492000,-683000,-676000,-860000,-413000,-639000,-866000,-595000,-577000,-570000,-236000,-229000,-891000,-572000,-783000
85,Acquisitions Net,-2349000,-116000,-16464000,-4746000,-2114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13402000,- -
86,Purchases of Investments,- -,- -,-30470000,-16778000,-11000000,-552000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,28497000,4500000,11250000,4259000,4050000,1300000,700000,104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-6267000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2892000,-1058000,-29336000,-25774000,-2147000,3459000,2926000,628000,208000,-579000,-676000,-860000,-413000,-639000,-866000,-595000,-577000,-570000,-236000,-229000,-891000,-13974000,-783000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-860000,-966000,-1586000,-824000,-760000,-214000,-357000,-2871000,-60000,-61000,-55000,-761000,-1509000
91,Common Stock Issued,605000,64000,54396000,49142000,317000,726000,468000,443000,707000,329000,87000,159000,93000,9554000,- -,273000,352000,2149000,529000,1489000,11597000,1158000,913000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,766000,-766000,-6718000,513000,28000,500000,-1378000,-176000,-142000,-223000,2000000,-263000,1705000,-30000,-26000,- -,947000,2052000,-194000,-213000,-189000,5507000,-877000
95,Cash Used/Provided by Financing Activities,1371000,-702000,47678000,49655000,345000,1226000,-910000,267000,565000,106000,1227000,-1070000,212000,8700000,-786000,59000,942000,1330000,275000,1215000,11353000,5904000,-1473000
96,Effect of Forex Changes on Cash,- -,-3000,-9000,73000,148000,52000,-84000,71000,72000,198000,-140000,-44000,74000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4074000,-3845000,13379000,11124000,-19163000,1800000,-2438000,1039000,-147000,-148000,1703000,938000,-4239000,5538000,-6131000,1021000,-1275000,973000,2111000,1495000,8714000,-10591000,2048000
98,Cash at the End of Period,5833000,1988000,15367000,26491000,7328000,9128000,6690000,7729000,7582000,7434000,9137000,10075000,5836000,11374000,5243000,6264000,4989000,5962000,8073000,9568000,18282000,7691000,9739000
99,Cash at the Beginning of Period,1759000,5833000,1988000,15367000,26491000,7328000,9128000,6690000,7729000,7582000,7434000,9137000,10075000,5836000,11374000,5243000,6264000,4989000,5962000,8073000,9568000,18282000,7691000
100,Free Cash Flow,5052000,-3024000,-9586000,-15580000,-17792000,-3185000,-4494000,-599000,-1484000,-556000,616000,2052000,-4525000,-3162000,-5345000,962000,-2217000,-357000,1836000,280000,-2639000,-3093000,3521000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1114925/000089843001502607/0000898430-01-502607-index.html,- -,https://www.sec.gov/Archives/edgar/data/1114925/000101968703001999/0001019687-03-001999-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000111492504000054/0001114925-04-000054-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968705002698/0001019687-05-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968706002147/lantronix_10k-063006.htm,https://www.sec.gov/Archives/edgar/data/1114925/000101968707003007/0001019687-07-003007-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968708004217/0001019687-08-004217-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968709003450/0001019687-09-003450-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968710003321/0001019687-10-003321-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968711003012/0001019687-11-003012-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968712003064/0001019687-12-003064-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968713003371/0001019687-13-003371-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968714003348/0001019687-14-003348-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968715003231/0001019687-15-003231-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000101968716007351/lantronix_10k-063016.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316817002211/0001683168-17-002211-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316818002477/0001683168-18-002477-index.html,https://www.sec.gov/Archives/edgar/data/1114925/000168316819002888/lantronix_10k-063019.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316820003098/0001683168-20-003098-index.htm,https://www.sec.gov/Archives/edgar/data/1114925/000168316821003966/0001683168-21-003966-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
