,https://roic.ai/company/ARTW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,-1100000,-200000,100000,200000,200000,100000,100000,-100000,-300000,-600000,-900000,-300000,-700000,-200000,-708239,-401893,-228699,-178232,-168597,-215370,-355994,-377521,-15611,506766,-337105,-348830,-339798,388704,-362333,-461399,-91336,-71115,-751195,-271939,949678,-256518
20,Income Before Tax,- -,- -,2000000,2100000,2900000,1700000,2000000,- -,600000,800000,-1700000,-1200000,800000,-500000,-700000,-1615429,-2316725,573135,863205,923642,1474320,1416846,3379329,2750649,1215155,1557923,1580934,3988027,2205844,1302505,-865062,-522783,-1793157,-3846465,-1768820,-2959956,266890
21,Income Before Tax Ratio,- -,- -,0.1136,0.1066,0.1300,0.0885,0.0913,- -,0.0296,0.0390,-0.0837,-0.0870,0.0721,-0.0212,-0.0407,-0.1135,-0.2127,0.0526,0.0756,0.0722,0.1009,0.0714,0.1324,0.0858,0.0462,0.0538,0.0572,0.1094,0.0644,0.0360,-0.0310,-0.0243,-0.0866,-0.1950,-0.0773,-0.1321,0.0107
22,Income Tax expense (Gain),- -,- -,900000,800000,1000000,500000,700000,- -,200000,200000,-600000,-400000,300000,-200000,-100000,550557,65176,4032,-800643,-478631,497003,483306,1145648,921082,452905,504426,332039,1322940,654468,367258,-307220,-96601,-423798,-510416,-349234,-856470,54259
23,Net Income,- -,-2000000,1100000,1300000,1900000,1200000,1300000,100000,400000,600000,-1100000,-800000,500000,-300000,-600000,-2165986,-2381901,569103,1663848,1402273,977317,933540,2233681,1829567,762250,1053497,1248895,2665087,1551376,935247,-557842,-821334,-1637081,-3386902,-1419586,-2103486,212631
24,Net Income ratio,- -,-0.1961,0.0625,0.0660,0.0852,0.0625,0.0594,0.0052,0.0197,0.0293,-0.0542,-0.0580,0.0450,-0.0127,-0.0349,-0.1522,-0.2187,0.0522,0.1458,0.1097,0.0669,0.0470,0.0875,0.0571,0.0290,0.0364,0.0452,0.0731,0.0453,0.0259,-0.0200,-0.0381,-0.0790,-0.1717,-0.0620,-0.0939,0.0085
25,EPS,- -,-0.79,0.42,0.51,0.72,0.48,0.64,0.05,0.17,0.29,-0.49,-0.36,0.20,-0.13,-0.25,-0.86,-0.93,0.15,0.43,0.36,0.25,0.23,0.56,0.46,0.19,0.26,0.31,0.66,0.38,0.23,-0.14,-0.20,-0.39,-0.81,-0.33,-0.48,0.05
26,EPS Diluted,- -,-0.79,0.42,0.51,0.72,0.48,0.64,0.05,0.17,0.29,-0.49,-0.36,0.20,-0.13,-0.25,-0.86,-0.93,0.15,0.42,0.36,0.25,0.23,0.56,0.46,0.19,0.26,0.31,0.66,0.38,0.23,-0.14,-0.20,-0.39,-0.81,-0.33,-0.48,0.05
27,Weighted Average Shares Outstanding,- -,2547771,2619048,2574257,2638889,2500000,2031250,2000000,2352941,2068966,2222222,2222222,2564103,2491862,2496912,2512702,2559226,3616846,3869414,3895203,3909268,3972511,3953418,3973816,3988478,3993337,4018196,4032643,4039530,4047796,4058382,4097748,4151406,4202836,4277375,4393887,4393887
28,Weighted Average Shares Outstanding Diluted,- -,2547771,2619048,2574257,2638889,2500000,2031250,2000000,2352941,2068966,2222222,2222222,2564103,2491862,2496912,2512702,2559226,3622878,3914936,3895203,3909268,3972511,3953418,3973816,3988478,4011754,4049268,4049516,4049791,4052703,4058382,4097748,4151406,4202836,4277375,4393887,4393887
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7623/000114420409011196/0001144204-09-011196-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000114420410009394/0001144204-10-009394-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774911001008/0001437749-11-001008-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774912001749/0001437749-12-001749-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774913001999/0001437749-13-001999-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774914002836/0001437749-14-002836-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774915001434/0001437749-15-001434-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774916024657/0001437749-16-024657-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774917001528/0001437749-17-001528-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774918001906/0001437749-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774919001882/0001437749-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774920001888/0001437749-20-001888-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774921002312/0001437749-21-002312-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774922003662/0001437749-22-003662-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,500000,1700000,1500000,2100000,1200000,500000,100000,100000,100000,100000,100000,- -,10000,300000,4375,4375,75358,800052,116001,1198238,2072121,612201,103450,387218,317103,118924,1546609,207950,511716,447334,1063716,212400,3512,3145,2684,2658
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123055,148005,- -,- -
33,Cash and Short-Term Investments,- -,500000,1700000,1500000,2100000,1200000,500000,100000,100000,100000,100000,100000,- -,10000,300000,4375,4375,75358,800052,116001,1198238,2072121,612201,103450,387218,317103,118924,1546609,207950,511716,447334,1063716,212400,126567,151150,2684,2658
34,Net Receivables,- -,1000000,900000,2600000,1500000,1200000,2200000,1200000,4500000,3900000,3400000,2500000,- -,3800000,2500000,1331308,922168,592945,885890,902733,956391,2313290,3353396,3338326,2347956,2493624,2030369,2880065,3150654,3079794,2610323,1794324,1975440,1759455,2554647,2474982,2840314
35,Inventory,- -,4000000,3900000,5300000,5700000,5500000,7200000,6700000,6800000,9200000,7400000,6200000,- -,9400000,9100000,7184324,4690008,3576707,3446711,6298049,6525051,5998175,8636602,15172723,11928234,13795816,13249105,14327482,14922525,15089280,15699084,13529352,11966722,10257102,8778507,7762400,9210103
36,Other Current Assets,- -,300000,300000,300000,400000,700000,1100000,1400000,600000,800000,1100000,800000,- -,890000,- -,90669,54157,95385,433185,629224,801877,835114,1182425,1141863,2062680,1323513,1297157,1371606,1470243,1385171,1205578,1234527,278209,2034,-77074,61284,121170
37,Total Current Assets,- -,5800000,6800000,9700000,9700000,8600000,11000000,9400000,12000000,14000000,12000000,9600000,- -,14100000,11900000,8610676,5670708,4340395,5565838,7946007,9481557,11218700,13784624,19756362,16726088,17930056,16695555,20125762,19751372,20065961,19962319,17621919,14432771,12145158,11407230,10301350,12174245
38,PP&E,- -,1900000,1600000,1900000,2100000,2200000,2400000,2400000,2900000,3300000,2900000,2300000,- -,2900000,2600000,2033827,1084393,974712,1018910,1308088,1890660,3185298,5497200,6855042,6638661,8033415,8085719,9562698,12022520,11739292,9694913,7387187,7164121,7517610,6076689,5740217,5758883
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,375000,375000,375000,375000,- -,993729,993729,375000,375000,375000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,375000,375000,375000,375000,993729,993729,993729,375000,375000,375000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153787,5782,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,535000,786000,191000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,901396,1432422,1786048,2667686,2621886
44,Other Non-Current Assets,- -,- -,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,600000,62900,- -,606358,842089,605798,219224,110240,309771,240000,180000,439091,698803,546487,- -,47360,1299376,1858484,1506545,76497,71189,93760,299034
45,Total Non-Current Assets,- -,1900000,1600000,1800000,2100000,2200000,2300000,2400000,2900000,3300000,2900000,2300000,- -,2900000,3200000,2096727,1084393,1581070,2395999,2699886,2300884,3395538,6181971,7470042,7193661,8847506,9159522,11102914,13016249,12780381,11369289,9620671,9947062,9180316,7939708,8501663,8679803
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,7700000,8400000,11500000,11800000,10800000,13300000,11800000,14900000,17300000,14900000,11900000,- -,17000000,15100000,10707403,6755101,5921465,7961837,10645893,11782441,14614238,19966595,27226404,23919749,26777562,25855077,31228676,32767621,32846342,31331608,27242590,24379833,21325474,19346938,18803013,20854048
48,Accounts Payable,- -,- -,- -,- -,1300000,1200000,1700000,1000000,2400000,2700000,1900000,500000,- -,1900000,2100000,1286643,984052,523492,83874,536929,530722,644821,1376663,3425885,439127,1008688,341738,654322,806207,874653,522400,469481,673653,802062,1205313,1955404,1737091
49,Short-Term Debt,- -,1900000,200000,- -,- -,- -,- -,2200000,1900000,3700000,4400000,2700000,- -,4800000,5200000,3907206,3035744,675891,178508,1044745,223946,220559,647886,3011464,2912233,2699294,2101927,1165177,4578964,3853003,5282318,5092051,2683760,3732989,2663931,2454509,4173992
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422205,594816,350996,821300,- -,- -,- -,- -,3100,6400,6400,1100,5500
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338484,- -,165226,191793,253484,293492,648536,330646,194294,474451,559270
52,Other Current Liabilities,- -,2100000,2800000,5100000,2500000,4300000,5300000,2200000,1500000,1700000,1000000,1400000,- -,1200000,1100000,1114532,698755,880728,755673,931770,1305818,1851863,1523109,2205284,1491748,2458373,1788324,4139506,1718475,1584328,1279913,1201482,1043807,899684,1139226,1280412,1216464
53,Total Current Liabilities,- -,4000000,3000000,5100000,3800000,5500000,7000000,5400000,5800000,8100000,7300000,4600000,- -,7900000,8400000,6308381,4718551,2080111,1018055,2513444,2060486,2717243,3547658,8642633,4843108,6166355,4570473,5959005,7268872,6503777,7338115,7056506,5049756,5765381,5202764,6164776,7686817
54,Long-Term Debt,- -,600000,400000,- -,- -,- -,- -,- -,2100000,1600000,1000000,1400000,- -,2200000,400000,344609,272333,520830,174766,1788242,2558273,3852372,6069657,6083159,5796223,6452750,5743159,7300957,6251959,5949329,4626667,1387118,2748677,2523018,2350592,2731492,2812784
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,100000,100000,200000,200000,200000,200000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,205998,490000,613000,568000,810904,897492,952645,1141580,846960,737519,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,200000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,187204,1971848,144766,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585168,590366,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,800000,500000,100000,100000,100000,100000,100000,2300000,1800000,1200000,1600000,- -,2300000,500000,344609,272333,708034,2146614,1933008,2558273,3852372,6275655,6573159,6409223,7020750,6554063,8198449,7204604,7090909,5473627,2709805,3339043,2523018,2350592,2731492,2812784
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18342,177317
61,Total Liabilities,- -,4800000,3500000,5200000,3900000,5600000,7100000,5500000,8100000,9900000,8500000,6200000,- -,10200000,8900000,6652990,4990884,2788145,3164669,4446452,4618759,6569615,9823313,15215792,11252331,13187105,11124536,14157454,14473476,13594686,12811742,9766311,8388799,8288399,7553356,8896268,10499601
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13408,13408,19382,19382,19382,19632,19782,19842,39864,39904,40084,40259,40351,40466,40486,40611,41091,41587,42250,43211,44700,45835
64,Retained Earnings,- -,300000,2300000,3700000,5300000,6000000,6900000,6700000,7000000,7700000,6600000,5800000,- -,6100000,5500000,3291782,909881,1478984,3142832,4545105,5424263,6259144,8295013,9885399,10408228,11221705,12229049,14490551,15637272,16572519,15812245,14990911,13353830,9966928,8547342,6443856,6656487
65,Other Comprehensive Income/Loss,- -,-3900000,-4000000,-4100000,-4300000,-4600000,-5000000,-5300000,-5700000,-5700000,-6200000,-6800000,- -,-7600000,-8100000,-8569234,-9499347,-9751260,-10030222,-10292460,-10372818,-10175289,-10471253,-10993426,-11589544,-12245429,-13047091,-13514955,-14147653,-14838415,-13696044,-302232,-257010,- -,-13639706,- -,- -
66,Other Total Stockholders Equity,- -,6500000,6600000,6700000,6900000,3800000,4300000,4900000,5500000,5400000,6000000,6700000,- -,8300000,8800000,9318457,10340275,11386214,11665176,11927414,12092605,11940986,12299680,13078775,13808830,14574097,15508324,16055275,16764060,17477066,16363054,2746509,2852627,3027897,16842735,3418189,3652125
67,Total Stockholders Equity,- -,2900000,4900000,6300000,7900000,5200000,6200000,6300000,6800000,7400000,6400000,5700000,- -,6800000,6200000,4054413,1764217,3133320,4797168,6199441,7163682,8044623,10143282,12010612,12667418,13590457,14730541,17071222,18294145,19251656,18519866,17476279,15991034,13037075,11793582,9906745,10354447
68,Total Liabilities And Stockholders Equity,- -,7700000,8400000,11500000,11800000,10800000,13300000,11800000,14900000,17300000,14900000,11900000,- -,17000000,15100000,10707403,6755101,5921465,7961837,10645893,11782441,14614238,19966595,27226404,23919749,26777562,25855077,31228676,32767621,32846342,31331608,27242590,24379833,21325474,19346938,18803013,20854048
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,7700000,8400000,11500000,11800000,10800000,13300000,11800000,14900000,17300000,14900000,11900000,- -,17000000,15100000,10707403,6755101,5921465,7961837,10645893,11782441,14614238,19966595,27226404,23919749,26777562,25855077,31228676,32767621,32846342,31331608,27242590,24379833,21325474,19346938,18803013,20854048
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7623/000114420409011196/0001144204-09-011196-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000114420410009394/0001144204-10-009394-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774911001008/0001437749-11-001008-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774912001749/0001437749-12-001749-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774913001999/0001437749-13-001999-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774914002836/0001437749-14-002836-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774915001434/0001437749-15-001434-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774916024657/0001437749-16-024657-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774917001528/0001437749-17-001528-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774918001906/0001437749-18-001906-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774919001882/0001437749-19-001882-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774920001888/0001437749-20-001888-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774921002312/0001437749-21-002312-index.htm,https://www.sec.gov/Archives/edgar/data/7623/000143774922003662/0001437749-22-003662-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1900000,1200000,1300000,100000,400000,600000,-1100000,-800000,500000,-300000,-600000,-2165986,-2381901,569103,1663848,1402273,977317,933540,2233681,1829567,762250,1053497,1248895,2665087,1551376,935247,-557842,-821334,-1637081,-3386902,-1419586,-2103486,212631
74,Depreciation and Amortization,- -,- -,- -,- -,200000,300000,400000,400000,500000,600000,600000,600000,300000,500000,600000,517462,453603,251913,278962,311314,268616,303754,445566,594673,656118,715885,780169,852910,704457,906702,929180,671967,702349,960606,1003541,818234,613409
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,550557,62900,- -,-818000,-507000,461000,92000,204443,277557,21000,16000,- -,-41721,-111138,157089,-180919,-29939,-572175,-531026,-353626,-881638,45800
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198452,118537,28322,58311,34519,29812,14504,28484,79979,113039,197243,195416,247645,265541
77,Change in Working Capital,- -,- -,- -,- -,-600000,800000,1300000,-2800000,900000,- -,2200000,-300000,300000,1200000,-2700000,-1197705,-1350138,1308127,2287499,884780,1988508,1080386,1735509,876763,769251,-119279,361381,2041675,-1684257,1079684,-937980,-2058791,-1182398,-3003238,-175311,-2067892,-1470662
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163545,768827,-185961,483250,-739984,-229412,33529,908700,458542,-499795,380379,-140687,-738879,-259439
79,Inventory,- -,- -,- -,- -,-400000,200000,-1700000,500000,-100000,-2500000,1800000,1200000,-300000,-600000,300000,1890488,2494316,682792,327424,-2827698,204736,1119386,-1263651,-6536121,3244489,127420,546711,-130617,769641,-166755,-609804,1655084,1562630,900854,1478595,459804,-809070
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2056897,-2986758,569561,-666950,312584,151885,68447,-352253,-26386,203795,128409,403251,750091,-218313
81,Other Working Capital,- -,- -,- -,- -,3800000,4600000,5900000,3100000,4000000,4000000,6200000,5900000,5000000,6200000,3500000,2302295,952157,2260284,4547783,5432563,7421071,8501457,10236966,11113729,11882980,11763701,12125082,14166757,12482500,13562184,12624204,10565413,9383015,6379777,6204466,4136574,-36439
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1000000,-2900000,200000,-2700000,-1500000,-1700000,1700000,-1300000,-2700000,4400000,3473500,4160245,-604572,-2902014,-2897349,-1198690,-782717,-4475592,-5550823,-779460,1899087,-80670,-548199,-492594,-1151421,1004112,4539894,3323665,4644705,1557319,3130823,-652573
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1500000,3300000,100000,-2100000,-900000,-300000,- -,1200000,-200000,-1300000,1700000,1177828,944709,1524571,510295,-805982,2496751,1626963,143607,-1773811,1547696,3593512,2368086,5004271,-2344,1941805,285035,2381776,747399,-1118612,807753,-856314,-985854
84,CAPEX,- -,- -,- -,- -,-500000,-400000,-500000,-500000,-1000000,-1100000,-200000,- -,-200000,-500000,-300000,- -,-58534,-142232,-217513,-563116,-378420,-974716,-2982645,-1892515,-379737,-2043284,-859324,-799598,-842124,-633078,-292543,-274089,-513614,-434505,-447025,-693414,-620284
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-844284,-1137606,-2337745,- -,- -,-1586060,- -,-3003565,-3483151,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
