,https://roic.ai/company/VERB,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,- -,-1.95,-1.95,-1.65,-0.75,-1.05,-1.23,-0.79,-0.80,-0.96
26,EPS Diluted,- -,-1.95,-1.95,-1.65,-0.75,-1.05,-1.23,-0.79,-0.80,-0.96
27,Weighted Average Shares Outstanding,- -,2400012,2738643,4180545,5306837,7076575,9870890,20186249,36012395,36012395
28,Weighted Average Shares Outstanding Diluted,- -,2400012,2738643,4180545,5306837,7076575,9870890,20186249,36012395,36012395
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1566610/000116552714000122/g7290.htm,https://www.sec.gov/Archives/edgar/data/1566610/000155724015000213/dec3114-bbth_10k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315216008379/0001493152-16-008379-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315217003155/0001493152-17-003155-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315218004470/0001493152-18-004470-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315219001508/0001493152-19-001508-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315220008807/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315221007445/0001493152-21-007445-index.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315222008470/0001493152-22-008470-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,22971,1172117,103019,16762,10560,634000,983000,1815000,937000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,22971,1172117,103019,16762,10560,634000,983000,1815000,937000
34,Net Receivables,- -,7757,861435,- -,8468,- -,1000,1271000,919000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,103000,34000,28000
36,Other Current Assets,- -,12000,69739,65922,10871,40909,83000,236000,900000,2229000
37,Total Current Assets,- -,42728,2103291,168941,36101,51469,718000,2593000,3668000,3194000
38,PP&E,- -,- -,123807,70873,52066,30554,11000,3995000,- -,2177000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,16337000,- -,19764000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,5365000,5153000,3953000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,21702000,5153000,23717000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,199428,- -,16036,8780,169000,69000,- -,5343000
45,Total Non-Current Assets,- -,- -,323235,70873,68102,39334,180000,25766000,5153000,31237000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,42728,2426526,239814,104203,90803,898000,28359000,8821000,34431000
48,Accounts Payable,- -,- -,311958,- -,431650,663506,1148000,4338000,5097000,3751000
49,Short-Term Debt,- -,- -,100000,725000,2822611,3110300,930000,1235000,1673000,40000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,306000,- -,- -
52,Other Current Liabilities,- -,6324,- -,506012,318165,2106034,2810000,5337000,10105000,14144000
53,Total Current Liabilities,- -,6324,411958,1231012,3572426,5879840,4888000,11216000,16875000,17935000
54,Long-Term Debt,- -,- -,- -,1351192,- -,- -,1065000,1065000,2943000,2449000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,4633000,- -,725000
58,Total Non-Current Liabilities,- -,- -,- -,1351192,- -,- -,1065000,5698000,2943000,3174000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7865000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,3982000,3539000,- -
61,Total Liabilities,- -,6324,411958,2582204,3572426,5879840,5953000,16914000,21797000,21109000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,95,583,6060,6386,9465,11912,1000,2000,5000,7000
64,Retained Earnings,-950,-19194,-10044067,-16999295,-21273400,-28539953,-40667000,-56585000,- -,-116027000
65,Other Comprehensive Income/Loss,- -,-102,-16316,-34192,-55493,-77006,-97000,-513000,- -,- -
66,Other Total Stockholders Equity,- -,-77260,12068891,14684711,17851205,22816010,35708000,68541000,10740000,116020000
67,Total Stockholders Equity,- -,-95973,2014568,-2342390,-3468223,-5789037,-5055000,11445000,10745000,13322000
68,Total Liabilities And Stockholders Equity,- -,-89649,2426526,239814,104203,90803,898000,28359000,32542000,34431000
69,Minority Interest,- -,132377,- -,- -,- -,- -,- -,- -,-23721000,- -
70,Total Liabilities & Equity,- -,42728,2426526,239814,104203,90803,898000,28359000,8821000,34431000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1566610/000116552714000122/g7290.htm,https://www.sec.gov/Archives/edgar/data/1566610/000155724015000213/dec3114-bbth_10k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315216008379/0001493152-16-008379-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315217003155/0001493152-17-003155-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315218004470/0001493152-18-004470-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315219001508/0001493152-19-001508-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315220008807/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315221007445/0001493152-21-007445-index.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315222008470/0001493152-22-008470-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-18244,-5179241,-6955228,-4274105,-7266553,-12127000,-15918000,-24956000,-34486000
74,Depreciation and Amortization,- -,- -,14668,362626,21301,21512,20000,1391000,2055000,3014000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,834606,1623398,1301402,2533245,- -,- -,- -,5668000
77,Change in Working Capital,- -,-13433,1654929,-2753404,-2474254,-2292046,1658371,-4453000,-4584000,-1534000
78,Accounts Receivable,- -,-7757,- -,- -,-8417,8468,-1000,-380000,440000,-763000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,127000,20000,-51000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,36404,1691333,-1062071,-3536325,-5828371,-4170000,-8623000,-13207000,-14741000
82,Other Non-Cash Items,- -,-102,-1053850,4856197,3821643,5327105,6291629,10862000,11191000,1476000
83,Cash Provided by Operating Activities,- -,-31779,-3728888,-2866411,-1604013,-1676737,-4157000,-8118000,-16294000,-25862000
84,CAPEX,- -,- -,-110778,-62029,-2494,- -,- -,-146000,-317000,-2253000
85,Acquisitions Net,- -,- -,- -,-43900,- -,- -,- -,-14443000,229000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-199428,- -,- -,- -,- -,- -,- -,-2258000
89,Cash Used for Investing Activites,- -,- -,-310206,-105929,-2494,- -,- -,-14589000,-88000,-2263000
90,Debt Repayment,- -,- -,- -,-100000,-10000,- -,-845000,-2713000,-1985000,-15000
91,Common Stock Issued,- -,54750,4500000,- -,1357804,796000,2979000,18525000,16781000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-543465,-20000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,586987,2003242,172446,1418000,2666000,7244000,2418000,27262000
95,Cash Used/Provided by Financing Activities,- -,54750,5086987,1903242,1520250,1670535,4780000,23056000,17214000,27247000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,54750,1047893,-1069098,-86257,-6202,623000,349000,832000,-878000
98,Cash at the End of Period,- -,22971,1172117,103019,16762,10560,634000,983000,1815000,937000
99,Cash at the Beginning of Period,- -,- -,124224,1172117,103019,16762,11000,634000,983000,1815000
100,Free Cash Flow,- -,-31779,-3839666,-2928440,-1606507,-1676737,-4157000,-8264000,-16611000,-28115000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1566610/000116552714000122/g7290.htm,https://www.sec.gov/Archives/edgar/data/1566610/000155724015000213/dec3114-bbth_10k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315216008379/0001493152-16-008379-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315217003155/0001493152-17-003155-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315218004470/0001493152-18-004470-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315219001508/0001493152-19-001508-index.html,https://www.sec.gov/Archives/edgar/data/1566610/000149315220008807/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315221007445/0001493152-21-007445-index.htm,https://www.sec.gov/Archives/edgar/data/1566610/000149315222008470/0001493152-22-008470-index.htm
102,false,,,,,,,,,,
