,https://roic.ai/company/CVVUF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1023109/000102310903000012/0001023109-03-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105000777/0001137171-05-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105001452/0001137171-05-001452-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717106001821/0001137171-06-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717107001174/0001137171-07-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717108000992/0001137171-08-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717109000806/0001137171-09-000806-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717110000489/0001137171-10-000489-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717111000454/0001137171-11-000454-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717112000303/0001137171-12-000303-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717113000279/0001137171-13-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717114000201/0001137171-14-000201-index.htm,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-3267300,-1057328,-558663,-712481,-1912218,-328159,-1828759,-2729886,-2716000,-2976000,-2138000,-6869000,-2360000,-708000,801000,-1642000,-2116000,-1145000,-1793000,-4130000,-3766000
74,Depreciation and Amortization,- -,- -,28133,21138,16049,16883,23471,36242,75260,188197,232000,211000,178000,136000,108000,80000,62000,48000,32000,10000,8000,10000,18000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-534300,-1435610,-374823,-840801,-1107000,-461000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1509000,1052000,719000,319000,176000,125000,140000,13000,527000,147000,391000,229000,1766000
77,Change in Working Capital,- -,- -,64054,-65946,28061,26727,-77011,-624626,-2495934,-523879,-300000,152000,1561000,-489000,-1460000,189000,-262000,22000,72000,1000,-94000,6000,-11000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1425000,- -,- -,-670000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,64054,-65946,28061,26727,-77011,-624626,-2495934,-523879,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,2679842,635358,107709,147576,1268999,550068,1374060,1769882,760000,567000,-33000,373000,340000,-302000,-1989000,659000,-54000,50000,-209000,-235000,-197000
83,Cash Provided by Operating Activities,- -,- -,-495271,-466778,-406844,-521295,-1231059,-1802085,-3250196,-2136487,-1622000,-1455000,336000,-6530000,-3196000,-616000,-1248000,-900000,-1539000,-937000,-1697000,-4120000,-2190000
84,CAPEX,- -,- -,-262485,-2478,-264506,-207766,-2052413,-7460458,-14075864,-15121655,-172000,-127000,-57000,-53000,-22000,-19000,-13000,-635000,-16000,-126000,-193000,-42000,-131000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-649978,-21500,- -,- -,-94329,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,30518,305837,179035,15492,- -,84370,57508,197599,4062000,2823000,103000,- -,- -,- -,- -,- -,- -,65000,39000,- -,95000
88,Other Investing Activites,- -,- -,- -,-166206,64822,41500,56582,139842,5254620,6977982,-12020000,-9803000,-7807000,24000,94000,415000,1762000,802000,367000,10000,247000,- -,46000
89,Cash Used for Investing Activites,- -,- -,-881945,115653,-20649,-150774,-2090160,-7236246,-8763736,-7946074,-8130000,-7107000,-7761000,-29000,72000,396000,1809000,167000,351000,-51000,93000,-42000,10000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,968593,167556,170000,2477941,4244764,12851180,15341703,7056122,3437000,5918000,3300000,1311000,- -,-1000,- -,- -,1036000,549000,1341000,4700000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-16462,-7330,-8186,-7350,- -,- -,- -,102000,5278000,5027000,6819000,- -,-5000,- -,- -,71000,406000,141000,437000,- -,7585000
95,Cash Used/Provided by Financing Activities,- -,- -,952131,160226,161814,2470591,4244764,12851180,15341703,7158122,8715000,10945000,10119000,1311000,-5000,-1000,- -,71000,1442000,690000,1778000,4700000,7585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-425085,-190899,-265679,1798522,923545,3812849,3327771,-2924439,-1037000,2383000,2694000,-5248000,-3129000,-221000,561000,-662000,254000,-298000,174000,538000,5405000
98,Cash at the End of Period,- -,- -,669933,479034,213355,2011877,2935422,6748271,10076042,7151603,6339000,8722000,11416000,4394000,1265000,1044000,1605000,943000,1197000,899000,1073000,1611000,7016000
99,Cash at the Beginning of Period,- -,- -,1095018,669933,479034,213355,2011877,2935422,6748271,10076042,7376000,6339000,8722000,9642000,4394000,1265000,1044000,1605000,943000,1197000,899000,1073000,1611000
100,Free Cash Flow,- -,- -,-757756,-469256,-671350,-729061,-3283472,-9262543,-17326060,-17258142,-1794000,-1582000,279000,-6583000,-3218000,-635000,-1261000,-1535000,-1555000,-1063000,-1890000,-4162000,-2321000
101,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1023109/999999999702056375/9999999997-02-056375-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000102310903000012/0001023109-03-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105000777/0001137171-05-000777-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717105001452/0001137171-05-001452-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717106001821/0001137171-06-001821-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717107001174/0001137171-07-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717108000992/0001137171-08-000992-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717109000806/0001137171-09-000806-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717110000489/0001137171-10-000489-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717111000454/0001137171-11-000454-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717112000303/0001137171-12-000303-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717113000279/0001137171-13-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1023109/000113717114000201/0001137171-14-000201-index.htm,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.6865,0.6752,0.6513,0.6378,0.6976,0.7298,0.7945,0.8952,0.9014,0.9929,0.8377,0.9828,1.0583,1.0129,0.9925,0.912,0.828,0.7965,0.7324,0.7785,0.747,0.7169,0.8135
