,https://roic.ai/company/ICD,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,5904000,10186000,16181000,21151000,23808000,25844000,30891000,45367000,43919000,- -
75,Deferred Income Tax,-5401000,-2043000,-3742000,193000,203000,287000,91000,-122000,-147000,- -
76,Stock Based Compensation,1883000,1751000,3143000,3542000,4182000,3565000,4829000,1871000,1979000,- -
77,Change in Working Capital,-2376000,-27696000,-694000,3618000,-948000,2165000,27686000,-31268000,-3172000,-10988000
78,Accounts Receivable,-5638000,-3802000,-10161000,755000,6772000,-6588000,-1022000,5695000,26026000,- -
79,Inventory,-889000,-240000,-1356000,-263000,55000,-301000,250000,-349000,117000,- -
80,Accounts Payable,3402000,6978000,-985000,4339000,-2881000,1612000,5010000,-7190000,- -,- -
81,Other Working Capital,35319000,7623000,6929000,10547000,9599000,11764000,39450000,8182000,5010000,-5978000
82,Other Non-Cash Items,-3399000,25796000,17089000,6755000,11906000,-2630000,-27369000,72861000,54346000,68121000
83,Cash Provided by Operating Activities,-8337000,5997000,3809000,27379000,16973000,4933000,16135000,27921000,287000,-9579000
84,CAPEX,-66864000,-59689000,-115388000,-75532000,-21106000,-31347000,-37550000,-38320000,-14229000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,10743000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,17121000,416000,2702000,3313000,1048000,1253000,1560000,9951000,5252000,-14378000
89,Cash Used for Investing Activites,-49743000,-59273000,-112686000,-72219000,-20058000,-30094000,-25247000,-28369000,-8977000,-14378000
90,Debt Repayment,-2125000,-17206000,-134942000,-100421000,-86530000,-22261000,-160855000,-10057000,-15378000,- -
91,Common Stock Issued,98358000,- -,116458000,- -,42920000,- -,- -,- -,10978000,- -
92,Common Stock Repurchased,-747000,- -,-225000,-315000,-409000,-174000,-1180000,-809000,-66000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,35805000,135613000,140163000,48831000,43058000,180861000,4273000,20229000,15818000
95,Cash Used/Provided by Financing Activities,95486000,18599000,116904000,39427000,4812000,20623000,18826000,-6593000,15763000,15818000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,37406000,-34677000,8027000,-5413000,1727000,-4538000,9714000,-7041000,7073000,-8139000
98,Cash at the End of Period,37407000,2730000,10757000,5344000,7071000,2533000,12247000,5206000,12279000,- -
99,Cash at the Beginning of Period,1000,37407000,2730000,10757000,5344000,7071000,2533000,12247000,5206000,12279000
100,Free Cash Flow,-75201000,-53692000,-111579000,-48153000,-4133000,-26414000,-21415000,-10399000,-13942000,-9579000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1537028/000153702815000002/icd-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702816000018/0001537028-16-000018-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702817000064/0001537028-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702818000029/0001537028-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702819000025/0001537028-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702820000057/0001537028-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/1537028/000153702821000041/0001537028-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1537028/000153702822000007/0001537028-22-000007-index.htm
102,false,,,,,,,,,,
