,https://roic.ai/company/UEPS,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041514/000106299304000509/0001062993-04-000509-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299304001625/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299305002172/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299306002636/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299307003385/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299308003856/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299309003090/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299310002813/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299311003461/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299312003216/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299313004373/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299314005255/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299315004727/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299316011301/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299317003937/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299318003721/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299319004031/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299320004444/0001062993-20-004444-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000156276221000349/0001562762-21-000349-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,11457000,80300000,107700000,189700000,171700000,272500000,220800000,153700000,95300000,39100000,53700000,58700000,117583000,223644000,258457000,87075000,46065000,217671000,198572000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65836000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,11457000,80300000,107700000,189700000,171700000,272500000,220800000,153700000,95300000,39100000,53700000,58700000,117583000,223644000,258457000,87075000,46065000,283507000,198572000
34,Net Receivables,- -,- -,- -,- -,- -,91703000,- -,27500000,34600000,45200000,62400000,61000000,50000000,52700000,95500000,119700000,113900000,206000000,164014000,146394000,193928000,157876000,103125000,58947000,47725000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,1100000,1900000,1900000,5600000,6100000,7300000,3600000,6700000,10800000,12200000,10800000,12979000,10004000,8020000,10361000,7535000,19860000,22361000
36,Other Current Assets,- -,- -,- -,- -,- -,20054000,- -,8500000,6500000,3900000,8300000,6100000,12200000,100100000,202600000,414800000,757400000,733400000,699740000,543681000,645785000,171529000,138925000,-43008000,25659000
37,Total Current Assets,- -,- -,- -,- -,- -,111757000,11457000,117400000,150700000,240700000,248000000,345700000,290300000,310100000,400100000,584400000,937200000,1008900000,994316000,923723000,1106190000,426841000,295650000,319306000,294317000
38,PP&E,- -,- -,- -,- -,- -,9000,- -,7600000,6200000,3800000,7600000,6300000,7400000,7300000,35800000,52600000,48300000,47800000,52320000,54977000,39411000,25737000,18554000,12051000,12011000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,15200000,14600000,13900000,85900000,76900000,116200000,76300000,209600000,182700000,175800000,186600000,166437000,179478000,188833000,169079000,149387000,24169000,29153000
40,Intangible Assets,- -,- -,- -,- -,- -,2273000,1327000,10400000,7900000,5600000,31600000,22200000,75900000,68300000,119900000,93900000,77300000,68500000,47124000,48556000,38764000,27129000,11889000,612000,357000
41,Intangible Assets,- -,- -,- -,- -,- -,2273000,1327000,25600000,22500000,19500000,117500000,99100000,192100000,144600000,329500000,276600000,253100000,255100000,213561000,228034000,227597000,196208000,161276000,24781000,29510000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9730000,10021000,1860000,1508000,1183000,878000,14329000,25645000,54806000,299201000,178728000,93319000,86682000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,9000000,10400000,17800000,36200000,33500000,41700000,38900000,52800000,21000000,18700000,15500000,10564000,12559000,11139000,16067000,4682000,1859000,622000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-7000000,-8000000,-11800000,-33200000,-30500000,-41730000,-38821000,-38460000,19792000,17817000,22722000,31866000,18562000,11613000,253260000,14046000,2362000,5188000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,2282000,1327000,35200000,31100000,29300000,128100000,108400000,209200000,162000000,381500000,371500000,339100000,342000000,322640000,339777000,344566000,790473000,377286000,134372000,134013000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,114039000,12784000,152600000,181800000,270000000,376100000,454100000,499500000,472100000,781600000,955900000,1276300000,1350900000,1316956000,1263500000,1450756000,1217314000,672936000,453678000,428330000
48,Accounts Payable,- -,- -,- -,- -,- -,337503000,488321000,23700000,2300000,2100000,5900000,4900000,5500000,3600000,11400000,13200000,26600000,17100000,21453000,14097000,15136000,21106000,17005000,6287000,7113000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,19000,- -,20000,16000,- -,- -,- -,15062000,14019000,14209000,14789000,8863000,8675000,25317000,44695000,84990000,17065000,17067000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10874000,3476000,6709000,6019000,4835000,11153000,9614000,10257000,11004000,11888000,9457000,16286000,691000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2549000,3354000,3237000,7028000,5597000,12282000,16330000,15882000,5591000,4938000,7451000,7298000,6956000,5330000,6312000,2151000,358000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,10803000,40599000,21532000,28746000,37743000,41756000,66003000,60018000,121670000,248756000,449690000,783553000,768460000,737026000,572483000,675531000,210420000,134000000,47593000,28310000
53,Total Current Liabilities,- -,- -,- -,- -,- -,348306000,528920000,47800000,34400000,43100000,54700000,76500000,77800000,141600000,291100000,482500000,829300000,807800000,774640000,602211000,721314000,282533000,238146000,71303000,52490000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,3800000,4200000,4300000,111800000,79800000,66600000,62400000,50762000,43134000,7501000,5469000,- -,- -,1890000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52785000,20988000,18727000,15522000,10564000,12559000,11139000,46606000,4682000,1859000,10415000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9200000,10400000,17900000,36200000,33400000,44300000,40300000,2915000,29112000,25073000,23478000,2863000,112549000,113233000,241720000,110679000,90303000,2576000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9200000,10400000,17900000,40300000,37200000,48500000,44600000,167500000,129900000,110400000,101400000,64189000,168242000,131873000,293795000,115361000,92162000,14881000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5563000,4712000
61,Total Liabilities,- -,- -,- -,- -,- -,114039000,12784000,57000000,44800000,61000000,95000000,113700000,126300000,186200000,458600000,612400000,939700000,909200000,838829000,770453000,853187000,576328000,353507000,163465000,67371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,231000,58000,16000,12000,11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,64000,74000,80000,80000,80000,80000,85059000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,8500000,57600000,116900000,180600000,266800000,353400000,392300000,395000000,439600000,452600000,522700000,617868000,700322000,773276000,836194000,528576000,444670000,406613000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,15039000,7314000,-9763000,-3915000,-37820000,-58472000,-66396000,-33779000,-75722000,-100858000,-82741000,-139181000,-189700000,-162569000,-159237000,-199273000,-169075000,-145721000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,57100000,72400000,101757000,104276000,111237000,78189000,-40126000,-38315000,-22463000,-15176000,1712000,-624000,90023000,94454000,73154000,97718000,99517000,15008000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,-234267,-516136,95588000,137002000,209010000,281073000,340328000,373217000,285878000,323006000,341515000,336666000,441771000,478127000,600719000,705241000,750191000,427101000,375192000,360959000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,113804733,12267864,152588000,181802000,270010000,376073000,454028000,499517000,472078000,781606000,953915000,1276366000,1350971000,1316956000,1371172000,1558428000,1326519000,780608000,538657000,428330000
69,Minority Interest,- -,- -,- -,- -,- -,234267,516136,12000,-2000,-10000,27000,72000,-17000,22000,-6000,1985000,-66000,-71000,- -,-107672000,-107672000,-109205000,-107672000,-84979000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,114039000,12784000,152600000,181800000,270000000,376100000,454100000,499500000,472100000,781600000,955900000,1276300000,1350900000,1316956000,1263500000,1450756000,1217314000,672936000,453678000,428330000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1041514/000106299304000509/0001062993-04-000509-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299304001625/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299305002172/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299306002636/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299307003385/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299308003856/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299309003090/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299310002813/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299311003461/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299312003216/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299313004373/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299314005255/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299315004727/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299316011301/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299317003937/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299318003721/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299319004031/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299320004444/0001062993-20-004444-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000156276221000349/0001562762-21-000349-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-267161,-336210,-677595,-166942,-281869000,13300000,44600000,59200000,63700000,86700000,86600000,39000000,2600000,44700000,13000000,70100000,94735000,82454000,72954000,61855000,-306607000,-78358000,-38057000
74,Depreciation and Amortization,- -,- -,1450,2015,2396,1331,955,5676000,6591000,5710000,11050000,10822000,17082000,19348000,34671000,36499000,40599000,40286000,40685000,40394000,41378000,35484000,37349000,13299000,4347000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1232000,5954000,9126000,1802000,1979000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5026000,5670000,1720000,2775000,3907000,3718000,3195000,3598000,1982000,2607000,393000,1728000,344000
77,Change in Working Capital,- -,- -,-92124,- -,- -,- -,-576263000,587063000,46700000,81300000,-4300000,75900000,-56700000,-44000000,-59500000,-7100000,6000000,93200000,18576000,101836000,63364000,-240568000,-86804000,190499000,-6176000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3568000,- -,- -,- -,- -,- -,- -,- -,11663000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-44000,-979000,-109000,-2203000,-1138000,-81000,3867000,289000,-717000,-2890000,780000,-3846000,1001000,3025000,-2521000,4042000,-19328000,1279000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8788000,-27138000,-1041000,-18496000,8113000,12671000,-850000,-7840000,-6461000,10595000,-14538000,-139000,-335000
81,Other Working Capital,- -,- -,- -,- -,- -,-236549000,-517463000,69600000,116300000,197600000,193300000,269200000,212500000,168500000,109000000,101900000,107900000,201100000,219676000,321512000,384876000,144308000,57504000,248003000,241827000
82,Other Non-Cash Items,- -,- -,- -,52173,-57125,128376,857994646,-562912000,-65703000,-79559000,-6786000,-56641000,54760000,48665000,86732000,-56468000,-7589000,-170159000,-21933000,-111730000,-82517000,273227000,351209000,-173213000,-18829000
83,Cash Provided by Operating Activities,- -,- -,-357835,-282022,-732324,-37235,-136399,41895000,38142000,75777000,65466000,118760000,106768000,68683000,66223000,20406000,55917000,37145000,135258000,116552000,97161000,132605000,-4460000,-46045000,-58371000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-2802000,-3436000,-1821000,-3745000,-3563000,-4770000,-2730000,-15053000,-39167000,-22747000,-23906000,-36436000,-35797000,-11195000,-9649000,-10800000,-5938000,-4285000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-2052000,- -,-4020000,-92403000,- -,-99823000,-10319000,-375000,-6154000,-2143000,-483000,1895000,-15767000,-4651000,-6202000,-2114000,234695000,44692000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3422000,- -,- -,-3268000,- -,- -,- -,-8900000,-37879000,-293338000,-4045000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2301000,- -,- -,- -,- -,2321000,- -,- -,- -,- -,- -,- -,284000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-867000,39000,336000,2307000,-340000,-4611000,-79867000,-323310000,-285438000,-445673000,-21157000,-61378000,18911000,-71541000,479988000,70351000,-11578000,3083000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-5721000,-3397000,-5505000,-91540000,-3903000,-107856000,-90186000,-323685000,-292539000,-447816000,-21640000,-59483000,-5756000,-114071000,180448000,64476000,223117000,47775000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-113950000,-137000,-7167000,- -,-14508000,-110343000,-14128000,-8716000,-37318000,-139987000,-778326000,-762507000,-365440000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,53678000,- -,33661000,909000,2845000,271000,720000,- -,- -,240000,198000,2045000,111444000,47879000,- -,- -,- -,53000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3958000,-1000000,- -,-39412000,-126304000,-1023000,-1129000,- -,- -,-9151000,-26637000,-45794000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-77755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1000000,- -,- -,127802,17000,-19000,20000,3316000,19000,112843000,77243000,191459000,233036000,423984000,96767000,16718000,-62446000,75702000,-333492000,753612000,713669000,352306000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1000000,- -,- -,127802,-24060000,-19000,29723000,3225000,2864000,-40248000,-48478000,183269000,231907000,409716000,-13378000,-4516000,13645000,40469000,-473479000,-24714000,-48838000,-13081000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,13855000,-7259000,-18009000,4841000,-16973000,-10353000,2937000,15714000,-15914000,-3275000,2880000,-12348000,-18380000,11254000,-7977000,-3845000,-17260000,14957000
97,Net Change In Cash,- -,- -,-357835,717978,-732324,-37235,-8597,25969000,27467000,81986000,-18008000,100748000,-51689000,-67044000,-58479000,-56140000,14542000,5007000,58911000,106061000,34813000,-168403000,31457000,110974000,-8720000
98,Cash at the End of Period,- -,- -,71635,789613,57289,20054,11457,80282000,107749000,189735000,171727000,272475000,220786000,153742000,95263000,39123000,53665000,58672000,117583000,223644000,258457000,90054000,121511000,232485000,223765000
99,Cash at the Beginning of Period,- -,- -,429470,71635,789613,57289,20054,54313000,80282000,107749000,189735000,171727000,272475000,220786000,153742000,95263000,39123000,53665000,58672000,117583000,223644000,258457000,90054000,121511000,232485000
100,Free Cash Flow,- -,- -,-357835,-282022,-732324,-37235,-136399,39093000,34706000,73956000,61721000,115197000,101998000,65953000,51170000,-18761000,33170000,13239000,98822000,80755000,85966000,122956000,-15260000,-51983000,-62656000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1041514/000106299304000509/0001062993-04-000509-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299304001625/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299305002172/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299306002636/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299307003385/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299308003856/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299309003090/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299310002813/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299311003461/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299312003216/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299313004373/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299314005255/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299315004727/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299316011301/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299317003937/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299318003721/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299319004031/form10k.htm,https://www.sec.gov/Archives/edgar/data/1041514/000106299320004444/0001062993-20-004444-index.htm,https://www.sec.gov/Archives/edgar/data/1041514/000156276221000349/0001562762-21-000349-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
