,https://roic.ai/company/NOBH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12481711,10641748,14588332,14368183,12380874000,13696990000,8649724000,3995167,8225232000,6206218,7352480,10468453,14116412,16769292,24562638,27910504,28364861,22533965,30305902,36126059
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342550,777042,414526,440205000,544271000,168210000,3855905,2025812000,799297,320946,455232,496444,462578,481025,627087,537767,521283,4961267,2714943
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12481711,10984298,15365374,14782709,12821079000,14241261000,8817934000,7851072,10251044000,7005515,7673426,10923685,14612856,17231870,25043663,28537591,28902628,23055248,35267169,38841002
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1074481,2096128,1869449,250376,379370000,846868000,654529000,1939162,296536000,1176498,2850276,2701057,2141468,2948108,2641763,2934300,1783073,1351838,951881,735642
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6589076,6557659,6908557,9549486,12413704000,12696388000,12051361000,15679969,16569403000,6495570,5781880,5043816,5516540,7386679,6969081,7505681,7270550,10616778,9736614,10936369
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,976829,986730,789773,958312,1881516000,886747000,1169972000,641979,744812000,3514892,3666447,3168154,3647916,1481373,3214560,3085211,8119993,11803567,1014849,1821267
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21122097,20624815,24933153,25540883,27495669000,28671264000,22693796000,26112182,27861795000,18192475,19972029,21836712,25918780,29048030,37869067,42062783,46076244,46827431,46970513,52334280
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2948096,3136506,3265042,3791558,3911983000,3867279000,4342401000,- -,3989441000,3859818,3801552,3731463,3957071,- -,4063711,4304771,4763566,5005644,5858082,6849377
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298708,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298708,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8852265,6159829,3346714,3106970,2938273,2751663,2243729,1367496,1471029,1571166,1649273,1729364,1788436
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700,15050,- -,- -,- -,- -,- -,572099,- -,1032716,1237255,1339539,1487367,1210630,556773,609629,40156,80405,3598,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3403481,8928534,11478568,15724421,- -,- -,- -,6536129,-6159829,9561329,7553053,7304634,4813224,9938468,7057704,5700003,4563556,4858306,5263511,5212705
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6374277,12080090,15042318,19515979,3911983000,3867279000,4342401000,15960493,3989441000,17800577,15698830,15313909,13009325,13392827,13045684,12085432,10938444,11593628,12854555,13850518
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27496374,32704905,39975471,45056862,31407652000,32538543000,27036197000,42072675,31851236000,35993052,35670859,37150621,38928105,42440857,50914751,54148215,57014688,58421059,59825068,66184798
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1178395,1484997,1494163,1390218,879698000,642484000,186477000,91636,220635000,388429,404546,645519,502259,704467,835279,849782,1085095,1111216,928095,939964
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24192,1597
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134500000,- -,- -,- -,- -,159014,235490,215807,- -,759128,260416,579786,2016132,370694,89083
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228222000,404776000,298408000,410578,267566000,884284000,679745000,656461000,508633000,1323861,556773000,609629000,40156000,80405000,5098633,13671092
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2539087,4403590,6955051,6595030,4343968000,2479681000,975916000,303149,611690000,-882846243,-678767431,-655139554,-506757114,1316777,-552500564,-604819371,-33292908,-72561472,2054353,2158272
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3717482,5888587,8449214,7985248,5451888000,3526941000,1460801000,805363,1099891000,1826186,1382115,1966965,2378145,3345105,5107715,5659411,7948187,8954744,8105273,16770925
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805616000,738950000,355218000,- -,209787000,865887000,514520000,614368000,526296000,- -,1123698000,1127397000,1349381000,2055952000,778519,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152630,2152,- -,- -,- -,- -,- -,884284,679745,656461,508633,- -,1140529,1074507,40156,80405,- -,99568
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-865887000,-514520000,-614368000,-526296000,- -,-1123698000,-1127397000,-1349381000,-2055952000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152630,2152,805616000,738950000,355218000,- -,209787000,884284,679745,656461,508633,- -,1140529,1074507,40156,80405,778519,99568
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44663908000,- -,- -,40870125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,802711,1597
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3717482,5888587,8601844,7987400,5451888000,47451899000,1735801000,805363,41760229000,1826186,1382115,1966965,2378145,3345105,6248244,6733918,7948187,8954744,8883792,16870493
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536491,536491,536491,536491,- -,- -,- -,536491,536491000,536491,536491,536491,536491,536491,536491,536491,536491,536491,536491,536491
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22421883,25500362,29732071,35096462,40349250000,42389839000,41968423000,39897911,39102781000,32524828,32572678,33319784,34577682,37493077,43458271,46167528,50352546,55298750,57976051,59742759
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2093550,-2307759,-2556924,-2813185,169819000,234724000,175000,-3233266,89839000,77773,106090,240378,281590,-3655987,266171,412233,390407,389164,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2914068,3087224,3661989,4249694,1164067000,1300395000,1426663000,4066176,-39688450662,1027774,1073485,1087003,1154197,4722171,405574,298045,-2212943,-6758090,-7571266,-10964945
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23778892,26816318,31373627,37069462,41683136,43924958,43395261,41267312,40660338,34166866,34288744,35183656,36549960,39095752,44666507,47414297,49066501,49466315,50941276,49314305
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27496374,32704905,39975471,45056862,5493571136,47495823958,1779196261,42072675,41800889338,35993052,35670859,37150621,38928105,42440857,50914751,54148215,57014688,58421059,59825068,66184798
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25914080864,-14957280958,25257000739,- -,-9949653338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27496374,32704905,39975471,45056862,31407652000,32538543000,27036197000,42072675,31851236000,35993052,35670859,37150621,38928105,42440857,50914751,54148215,57014688,58421059,59825068,66184798
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72205/000089706907000214/0000897069-07-000214-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706908000207/0000897069-08-000207-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000089706909000168/0000897069-09-000168-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312510016839/0001193125-10-016839-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312511144992/0001193125-11-144992-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513138339/0001193125-13-138339-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312513284733/0001193125-13-284733-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312514023695/0001193125-14-023695-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312515023632/0001193125-15-023632-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312516441330/0001193125-16-441330-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312517021492/0001193125-17-021492-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312518020970/0001193125-18-020970-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312519023504/0001193125-19-023504-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312520020719/0001193125-20-020719-index.html,https://www.sec.gov/Archives/edgar/data/72205/000119312521022040/0001193125-21-022040-index.htm,https://www.sec.gov/Archives/edgar/data/72205/000119312522028179/0001193125-22-028179-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,500000,500000,-1400000,200000,1600000,1800000,2900000,2400000,3000000,3900000,2800000,2268103,2477913,3134902,3078479,4632809,6172217,6470405000,4081660000,1822156000,-1051843,-795130000,-5511475,49759,747106,1257898,2915395,5965194,3309983,4963632,8810420,5983698,5398808
74,Depreciation and Amortization,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,300000,216765,200458,236176,232377,288942,297114,452252,457774,305332,217075,168169,134982,116248,102968,95843,110169,98616,113757,148204,163077,216387,900091
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-500000,- -,- -,- -,- -,- -,-13400,116500,110800,130634,318438,291695,-35016,-265079,37820,-526220,-481357,- -,- -,-79000,- -,130177,2449579,-118878,-437540,-25008,83724,103166
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152770,151752,96547,43802,13518,8091,9287,6530,7218,1617,21004,9274,69750
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17404615,-2668387,1747711,1071696,22026225365,3100542000,-3911328000,-21207688181,26736597181,-26745537711,2223625,1279833,3670888,2162290,7058427,3642020,1724685,-255370,992553,-3301885
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-308503,- -,-879962,-1673778,149219,559589,-796454,296159,-292537,1151227,431235,561792,109818
79,Inventory,- -,- -,- -,- -,- -,100000,-400000,200000,100000,-600000,-2100000,-900000,-200000,-2200000,1200000,2112429,4285,1017835,31417,-350898,-2640929,-2864218,-282684,645027,-3628608,-889434,-2380319,2538015,1168066,1481068,-119126,-159099,302483,680521,-3078628,942155,-1099611
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94841,128999,167794,16117,240973,-143260,202208,130812,14503,235313,26121,-183121,11869
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17404615,14736228,16483939,17555635,22043781000,25144323000,21232995000,25306819,26761904000,16366289,18589914,19869747,23540635,25702925,32761352,36403372,38128057,37872687,38865240,35563355
82,Other Non-Cash Items,- -,- -,- -,- -,-600000,-200000,700000,-800000,600000,-1600000,-1900000,-500000,1700000,-2200000,-100000,1095151,181885,-18121409,3469494,442297,-3336451,-28495896857,-7179696563,2089794152,21203297440,-25940418201,26747255717,-1622625,1233354,-996999,-2561537,-8829648,-3188990,1893169,-4054828,-372217,10180930
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,400000,-600000,-500000,1900000,-200000,1100000,2000000,4900000,1900000,3000000,3566619,2976756,2765084,4242597,7430197,4496271,1150744,2698132,965304,-5598959,887544,-3561940,810809,3297779,4035721,2765781,6748698,3765110,8293767,4659295,6913419,13350860
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-200000,-200000,-200000,-1600000,-200000,-777940,-220684,-529437,-420787,-420253,-849655,-461261,-284779,-790192,-78825,-19274,-10879,-57982,-68859,-321451,-117976,-829002,-364698,-606999,-447413,-318215,-1891386
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,- -,- -,1510000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-700000,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3591860,-3490683,- -,- -,-6390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,-4080058,-20000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1400000,900000,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,500000,- -,910000,3250250,2245000,3555000,1650000,505000,- -,- -,- -,- -,- -,- -,- -,5574124,- -
