,https://roic.ai/company/WATT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,-21287,-5542368,-51145478,-78707180,-124524574,-173901449,-224741571,-263140660,-294972746,-336400039
65,Other Comprehensive Income/Loss,- -,-4717,-356487,-1174216,-2132052,-3436625,-4445042,-4027771,- -,- -
66,Other Total Stockholders Equity,9923,201885,82822401,109155911,155207647,189096579,247556783,286180972,344024638,383383550
67,Total Stockholders Equity,-11287,-5345092,31320563,29274676,28551223,11758730,18370435,19012874,49052506,46984278
68,Total Liabilities And Stockholders Equity,994,2365867,33828923,32675528,35258940,15405445,22010169,24883974,53139825,51371075
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,994,2365867,33828923,32675528,35258940,15405445,22010169,24883974,53139825,51371075
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575793/000114420415019501/0001144204-15-019501-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420416088198/0001144204-16-088198-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420417015126/0001144204-17-015126-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000119312518086072/0001193125-18-086072-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459019005041/0001564590-19-005041-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459020010876/0001564590-20-010876-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459021015121/0001564590-21-015121-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459022011415/0001564590-22-011415-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,-5521081,-45603110,-27561702,-45817394,-49376875,-50840122,-38399089,-31832086,-41427293
74,Depreciation and Amortization,- -,4717,371189,817729,957836,1309980,1054720,781228,356310,258249
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,16148,2547978,5951414,9508175,15802819,16753754,10646580,7897970,11931188
77,Change in Working Capital,- -,458224,35113578,-2208851,-1118956,-15900156,6893376,579548,30203099,-2048138
78,Accounts Receivable,- -,- -,- -,- -,-149500,149500,-44550,-53594,-34083,-218602
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,359163,1354973,608962,2382790,-2683073,-163305,-189866,-574680,109118
81,Other Working Capital,- -,-5629982,29483596,27274745,26155789,10255633,17149009,17728557,47931656,45883518
82,Other Non-Cash Items,- -,1611014,-8036058,2995676,3408092,13733934,-6388751,-229412,-31416838,2565605
83,Cash Provided by Operating Activities,- -,-3430978,-15606423,-20005734,-33062247,-34430298,-32527023,-26621145,-24791545,-28720389
84,CAPEX,- -,-199054,-1619694,-1032795,-1137446,-817448,-859819,-196199,-136631,-365735
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-4725,- -,- -,- -,2800,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-199054,-1619694,-1032795,-1137446,-814648,-859819,-196199,-136631,-365735
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,200681,46765929,19048456,34788311,14932547,38846815,27876849,53556202,14
92,Common Stock Repurchased,- -,-29553,- -,- -,-312680,- -,- -,-339366,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,5411690,1000,368045,1110135,1849016,1851258,857465,417546,27427863
95,Cash Used/Provided by Financing Activities,- -,5582818,46766929,19416501,35585766,16781563,40698073,28394948,53973748,27427877
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,1952786,29540812,-1622028,1386073,-18463383,7311231,1577604,29045572,-1658247
98,Cash at the End of Period,- -,1953780,31494592,29872564,31258637,12795254,20106485,21684089,50729661,49071414
99,Cash at the Beginning of Period,- -,994,1953780,31494592,29872564,31258637,12795254,20106485,21684089,50729661
100,Free Cash Flow,- -,-3630032,-17226117,-21038529,-34199693,-35247746,-33386842,-26817344,-24928176,-29086124
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1575793/000114420415019501/0001144204-15-019501-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420416088198/0001144204-16-088198-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000114420417015126/0001144204-17-015126-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000119312518086072/0001193125-18-086072-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459019005041/0001564590-19-005041-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459020010876/0001564590-20-010876-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459021015121/0001564590-21-015121-index.htm,https://www.sec.gov/Archives/edgar/data/1575793/000156459022011415/0001564590-22-011415-index.htm
102,false,,,,,,,,,,
