,https://roic.ai/company/PGRE,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1605607/000156459016013406/0001564590-16-013406-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459017002012/0001564590-17-002012-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459018002219/0001564590-18-002219-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459019002868/0001564590-19-002868-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459020004379/0001564590-20-004379-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459021005289/0001564590-21-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1605607/000156459022005934/0001564590-22-005934-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,304978000,307161000,438599000,143884000,162965000,219381000,339653000,306215000,434530000,524900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,304978000,307161000,438599000,143884000,162965000,219381000,339653000,306215000,434530000,524900000
34,Net Receivables,- -,9433000,13157000,7692000,10844000,15251000,17082000,20076000,56149000,347741000,348317000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15367000,10604000,55728000,41823000,376059000,31044000,25756000,25272000,30794000,4766000
37,Total Current Assets,- -,329778000,330922000,502019000,196551000,554275000,267507000,385485000,387636000,813065000,877983000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,669385000,511207000,412225000,352206000,270445000,208744000,153519000,119413000
41,Intangible Assets,- -,- -,- -,669385000,511207000,412225000,352206000,270445000,208744000,153519000,119413000
42,Investments,- -,1882138000,2205196000,349295000,499002000,112028000,116871000,147917000,459497000,425641000,419517000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,399811000,386573000,7509742000,7587383000,7788640000,8181077000,7952131000,7678258000,7161872000,7077649000
45,Total Non-Current Assets,- -,2281949000,2591769000,8528422000,8597592000,8312893000,8650154000,8370493000,8346499000,7741032000,7616579000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2611727000,2922691000,9030441000,8794143000,8867168000,8917661000,8755978000,8734135000,8554097000,8494562000
48,Accounts Payable,- -,3707000,11419000,93472000,102730000,103896000,117630000,124334000,117356000,101901000,116192000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,37168000,57140000,27299000,52366000,52450000,52510000,25902000,25255000,16796000,16895000
53,Total Current Liabilities,- -,40875000,68559000,120771000,155096000,156346000,170140000,150236000,142611000,118697000,133087000
54,Long-Term Debt,- -,517494000,499859000,2894482000,3007186000,3594898000,3541300000,3566917000,3820769000,3800739000,3835620000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,186893000,189594000,2861000,2533000,1467000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,128239000,139235000,457374000,318778000,228510000,184137000,147161000,139793000,118927000,70823000
58,Total Non-Current Liabilities,- -,832626000,828688000,3354717000,3328497000,3824875000,3725437000,3714078000,3960562000,3919666000,3906443000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,873501000,897247000,3475488000,3483593000,3981221000,3895577000,3864314000,4103173000,4038363000,4039530000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2122000,2122000,2300000,2403000,2329000,2274000,2188000,2190000
64,Retained Earnings,- -,- -,- -,57308000,-36120000,-129654000,-133693000,-219906000,-349557000,-456393000,-538845000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-8000000,- -,10000000,17000000,- -,-12791000,2138000
66,Other Total Stockholders Equity,- -,1738226000,2025444000,3851432000,3803015000,4117359000,4298031000,4201377000,4133013000,4120173000,- -
67,Total Stockholders Equity,- -,420495000,321769000,3910862000,3761017000,3990005000,4176741000,4000800000,3785730000,3653177000,3588163000
68,Total Liabilities And Stockholders Equity,- -,1293996000,1219016000,7386350000,7244610000,7971226000,8072318000,7865114000,7888903000,7691540000,7627693000
69,Minority Interest,- -,1317731000,1703675000,1644091000,1549533000,895942000,845343000,890864000,845232000,862557000,866869000
70,Total Liabilities & Equity,- -,2611727000,2922691000,9030441000,8794143000,8867168000,8917661000,8755978000,8734135000,8554097000,8494562000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1605607/000156459016013406/0001564590-16-013406-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459017002012/0001564590-17-002012-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459018002219/0001564590-18-002219-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459019002868/0001564590-19-002868-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459020004379/0001564590-20-004379-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459021005289/0001564590-21-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1605607/000156459022005934/0001564590-22-005934-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,53878000,2295000,16514000,- -,-4419000,-9934000,86381000,9147000,-36899000,-24704000,-20354000
74,Depreciation and Amortization,10701000,10104000,10582000,- -,284707000,259914000,246514000,242166000,237356000,235890000,232487000
75,Deferred Income Tax,- -,- -,- -,- -,- -,8081000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,7309000,11278000,15922000,19646000,22860000,19239000,18612000
77,Change in Working Capital,-208785000,-26540000,118885000,- -,-339793000,356474000,-300562000,137882000,9776000,449343000,-46093000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,266000,-21000,7712000,- -,-6152000,11479000,- -,- -,- -,- -,- -
81,Other Working Capital,288903000,262363000,381248000,- -,41455000,397929000,97367000,235249000,245025000,694368000,-18438000
82,Other Non-Cash Items,-184297000,-69323000,-112496000,- -,35227000,-480773000,141856000,-252318000,52348000,-442496000,59654000
83,Cash Provided by Operating Activities,-328503000,-83464000,33485000,- -,-16969000,145040000,190111000,156523000,285441000,237272000,244306000
84,CAPEX,- -,- -,- -,- -,-107859000,-652289000,291925000,197319000,48467000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3005000,-10148000
86,Purchases of Investments,-1628000,-2444000,-2731000,- -,- -,- -,-29248000,-20019000,-15232000,-15809000,-21562000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,27261000,24794000,19282000,22188000,40228000
88,Other Investing Activites,61018000,7516000,3773000,- -,12443000,15323000,5793000,-45484000,-375957000,36661000,-112001000
89,Cash Used for Investing Activites,59390000,5072000,1042000,- -,-95416000,-636966000,295731000,156610000,-323440000,40035000,-103483000
90,Debt Repayment,-133000,-45140000,-17635000,- -,-927633000,-819269000,-1342698000,-27299000,-1245731000,-208771000,-850000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-102863000,-97137000,-120000000,- -
93,Dividends Paid,-16002000,-9343000,-120599000,- -,-85458000,-100517000,-100780000,-105055000,-103111000,-98062000,-67479000
94,Other Financing Activites,330598000,153347000,105890000,- -,830761000,1438780000,1015722000,37068000,1450056000,283363000,840998000
95,Cash Used/Provided by Financing Activities,314463000,98864000,-32344000,- -,-182330000,518994000,-427756000,-198149000,4077000,-143470000,-76481000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,45350000,20472000,2183000,- -,-294715000,19081000,58086000,114984000,-33922000,133837000,64342000
98,Cash at the End of Period,284506000,304978000,307161000,- -,143884000,162965000,250425000,365409000,331487000,465324000,529666000
99,Cash at the Beginning of Period,239156000,284506000,304978000,- -,438599000,143884000,192339000,250425000,365409000,331487000,465324000
100,Free Cash Flow,-328503000,-83464000,33485000,- -,-16969000,145040000,190111000,156523000,285441000,237272000,244306000
101,SEC Link,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1605607/000156459016013406/0001564590-16-013406-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459017002012/0001564590-17-002012-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459018002219/0001564590-18-002219-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459019002868/0001564590-19-002868-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459020004379/0001564590-20-004379-index.html,https://www.sec.gov/Archives/edgar/data/1605607/000156459021005289/0001564590-21-005289-index.htm,https://www.sec.gov/Archives/edgar/data/1605607/000156459022005934/0001564590-22-005934-index.htm
102,false,,,,,,,,,,,
