,https://roic.ai/company/YY,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,-1.4226,-1.8391,-0.2517,0.1440,0.3103,0.3302,0.1971,0.2174,0.2494,0.1608,0.1645,0.0089,-0.0296
22,Income Tax expense (Gain),57264,350088,213683,4652657,14842812,24871959,27469492,40397765,63689806,69444251,78124571,29439487,25745000
23,Net Income,-6900420,-36012466,-13230867,14287042,78829716,171603507,159160759,219464558,381889016,321123274,492401526,1480879647,-80293000
24,Net Income ratio,-1.4404,-1.8612,-0.2601,0.1087,0.2620,0.2894,0.1752,0.1858,0.2150,0.1401,0.1347,0.7312,-0.0307
25,EPS,-1.07,-6.85,-0.31,4.79,1.40,2.98,2.83,3.89,6.44,3.72,6.25,18.38,-1.00
26,EPS Diluted,-1.07,-6.85,-0.31,0.29,1.33,2.86,2.77,3.80,6.33,3.69,6.17,18.37,-1.00
27,Weighted Average Shares Outstanding,45097271,45097271,42265408,30235191,56123784,57657035,56259499,56367166,59323007,64042390,77219846,80009988,80009988
28,Weighted Average Shares Outstanding Diluted,48635139,48635139,42265408,49623442,59056065,59927174,57541558,60805566,60831887,64704470,78254045,80009988,80009988
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530238/000104746914002498/a2219031z20-f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420415023952/v404855_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420416097045/v435203_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420417021263/v463630_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420418022708/tv488628_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420419021598/tv518001_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000110465920051592/yy-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12616884,20507717,80858277,120390942,76579253,143093000,227504104,400912281,872834860,556474102,1740508472,1837185000
32,Short-Term Investments,- -,- -,- -,143820142,236436676,679431703,291897496,540268873,938113772,1207450065,3200473645,1811837356,2550741000
33,Cash and Short-Term Investments,- -,12616884,20507717,224678419,356827617,756010956,434990496,767772977,1339026053,2080284925,3756947748,3552345828,4387926000
34,Net Receivables,- -,4108030,7799841,19015157,16529708,72764703,27759242,60058181,38506040,276737462,211715499,212570370,171356000
35,Inventory,- -,- -,- -,- -,- -,232948,2215866,326334,48249,- -,- -,- -,- -
36,Other Current Assets,- -,960405,78740493,9083583,22186250,45576962,94181139,31657738,173952049,40074429,147499714,131391028,511040000
37,Total Current Assets,- -,17685319,107048051,252777159,395543576,874585569,559146742,859815231,1551532390,2397096816,4116162960,3896307226,5070322000
38,PP&E,- -,3848404,8525378,14466797,16935963,37759891,129924890,120791209,155773670,188445850,361875000,422695881,381957000
39,Goodwill,- -,106444,112331,256977,260221,48424575,23358319,2059391,1794541,1709987,1850444775,1869676274,1958263000
40,Intangible Assets,- -,1844822,1720605,3121050,4806245,24831818,309152441,278135891,286461756,270289868,702665075,602208685,682134000
41,Intangible Assets,- -,1951265,1832936,3378027,5066466,73256393,332510760,280195282,288256296,271999855,2553109850,2471884959,2640397000
42,Investments,- -,452310,834368,472619,10235403,30090487,87426484,132290965,176608018,667469690,337712526,1237760856,1022455000
43,Tax Assets,- -,- -,52347,93402,103131,224404,518037,1512428,17310823,10297136,18241911,- -,- -
44,Other Non-Current Assets,- -,0,310899,558332,802608,90434122,19284114,14679714,25162016,210590493,74806483,55901612,4881000
45,Total Non-Current Assets,- -,6251979,11555927,18969177,33143572,231765298,569664285,549469599,663110823,1348803024,3345745769,4188243307,4049690000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23937298,118603978,271746336,428687148,1106350867,1128811027,1409284830,2214643213,3745899840,7461908730,8084550533,9120012000
48,Accounts Payable,- -,1591076,2563882,4509750,9305077,16366843,19997320,19745240,11694689,16657799,17801138,20928627,18011000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,398696535,90100005,997674,96153527,126717585,11041000
50,Tax Payable,- -,1211738,3802705,10276026,16112563,17268007,21224094,28432703,25962636,50094636,123196318,148918005,65738000
51,Deferred Revenue,- -,2740546,6811456,27095346,51716599,64178176,67837063,70110746,128425457,153119058,213440287,67917744,64336000
52,Other Current Liabilities,- -,33813335,10630549,27098550,54701959,95263812,125420760,186934676,251622148,389339730,764192774,727339476,2418507000
53,Total Current Liabilities,- -,38144956,20005887,58703645,115723635,175808831,213255143,675487197,481842299,560114261,1091587726,942903433,2511895000
54,Long-Term Debt,- -,- -,- -,- -,- -,394638801,400103977,- -,1001120,- -,739102161,786333247,929811000
55,Deferred Revenue,- -,- -,71281,1039282,1555219,3930783,3196638,3666436,8840671,13331880,34378716,3128128,6422000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,4305757,2590491,1160460,1655769,3998401,37822862,42367869,36214000
57,Other Non-Current Liabilities,- -,340328709,- -,- -,- -,29501426,9524756,1335292,80413835,60862480,68254917,76932484,7372000
58,Total Non-Current Liabilities,- -,340328709,71281,1039282,1555219,432376767,415415862,6162188,91911394,78192761,879558655,908761728,979819000
59,Other Liabilities,- -,- -,- -,2078564,- -,- -,- -,12324376,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39781472,22423890,16775000
61,Total Liabilities,- -,378473665,20077168,59742927,117278854,608185598,628671004,681649385,573753693,638307021,1971146381,1851665162,3491714000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,4825,9706,11375,11881,11768,10783,10081,12254,11630,14864,15612,16000
64,Retained Earnings,- -,-354377003,-387208274,-210158111,-144333723,28044571,185952167,392974452,799258350,1005010757,1468117139,2986373502,2712534000
65,Other Comprehensive Income/Loss,- -,-164189,-1944153,-2150498,-623738,2526160,3099593,21878942,8136548,63654165,148663675,-113443589,95979000
66,Other Total Stockholders Equity,- -,0,487669531,424300644,456353874,467582769,309897533,311899248,817904358,1623617677,3109062714,3354449819,2719799000
67,Total Stockholders Equity,- -,-354536367,98526810,212003409,311408294,498165269,498960076,726762724,1625311510,2692294229,4725858392,6227395344,5528328000
68,Total Liabilities And Stockholders Equity,- -,23937298,118603978,271746336,428687148,1106350867,1127631080,1408412109,2199065203,3330601250,6697004774,8079060505,9020042000
69,Minority Interest,- -,-0,0,0,- -,- -,1179946,872721,15578010,415298590,764903956,5490028,99970000
70,Total Liabilities & Equity,- -,23937298,118603978,271746336,428687148,1106350867,1128811027,1409284830,2214643213,3745899840,7461908730,8084550533,9120012000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530238/000104746914002498/a2219031z20-f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420415023952/v404855_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420416097045/v435203_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420417021263/v463630_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420418022708/tv488628_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420419021598/tv518001_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000110465920051592/yy-20191231x20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-6900420,-36012466,-13230867,14287042,78829716,171603507,159160759,219464558,381889016,321123274,492401526,1480879647,- -
74,Depreciation and Amortization,389866,801192,2243278,5197691,8196045,12998844,28697499,39534117,36628175,31993894,169177195,215195231,- -
75,Deferred Income Tax,- -,-247715,-1777725,-3094615,-5843663,-7375518,-3857008,-1118696,600274,7217037,-24015121,13347772,- -
76,Stock Based Compensation,5343007,35722837,21479873,16077228,19322007,21704022,28554704,22651286,39465957,94203373,135511662,97343762,- -
77,Change in Working Capital,468366,1934530,8903421,23279946,46306912,9846061,56006328,68489876,114201624,121908562,187469272,29805611,- -
78,Accounts Receivable,-1144993,-1949757,-3385044,-12412746,-2388024,-29586384,19044582,-4938650,2815726,-6640791,-22486994,-58992087,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-1706763,97929,219646,45792,- -,- -,- -
80,Accounts Payable,132250,313752,1781384,1155755,4346693,3734590,-3489622,5312365,-5982824,1264573,-3758575,-12451747,- -
81,Other Working Capital,967488,1626205,3783930,20923899,24583020,11110753,7159471,13291857,59872348,36175025,61919592,39829948,- -
82,Other Non-Cash Items,43644,248318,-1736197,1423946,241410,1013850,12320736,-345344,-3229438,72603721,-305717900,-1312471492,- -
83,Cash Provided by Operating Activities,-655537,2446695,15881782,57171237,147052427,209790766,280883019,348675797,569555608,649049862,654826635,524100531,- -
84,CAPEX,-900118,-4249603,-7514718,-10061344,-11589805,-32278590,-41710029,-33472162,-63577226,-57105975,-156145095,-161830775,- -
85,Acquisitions Net,- -,- -,- -,-1557561,-1320080,-29725024,778364,-16464472,13648067,- -,-236788675,-4842576,- -
86,Purchases of Investments,-146456,-452310,-875099,-166666720,-260088709,-873328615,-343155848,-1169036983,-1556346526,-2387073703,-3939485050,-2444279614,- -
87,Sales/Maturities of Investments,- -,- -,- -,98570607,164349267,411094954,655842121,914125551,1150757503,1749569850,2029442745,3293053893,- -
88,Other Investing Activites,351055,-2393926,-75720127,-457880,-2606002,-116703288,-441037336,37967251,-165627101,-229103503,56986765,144631350,- -
89,Cash Used for Investing Activites,-660370,-5062253,-84066348,-79865295,-108841069,-637433118,-161437316,-256795703,-618426668,-915160052,-2231005603,828821116,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-69626083,- -,-421773740,-190157290,-145956723,-140569085,- -
91,Common Stock Issued,- -,- -,77799364,88204383,- -,- -,- -,- -,451944724,174920192,301668620,- -,- -
92,Common Stock Repurchased,-828355,-84733,- -,- -,- -,- -,-160461319,- -,- -,-30000000,-24021267,-112184501,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68308971,- -
94,Other Financing Activites,11758219,-388383,-1764041,-4456239,-938412,387349208,178153892,1533886,183122188,651032999,1221771810,177700243,- -
95,Cash Used/Provided by Financing Activities,10929864,-473116,76035322,83748144,-938412,387349208,-51933510,1533886,213293172,605795901,1353462440,-143362313,- -
96,Effect of Forex Changes on Cash,-2050,-340439,-657757,-845428,-162865,-746080,2407491,311213,-5479200,7283181,15083467,-88983821,- -
97,Net Change In Cash,9611906,-3429112,7192999,60208657,37110081,-41039224,69919684,93725194,158942912,346968891,-207633061,1120575513,- -
98,Cash at the End of Period,15586871,12616884,20507717,80858277,120390942,76579253,143093000,227504104,400912281,872834860,650506517,1817231721,- -
99,Cash at the Beginning of Period,5974965,16045997,13314718,20649619,83280860,117618477,73173317,133778911,241969369,525865969,858139578,696656207,- -
100,Free Cash Flow,-1555655,-1802907,8367064,47109893,135462622,177512175,239172990,315203635,505978382,591943887,498681540,362269756,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1530238/000104746914002498/a2219031z20-f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420415023952/v404855_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420416097045/v435203_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420417021263/v463630_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420418022708/tv488628_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000114420419021598/tv518001_20f.htm,https://www.sec.gov/Archives/edgar/data/1530238/000110465920051592/yy-20191231x20f.htm,- -,undefined
102,false,,,,,,,,,,,,,
