,https://roic.ai/company/CDXI,2012,2013,2014,2015,2016,2017,2018,2019,2020
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,92635,84596,1071635
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,92635,1084596,1071635
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,12488,962
61,Total Liabilities,2866,21344,4761502,4599959,4636104,4562162,5994289,9217771,11623168
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1053,1053,63886,69088,85069,122675,133889,688,794
64,Retained Earnings,- -,- -,- -,-54150157,-55933862,-57919096,-61943318,-67036355,- -
65,Other Comprehensive Income/Loss,-13036,-78192,-49892282,-17969,-24137,-29991,- -,- -,- -
66,Other Total Stockholders Equity,68240,68240,46613985,50351157,51987406,56420935,58274038,59836818,-10198790
67,Total Stockholders Equity,56257,-8899,-3214411,-3747881,-3885524,-1405477,-3535391,-7198849,-10197996
68,Total Liabilities And Stockholders Equity,59123,12445,1547091,852078,750580,3156685,2458898,2018922,1425172
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-962
70,Total Liabilities & Equity,59123,12445,1547091,852078,750580,3156685,2458898,2018922,1424210
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1544238/000149315216008455/0001493152-16-008455-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315217003138/0001493152-17-003138-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315218003937/0001493152-18-003937-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315219004071/0001493152-19-004071-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315220005021/0001493152-20-005021-index.htm,https://www.sec.gov/Archives/edgar/data/1544238/000149315221008813/0001493152-21-008813-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-9735,-65156,-16994625,-4257880,-1783710,-1985230,-4024220,-5093040,-5055507
74,Depreciation and Amortization,- -,24,38972,23758,29101,29422,30570,39569,34519
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,11667361,708059,230833,242146,650271,708588,632500
77,Change in Working Capital,-5502,6237,-409105,1156246,267000,-366957,52920,12523,1047347
78,Accounts Receivable,3374,3809,- -,- -,- -,-37243,181960,-138258,69934
79,Inventory,- -,- -,28099,- -,-10827,-329598,97736,302549,183512
80,Accounts Payable,-2316,2351,-40328,- -,60736,- -,-146784,-362123,179785
81,Other Working Capital,24551,- -,1391,-4186301,-4324049,-1833988,-3877290,-6547114,-9429734
82,Other Non-Cash Items,- -,30000,2166,863580,5,-4,89931,809523,1549558
83,Cash Provided by Operating Activities,-15237,-28895,-5695231,-1506237,-1256771,-2080623,-3200528,-3522837,-1791583
84,CAPEX,- -,-2045,-28303,-22049,-29206,-19408,-36593,-61613,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,60760,-12049,-29206,-19408,-36593,-61613,-14613
89,Cash Used for Investing Activites,- -,-2045,59127,-12049,-29206,-19408,-36593,-61613,-14613
90,Debt Repayment,- -,- -,-550408,- -,- -,- -,- -,- -,-40000
91,Common Stock Issued,33020,- -,3923798,1776000,1121000,4138435,1244037,245000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1608,16050,2076000,30000,- -,40000,- -,3115000,1846072
95,Cash Used/Provided by Financing Activities,31412,16050,5449390,1806000,1121000,4178435,1244037,3360000,1806072
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,16175,-14890,-186714,287714,-164977,2078404,-1993084,-224450,-124
98,Cash at the End of Period,22419,7529,35696,323410,158433,2236837,243753,19303,- -
99,Cash at the Beginning of Period,6244,22419,222410,35696,323410,158433,2236837,243753,- -
100,Free Cash Flow,-15237,-30940,-5723534,-1528286,-1285977,-2100031,-3237121,-3584450,-1791583
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1544238/000149315216008455/0001493152-16-008455-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315217003138/0001493152-17-003138-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315218003937/0001493152-18-003937-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315219004071/0001493152-19-004071-index.html,https://www.sec.gov/Archives/edgar/data/1544238/000149315220005021/0001493152-20-005021-index.htm,https://www.sec.gov/Archives/edgar/data/1544238/000149315221008813/0001493152-21-008813-index.htm
102,false,,,,,,,,,
