,https://roic.ai/company/MFGP,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,-6754000,-9729000,- -,- -,- -,0,- -,- -,- -,0,- -,- -,32886000,38985000,36581000,- -,12706200000,9304100000,139200000
45,Total Non-Current Assets,- -,31637000,26230000,61095990,60145679,74131706,121001881,208899040,456517499,439034280,434234108,437596000,464945000,3879634000,3681332000,4203764000,- -,12846700000,9605000000,8439500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,65951000,64942000,144561093,154172684,203386169,272804241,347683080,615788364,574802808,556960350,568179000,605017000,4340601000,4635693000,4645957000,- -,14294800000,11146800000,10346600000
48,Accounts Payable,- -,1093000,1027000,3859117,1944294,4374219,4965451,4475520,10743983,10478376,6167572,5715000,4683000,18580000,20793000,16891000,- -,105000000,503500000,513000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,99200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1205600000,1181200000,- -
52,Other Current Liabilities,- -,39510000,40503000,87314663,79466646,89332466,118139258,138828440,331578703,277610244,373901351,454010000,563750000,969450000,1041004000,927806000,- -,491400000,82200000,1248700000
53,Total Current Liabilities,- -,40603000,41530000,91173780,81410940,93706685,123104709,143303960,342322687,288088620,380068923,459725000,568433000,988030000,1061797000,944697000,- -,1802000000,1788300000,1860900000
54,Long-Term Debt,- -,23593000,28214000,103366601,94666,40002,- -,- -,- -,- -,- -,- -,- -,1519130000,1469953000,1490352000,- -,4707200000,4696800000,4643700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9646000,12629000,194863000,196483000,223786000,- -,- -,- -,131800000
56,Deferred Tax Liabilities,- -,- -,- -,7748816,8445300,10872544,16659952,28565480,43530047,42877608,39938197,37042000,35286000,304592000,264038000,326731000,- -,- -,- -,599100000
57,Other Non-Current Liabilities,- -,2094000,3090000,6932648,6719466,7264363,6518767,7084760,10529685,15138768,19405605,2009000,4920000,55925000,49694000,46901000,- -,- -,- -,290100000
58,Total Non-Current Liabilities,- -,25687000,31304000,118048064,15259431,18176909,23178719,35650240,54059732,58016376,59343802,48697000,52835000,2074510000,1980168000,2087770000,- -,4707200000,4696800000,5664700000
59,Other Liabilities,- -,- -,- -,- -,- -,36353818,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10923700000,10840200000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23500000,250400000,194500000
61,Total Liabilities,- -,66290000,72834000,209221844,96670371,111883594,146283428,178954200,396382419,346104996,439412725,508422000,621268000,3062540000,3041965000,3032467000,- -,8018500000,7931700000,7525600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,1911,36644845,36767838,36837182,37091760,37583277,37713480,37786529,37797000,37802000,39555000,39573000,39700000,- -,47200000,47300000,47400000
64,Retained Earnings,- -,-2062000,-9621000,-67868080,-55266739,-23393170,12678466,56870480,102537001,108216504,29819676,-63672000,-140324000,-96479000,228344000,902183000,- -,2250700000,-741300000,-1120400000
65,Other Comprehensive Income/Loss,- -,-2140000,-3033000,-4537664,-5290373,-6546327,-7639614,-5991040,-9931182,-11445816,-8408554,-10283000,-12938000,-18979000,-28793000,-39328000,- -,3933100000,3862600000,- -
66,Other Total Stockholders Equity,- -,3862000,4761000,7743081,81414581,84674234,84644778,80757680,89216850,94213644,58349975,95915000,99209000,1352985000,1353547000,709981000,- -,44000000,46500000,3894000000
67,Total Stockholders Equity,- -,-339000,-7892000,-64660751,57502313,91502575,126520813,168728880,219405946,228697812,117547625,59757000,-16251000,1277082000,1592671000,1612536000,- -,6275000000,3215100000,2821000000
68,Total Liabilities And Stockholders Equity,- -,65951000,64942000,144561093,154172684,203386169,272804241,347683080,615788364,574802808,556960350,568179000,605017000,4339622000,4634636000,4645003000,- -,14293500000,11146800000,10346600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,0,- -,- -,- -,- -,- -,- -,979000,1057000,954000,- -,1300000,- -,- -
70,Total Liabilities & Equity,- -,65951000,64942000,144561093,154172684,203386169,272804241,347683080,615788364,574802808,556960350,568179000,605017000,4340601000,4635693000,4645957000,- -,14294800000,11146800000,10346600000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1736000,6574000,8027000,21042603,16226117,43864193,55419437,66030200,76357439,96437088,120620044,123164000,122082000,101451000,162894000,157906000,726234000,1468800000,-2969500000,-424400000
74,Depreciation and Amortization,874000,1184000,1043000,6691811,6439109,7140357,11192600,15639160,27832718,33935460,36649799,38605000,41893000,116766000,214732000,248228000,628979000,522100000,809100000,1063400000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,3581964,-223922,848042,1337081,2406480,3069054,2235120,6055523,6639000,12837000,15561000,28793000,34506000,46466000,- -,- -,14300000
77,Change in Working Capital,5710000,217000,2141000,3255114,13003832,-7112356,8855683,-8095600,-30950754,22196076,-2114318,-12463000,-4510000,336000,-77882000,-4017000,-216603000,-77400000,78900000,-127400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183000000,262000000,- -
79,Inventory,35000,81000,-69000,-38228,18205,76004,117044,63640,-24491,-1464504,1157841,316000,11000,39000,28000,29000,20000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,7267000,-14132000,-12429000,8775237,-1392683,7620381,200364,1656120,2645050,16723368,19561499,11368000,2672000,5943000,-43896000,15756000,-820650000,-1913500000,2081500000,-325300000
83,Cash Provided by Operating Activities,12115000,-6157000,-1218000,43346729,34052453,52360618,77005165,77636360,78953506,171527112,180772548,167313000,174974000,240057000,284641000,452379000,364426000,- -,- -,200600000
84,CAPEX,-2106000,-1338000,-681000,-7504156,-6109598,-6282314,-9454791,-11258360,-23159491,-26552892,-39218809,-23639000,-21963000,-26212000,-44769000,-43165000,-122500000,-56300000,-26300000,-65200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000000,-6000000,-12400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,- -,- -,- -,-2344700000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-37730000,806000,-3631000,401394,666303,-3270164,-38846772,-62654320,-159942843,358620,295550,-34914000,-50672000,144303000,-43333000,-577997000,-6030000,4724500000,34700000,-45800000
89,Cash Used for Investing Activites,-39836000,-532000,-4312000,-7102762,-5443295,-9552478,-48301562,-73912680,-183102334,-26194272,-38923259,-38226000,-53580000,139329000,-53614000,-589724000,-38844000,2235500000,2400000,-75900000
90,Debt Repayment,- -,- -,- -,- -,-111248935,-46002,-113077,- -,-62500012,-59999628,-265497907,-142307000,-134000000,-1816726000,-157750000,-372062000,-227698000,-225500000,-179000000,-114100000
91,Common Stock Issued,13391000,116000,4000,506521,109823483,124006,71417,1517000,4702310,1521216,1255275,733000,1028000,1647000,226688000,1979000,-498269000,- -,- -,400000
92,Common Stock Repurchased,-52000,- -,- -,- -,- -,- -,- -,- -,- -,-41996904,-62498000,-131171000,-144664000,-131565000,- -,-7678000,- -,-2344700000,- -,-27200000
93,Dividends Paid,- -,- -,-28450000,-78799376,-3986895,-13980699,-21228644,-26076120,-33598865,-50313552,-46261663,-57160000,-62633000,-72707000,-105159000,-177535000,-290132000,- -,- -,-81100000
94,Other Financing Activites,25265000,2468000,37218000,50499188,- -,0,- -,- -,156804908,-1292700,235483948,210978000,213686000,1863396000,240216000,179998000,1043815000,-437100000,-19200000,-79500000
95,Cash Used/Provided by Financing Activities,38604000,2584000,8772000,-27793667,-5412347,-13902695,-21270304,-24559120,65408342,-152081568,-137518348,-118927000,-126583000,-155955000,203995000,-375298000,27716000,-3007300000,-198200000,-301500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2627000,46000,-14907000,-9168000,-3552000,69393000,-1800000,-9300000,-2000000
97,Net Change In Cash,10883000,-4105000,915000,8450000,23196000,28905000,7434000,-20836000,-38740000,-6749000,4330000,7533000,-5143000,208524000,425854000,-516195000,422691000,-265200000,381500000,-178800000
98,Cash at the End of Period,5388000,2886000,5750000,32870000,56066000,84971000,92405000,71569000,32829000,26080000,30410000,37943000,32800000,241324000,667178000,150983000,573674000,- -,- -,558400000
99,Cash at the Beginning of Period,-5495000,6991000,4835000,24420000,32870000,56066000,84971000,92405000,71569000,32829000,26080000,30410000,37943000,32800000,241324000,667178000,150983000,- -,- -,737200000
100,Free Cash Flow,10009000,-7495000,-1899000,35842573,27942855,46078304,67550374,66378000,55794015,144974220,141553739,143674000,153011000,213845000,239872000,409214000,241926000,- -,- -,135400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,
