,https://roic.ai/company/MCUJF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,Total Current Liabilities,- -,570077,389663,353908,817575,2732754,1644339,14697765,9160474,4054937,30929727,32067612,1378288,3557024,4377498,10352462,60885767,43673908,16932250,11662000,12310000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,10781568,32200919,25041982,- -,- -,4647740,3510119,4225949,2617593,68422873,- -,- -,849000,1080000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38142775,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-1,- -,- -,- -,- -,- -,- -,- -,538269,683327,1868088,3825272,8315515,4548617,3235618,2831000,1518000
58,Total Non-Current Liabilities,- -,- -,- -,- -,-1,- -,- -,10781568,32200919,25041982,- -,- -,5186009,4193446,6094037,6442865,114881163,4548617,3235618,3680000,2598000
59,Other Liabilities,- -,- -,- -,- -,-2,- -,- -,21563137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331690,- -,- -,1089000,1447000
61,Total Liabilities,- -,570077,389663,353908,817574,2732754,1644339,25479334,41361393,29096919,30929727,32067612,6564297,7750470,10471535,16795327,175766930,48222525,20167868,15342000,14908000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,8448684,- -,17502222,39731296,- -,- -,- -,- -,- -,116014623,- -,- -,117033258,- -,121413777,124700345,125733727,122887105,85364000,80917000
64,Retained Earnings,- -,-4596721,-8471808,-12665496,-18654581,-33520492,-46127566,-77830952,-135233473,-148549300,-154081806,-156095915,-123303052,-125877356,-126615856,-124947427,-97289953,-54543902,-50138270,-62648000,-65568000
65,Other Comprehensive Income/Loss,- -,- -,-45357,105375,491423,996302,-104836,-146023,9094635,-267153,-104054,-123771,102809,68112,298329,1104388,681992,673264,1267717,-5751000,-6497000
66,Other Total Stockholders Equity,- -,- -,17504293,-1,- -,- -,- -,- -,- -,- -,13214584,- -,- -,4449305,- -,6890813,8776353,8846071,9576993,9977000,10294000
67,Total Stockholders Equity,- -,3851963,8987128,4942100,21568138,7340105,37169738,34306469,-6556160,-19546959,-24956653,-26893705,-1820673,-4326681,-3911016,4461551,36868737,80709160,83593545,26942000,19146000
68,Total Liabilities And Stockholders Equity,- -,4422040,9376791,5296008,22385712,10072859,38814077,59785803,34805233,9549960,5973074,5173907,4743624,3423789,6560519,21256878,212635667,128931685,103761413,42284000,34054000
69,Minority Interest,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4422040,9376791,5296009,22385712,10072859,38814077,59785803,34805233,9549960,5973074,5173907,4743624,3423789,6560519,21256878,214725667,128931685,103761413,42284000,34054000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-3232010,-3875087,-4193688,-5989086,-14865910,-12607074,-31703386,-57402521,-13315827,-5532506,-2014109,23385779,-2574304,-1638952,1668429,27657474,43420884,3925639,-19786000,-6845000
74,Depreciation and Amortization,- -,17449,60505,33125,41006,57874,107379,2499842,2980051,938733,919213,898931,877550,536982,561269,690934,2381032,7806976,299184,1923000,2773000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-379000,806098,-10906704,896876,145000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,325028,122812,77057,224445,102993,- -,1460316,1400241,623115,1022175,417000,317000
77,Change in Working Capital,- -,484565,-353175,71953,-590176,2235643,-941586,3756803,-232156,-2682121,3157297,2560353,-640442,792926,-168857,-5903437,-965214,44396030,2739695,-8462000,2705000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,332646,160774,25433,-54707,-12419,-514986,-8185940,-4174691,-3713375,-1340746,-318000,5081000
79,Inventory,- -,- -,- -,34827,- -,- -,- -,-640004,-105177,-407929,80328,-202861,-201645,-380113,114937,-1230619,2520499,145339,-1258778,-4072000,723000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-200000,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,-485555,-510858,- -,78000,- -
82,Other Non-Cash Items,- -,- -,- -,105375,386048,504878,762783,200088,12789986,4316048,-119625,-1044753,-23430043,150925,1357420,2605553,-24868820,-63417169,-8141296,11122000,-1190000
83,Cash Provided by Operating Activities,- -,-2729996,-4167757,-3983235,-6152208,-12067515,-12678498,-25246653,-41864640,-10418139,-1452809,477479,417289,-990478,110880,142795,6410811,21923132,742273,-14641000,-2240000
84,CAPEX,- -,-134257,-37988,-5196,-21730,-42796,-1243895,-187045,-14588,-238542,-141831,-44814,-97912,-7397,-5513,-226570,-464208,-1321847,-1478034,-13846000,-2000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44100000,-6337000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47747000,- -
88,Other Investing Activites,- -,2032748,-238961,-265417,-231205,-386156,- -,-22737848,-572520,-234990,-139601,-42327,-96424,-4289,- -,- -,-41712775,55344865,63954015,-6941000,-7238000
89,Cash Used for Investing Activites,- -,2025743,-276949,-270613,-252935,-428952,-1243895,-22924893,-587108,-238542,-141831,-44814,-97912,-7397,-5513,-226570,-42176983,54150162,19656521,34283000,-7240000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14454000,- -,- -,-4750000,- -,- -,-694444,-10463,-93790254,- -,- -,-244000
91,Common Stock Issued,- -,2865860,9010252,43286,22229074,133000,41251907,27814807,15167276,- -,- -,- -,- -,- -,- -,3630324,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3021340,-30284000,-522000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,17206626,7419082,14454000,- -,- -,4801526,- -,2000,183410,44521303,10819323,363458,20000,- -
95,Cash Used/Provided by Financing Activities,- -,2865860,9010252,43286,22229074,133000,41251907,45021433,22586358,- -,- -,- -,51526,- -,2000,3119290,44510840,-82970931,-2657882,-30264000,-766000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,730476,-12823,-53743,3258,145,315,39208,-47083,-108060,1137889,-552000,-3000
97,Net Change In Cash,- -,2161607,4565546,-4210562,15823931,-12363468,27329515,-3150113,-19865390,-9926205,-1607463,378922,374161,-997730,107682,3074723,8697585,-7005697,18878801,-11174000,-10249000
98,Cash at the End of Period,- -,3775472,8341018,4130455,19954387,7590918,34920433,31770320,11904930,1978725,371262,750184,1124345,126615,234297,3568592,12266177,5260480,24139281,12965000,2716000
99,Cash at the Beginning of Period,- -,1613865,3775472,8341017,4130456,19954386,7590918,34920433,31770320,11904930,1978725,371262,750184,1124345,126615,493869,3568592,12266177,5260480,24139000,12965000
100,Free Cash Flow,- -,-2864253,-4205745,-3988431,-6173938,-12110311,-13922393,-25433698,-41879228,-10656681,-1594640,432665,319377,-997875,105367,-83775,5946603,20601285,-735761,-28487000,-2242000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,undefined,0.65,0.6523,0.7318,0.7339,0.7973,0.908,0.9342,1.0066,0.9168,0.9569,1.032,0.9675,0.9633,0.9221,0.7224,0.7443,0.7948,0.7332,0.77,0.7851
