,https://roic.ai/company/PLXP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,6498,46094,120128,146145,359015,1019836,596909,263268,393470,992000
37,Total Current Assets,1463613,3907239,27160453,32358460,17034243,25689962,14865410,14283255,22985501,73476000
38,PP&E,- -,- -,- -,- -,- -,1029875,1394230,2084804,1553040,1088000
39,Goodwill,- -,- -,- -,- -,- -,2061022,2061022,2061022,2061022,2061000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,2061022,2061022,2061022,2061022,2061000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3670,122826,49385,49385,56630,67714,67714,73665,17036,17000
45,Total Non-Current Assets,3670,122826,49385,49385,56630,3158611,3522966,4219491,3631098,3166000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1467283,4030065,27209838,32407845,17090873,28848573,18388376,18502746,26616599,76642000
48,Accounts Payable,- -,- -,- -,- -,- -,708219,653049,928921,862568,10600000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2909709,3658121,622265,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,162176,823834,1260598,1606307,2121893,1107472,1169902,1506388,2057481,1279000
53,Total Current Liabilities,162176,823834,1260598,1606307,2121893,1815691,4732660,6093430,3542314,11879000
54,Long-Term Debt,- -,- -,- -,- -,- -,6942151,4280385,622265,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,15474339,2931038,23879012,34006140,13083000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,22416490,7211423,24501277,34006140,13083000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,162176,823834,1260598,1606307,2121893,24232181,11944083,30594707,37548454,24962000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,13661578,21384890,16014000
63,Common Stock,- -,- -,8538,10301,11116,8723,8744,9156,13912,28000
64,Retained Earnings,- -,- -,-22318749,-41061455,-62382584,-67332248,-66435768,-86938163,-102148817,-148274000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-449123,-292080,-442882,- -,- -
66,Other Total Stockholders Equity,1305107,3206231,48259451,71852692,77340448,72389040,73163397,75279928,91203050,183912000
67,Total Stockholders Equity,1305107,3206231,25949240,30801538,14968980,4616392,6444293,1569617,10453035,51680000
68,Total Liabilities And Stockholders Equity,1467283,4030065,27209838,32407845,17090873,28848573,18388376,32164324,48001489,76642000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-13661578,-21384890,- -
70,Total Liabilities & Equity,1467283,4030065,27209838,32407845,17090873,28848573,18388376,18502746,26616599,76642000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1497504/000104746915002607/0001047469-15-002607-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000104746916011428/0001047469-16-011428-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000114420417003148/0001144204-17-003148-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774918005277/0001437749-18-005277-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774919004386/0001437749-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774920005044/0001437749-20-005044-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774921005803/0001437749-21-005803-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774922005920/0001437749-22-005920-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1843986,-4013620,-13580984,-18742706,-21321129,-15346731,896480,-20502395,-15210654,-46125000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,200957,158253,415614,213000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-920000,- -,- -,- -,- -
76,Stock Based Compensation,215277,1077777,1418312,3275908,3631283,1624411,841421,875851,1288430,2884000
77,Change in Working Capital,-155117,1781968,22816450,4852298,-15839803,8961921,-13741521,-1942925,11253362,5414000
78,Accounts Receivable,- -,- -,- -,- -,- -,-14307,1150,-449,18683,-635000
79,Inventory,- -,- -,- -,- -,- -,-449384,-524245,- -,-143380,-2314000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-194524,448867,-66353,9738000
81,Other Working Capital,1301437,3083405,25899855,30752153,14912350,23874271,10132750,8189825,19443187,- -
82,Other Non-Cash Items,240000,-1040395,-21930267,-3978017,17946488,-7626164,2303432,8752181,-9990344,5496000
83,Cash Provided by Operating Activities,-1543826,-2194270,-11276489,-14592517,-15583161,-13306563,-9499231,-12659035,-12243592,-32118000
84,CAPEX,- -,- -,- -,- -,- -,-537569,-654870,-241736,-102000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,12000000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-30956740,-12976564,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,40000000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,4000000,- -,-223573,- -,11442,- -,95000
89,Cash Used for Investing Activites,- -,- -,- -,-26956740,27023436,11238858,-654870,-230294,-102000,95000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-3125000,-3750000,-625000
91,Common Stock Issued,- -,- -,34455669,19743885,- -,16698854,- -,2103788,16819627,74484000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,1737297,- -
94,Other Financing Activites,1982346,4598300,- -,- -,- -,9713884,- -,13661578,5986015,5107000
95,Cash Used/Provided by Financing Activities,1982346,4598300,34455669,19743885,- -,26412738,- -,12640366,20792939,78966000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,438520,2404030,23179180,-21805372,11440275,24345033,-10154101,-248963,8447347,46943000
98,Cash at the End of Period,1457115,3861145,27040325,5234953,16675228,24404368,14250267,14001304,22448651,69392000
99,Cash at the Beginning of Period,1018595,1457115,3861145,27040325,5234953,59335,24404368,14250267,14001304,22449000
100,Free Cash Flow,-1543826,-2194270,-11276489,-14592517,-15583161,-13844132,-10154101,-12900771,-12345592,-32118000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1497504/000104746915002607/0001047469-15-002607-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000104746916011428/0001047469-16-011428-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000114420417003148/0001144204-17-003148-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774918005277/0001437749-18-005277-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774919004386/0001437749-19-004386-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774920005044/0001437749-20-005044-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774921005803/0001437749-21-005803-index.htm,https://www.sec.gov/Archives/edgar/data/1497504/000143774922005920/0001437749-22-005920-index.htm
102,false,,,,,,,,,,
