,https://roic.ai/company/PLM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,206002,728091,967720,756507,621049,428791,379949,3846832,16299031,17818000,4399000,3384000,9158000,2901000,3369000,6700000,8175000,7128000,7171000,8059000,8866000,9942000,22160000,14744000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000,- -,- -,- -,- -,- -,- -,- -,- -,21000,54000,273000,1381000,3002000,1332000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000,- -,- -,- -,- -,- -,- -,160000,1963000,3697000
14,Depreciation and Amortization,- -,- -,- -,16322,20517,6321,275,1705,4220,7000,56000,31000,31000,31000,31000,38000,26000,32000,32000,18000,130000,122000,224000,257000
15,EBITDA,-274669,-728091,-1105965,-594608,-646008,-423185,-379674,-3845127,-16294811,-17811000,-4343000,-3353000,-9127000,-2870000,-3338000,-6662000,-8149000,-7096000,-7139000,-9226000,-13392000,-9820000,-18910000,-13158000
16,EBITDA ratio,-4.0000,-11.0000,-16.0000,-445689.7004,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-137335,-661901,-898597,-756506,-621049,-428791,-379949,-3846832,-16299031,-17818000,-4399000,-3384000,-9158000,-2901000,-3369000,-6700000,-8175000,-7128000,-7171000,-8059000,-8866000,-9942000,20077000,-12810000
18,Operating Income ratio,-2.0000,-10.0000,-13.0000,-567040.4427,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity
19,Total Other Income Expenses (Gains),-68667,- -,-207368,75524,45476,-27475,233523,68274,221458,-503000,-459000,1306000,130000,-5772000,-333000,74000,43000,-148000,-2175000,-1170000,-6177000,-47961000,-40907000,-2759000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8673000,-3702000,-6626000,-8132000,-7276000,-9346000,-9229000,-15043000,-57903000,-20830000,-15569000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1390000,-657000,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-274669,-728091,-1105965,-610930,-549600,-471679,-146806,-3776337,-15929537,-17893000,-3690000,-4536000,-9023000,-7283000,-3045000,-6626000,-8132000,-7276000,-9346000,-9229000,-15043000,-57903000,-20830000,-15569000
24,Net Income ratio,-4.0000,-11.0000,-16.0000,-457923.8905,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.22,-0.42,-0.39,-0.16,-0.16,-0.08,-0.03,-0.56,-1.76,-1.28,-0.24,-0.24,-0.48,-0.40,-0.16,-0.32,-0.37,-0.28,-0.28,-0.28,-0.47,-0.90,-0.21,-0.15
26,EPS Diluted,-0.22,-0.42,-0.39,-0.16,-0.16,-0.08,-0.03,-0.56,-1.76,-1.28,-0.24,-0.24,-0.48,-0.40,-0.16,-0.32,-0.37,-0.28,-0.28,-0.28,-0.47,-0.90,-0.21,-0.15
27,Weighted Average Shares Outstanding,1250344,1719485,2858015,3817887,3654994,4083776,4433253,6495808,9189129,14349848,16718687,17155151,17438874,18687875,20052598,22377351,25281145,29498923,29615111,30918741,34288583,67209105,100663439,100873906
28,Weighted Average Shares Outstanding Diluted,1250344,1719485,2858015,3817887,3654994,4083776,4433253,6495808,9189129,14349848,16718687,17155151,17438874,18687875,20052598,22377351,25281145,29498923,29615111,30918741,34288583,67209105,100663439,100873906
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866028/000106299304001169/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299305001718/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000114420406030402/v048318_20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299307002112/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299308001992/0001062993-08-001992-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299309001536/0001062993-09-001536-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299310001411/0001062993-10-001411-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299311001945/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000120445912000913/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299313002016/0001062993-13-002016-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299314002359/0001062993-14-002359-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299315002082/0001062993-15-002082-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299316009152/0001062993-16-009152-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866028/000115752320000441/0001157523-20-000441-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,3187,495569,510871,11671427,8897000,20084000,7354000,21282000,10361000,17478000,8088000,32790000,9301000,10256000,18674000,13857000,7401000,3554000,2958000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,807200,- -,- -,1445000,57000,140000,66000,30000,17000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,3187,495569,1318071,11671427,8897000,21529000,7411000,21422000,10427000,17508000,8105000,32790000,9301000,10256000,18674000,13857000,7401000,3554000,2958000
34,Net Receivables,- -,- -,- -,- -,- -,6216,21882,45005,40986,61000,168000,69000,88000,318000,440000,830000,1420000,381000,429000,749000,796000,472000,385000,342000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,5467,241596,75562,210000,793000,470000,512000,636000,934000,771000,1195000,1108000,1285000,813000,1161000,1039000,1203000,1089000
37,Total Current Assets,- -,- -,- -,- -,- -,9403,522918,1604672,11787975,9168000,22490000,7950000,22022000,11381000,18882000,9706000,35405000,10790000,11970000,20236000,15814000,8912000,5142000,4389000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364913000,433548000,- -,415559000,422721000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5992000,6092000,6192000,1888000,1888000,24185000,24380000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5992000,6092000,6192000,1888000,1888000,24185000,24380000,24390000,24339000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,42224,502056,745492,14247261,39563000,66709000,94806000,117626000,133651000,170689000,220429000,246028000,296247000,323802000,2012000,12082000,424023000,15623000,16677000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,42224,502056,745492,14247261,39563000,66709000,94806000,117626000,133651000,170689000,226421000,252120000,302439000,325690000,368813000,469815000,448403000,455572000,463737000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,51627,1024974,2350164,26035236,48731000,89199000,102756000,139648000,145032000,189571000,236127000,287525000,313229000,337660000,389049000,485629000,457315000,460714000,468126000
48,Accounts Payable,- -,- -,- -,- -,- -,82628,99376,331012,1717420,1518000,4266000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1401000,1250000,2000000,6750000,- -,- -,31967000,38065000,4962000,- -,235467000,- -,- -,17812000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,265000,3118000,3709000,3852000,2507000,7077000,5310000,4397000,4846000,3969000,5706000,5869000,20383000,4186000
53,Total Current Liabilities,- -,- -,- -,- -,- -,82628,99376,331012,2717420,3518000,5932000,4368000,5709000,10602000,2507000,7077000,37277000,42462000,9808000,3969000,241173000,5869000,20383000,21998000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1420515,11853000,10834000,24006000,33782000,29408000,32690000,34458000,4276000,7855000,79009000,107906000,- -,15501000,18747000,36087000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-1,- -,2510687,3422000,3282000,2890000,2590000,2404000,22008000,51680000,49640000,70536000,64186000,69845000,59414000,51805000,51945000,52434000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-1,- -,3931202,15275000,14116000,26896000,36372000,31812000,54698000,86138000,53916000,78391000,143195000,177751000,59414000,67306000,70692000,88521000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,616000,557000,451000
61,Total Liabilities,- -,- -,- -,- -,- -,82628,99375,331012,6648622,18793000,20048000,31264000,42081000,42414000,57205000,93215000,91193000,120853000,153003000,181720000,300587000,73175000,91075000,110519000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,49022606,- -,- -,104768000,132066000,- -,- -,181215000,240330000,241489000,242917000,268895000,271269000,526884000,527908000,528722000
64,Retained Earnings,- -,- -,- -,- -,- -,-14214451,-14361777,-18137588,-34067125,-52599000,-56289000,-60825000,-71549000,-78832000,-81790000,-88416000,-96548000,-103824000,-113170000,-122399000,-149489000,-207392000,-228222000,-243791000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-5230,-275,-1877,-6101,-11000,-66000,-205000,-395000,- -,- -,- -,- -,- -,- -,59682000,62111000,- -,-48484000,72676000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,14188680,15287651,20158617,4437234,82548000,125506000,27754000,37445000,181450000,214156000,50113000,52550000,54711000,54910000,- -,- -,64648000,118437000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,-31001,925599,2019152,19386614,29938000,69151000,71492000,97567000,102618000,132366000,142912000,196332000,192376000,184657000,207329000,185042000,384140000,369639000,357607000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,51627,1024974,2350164,26035236,48731000,89199000,102756000,139648000,145032000,189571000,236127000,287525000,313229000,337660000,389049000,485629000,457315000,460714000,468126000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,51627,1024974,2350164,26035236,48731000,89199000,102756000,139648000,145032000,189571000,236127000,287525000,313229000,337660000,389049000,485629000,457315000,460714000,468126000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/866028/000106299304001169/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299305001718/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000114420406030402/v048318_20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299307002112/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299308001992/0001062993-08-001992-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299309001536/0001062993-09-001536-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299310001411/0001062993-10-001411-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299311001945/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000120445912000913/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299313002016/0001062993-13-002016-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299314002359/0001062993-14-002359-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299315002082/0001062993-15-002082-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299316009152/0001062993-16-009152-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866028/000115752320000441/0001157523-20-000441-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-274669,-728091,-1105965,-610930,-549600,-471679,-146806,-3776337,-15929537,-17893000,-3690000,-4536000,-9023000,-7283000,-3045000,-6626000,-8132000,-7276000,-9346000,-9229000,-15043000,-57903000,-20830000,-15569000
74,Depreciation and Amortization,- -,- -,- -,16322,20517,6321,275,1705,4220,7000,56000,31000,31000,31000,31000,38000,26000,32000,32000,18000,130000,122000,224000,257000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1390000,-657000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000,915000,-119000,625000,2255000,1697000,1121000,457000,1808000,1742000,1558000,1842000,1199000
77,Change in Working Capital,- -,- -,138246,376278,-366124,54253,-753,-834814,1556461,-354000,-741000,-637000,320000,-687000,-187000,2425000,-3204000,271000,526000,479000,-67000,978000,-2955000,-415000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000,-19000,-230000,- -,-390000,-590000,1039000,316000,-40000,-384000,442000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1163000,-1527000,-1322000
82,Other Non-Cash Items,68667,-66190,207368,-75523,-45476,26760,-156242,1226514,3523324,6012000,1685000,1365000,5328000,6380000,278000,792000,1579000,1656000,3509000,1461000,7436000,50773000,3779000,4088000
83,Cash Provided by Operating Activities,-206002,-794281,-760351,-293853,-940683,-384345,-303526,-3382932,-10845532,-12228000,-2690000,-3290000,-2429000,-3068000,-2955000,-1116000,-8034000,-4196000,-4822000,-5463000,-5802000,-4472000,-17940000,-10440000
84,CAPEX,-137334,-66190,-1866316,-14882,-608618,- -,-502080,-15838,-1010343,-4171000,-21161000,-22776000,-17754000,-16519000,-19629000,-18404000,-25324000,-27253000,-27478000,-23445000,-47492000,-20990000,-8592000,-7203000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,81562,51540,15908,- -,- -,807200,- -,- -,- -,- -,- -,- -,- -,24000,- -,250000,82000,- -,- -,- -,- -
88,Other Investing Activites,137334,-661901,69122,-2581424,1716,49016,253266,- -,- -,- -,- -,- -,- -,- -,3492000,-2092000,-426000,-100000,-100000,- -,-30916000,1055000,-62000,344000
89,Cash Used for Investing Activites,- -,-728091,-1797194,-2514744,-555362,64924,-248814,-15838,-203143,-4171000,-23656000,-22776000,-17754000,-16519000,-16137000,-18404000,-25626000,-27253000,-27228000,-23363000,-57353000,-19740000,-8592000,-6859000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,8694000,-2000000,-8500000,- -,-20000000,- -,- -,-5111000,- -,-6882000,- -,- -
91,Common Stock Issued,68667,1787133,3248773,3345866,277713,- -,1044722,2651286,22209231,15075000,39826000,452000,25472000,10702000,30709000,10130000,58372000,81000,216000,28535000,742000,21839000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155000,-119000,-377000,-232000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,762804,- -,-1450000,-2293000,14284000,-55000,-36000,4000000,- -,20000000,7896000,32954000,13943000,69723000,3047000,22684000,16703000
95,Cash Used/Provided by Financing Activities,68667,1787133,3248773,3345866,277713,- -,1044722,3414090,22209231,13625000,37533000,13336000,34111000,8666000,26209000,10130000,58372000,7977000,33015000,37248000,70088000,17772000,22684000,16703000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-17000,-10000,-4000,-7000,-16000,1000,- -
97,Net Change In Cash,-206002,264760,622106,537269,-1218332,-319421,492382,15320,11160556,-2774000,11187000,-12730000,13928000,-10921000,7117000,-9390000,24702000,-23489000,955000,8418000,6926000,-6456000,-3847000,-596000
98,Cash at the End of Period,68667,330950,967720,1487138,322608,3187,495569,510871,11671427,8897000,20084000,7354000,21282000,10361000,17478000,8088000,32790000,9301000,10256000,18674000,13857000,7401000,3554000,2958000
99,Cash at the Beginning of Period,274669,66190,345614,949869,1540940,322608,3187,495551,510871,11671000,8897000,20084000,7354000,21282000,10361000,17478000,8088000,32790000,9301000,10256000,6931000,13857000,7401000,3554000
100,Free Cash Flow,-343336,-860471,-2626667,-308735,-1549301,-384345,-805606,-3398770,-11855875,-16399000,-23851000,-26066000,-20183000,-19587000,-22584000,-19520000,-33358000,-31449000,-32300000,-28908000,-53294000,-25462000,-26532000,-17643000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866028/000106299304001169/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299305001718/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000114420406030402/v048318_20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299307002112/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299308001992/0001062993-08-001992-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299309001536/0001062993-09-001536-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299310001411/0001062993-10-001411-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299311001945/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000120445912000913/form20f.htm,https://www.sec.gov/Archives/edgar/data/866028/000106299313002016/0001062993-13-002016-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299314002359/0001062993-14-002359-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299315002082/0001062993-15-002082-index.html,https://www.sec.gov/Archives/edgar/data/866028/000106299316009152/0001062993-16-009152-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/866028/000115752320000441/0001157523-20-000441-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,
