,https://roic.ai/company/SESN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,141000,35000,2448000,113000,107000,10000,130000,20000,216000,369000,7335000
45,Total Non-Current Assets,1676000,1232000,3207000,599000,514000,78170000,60116000,59805000,59918000,59956000,35142000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2665000,9503000,11237000,55000000,36825000,104097000,75097000,111561000,114365000,122823000,240747000
48,Accounts Payable,1057000,1107000,1746000,2458000,1246000,1667000,907000,1367000,1902000,3102000,2853000
49,Short-Term Debt,- -,- -,- -,251000,4134000,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,1115000,506000,406000,425000,- -,- -,- -,1500000,- -
52,Other Current Liabilities,1161000,718000,2492000,1987000,1794000,1888000,3813000,4746000,6615000,13447000,8715000
53,Total Current Liabilities,2218000,1825000,5353000,5202000,7580000,3980000,4720000,6113000,8517000,18049000,11568000
54,Long-Term Debt,419000,1769000,2876000,9749000,9763000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,355000,- -,- -,- -,- -,- -,- -,1500000,1500000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,16335000,12528000,12528000,12528000,12528000,3969000
57,Other Non-Current Liabilities,175000,170000,307000,3223000,538000,45105000,39815000,48713000,120020000,99973000,52000000
58,Total Non-Current Liabilities,594000,1939000,3538000,12972000,10301000,61440000,52343000,61241000,132548000,114001000,57469000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,2812000,3764000,8891000,18174000,17881000,65420000,57063000,67354000,141065000,132050000,69037000
62,Preferred Stock,19644000,45035000,56678000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,2000,18000,20000,25000,35000,77000,107000,140000,199000
64,Retained Earnings,-19912000,-39569000,-57594000,-91750000,-125202000,-123311000,-152331000,-186024000,-293524000,-315921000,-316257000
65,Other Comprehensive Income/Loss,-451000,-899000,-1337000,-1747000,-1957000,-71000,-331000,-539000,-758000,- -,- -
66,Other Total Stockholders Equity,571000,1171000,4597000,130305000,146083000,162034000,170661000,230693000,267475000,306554000,- -
67,Total Stockholders Equity,-147000,5739000,2346000,36826000,18944000,38677000,18034000,44207000,-26700000,-9227000,171710000
68,Total Liabilities And Stockholders Equity,2665000,9503000,11237000,55000000,36825000,104097000,75097000,111561000,114365000,122823000,240747000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2665000,9503000,11237000,55000000,36825000,104097000,75097000,111561000,114365000,122823000,240747000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485003/000119312515081274/0001193125-15-081274-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500316000068/0001485003-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500317000018/0001485003-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500318000034/0001485003-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500319000015/0001485003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500320000038/0001485003-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500321000044/0001485003-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500322000033/0001485003-22-000033-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-12826000,-19657000,-18025000,-34156000,-33452000,1891000,-29029000,-33693000,-107500000,-22397000,-336000
74,Depreciation and Amortization,364000,448000,438000,410000,366000,178000,285000,208000,219000,122000,85000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,38000,130000,1260000,2432000,2529000,4013000,1381000,1283000,1237000,1757000,5143000
77,Change in Working Capital,1543000,7675000,-3769000,46522000,-20468000,-6784000,-11686000,35382000,287000,-1112000,-48630000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24493000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,632000,50000,-211000,1021000,-1212000,-742000,-760000,460000,535000,1200000,-249000
81,Other Working Capital,-1229000,6446000,2677000,49199000,28731000,21947000,10261000,45643000,45930000,44818000,-1500000
82,Other Non-Cash Items,12000,-7688000,6602000,-44515000,16496000,3324000,21284000,-26009000,68236000,-9207000,-25140000
83,Cash Provided by Operating Activities,-10869000,-19092000,-13494000,-29307000,-34529000,2622000,-17765000,-22829000,-37521000,-30837000,-68878000
84,CAPEX,-805000,-110000,- -,-137000,-287000,- -,- -,-2000,-136000,-8000,-4000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,461000,98000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-805000,-110000,- -,-137000,-287000,461000,98000,-2000,-136000,-8000,-4000
90,Debt Repayment,-583000,-955000,-511000,-4633000,-877000,-14124000,- -,- -,- -,- -,- -
91,Common Stock Issued,30000,- -,- -,70237000,12650000,35000,6920000,58306000,29769000,37958000,174962000
92,Common Stock Repurchased,-2000,-5000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000,- -
94,Other Financing Activites,11003000,27344000,14065000,9957000,5063000,269000,85000,277000,5587000,8000,1167000
95,Cash Used/Provided by Financing Activities,10448000,26384000,13554000,75561000,16836000,-13820000,7005000,58583000,35356000,38113000,176129000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1226000,7182000,60000,46117000,-17980000,-10737000,-10662000,35752000,-2301000,7268000,107247000
98,Cash at the End of Period,700000,7882000,7942000,54059000,36079000,25342000,14680000,50442000,48141000,55409000,162656000
99,Cash at the Beginning of Period,1926000,700000,7882000,7942000,54059000,36079000,25342000,14690000,50442000,48141000,55409000
100,Free Cash Flow,-11674000,-19202000,-13494000,-29444000,-34816000,2622000,-17765000,-22831000,-37657000,-30845000,-68882000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1485003/000119312515081274/0001193125-15-081274-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500316000068/0001485003-16-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500317000018/0001485003-17-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500318000034/0001485003-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500319000015/0001485003-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500320000038/0001485003-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500321000044/0001485003-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1485003/000148500322000033/0001485003-22-000033-index.htm
102,false,,,,,,,,,,,
