,https://roic.ai/company/TOMDF,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,87788,168035,221190,599626,370913,295000,7040000,- -
95,Cash Used/Provided by Financing Activities,361628,827520,787759,1162230,451258,1669470,7092000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,42059,95078,283399,244125,-620408,-55463,918000,- -
98,Cash at the End of Period,60600,155678,439077,683202,72893,- -,935000,- -
99,Cash at the Beginning of Period,18541,60600,155678,439077,693301,- -,17000,935000
100,Free Cash Flow,-319569,-732442,-504360,-908006,-1071666,- -,-5038000,183000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1645260/000149315221009396/0001493152-21-009396-index.htm,https://www.sec.gov/Archives/edgar/data/1645260/000149315222008594/0001493152-22-008594-index.htm
102,false,,,,,,,,
