,https://roic.ai/company/CDK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,190400000,199000000,164600000,162400000,154100000,180600000,188300000,263400000,169900000,168900000
37,Total Current Assets,- -,676300000,773500000,907100000,885200000,738700000,1278800000,1367300000,987100000,685600000,562300000
38,PP&E,- -,86400000,92800000,109900000,100000000,118600000,135000000,131900000,144800000,109100000,71800000
39,Goodwill,- -,1169500000,1167300000,1230900000,1209900000,1182700000,1181200000,1217200000,1356300000,1348500000,1297100000
40,Intangible Assets,- -,171700000,147200000,133800000,99300000,107800000,104000000,126500000,225900000,235200000,332700000
41,Intangible Assets,- -,1341200000,1314500000,1364700000,1309200000,1290500000,1285200000,1343700000,1582200000,1583700000,1629800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,233600000,246300000,205500000,224100000,217200000,184100000,165500000,284900000,475700000,448700000
45,Total Non-Current Assets,- -,1661200000,1653600000,1680100000,1633300000,1626300000,1604300000,1641100000,2011900000,2168500000,2150300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2337500000,2427100000,2587200000,2518500000,2365000000,2883100000,3008400000,2999000000,2854100000,2712600000
48,Accounts Payable,- -,15200000,16000000,17200000,21700000,38800000,38900000,50500000,57400000,39400000,29000000
49,Short-Term Debt,- -,23500000,22000000,21900000,13000000,26800000,46500000,45200000,270800000,20700000,7100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,218400000,224200000,194800000,186100000,177200000,172300000,169000000,124800000,107900000,28600000
52,Other Current Liabilities,- -,268300000,266900000,259800000,277600000,280600000,294900000,283700000,384900000,358800000,303600000
53,Total Current Liabilities,- -,525400000,529100000,493700000,498400000,523400000,552600000,548400000,837900000,526800000,368300000
54,Long-Term Debt,- -,- -,- -,- -,971100000,1190300000,2125200000,2575500000,2659400000,2655100000,1586500000
55,Deferred Revenue,- -,219900000,239900000,182800000,162900000,157700000,136100000,110400000,68400000,52800000,40400000
56,Deferred Tax Liabilities,- -,81100000,76100000,76600000,58200000,46900000,65900000,56700000,80500000,78400000,111400000
57,Other Non-Current Liabilities,- -,49300000,45400000,43900000,43800000,70500000,60100000,64700000,67300000,121700000,111100000
58,Total Non-Current Liabilities,- -,350300000,361400000,303300000,1236000000,1465400000,2387300000,2807300000,2875600000,2908000000,1849400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,875700000,890500000,797000000,1734400000,1988800000,2939900000,3355700000,3713500000,3434800000,2217700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1600000,1600000,1600000,1600000,1600000,1600000,1600000
64,Retained Earnings,- -,- -,- -,- -,81200000,238300000,452700000,753000000,911600000,1045500000,1997400000
65,Other Comprehensive Income/Loss,- -,44100000,43000000,85600000,51600000,5800000,8000000,11500000,-6700000,-25900000,72700000
66,Other Total Stockholders Equity,- -,1742000000,1816600000,1704200000,635800000,114100000,-536100000,-1130900000,-1636100000,-1617300000,-1590900000
67,Total Stockholders Equity,- -,1461800000,1536600000,1790200000,770200000,359800000,-73800000,-364800000,-729600000,-596100000,480800000
68,Total Liabilities And Stockholders Equity,- -,2337500000,2427100000,2587200000,2504600000,2348600000,2866100000,2990900000,2983900000,2838700000,2698500000
69,Minority Interest,- -,- -,- -,- -,13900000,16400000,17000000,17500000,15100000,15400000,14100000
70,Total Liabilities & Equity,- -,2337500000,2427100000,2587200000,2518500000,2365000000,2883100000,3008400000,2999000000,2854100000,2712600000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609702/000160970215000013/0001609702-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970216000046/0001609702-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970217000016/0001609702-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970218000034/0001609702-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970219000015/0001609702-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970220000015/0001609702-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1609702/000160970221000058/0001609702-21-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,135000000,160800000,199400000,226900000,178400000,239300000,295600000,380800000,124000000,207500000,1034300000
74,Depreciation and Amortization,59600000,59900000,63600000,67900000,76500000,64000000,70300000,79100000,89800000,99600000,98700000
75,Deferred Income Tax,29600000,10300000,-5800000,-16200000,-25300000,-3600000,20900000,-10100000,-5100000,4900000,30800000
76,Stock Based Compensation,13200000,14300000,14100000,21000000,30400000,36400000,55400000,35700000,30500000,19600000,43000000
77,Change in Working Capital,-27000000,150900000,93500000,169000000,-26600000,-171500000,510900000,92700000,-669700000,9600000,35200000
78,Accounts Receivable,-18300000,-10900000,-33800000,-34900000,-16900000,-57000000,-8300000,-2800000,-20100000,-19000000,13800000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-11800000,-2900000,700000,300000,3000000,15300000,4400000,11800000,-1600000,-3700000,-6300000
81,Other Working Capital,- -,150900000,244400000,413400000,386800000,215300000,726200000,818900000,149200000,158800000,194000000
82,Other Non-Cash Items,23200000,-168400000,-101500000,-210300000,34500000,155500000,-522100000,-116600000,913600000,33900000,-1025300000
83,Cash Provided by Operating Activities,233600000,227800000,263300000,258300000,267900000,320100000,431000000,461600000,483100000,375100000,216700000
84,CAPEX,-46800000,-43300000,-47700000,-64500000,-63900000,-64300000,-94200000,-87100000,-92300000,-82000000,-95400000
85,Acquisitions Net,-429600000,-60800000,- -,-25700000,-12100000,-18100000,- -,-29000000,-513000000,- -,-359500000
86,Purchases of Investments,- -,- -,- -,- -,-22900000,-10000000,-2100000,- -,-17000000,-32000000,-5000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,16600000,9700000,7900000,800000,400000,12000000,- -
88,Other Investing Activites,-48600000,-249500000,-195100000,-40500000,41500000,1100000,500000,1800000,7400000,-88300000,1285500000
89,Cash Used for Investing Activites,-478200000,-310300000,-195100000,-130700000,-40800000,-81600000,-87900000,-113500000,-614500000,-108300000,921000000
90,Debt Repayment,-8400000,-2700000,-2000000,-2100000,-781400000,-20000000,-36900000,-46400000,-806500000,-271200000,-1098500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-50000000,-561000000,-700000000,-623600000,-524100000,- -,-12100000
93,Dividends Paid,- -,- -,- -,- -,-883200000,-82300000,-80700000,-80100000,-74800000,-72900000,-73000000
94,Other Financing Activites,298100000,5500000,-9800000,-1900000,1514700000,244000000,977500000,478900000,1056400000,-1800000,-30200000
95,Cash Used/Provided by Financing Activities,289700000,2800000,-11800000,-4000000,-199900000,-419300000,159900000,-271200000,-349000000,-345900000,-1213800000
96,Effect of Forex Changes on Cash,18500000,-14900000,-3200000,2900000,-21800000,-8300000,4000000,1400000,-6900000,-9800000,21100000
97,Net Change In Cash,63600000,-94600000,53200000,126500000,5400000,-189100000,507000000,78300000,-496000000,-88900000,79900000
98,Cash at the End of Period,317700000,223100000,276300000,402800000,408200000,219100000,726100000,804400000,321100000,232200000,177200000
99,Cash at the Beginning of Period,254100000,317700000,223100000,276300000,402800000,408200000,219100000,726100000,817100000,321100000,97300000
100,Free Cash Flow,186800000,184500000,215600000,193800000,204000000,255800000,336800000,374500000,390800000,293100000,121300000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1609702/000160970215000013/0001609702-15-000013-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970216000046/0001609702-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970217000016/0001609702-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970218000034/0001609702-18-000034-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970219000015/0001609702-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1609702/000160970220000015/0001609702-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1609702/000160970221000058/0001609702-21-000058-index.htm
102,false,,,,,,,,,,,
