,https://roic.ai/company/IFMK,2015,2016,2017,2018,2019,2020
75,Deferred Income Tax,- -,- -,-166221,-227033,198243,-527527
76,Stock Based Compensation,- -,- -,- -,297536,1421965,1956866
77,Change in Working Capital,-33876,- -,-551148,-3887194,-529870,-5363599
78,Accounts Receivable,- -,- -,-457478,-2631329,641983,495206
79,Inventory,- -,- -,-1596427,-1108500,494118,4269603
80,Accounts Payable,46283,- -,1818729,3197888,-1384253,-3503242
81,Other Working Capital,- -,- -,412390,963746,826992,480556
82,Other Non-Cash Items,2258617,- -,- -,- -,233448,8921929
83,Cash Provided by Operating Activities,-159591,- -,2574005,-2562300,-8364263,-861789
84,CAPEX,- -,- -,-736767,-3879602,-3886013,-2828495
85,Acquisitions Net,- -,- -,240,- -,- -,- -
86,Purchases of Investments,-40815353,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,40815353,- -,- -,- -,- -,- -
88,Other Investing Activites,-40800000,- -,-9854432,2079511,4799142,160177
89,Cash Used for Investing Activites,-40800000,- -,-10590959,-1800091,913129,-2668318
90,Debt Repayment,- -,- -,-4313966,-1797513,-1925713,-1577861
91,Common Stock Issued,43100100,- -,- -,- -,4084022,1311820
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1745088,- -,14287500,4250000,5700000,3500000
95,Cash Used/Provided by Financing Activities,41355012,- -,9973534,2452487,7858309,3233959
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,395421,- -,1956580,-1909904,407175,-296148
98,Cash at the End of Period,434994,- -,2508362,640915,1048090,751942
99,Cash at the Beginning of Period,39573,- -,551782,2550819,640915,1048090
100,Free Cash Flow,-159591,- -,1837238,-6441902,-12250276,-3690284
101,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1681941/000121390018008533/0001213900-18-008533-index.html,https://www.sec.gov/Archives/edgar/data/1681941/000121390019011790/0001213900-19-011790-index.html,https://www.sec.gov/Archives/edgar/data/1681941/000121390020021922/0001213900-20-021922-index.htm
102,false,,,,,,
