,https://roic.ai/company/IGC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.6501,-Infinity,-0.3556,0.1030,-0.3515,-3.4267,-1.3332,-0.1898,-0.8881,-0.4611,-0.2929,-2.1245,-0.7916,-0.7889,-1.7611,-9.2795
17,Operating Income,136901,-765047,5000,2308394,-3991840,-7908891,-7511581,-2483564,-2527702,-4342291,-2905710,-2054385,-1788953,-4643000,-6864000,-8724000
18,Operating Income ratio,0.6501,-Infinity,0.0023,0.0653,-0.2230,-1.9413,-1.7887,-0.3093,-1.1120,-0.5654,-0.4564,-3.5398,-0.8159,-0.9075,-1.6857,-9.7149
19,Total Other Income Expenses (Gains),- -,3967902,-5320000,-577933,-3925665,-9000677,-235344,-148975,-514879,-335900,72343,215955,3143,548000,-451000,-87000
20,Income Before Tax,136901,3202855,-5315000,1730461,-7917505,-16909568,-7746925,-2632539,-3042581,-4678191,-2833367,-1838430,-1785810,-4095000,-7315000,-8811000
21,Income Before Tax Ratio,0.6501,Infinity,-2.4292,0.0490,-0.4424,-4.1507,-1.8447,-0.3278,-1.3385,-0.6091,-0.4450,-3.1677,-0.8145,-0.8004,-1.7964,-9.8118
22,Income Tax expense (Gain),45000,784858,76000,1535087,-3109704,4100385,172828,-365116,- -,5157,579,14431,464,2000,- -,- -
23,Net Income,91901,1517997,-5215000,-521576,-4789311,-20240907,-7751925,-2252347,-3022593,-4614183,-2808244,-1867260,-1786274,-4097000,-7315000,-8811000
24,Net Income ratio,0.4364,Infinity,-2.3835,-0.0148,-0.2676,-4.9684,-1.8459,-0.2805,-1.3297,-0.6008,-0.4411,-3.2174,-0.8147,-0.8008,-1.7964,-9.8118
25,EPS,0.30,1.10,-6.10,-0.50,-4.20,-13.40,-2.70,-0.32,-0.37,-0.31,-0.17,-0.07,-0.06,-0.13,-0.19,-0.21
26,EPS Diluted,0.30,1.10,-6.10,-0.50,-4.20,-13.40,-2.70,-0.32,-0.37,-0.31,-0.17,-0.07,-0.06,-0.13,-0.19,-0.21
27,Weighted Average Shares Outstanding,319100,1397450,857010,1009117,1153785,1510892,2908935,6966798,8205684,14755893,16387290,25658544,27937287,35393407,39490014,41963382
28,Weighted Average Shares Outstanding Diluted,319100,1397450,857010,1009117,1195834,1510892,2908935,6966798,8205684,14755893,16387290,25658544,27937287,35393407,39490014,41963382
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1326205/000118518507000331/india-10ksb3312007.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518508000544/india-10k3312008.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518509000666/indiaglobal10k033109.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518510000790/indiaglobal10k033110.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518511001000/indiaglobalization10k033111.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518512001484/indiaglobal10k033112.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518513001473/indiaglobal10k033113.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518514001804/indiaglobal-10k033114.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518515001808/indiaglobalization10k033115.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518516004982/indiaglobal10k033116.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518517001544/indiaglobal10k033117.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518518001155/0001185185-18-001155-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518519000890/0001185185-19-000890-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518520000984/0001185185-20-000984-index.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518521000802/0001185185-21-000802-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2210,1169422,8397000,2129365,842923,1583284,562948,1064421,1026565,824492,1490693,538029,1658496,25610000,7258000,14548000
32,Short-Term Investments,65825016,66104275,3001000,- -,- -,- -,- -,- -,- -,- -,- -,1880000,- -,- -,5081000,80000
33,Cash and Short-Term Investments,65827226,67273697,11398000,2129365,842923,1583284,562948,1064421,1026565,824492,1490693,2418029,1658496,25610000,12339000,14628000
34,Net Receivables,- -,3037479,14195000,12357551,7897899,3312051,1641868,1066650,566252,993296,962658,752926,557813,84000,133000,1916000
35,Inventory,- -,- -,1550000,2121837,162418,133539,387481,407060,611702,709649,162091,- -,486497,248000,4245000,5478000
36,Other Current Assets,76766,74197,5753000,2889831,2199641,1516290,2627966,1730514,1553936,1950295,1226507,410408,502141,781000,1040000,1495000
37,Total Current Assets,65903992,70385373,32896000,19498584,11102881,6545164,5220263,4268645,3758455,4477732,3841949,3581363,3204947,26723000,17757000,23517000
38,PP&E,- -,- -,7337000,6601394,1748436,1231761,8491796,8184230,7586844,7784447,7074437,953936,6236839,5886000,10354000,11328000
39,Goodwill,- -,- -,17484000,17483501,6146720,410454,965738,- -,- -,982782,1180951,198169,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,3838090,- -,468091,306131,113321,- -,127826,184000,252000,407000
41,Intangible Assets,- -,- -,17484000,17483501,6146720,410454,4803828,592274,468091,1288913,1294272,198169,127826,184000,252000,407000
42,Investments,- -,- -,2000000,70743,9254071,7306663,5746678,5192546,5140708,6027535,5784540,6011114,798922,794000,11000,12000
43,Tax Assets,25000,142652,1014000,898792,4075461,- -,-14076,341455,321676,318548,356684,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,158739,6896000,7279499,3042123,2668027,1011589,673443,458578,434284,507300,539720,484562,878000,610000,603000
45,Total Non-Current Assets,25000,301391,34731000,32333929,24266811,11616905,20039815,14983948,13975897,15853727,15017233,7702939,7648149,7742000,11227000,12350000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,65928992,70686764,67627000,51832513,35369692,18162069,25260078,19252593,17734352,20331459,18859182,11284302,10853096,34465000,28984000,35867000
48,Accounts Payable,- -,- -,1771000,462354,1839405,1311963,337145,600702,133365,174584,330631,416532,52270,319000,762000,476000
49,Short-Term Debt,870000,2664226,8635000,4939567,5509041,4821343,2232399,446694,424845,1354063,2017442,- -,1800000,50000,50000,304000
50,Tax Payable,- -,- -,- -,76569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2125505,2336054,6978000,4044424,760288,444041,1926476,777579,472467,919237,850988,873179,493684,509000,1134000,1588000
53,Total Current Liabilities,2995505,5000280,17384000,9446345,8108734,6577347,4496020,1824975,1030677,2447884,3199061,1289711,2345954,878000,1946000,2368000
54,Long-Term Debt,- -,- -,1213000,1497458,- -,- -,- -,1800000,1800000,2123904,801467,2644306,427500,- -,- -,681000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,609000,590159,- -,- -,713897,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12762785,12762785,7549000,2440676,1107498,4291863,4233978,653388,758379,1009889,910583,- -,14896,15000,501000,15000
58,Total Non-Current Liabilities,12762785,12762785,9371000,4528293,1107498,4291863,4947875,2453388,2558379,3133793,1712050,2644306,442396,15000,501000,696000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485000,405000
61,Total Liabilities,15758290,17763065,26755000,13974638,9216232,10869210,9443895,4278363,3589056,5581677,4911111,3934017,2788350,893000,2447000,3064000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1397,1397,1000,1009,1300,1490,6007,6981,937,1477,2327,2827,63917035,94043000,94754000,109720000
64,Retained Earnings,91901,1074157,-4141000,-4662689,-9452000,-29692907,-37444832,-39697179,-42719772,-47333955,-50142199,-52009459,-53795733,-58052000,-65367000,-74143000
65,Other Comprehensive Income/Loss,- -,- -,-4000,-4929581,-2578405,-2502596,-2542453,-2020764,-2016815,-1913585,-2269357,-2047780,-2056556,-2419000,-2850000,-2774000
66,Other Total Stockholders Equity,50077404,51848145,31470000,33186530,36805724,38860319,54821952,56147092,58362834,63479918,65885243,61413533,- -,- -,- -,- -
67,Total Stockholders Equity,50170702,52923699,27326000,23595269,24776619,6666306,14840674,14436130,13627184,14233855,13476014,7359121,8064746,33572000,26537000,32803000
68,Total Liabilities And Stockholders Equity,65928992,70686764,54081000,37569907,33992851,17535516,24284569,18714493,17216240,19815532,18387125,11293138,10853096,34465000,28984000,35867000
69,Minority Interest,- -,- -,13546000,14262606,1376841,626553,975509,538100,518112,515927,472057,-8836,- -,- -,- -,- -
70,Total Liabilities & Equity,65928992,70686764,67627000,51832513,35369692,18162069,25260078,19252593,17734352,20331459,18859182,11284302,10853096,34465000,28984000,35867000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1326205/000118518507000331/india-10ksb3312007.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518508000544/india-10k3312008.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518509000666/indiaglobal10k033109.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518510000790/indiaglobal10k033110.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518511001000/indiaglobalization10k033111.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518512001484/indiaglobal10k033112.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518513001473/indiaglobal10k033113.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518514001804/indiaglobal-10k033114.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518515001808/indiaglobalization10k033115.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518516004982/indiaglobal10k033116.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518517001544/indiaglobal10k033117.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518518001155/0001185185-18-001155-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518519000890/0001185185-19-000890-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518520000984/0001185185-20-000984-index.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518521000802/0001185185-21-000802-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,91901,1517997,-5215000,-521576,-4789311,-20240907,-7751925,-2252347,-3022593,-4614183,-2808244,-1867260,-1786274,-4097000,-7315000,-8811000
74,Depreciation and Amortization,- -,29226,4361000,873022,385803,785066,996403,673916,712314,781546,728741,396346,19414,59000,144000,478000
75,Deferred Income Tax,-25000,-117652,-744000,221037,-3283423,4100385,172828,-365116,- -,5157,579,18968,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,450850,130399,- -,-23271,824814,181030,833127,214254,203200,576251,610000,770000,658000
77,Change in Working Capital,40913,2476606,-49873093,-5459761,-7058092,-3026330,756426,1719427,284108,-697930,-1386960,1648764,-1432659,24986007,-10034000,5338000
78,Accounts Receivable,- -,- -,- -,-2725195,-4522214,-6822,587118,468306,374965,146985,80461,-144711,-33768,474000,-49000,-42000
79,Inventory,- -,- -,342000,-1001389,1757399,30235,5557,-26704,-204640,646662,545293,- -,-424710,239000,-3998000,-1233000
80,Accounts Payable,- -,- -,- -,-1033319,1508359,-1499804,-856704,285461,-453576,-122010,-28531,191044,-12544,- -,442000,-287000
81,Other Working Capital,62908487,65385093,15512000,10052239,2994147,-32183,724243,2443670,2727778,2029848,642888,2291652,858993,25845000,15811000,21149000
82,Other Non-Cash Items,-203022,-5464736,42902093,-3677213,11659163,15747050,827177,-422495,103087,1108641,3093928,-1791095,692190,-24888007,7758000,-8463000
83,Cash Provided by Operating Activities,-95208,-1558559,-8569000,-8113641,-2955461,-2634736,-5022362,178199,-1742054,-2583642,-157702,-1391077,-1931078,-3330000,-8677000,-10800000
84,CAPEX,- -,- -,-17000,-2493417,-1198880,-285441,-5480,-326078,-8485,-76527,-122185,-145677,-200557,-60000,-4466000,-1592000
85,Acquisitions Net,- -,- -,- -,220890,- -,- -,2678119,- -,- -,165908,16405,- -,- -,- -,- -,- -
86,Purchases of Investments,-131229427,-722540587,-585826000,- -,-698174,-59235,- -,- -,- -,- -,-76290,-95677,- -,- -,-5081000,-149000
87,Sales/Maturities of Investments,65780000,725189331,653554000,4396142,- -,- -,169758,331328,- -,- -,- -,- -,- -,- -,- -,5081000
88,Other Investing Activites,-172567,-2922973,-10453000,761640,-103187,299975,1826181,-79954,11568,-607469,-1352,- -,-521382,-245000,-77000,-75000
89,Cash Used for Investing Activites,-65621994,-274229,57258000,2885255,-2000241,-44701,4668578,-74704,3083,-518088,-183422,-241354,-657113,-260000,-9547000,3387000
90,Debt Repayment,- -,- -,- -,-4324504,- -,-200000,-625763,- -,-21849,-431307,-1252594,-476190,- -,-1878000,- -,-50000
91,Common Stock Issued,68874100,- -,- -,297699,1833780,3910575,- -,- -,1758146,2961022,1743967,642164,3739606,29458000,- -,14158000
92,Common Stock Repurchased,- -,- -,-33141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-3154688,3000000,-8238000,3871175,2347185,-295745,- -,414337,- -,369999,519854,541590,-24694,18000,- -,580000
95,Cash Used/Provided by Financing Activities,65719412,3000000,-41379000,-155630,4180965,3414830,-625763,414337,1736297,2899714,1011227,707564,3714912,27598000,-59000,14688000
96,Effect of Forex Changes on Cash,- -,- -,-82000,-884059,-234965,4968,-40789,-16359,-35182,-57,-3902,-27797,-6254,-56000,-69000,15000
97,Net Change In Cash,- -,1167212,7228000,-6268075,-1009702,740361,-1020336,501473,-37856,-202073,666201,-952664,1120467,23952000,-18352000,7290000
98,Cash at the End of Period,2210,1169422,8397000,2129365,842924,1583284,562948,1064421,1026565,824492,1490693,538029,1658496,25610000,7258000,14548000
99,Cash at the Beginning of Period,- -,2210,1169000,8397440,1852626,842923,1583284,562948,1064421,1026565,824492,1490693,538029,1658000,25610000,7258000
100,Free Cash Flow,-95208,-1558559,-8586000,-10607058,-4154341,-2920177,-5027842,-147879,-1750539,-2660169,-279887,-1536754,-2131635,-3390000,-13143000,-12392000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1326205/000118518507000331/india-10ksb3312007.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518508000544/india-10k3312008.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518509000666/indiaglobal10k033109.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518510000790/indiaglobal10k033110.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518511001000/indiaglobalization10k033111.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518512001484/indiaglobal10k033112.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518513001473/indiaglobal10k033113.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518514001804/indiaglobal-10k033114.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518515001808/indiaglobalization10k033115.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518516004982/indiaglobal10k033116.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518517001544/indiaglobal10k033117.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518518001155/0001185185-18-001155-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518519000890/0001185185-19-000890-index.html,https://www.sec.gov/Archives/edgar/data/1326205/000118518520000984/0001185185-20-000984-index.htm,https://www.sec.gov/Archives/edgar/data/1326205/000118518521000802/0001185185-21-000802-index.htm
102,false,,,,,,,,,,,,,,,,
