,https://roic.ai/company/ADNT,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1670541/000167054116000016/0001670541-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1670541/000167054117000071/0001670541-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054118000065/0001670541-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054119000057/0001670541-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054120000080/0001670541-20-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054121000133/0001670541-21-000133-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,187000000,307000000,475000000,-1546000000,877000000,-1685000000,-491000000,-547000000,1108000000
74,Depreciation and Amortization,450000000,437000000,347000000,344000000,358000000,447000000,318000000,332000000,330000000
75,Deferred Income Tax,-82000000,8000000,-51000000,-572000000,-52000000,344000000,288000000,-33000000,2000000
76,Stock Based Compensation,28000000,19000000,16000000,- -,45000000,47000000,20000000,15000000,36000000
77,Change in Working Capital,328000000,-553000000,231000000,1636000000,-1260000000,-54000000,164000000,382000000,-227000000
78,Accounts Receivable,- -,- -,- -,52000000,30000000,73000000,131000000,- -,- -
79,Inventory,5000000,-96000000,-63000000,41000000,-10000000,-106000000,8000000,78000000,-263000000
80,Accounts Payable,424000000,29000000,8000000,57000000,-113000000,143000000,-191000000,-251000000,-388000000
81,Other Working Capital,117000000,-436000000,-205000000,1431000000,171000000,117000000,281000000,663000000,-136000000
82,Other Non-Cash Items,-47000000,579000000,-621000000,-896000000,778000000,1580000000,9000000,97000000,-989000000
83,Cash Provided by Operating Activities,864000000,797000000,397000000,-1034000000,746000000,679000000,308000000,246000000,260000000
84,CAPEX,-659000000,-624000000,-478000000,-437000000,-577000000,-536000000,-468000000,-326000000,-260000000
85,Acquisitions Net,-25000000,-50000000,-18000000,18000000,-247000000,- -,- -,499000000,574000000
86,Purchases of Investments,- -,- -,- -,- -,-40000000,- -,- -,-37000000,-12000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,63000000,88000000,7000000,-6000000,69000000,49000000,85000000,30000000,-215000000
89,Cash Used for Investing Activites,-621000000,-586000000,-489000000,-425000000,-795000000,-487000000,-383000000,166000000,347000000
90,Debt Repayment,-19000000,-17000000,-10000000,- -,-302000000,-2000000,-1204000000,-108000000,-895000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-40000000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-52000000,-103000000,-26000000,- -,- -
94,Other Financing Activites,-181000000,-208000000,103000000,1516000000,1021000000,-108000000,1533000000,501000000,125000000
95,Cash Used/Provided by Financing Activities,-200000000,-225000000,93000000,1516000000,627000000,-213000000,303000000,393000000,-770000000
96,Effect of Forex Changes on Cash,-7000000,-11000000,-2000000,4000000,26000000,-1000000,9000000,-34000000,8000000
97,Net Change In Cash,36000000,-25000000,-1000000,61000000,604000000,-22000000,237000000,768000000,-171000000
98,Cash at the End of Period,70000000,45000000,44000000,105000000,709000000,687000000,924000000,1692000000,1521000000
99,Cash at the Beginning of Period,34000000,70000000,45000000,44000000,105000000,709000000,687000000,924000000,1692000000
100,Free Cash Flow,205000000,173000000,-81000000,-1471000000,169000000,143000000,-160000000,-80000000,- -
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1670541/000167054116000016/0001670541-16-000016-index.html,https://www.sec.gov/Archives/edgar/data/1670541/000167054117000071/0001670541-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054118000065/0001670541-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054119000057/0001670541-19-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054120000080/0001670541-20-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1670541/000167054121000133/0001670541-21-000133-index.htm
102,false,,,,,,,,,
