,https://roic.ai/company/CHWY,2017,2018,2019,2020,2021,2022
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1766502/000176650220000007/0001766502-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/0001766502-22-000008-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,68767000,88331000,212088000,563345000,603079000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,68767000,88331000,212088000,563345000,603079000
34,Net Receivables,- -,192052000,127450000,81104000,122568000,123510000
35,Inventory,- -,166003000,220855000,317808000,513304000,560430000
36,Other Current Assets,- -,5758000,11949000,18789000,27561000,36513000
37,Total Current Assets,- -,432580000,448585000,629789000,1226778000,1323532000
38,PP&E,- -,67791000,91691000,297783000,507230000,739859000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2804000,1346000,4749000,6902000,22890000
45,Total Non-Current Assets,- -,70595000,93037000,302532000,514132000,762749000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,503175000,541622000,932321000,1740910000,2086281000
48,Accounts Payable,- -,335427000,502880000,683049000,778365000,883316000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,211293000,311150000,417489000,602497000,761563000
53,Total Current Liabilities,- -,546720000,814030000,1100538000,1380862000,1644879000
54,Long-Term Debt,- -,- -,- -,- -,328231000,410168000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,40158000,63534000,235757000,33821000,16498000
58,Total Non-Current Liabilities,- -,40158000,63534000,235757000,362052000,426666000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,200439000,328231000,- -
61,Total Liabilities,- -,586878000,877564000,1336295000,1742914000,2071545000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3930000,4014000,4150000,4201000
64,Retained Earnings,- -,-1324212000,-1651759000,-1844472000,-1936958000,-2010775000
65,Other Comprehensive Income/Loss,- -,-20181000,-42453000,- -,- -,- -
66,Other Total Stockholders Equity,- -,1260690000,1354340000,1436484000,1930804000,2021310000
67,Total Stockholders Equity,- -,-83703000,-335942000,-403974000,-2004000,14736000
68,Total Liabilities And Stockholders Equity,- -,503175000,541622000,932321000,1740910000,2086281000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,503175000,541622000,932321000,1740910000,2086281000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1766502/000176650220000007/0001766502-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/0001766502-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,- -,-338057000,-267890000,-252370000,-92486000,-73817000
74,Depreciation and Amortization,- -,12536000,23210000,30645000,35664000,55009000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,11209000,14351000,134926000,121265000,77772000
77,Change in Working Capital,- -,-113263000,-251305000,-105304000,316665000,-167263000
78,Accounts Receivable,- -,-19759000,-12208000,-31740000,-20221000,-22811000
79,Inventory,- -,-68876000,-54851000,-96953000,-195496000,-47126000
80,Accounts Payable,- -,164173000,167453000,180169000,95316000,104951000
81,Other Working Capital,- -,-114140000,-365445000,-470749000,-154084000,-321347000
82,Other Non-Cash Items,- -,347828000,468219000,238684000,-248353000,300038000
83,Cash Provided by Operating Activities,- -,-79747000,-13415000,46581000,132755000,191739000
84,CAPEX,- -,-40282000,-44160000,-48636000,-130743000,-183186000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-195804000,31838000,-1225000,-123695000,-193272000
89,Cash Used for Investing Activites,- -,-195804000,31838000,-49861000,-123695000,-193272000
90,Debt Repayment,- -,- -,-159000,-1459000,-703000,-3310000
91,Common Stock Issued,- -,- -,- -,110349000,318388000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,187849000,1300000,18147000,24512000,44577000
95,Cash Used/Provided by Financing Activities,- -,187849000,1141000,127037000,342197000,41267000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-87702000,19564000,123757000,351257000,39734000
98,Cash at the End of Period,- -,68767000,88331000,212088000,563345000,603079000
99,Cash at the Beginning of Period,- -,156469000,68767000,88331000,212088000,563345000
100,Free Cash Flow,- -,-120029000,-57575000,-2055000,2012000,8553000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1766502/000176650220000007/0001766502-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1766502/000176650221000008/0001766502-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1766502/000176650222000008/0001766502-22-000008-index.htm
102,false,,,,,,
