,https://roic.ai/company/OCLN,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1419793/000114420409020452/0001144204-09-020452-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000114420410017599/0001144204-10-017599-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419793/000101376214000418/0001013762-14-000418-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376215000279/0001013762-15-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376216001450/0001013762-16-001450-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390017003171/0001213900-17-003171-index.html,https://www.sec.gov/Archives/edgar/data/1419793/000121390018004615/0001213900-18-004615-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390019007122/0001213900-19-007122-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390020013726/0001213900-20-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390021028352/0001213900-21-028352-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390022018523/0001213900-22-018523-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1267670,580055,356179,238424,197868,507355,821448,198384,695295,351321,439822,609144,490614,409591,141421
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198918
33,Cash and Short-Term Investments,1267670,580055,356179,238424,197868,507355,821448,198384,695295,351321,439822,609144,490614,409591,340339
34,Net Receivables,- -,- -,- -,14018,17977,26200,- -,- -,1166223,382895,490441,505124,669577,590963,- -
35,Inventory,- -,- -,- -,- -,248443,35666,21049,87123,95366,86085,97771,13736,- -,- -,2850
36,Other Current Assets,- -,16929,32867,86996,300102,186978,34531,46482,47225,89740,150196,46584,47483,59258,3108010
37,Total Current Assets,1267670,596984,389046,339438,764390,756199,877028,331989,2004109,910041,1178230,1174588,1207674,1059812,3451199
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258206,213391
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,487447,682145,- -,- -,- -,- -,- -
40,Intangible Assets,8028,30296,50103,89300,184847,322156,4467,4467,4467,4467,4467,4467,4467,4467,- -
41,Intangible Assets,8028,30296,50103,89300,184847,322156,4467,4467,491914,686612,4467,4467,4467,4467,- -
42,Investments,- -,- -,9650,9650,29650,20000,- -,- -,- -,- -,- -,22800,9600,8000,17600
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,650,137430,76712,34719,55364,53047,123854,126173,226445,184950,173666,157750,120569,- -,- -
45,Total Non-Current Assets,8678,167726,136465,133669,269861,395203,128321,130640,718359,871562,178133,185017,134636,270673,230991
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1276348,764710,525511,473107,1034251,1151402,1005349,462629,2722468,1781603,1356363,1359605,1342310,1330485,3682190
48,Accounts Payable,14762,17871,1391,56288,342369,353200,114803,203082,- -,480064,- -,987524,1144545,1304803,- -
49,Short-Term Debt,159,2307,470,- -,410696,606726,953989,3087602,4278315,1935233,778021,2274413,5171593,2175095,80646
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,313163,- -,50000,47570,263950,113950,283498,233582,564774,487004,146453
52,Other Current Liabilities,15120,50303,53857,55403,766317,732372,1294002,4324692,10933320,9437364,7310931,10567359,32925176,18792214,16050108
53,Total Current Liabilities,30041,70481,55718,111691,1832545,1692298,2412794,7662946,15475585,11966611,8372450,14062878,39806088,22759116,16277207
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1613571,2815609,2151339,552975,1885260,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,105754,- -,- -,- -,- -,26918,17073,- -,62275
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,105754,- -,- -,1613571,2815609,2178257,570048,1885260,62275
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36006,26161,17073,- -
61,Total Liabilities,30041,70481,55718,111691,1832545,1692298,2518548,7662946,15475585,13580182,11188059,16241135,40376136,24644376,62275
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1,1,1,1747064,3503374,6334813,- -
63,Common Stock,14343,14418,176973,18462,770,1797,5366,9975,23258,74999,11289,175049,486,6505,30688
64,Retained Earnings,-446091,-1952369,-6867440,-11348040,-16997083,-27567112,-36330103,-47468711,-59083777,-63229607,-68461412,-79807981,-107281659,-94020294,-98175924
65,Other Comprehensive Income/Loss,- -,-13126,-68898,-114927,-126422,-140067,-155220,-171767,-191805,-142369,-194923,- -,-292919,-132,-132
66,Other Total Stockholders Equity,1678055,2645306,7229158,11805921,16324441,27164486,34966758,40430186,46499206,51498397,58813349,63004338,65036892,64365217,75823451
67,Total Stockholders Equity,1246307,694229,469793,361416,-798294,-540896,-1513199,-7200317,-12753117,-11798579,-9831696,-14881530,-39033826,-23313891,-22321917
68,Total Liabilities And Stockholders Equity,1276348,764710,525511,473107,1034251,1151402,1005349,462629,2722468,1781603,1356363,1359605,1342310,1330485,3682190
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1276348,764710,525511,473107,1034251,1151402,1005349,462629,2722468,1781603,1356363,1359605,1342310,1330485,3682190
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1419793/000114420409020452/0001144204-09-020452-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000114420410017599/0001144204-10-017599-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419793/000101376214000418/0001013762-14-000418-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376215000279/0001013762-15-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376216001450/0001013762-16-001450-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390017003171/0001213900-17-003171-index.html,https://www.sec.gov/Archives/edgar/data/1419793/000121390018004615/0001213900-18-004615-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390019007122/0001213900-19-007122-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390020013726/0001213900-20-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390021028352/0001213900-21-028352-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390022018523/0001213900-22-018523-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-446091,-1506278,-4915071,-4480600,-5649043,-10570029,-8762991,-11138608,-11615066,-4145830,-5231805,-11346569,-27473678,13261365,-2117781
74,Depreciation and Amortization,- -,13126,55772,46029,11495,13645,15153,16547,22598,45478,52555,56521,43369,52247,44817
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2211306,1276915,934135,739464,345791,196900,1739620,533009,89476,50897,- -,- -,112403
77,Change in Working Capital,21363,-711126,-193175,-105581,-1295902,132056,-599667,-5795191,-6140519,2414906,3862350,-5694070,-25710124,16899110,8873296
78,Accounts Receivable,- -,- -,- -,- -,- -,-25000,- -,- -,-93466,683328,-107546,151218,-213688,84481,- -
79,Inventory,- -,- -,- -,- -,-248443,212777,14617,-66074,-8243,9281,-11686,84035,11236,-1299,- -
80,Accounts Payable,- -,17871,-16480,54897,262089,10830,52163,471810,652715,306567,465523,124092,167821,82758,160406
81,Other Working Capital,1237629,526503,333328,227747,-1068155,-936099,-1535766,-7330957,-13471476,-11056570,-7194220,-12888290,-38598414,-21699304,-12826008
82,Other Non-Cash Items,5375,725637,162474,534807,2271021,6582443,4513399,12264704,12982657,-447076,-538203,13480794,49919140,-34188920,- -
83,Cash Provided by Operating Activities,-419353,-1478641,-2678694,-2728430,-3728294,-3102421,-4488315,-4455648,-3010710,-1599513,-1765627,-3452427,-3221293,-3976198,-4843130
84,CAPEX,- -,-163174,-24511,-43233,-127687,-173065,-45960,-14231,-113688,-10133,-41270,-17109,-6188,-13884,-18000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-20000,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,6815,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-22268,-19807,-39197,-95547,-171387,- -,- -,460531,- -,- -,-78000,- -,- -,- -
89,Cash Used for Investing Activites,- -,-163174,-24511,-43233,-147687,-173065,-45960,-7416,346843,-10133,-41270,-195109,-6188,-13884,-18000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-10000,- -,- -,- -,- -,-9434,-194470,-186280,-9088
91,Common Stock Issued,1687023,954200,2479329,2633508,2584175,1575395,2463368,750000,1345731,1140717,1654741,2250098,- -,- -,2229695
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1932,- -,- -,-100454
94,Other Financing Activites,- -,- -,- -,20400,1251250,2009578,2395000,3090000,1815000,125000,240699,1578126,3368421,4101869,3031277
95,Cash Used/Provided by Financing Activities,1687023,954200,2479329,2653908,3835425,3584973,4848368,3840000,3160731,1265717,1895440,3816858,3108951,3915589,5151430
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,47,-45,-42,- -,- -,- -,- -
97,Net Change In Cash,- -,-687615,-223876,-117755,-40556,309487,314093,-623064,496911,-343974,88501,169322,-118530,-74493,290300
98,Cash at the End of Period,1267670,580055,356179,238424,197868,507355,821448,198384,695295,351321,439822,609144,490614,416121,706421
99,Cash at the Beginning of Period,- -,1267670,580055,356179,238424,197868,507355,821448,198384,695295,351321,439822,609144,490614,416121
100,Free Cash Flow,-419353,-1641815,-2703205,-2771663,-3855981,-3275486,-4534275,-4469879,-3124398,-1609646,-1806897,-3469536,-3227481,-3990082,-4861130
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1419793/000114420409020452/0001144204-09-020452-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000114420410017599/0001144204-10-017599-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1419793/000101376214000418/0001013762-14-000418-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376215000279/0001013762-15-000279-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000101376216001450/0001013762-16-001450-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390017003171/0001213900-17-003171-index.html,https://www.sec.gov/Archives/edgar/data/1419793/000121390018004615/0001213900-18-004615-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390019007122/0001213900-19-007122-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390020013726/0001213900-20-013726-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390021028352/0001213900-21-028352-index.htm,https://www.sec.gov/Archives/edgar/data/1419793/000121390022018523/0001213900-22-018523-index.htm
102,false,,,,,,,,,,,,,,,
